classification,path,exists,references_total,reason
CONNECTED_SUPPORT,"app/api/eldora_core_runtime.py",True,4,"referenced by app code: 3"
CONNECTED_SUPPORT,"app/api/eldora_core_runtime.py.bak_p449d",True,1,"referenced by app code: 1"
DANGEROUS_TO_TOUCH,"app/api/whatsapp.py",True,144,"runtime/router/provider/forensic marker"
DANGEROUS_TO_TOUCH,"app/api/whatsapp.py.bak_p449c_fix2",True,2,"runtime/router/provider/forensic marker"
ACTIVE_CORE,"app/companionship/self_reflection_engine.py",True,1,"matches cognition/runtime core marker"
CONNECTED_SUPPORT,"app/context_runtime/__init__.py",True,94,"referenced by app code: 94"
CONNECTED_SUPPORT,"app/context_runtime/p19p28_context.py",True,2,"referenced by app code: 2"
ACTIVE_CORE,"app/domains/__init__.py",True,95,"matches cognition/runtime core marker"
ACTIVE_CORE,"app/domains/fitness_runtime.py",True,3,"matches cognition/runtime core marker"
CONNECTED_SUPPORT,"app/eldora/core/agent_orchestrator.py",True,4,"referenced by app code: 3"
DANGEROUS_TO_TOUCH,"app/eldora/core/audit_ledger.py",True,2,"runtime/router/provider/forensic marker"
DANGEROUS_TO_TOUCH,"app/eldora/core/distributed_runtime.py",True,6,"runtime/router/provider/forensic marker"
DANGEROUS_TO_TOUCH,"app/eldora/core/distributed_runtime_state.py",True,3,"runtime/router/provider/forensic marker"
DANGEROUS_TO_TOUCH,"app/eldora/core/event_bus.py",True,2,"runtime/router/provider/forensic marker"
CONNECTED_SUPPORT,"app/eldora/core/predictive_simulation_engine.py",True,3,"referenced by app code: 2"
CONNECTED_SUPPORT,"app/eldora/core/task_engine.py",True,2,"referenced by app code: 1"
DANGEROUS_TO_TOUCH,"app/embedding/provider.py",True,53,"runtime/router/provider/forensic marker"
CONNECTED_SUPPORT,"app/humanization/universal_recovery_runtime.py",True,11,"referenced by app code: 10"
DANGEROUS_TO_TOUCH,"app/main.py.bak_p4_46x",True,1,"runtime/router/provider/forensic marker"
ACTIVE_CORE,"app/main_core.py",True,0,"matches cognition/runtime core marker"
CONNECTED_SUPPORT,"app/mind/p5_5v_pedigree_extractor/extractor.py",True,23,"referenced by app code: 19"
CONNECTED_SUPPORT,"app/p10_activation_stack/",True,2,"referenced by app code: 1"
CONNECTED_SUPPORT,"app/p10_activation_stack/__init__.py",True,94,"referenced by app code: 93"
CONNECTED_SUPPORT,"app/p10_activation_stack/activation_policy.py",True,2,"referenced by app code: 1"
CONNECTED_SUPPORT,"app/p10_activation_stack/certification.py",True,20,"referenced by app code: 7"
CONNECTED_SUPPORT,"app/p10_activation_stack/controlled_consumption.py",True,2,"referenced by app code: 1"
CONNECTED_SUPPORT,"app/p10_activation_stack/observability.py",True,2,"referenced by app code: 2"
LEGACY_REVIEW,"app/p10_activation_stack/risk_governance.py",True,1,"referenced by tests only: 1"
CONNECTED_SUPPORT,"app/p10_activation_stack/rollback.py",True,16,"referenced by app code: 8"
LEGACY_REVIEW,"app/p12_cloud_export_verification_ledger/",True,1,"referenced by tests only: 1"
CONNECTED_SUPPORT,"app/p12_cloud_export_verification_ledger/engine.py",True,158,"referenced by app code: 75"
CONNECTED_SUPPORT,"app/p16_real_use_case/",True,14,"referenced by app code: 6"
CONNECTED_SUPPORT,"app/p16_real_use_case/__init__.py",True,106,"referenced by app code: 98"
CONNECTED_SUPPORT,"app/p16_real_use_case/controlled_response_shadow.py",True,2,"referenced by app code: 1"
CONNECTED_SUPPORT,"app/p16_real_use_case/internal_only_consumption.py",True,2,"referenced by app code: 1"
CONNECTED_SUPPORT,"app/p16_real_use_case/limited_response_awareness.py",True,3,"referenced by app code: 2"
CONNECTED_SUPPORT,"app/p16_real_use_case/limited_response_modification.py",True,3,"referenced by app code: 2"
LEGACY_REVIEW,"app/p16_real_use_case/real_use_case_runner.py",True,1,"referenced by tests only: 1"
LEGACY_REVIEW,"app/p16_real_use_case/response_awareness_quality.py",True,1,"referenced by tests only: 1"
CONNECTED_SUPPORT,"app/p16_real_use_case/response_modification_safety_gate.py",True,2,"referenced by app code: 1"
LEGACY_REVIEW,"app/p16_real_use_case/response_shadow_observation.py",True,1,"referenced by tests only: 1"
