"FullName","Length","LastWriteTime"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P10.1_DISTRIBUTED_RESEARCH_SCALE",,"09/06/2026 12:37:05"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P10.2_DATASET_CERTIFICATION_RUNTIME",,"09/06/2026 12:41:39"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P10.3_REAL_DATASET_REGISTRY_BRIDGE",,"09/06/2026 12:44:18"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P10.4_CERTIFIED_DATASET_BACKTEST_ROUTER",,"09/06/2026 12:46:00"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P10.5_REAL_DATA_RESEARCH_ORCHESTRATOR",,"09/06/2026 12:48:19"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P10.6_REAL_DATA_RESEARCH_CERTIFICATION",,"09/06/2026 12:49:33"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P10_REAL_DATA_INGESTION",,"09/06/2026 12:35:33"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P11.1_CAUSALITY_EVIDENCE_FIREWALL",,"09/06/2026 12:53:43"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P11.2_EVIDENCE_PROMOTION_GATE",,"09/06/2026 12:55:16"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P11.3_GLOBAL_MARKET_REGISTRY",,"09/06/2026 12:57:50"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P11.4_DATA_COVERAGE_ENGINE",,"09/06/2026 12:59:27"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P11.5_MULTI_MARKET_RESEARCH_GRID",,"09/06/2026 13:01:03"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P11.6_EDGE_EVIDENCE_AT_SCALE",,"09/06/2026 13:02:16"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P11.7_GLOBAL_RESEARCH_CERTIFICATION",,"09/06/2026 13:03:24"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P11_EDGE_EVIDENCE_ENGINE",,"09/06/2026 12:51:59"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P12.1_CLOUD_EXPORT_COMMAND_PACK",,"09/06/2026 13:05:46"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P12.2_CLOUD_EXPORT_VERIFICATION_LEDGER",,"09/06/2026 13:08:18"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P12.3_FINAL_TRANSFER_SNAPSHOT",,"09/06/2026 13:13:50"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P12_REAL_DATA_LOADING_CLOUD_EXPORT",,"09/06/2026 13:04:38"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P13.10_MT5_NORMALIZED_DATASET_CERTIFICATION",,"09/06/2026 16:51:58"
