symbol,timeframe,time,open,high,low,close,volume,quantity,sma_20,sma_50,ema_8,ema_21,ema_55,rsi_14,atr_14,atr_pct,bb_upper,bb_lower,bb_position,donchian_high_20,donchian_low_20,donchian_position,macd,macd_signal,fibo_382,fibo_500,fibo_618,fibo_zone,trigger_long_wick_rejection,trigger_bullish_engulfing,trend_proxy,volatility_proxy
ALPA4,D1,2024-01-07,7.73,7.79,7.6,7.66,22185372.51,2889800.0,,,7.66,7.66,7.66,,,,,,,,,,0.0,0.0,,,,NONE,0,0,RANGE,NORMAL_VOL
ALPA4,D1,2024-01-08,7.35,7.43,7.17,7.23,16043192.94,2212700.0,,,7.564444444444445,7.620909090909091,7.644642857142857,,,,,,,,,,-0.034301994301994654,-0.006860398860398931,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
ALPA4,D1,2024-01-10,5.9,5.96,5.83,5.86,17842091.34,3030700.0,,,7.1856790123456795,7.460826446280992,7.580905612244899,,,,,,,,,,-0.17007361953230937,-0.039503042994781024,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
ALPA4,D1,2024-01-11,6.09,6.22,6.04,6.12,23418668.5,3814000.0,,,6.948861454046639,7.33893313298272,7.528730411807581,,,,,,,,,,-0.25376849833631887,-0.0823561340630886,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
ALPA4,D1,2024-02-07,7.62,7.7,7.49,7.54,31293664.55,4131100.0,,,7.080225575369608,7.357211939075199,7.529132897100167,,,,,,,,,,-0.20317310710485792,-0.10651952867144247,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
ALPA4,D1,2024-02-08,7.29,7.38,7.2,7.27,17530655.45,2405500.0,,,7.122397669731917,7.3492835809774535,7.5198781507751615,,,,,,,,,,-0.1827559418140572,-0.12176681129996542,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
ALPA4,D1,2024-02-09,6.51,6.54,6.2,6.46,38210790.38,6044600.0,,,6.975198187569269,7.268439619070412,7.482025359676049,,,,,,,,,,-0.22929228306127492,-0.14327190565222733,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
ALPA4,D1,2024-02-10,5.93,6.12,5.9,6.04,23937150.01,3981400.0,,,6.767376368109432,7.15676329006401,7.430524453973333,,,,,,,,,,-0.2966436355135258,-0.173946251624487,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
ALPA4,D1,2024-02-12,5.33,5.35,5.12,5.19,29016324.49,5588500.0,,,6.416848286307336,6.977966627330917,7.350505723474285,,,,,,,,,,-0.4138375026996082,-0.22192450183951123,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
ALPA4,D1,2024-03-07,7.6,7.71,7.57,7.61,18277220.74,2390800.0,,,6.681993111572372,7.035424206664469,7.359773376207347,,,,,,,,,,-0.3078915296664855,-0.2391179074049061,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
ALPA4,D1,2024-03-09,6.46,6.64,6.4,6.44,39942797.86,6177000.0,,,6.62821686455629,6.981294733331336,7.3269243270570845,,,,,,,,,,-0.3147100233907745,-0.2542363306020798,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
ALPA4,D1,2024-03-10,5.93,5.93,5.84,5.84,18195634.03,3097400.0,,,6.453057561321559,6.877540666664851,7.273819886805046,,,,,,,,,,-0.3643289569537833,-0.2762548558724205,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
ALPA4,D1,2024-03-12,5.21,5.3,5.12,5.24,18851200.29,3635600.0,,,6.183489214361213,6.728673333331683,7.201183462276294,,,,,,,,,,-0.4469155407201999,-0.3103869928419764,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
ALPA4,D1,2024-04-07,7.7,7.88,7.66,7.86,18523220.21,2375000.0,,,6.556047166725389,6.8315212121197115,7.224712624337855,,1.0428571428571427,0.13267902580879679,,,,,,,-0.29752422554323044,-0.3078144393822272,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
ALPA4,D1,2024-04-09,6.48,6.57,6.44,6.5,150526353.41,23236500.0,,,6.543592240786413,6.8013829201088285,7.198830030611504,46.02739726027397,1.1307142857142856,0.17395604395604394,,,,,,,-0.28557918686562633,-0.303367388878907,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
ALPA4,D1,2024-04-10,5.84,5.98,5.76,5.97,28436939.48,4804500.0,,,6.416127298389433,6.725802654644389,7.15494324380395,45.714285714285715,1.1485714285714284,0.1923905240488155,,,,,,,-0.31524527694025917,-0.3057429664911775,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
ALPA4,D1,2024-04-11,6.2,6.39,6.18,6.21,17975691.05,2869200.0,,,6.37032123208067,6.678911504222172,7.1211952708109525,51.28960943257185,1.0785714285714285,0.17368299976995627,,,,,,,-0.31575010219029664,-0.3077443936310013,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
ALPA4,D1,2024-04-12,5.23,5.29,5.12,5.13,15895119.38,3062800.0,,,6.094694291618299,6.5381013674747015,7.050081153996276,46.56011118832523,1.1307142857142856,0.22041214146477303,,,,,,,-0.3987011749395819,-0.32593574989271745,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
ALPA4,D1,2024-05-07,7.86,7.92,7.74,7.91,9779424.93,1247200.0,,,6.498095560147565,6.662819424977001,7.080792541353551,51.17460317460318,1.217142857142857,0.1538739389561134,,,,,,,-0.23738134675238776,-0.30822486926465154,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
ALPA4,D1,2024-05-08,7.12,7.15,6.99,7.01,15647692.52,2215900.0,6.5545,,6.611852102336996,6.6943812954336375,7.07826423630521,49.20634920634921,1.2585714285714285,0.17953943346240064,8.365315169736373,4.743684830263627,0.6257720853051815,7.92,5.12,0.6749999999999999,-0.18008083923532858,-0.28259606325878694,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
ALPA4,D1,2024-05-09,6.5,6.54,6.24,6.43,63181115.94,9925400.0,6.493,,6.571440524039885,6.670346632212397,7.055111942151453,49.907120743034056,1.237142857142857,0.19240168851366363,8.227675458801565,4.758324541198435,0.48184098366056166,7.92,5.12,0.46785714285714275,-0.179402882186519,-0.26195742704433334,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
ALPA4,D1,2024-05-11,6.22,6.3,6.07,6.25,9140814.57,1473700.0,6.444,,6.500009296475467,6.632133302011271,7.026357944217472,50.65996228786927,1.2228571428571426,0.19565714285714284,8.14607798695718,4.741922013042819,0.44301083690447834,7.92,5.12,0.4035714285714286,-0.19118621632563837,-0.24780318490059436,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
