symbol,timeframe,time,open,high,low,close,volume,quantity,sma_20,sma_50,ema_8,ema_21,ema_55,rsi_14,atr_14,atr_pct,bb_upper,bb_lower,bb_position,donchian_high_20,donchian_low_20,donchian_position,macd,macd_signal,fibo_382,fibo_500,fibo_618,fibo_zone,trigger_long_wick_rejection,trigger_bullish_engulfing,trend_proxy,volatility_proxy
BDIF11,D1,2024-01-07,72.86,72.86,72.14,72.29,2019338.35,27831.0,,,72.29,72.29,72.29,,,,,,,,,,0.0,0.0,,,,NONE,0,0,RANGE,NORMAL_VOL
BDIF11,D1,2024-01-08,68.31,68.57,67.77,68.13,5558888.0,81834.0,,,71.36555555555556,71.91181818181818,72.14142857142858,,,,,,,,,,-0.3318518518518516,-0.06637037037037033,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-01-10,67.15,67.49,66.67,66.67,2867049.98,42773.0,,,70.3220987654321,71.43528925619835,71.94602040816328,,,,,,,,,,-0.7045351904611152,-0.1940033343885193,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-01-11,65.38,66.37,65.2,66.29,2072223.58,31585.0,,,69.42607681755831,70.96753568745304,71.74401967930031,,,,,,,,,,-1.0188080604203833,-0.35896427959489213,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-02-07,72.45,72.79,71.58,71.63,2884329.21,39967.0,,,69.91583752476757,71.0277597158664,71.73994754789673,,,,,,,,,,-0.8274399891870985,-0.4526594215133334,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-02-08,67.8,68.13,67.11,67.17,6532410.85,96977.0,,,69.30565140815256,70.67705428715126,71.57673513547185,,,,,,,,,,-1.023861699882545,-0.5668998771871757,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-02-09,69.24,69.55,68.77,69.21,3430104.46,49575.0,,,69.28439553967421,70.54368571559206,71.49220888063357,,,,,,,,,,-1.0033503712264746,-0.6541899759950356,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-02-10,66.68,67.05,66.5,66.79,2836351.02,42537.0,,,68.7300854197466,70.20244155962915,71.32427284918238,,,,,,,,,,-1.1688944827212708,-0.7571308773402827,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-02-12,63.76,64.27,62.95,63.97,3256320.77,51192.0,,,67.67228865980292,69.63585596329922,71.06162024742586,,,,,,,,,,-1.5102308152858939,-0.907750864929405,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-03-07,71.64,72.25,71.15,71.85,3612527.73,50510.0,,,68.60066895762449,69.83714178481748,71.08977666716066,,,,,,,,,,-1.131844969685119,-0.9525696858805479,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-03-09,69.55,69.55,68.78,68.87,2373536.51,34352.0,,,68.66052030037461,69.74921980437952,71.01049892904778,,,,,,,,,,-1.0602111023946605,-0.9740979691833704,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-03-10,67.19,67.19,66.08,66.11,3391030.57,50877.0,,,68.09373801140248,69.41838164034502,70.83548111015322,,,,,,,,,,-1.2121764644617343,-1.0217136682390433,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-03-12,63.75,63.96,63.34,63.76,4192459.13,65933.0,,,67.1306851199797,68.90398330940455,70.58278535621919,,,,,,,,,,-1.5048880562298166,-1.118348545837198,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-04-07,71.97,72.25,71.12,71.74,2878312.52,40254.0,,,68.15497731553977,69.16180300854958,70.62411445063994,,3.822857142857142,0.05328766577721135,,,,,,,-1.0804895819030378,-1.110776753050366,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-04-09,68.9,69.55,68.9,69.1,2357366.0,34019.0,,,68.36498235653093,69.1561845532269,70.56968179168851,46.78880612039459,3.974285714285713,0.05751498862931568,,,,,,,-0.9462686737335844,-1.0778751371870097,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-04-10,66.13,67.12,65.9,66.92,3607484.7,54301.0,,,68.04387516619072,68.95289504838809,70.43933601341392,48.73139022855945,3.879999999999997,0.0579796772265391,,,,,,,-1.0042292878602836,-1.0631459673216646,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-04-11,66.37,66.71,65.04,65.55,2506975.28,38090.0,,,67.489680684815,68.64354095308008,70.2647168700777,48.8235294117647,3.909999999999997,0.0596491228070175,,,,,,,-1.1474835663030234,-1.0800134871179363,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-04-12,63.35,63.76,62.91,63.73,5539921.5,87326.0,,,66.65419608818945,68.19685541189098,70.03133412471779,47.389885807504065,3.9935714285714257,0.06266391697115058,,,,,,,-1.391828273729061,-1.1423764444401612,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-05-07,71.97,72.86,71.76,72.82,1866928.98,25762.0,,,68.02437473525846,68.61714128353725,70.1309293345493,51.12710740670581,4.181428571428569,0.05742143053321298,,,,,,,-0.8422769388209161,-1.0823565433163123,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-05-08,67.16,69.39,66.8,68.97,8310709.69,122820.0,68.07849999999999,,68.2345136829788,68.64921934867023,70.08946757260111,51.72479877347642,4.288571428571426,0.062180243998425776,73.84459792347977,62.31240207652021,0.5773053121739217,72.86,62.91,0.6090452261306534,-0.7092406856727109,-1.007733371787592,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-05-09,69.05,69.4,68.77,69.03,2697878.21,39079.0,67.9155,,68.41128842009462,68.68383577151839,70.05162944500822,49.82071713147411,4.163571428571427,0.06031539082386538,73.35540508818131,62.475594911818675,0.6024374489934905,72.86,62.91,0.6150753768844224,-0.5921411632839693,-0.9246149300868676,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-05-11,65.53,65.53,65.04,65.43,1944236.56,29818.0,67.78049999999999,,67.74877988229582,68.38803251956217,69.88657125054364,48.67652783184119,4.254999999999998,0.06503133119364203,73.3308796930338,62.230120306966185,0.2882577292009357,72.86,62.91,0.25326633165829243,-0.7808279629704771,-0.8958575366635896,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-05-12,63.68,63.68,62.56,62.66,6604717.41,104447.0,67.58000000000001,,66.6179399084523,67.86730229051106,69.62847942016708,48.72394311318917,4.185714285714284,0.06680041949751492,73.5714711311822,61.58852886881784,0.0894163643387818,72.86,62.56,0.009708737864077121,-1.1407298377907154,-0.9448319968890148,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-06-08,68.97,69.21,68.24,68.46,4850936.97,70711.0,67.68849999999999,,67.0272865954629,67.9211839004646,69.58674801230397,46.558375634517766,4.062142857142855,0.05933600434038644,73.66017092899553,61.71682907100445,0.5645966605639618,72.86,62.56,0.5728155339805818,-0.947026408230613,-0.9452708791573344,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-06-09,69.03,69.52,69.03,69.18,1949751.05,28178.0,67.566,,67.5056673520267,68.03562172769509,69.57222129757882,50.32985741647159,3.9185714285714277,0.05664312559368932,73.2927255271366,61.839274472863416,0.6409182256380126,72.86,62.56,0.6427184466019423,-0.7270362408176538,-0.9016239514893983,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-06-11,65.43,65.52,65.04,65.04,1429439.11,21920.0,67.45949999999999,,66.95774127379855,67.76329247972281,69.41035625123672,48.89394252635932,4.014999999999999,0.0617312423124231,73.2954159295557,61.62358407044428,0.29270606112173875,72.86,62.56,0.24077669902912666,-0.876650369017554,-0.8966292349950296,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-06-12,62.57,62.91,62.28,62.74,3537061.1,56470.0,67.136,,66.02046543517665,67.30662952702073,69.17212924226399,48.944536423841065,4.014285714285713,0.06398287718019945,73.27288554647438,60.99911445352561,0.14183786981936836,72.86,62.28,0.043478260869565306,-1.167354881208169,-0.9507743642376575,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-07-08,68.95,68.95,67.39,67.76,4863438.06,71758.0,67.18449999999999,,66.40702867180406,67.3478450245643,69.12169605504027,45.612874779541464,3.8514285714285705,0.05683926463147241,73.32520277137036,61.043797228629614,0.5468594574128516,72.86,62.28,0.5179584120982992,-0.981355796671366,-0.9568906507243993,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-07-10,66.92,67.04,66.07,66.33,3511466.87,52900.0,67.3025,,66.38991118918094,67.2553136586948,69.02199262450313,46.8629671574179,3.769285714285715,0.05682625831879565,73.27141553228715,61.33358446771283,0.4185362906595403,72.86,62.28,0.3827977315689979,-0.9385205504197813,-0.9532166306634757,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-07-11,65.04,65.46,64.95,65.08,2044608.74,31370.0,66.964,,66.0988198138074,67.05755787154072,68.88120717362801,47.8713558537714,3.6392857142857156,0.05592018614452544,72.60596457012326,61.32203542987673,0.3330368813394698,72.86,62.28,0.264650283553875,-0.9939798811295759,-0.9613692807566958,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-08-07,72.65,72.86,72.24,72.35,2600354.36,35810.0,67.13799999999999,,67.48797096629464,67.53868897412792,69.00509263171273,56.921824104234524,4.060714285714288,0.05612597492348705,73.22459476139767,61.051405238602314,0.9281540175021575,72.86,62.28,0.9517958412098294,-0.4461604977126967,-0.858327524147896,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-08-08,67.76,68.39,67.2,67.66,5793833.29,85754.0,67.21549999999999,,67.52619964045138,67.5497172492072,68.95705360915156,53.7795729948067,4.240000000000001,0.06266627253916644,73.28643325002966,61.14456674997032,0.5366088689904335,72.86,62.28,0.5085066162570885,-0.3860038811016011,-0.763862795538637,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-08-10,66.33,66.33,65.65,66.18,4416598.14,66941.0,67.3365,,67.22704416479552,67.42519749927928,68.85787312311044,42.51915277151871,3.7314285714285718,0.05638302465138367,73.2107265784303,61.46227342156971,0.4015615090294119,72.86,62.28,0.36862003780718394,-0.452536402205709,-0.7015975168720514,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-08-11,65.08,65.08,64.62,64.97,2129418.27,32830.0,66.998,,66.72547879484095,67.20199772661752,68.71902051157079,45.20843315764256,3.4128571428571433,0.05252973900041778,72.57660423969632,61.41939576030368,0.31823410365184834,72.86,62.28,0.25425330812854424,-0.5960301278319378,-0.6804840390640288,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-09-07,72.84,73.25,72.45,72.82,2157230.77,29635.0,67.184,,68.07981684043185,67.71272520601593,68.86548406472897,53.82596406218453,3.959285714285714,0.05437085573037235,73.28161437388684,61.08638562611315,0.9621479528236716,73.25,62.28,0.9608021877848671,-0.07545079460084025,-0.5594773901713911,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-09-08,67.59,68.06,67.28,67.99,4253503.42,62910.0,67.2375,,68.0598575425581,67.73793200546903,68.83421677670295,52.52167060677698,4.069999999999999,0.059861744374172667,73.34413099468627,61.13086900531372,0.5616133511796271,73.25,62.28,0.5205104831358245,-0.05202880082035222,-0.45798767230118337,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-09-09,69.18,69.33,68.54,68.59,3276105.5,47647.0,67.3895,,68.17766697754519,67.81539273224458,68.82549474896356,56.102078616999385,3.9607142857142854,0.05774477745610563,73.47055764692813,61.30844235307187,0.5987081581611418,73.25,62.28,0.5752051048313586,0.014777932777718661,-0.363434551285403,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-09-10,66.15,66.3,65.15,65.15,4262123.75,64945.0,67.4605,,67.50485209364626,67.57308430204053,68.69422707935773,46.42007354531691,3.7385714285714284,0.05738405876548623,73.39299916272977,61.52800083727023,0.3052675662800396,73.25,62.28,0.2616226071103013,-0.2074649731813878,-0.33224063566459994,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-09-12,62.8,62.8,61.98,62.35,3302229.1,52988.0,66.937,,66.35932940616931,67.09825845640047,68.46764754080924,42.93107017180707,3.8892857142857147,0.06237827929888877,72.72420949026476,61.14979050973525,0.10369500985611002,73.25,61.98,0.03283052351375372,-0.602584458212803,-0.3863094001742406,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-10-06,72.04,72.24,71.48,71.64,2800961.96,39015.0,67.07050000000001,,67.53281176035391,67.51114405127315,68.5809458429232,56.172839506172835,4.3,0.06002233389168062,73.16993388227223,60.97106611772779,0.8745839440346318,73.25,61.98,0.8571428571428572,-0.16420132587887792,-0.3418877853151681,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-10-07,72.8,72.8,72.01,72.58,2366897.2,32686.0,67.248,,68.65440914694193,67.97194913752104,68.72376920567595,59.44337811900191,4.185714285714285,0.05767035389520922,73.77889048494275,60.71710951505726,0.9082138578416797,73.25,61.98,0.9405501330967169,0.2561182373557358,-0.22228658078098734,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-10-09,68.78,68.78,68.1,68.5,2922858.23,42693.0,67.4015,,68.62009600317705,68.01995376138277,68.71577744833039,50.72322126661453,4.062142857142857,0.059301355578727837,73.89669101457297,60.90630898542703,0.5845625630974783,73.25,61.98,0.5785270629991128,0.25703962464945107,-0.12642133969489966,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-10-10,65.65,67.2,65.0,66.73,8889288.21,135135.0,67.60499999999999,,68.2000746691377,67.90268523762069,68.64485682517574,50.38834951456312,4.1914285714285695,0.06281175740189673,73.71851393484785,61.49148606515213,0.42843722862784633,73.25,61.98,0.42147293700088784,0.11363570159296899,-0.07840993143732594,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BDIF11,D1,2024-10-12,62.35,62.82,61.94,62.28,3617006.36,58059.0,67.296,,66.88450252044044,67.39153203420062,68.41754050999089,47.44058500914077,4.435,0.07121066152858059,73.83730970307774,60.75469029692227,0.1165905432026909,73.25,61.94,0.030061892130857942,-0.3549985481133149,-0.13372765477252374,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
