symbol,timeframe,time,open,high,low,close,volume,quantity,sma_20,sma_50,ema_8,ema_21,ema_55,rsi_14,atr_14,atr_pct,bb_upper,bb_lower,bb_position,donchian_high_20,donchian_low_20,donchian_position,macd,macd_signal,fibo_382,fibo_500,fibo_618,fibo_zone,trigger_long_wick_rejection,trigger_bullish_engulfing,trend_proxy,volatility_proxy
BTHI11,D1,2024-01-07,38.34,38.34,35.7,36.52,10047.41,270.0,,,36.52,36.52,36.52,,,,,,,,,,0.0,0.0,,,,NONE,0,0,RANGE,NORMAL_VOL
BTHI11,D1,2024-01-08,37.11,37.49,35.84,36.97,10468.11,287.0,,,36.620000000000005,36.56090909090909,36.53607142857143,,,,,,,,,,0.03589743589743932,0.007179487179487865,,,,NONE,1,0,TREND_UP,NORMAL_VOL
BTHI11,D1,2024-01-10,34.94,36.64,34.49,34.49,52974.02,1526.0,,,36.14666666666667,36.372644628099174,36.46299744897959,,,,,,,,,,-0.13422163781137186,-0.02110073781868408,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BTHI11,D1,2024-01-11,36.39,36.39,35.05,35.92,55923.24,1569.0,,,36.096296296296295,36.331495116453794,36.44360468294461,,,,,,,,,,-0.15190214698140636,-0.04726101965122854,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
BTHI11,D1,2024-02-07,36.52,36.52,34.59,35.28,30938.68,873.0,,,35.91489711934156,36.23590465132163,36.40204737283944,,,,,,,,,,-0.21507745021168745,-0.08082430576332032,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BTHI11,D1,2024-02-08,36.98,36.98,36.96,36.96,1331.0,36.0,,,36.147142203932326,36.30173150120148,36.42197425238089,,,,,,,,,,-0.12810565131562868,-0.090280574873782,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BTHI11,D1,2024-02-09,37.16,37.24,36.78,37.16,3959.15,107.0,,,36.372221714169584,36.37975591018316,36.44833231479586,,,,,,,,,,-0.042551043618537676,-0.08073466862273312,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
BTHI11,D1,2024-02-10,33.97,34.09,31.77,33.73,39945.06,1193.0,,,35.78506133324301,36.13886900925741,36.35124901783887,,,,,,,,,,-0.2486544017633392,-0.11431861525085435,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
BTHI11,D1,2024-02-12,39.56,39.56,35.98,38.71,138379.93,3658.0,,,36.43504770363345,36.372608190234004,36.435490124344625,,,,,,,,,,-0.010032766101709,-0.09346144542102527,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
BTHI11,D1,2024-03-07,34.94,34.94,34.5,34.72,13513.67,390.0,,,36.053925991714905,36.22237108203091,36.37422261990375,,,,,,,,,,-0.14125475792121023,-0.10302010792106228,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BTHI11,D1,2024-03-09,37.25,37.25,36.65,36.82,2559.73,69.0,,,36.224164660222705,36.27670098366446,36.39014324062147,,,,,,,,,,-0.07493290241886541,-0.0974026668206229,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BTHI11,D1,2024-03-10,33.07,33.86,32.83,32.95,87914.23,2655.0,,,35.49657251350655,35.97427362151314,36.26728098202785,,,,,,,,,,-0.33083534722565133,-0.1440892029016286,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BTHI11,D1,2024-03-12,36.9,40.06,36.9,39.98,56951.5,1472.0,,,36.49288973272732,36.33843056501195,36.39987808981257,,,,,,,,,,0.03323920852089657,-0.10862352061712358,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BTHI11,D1,2024-04-07,34.9,35.7,33.63,33.63,47377.25,1386.0,,,35.85669201434347,36.09220960455631,36.30095387231926,,3.440714285714285,0.10231086190051397,,,,,,,-0.18844869462378,-0.12458855541845487,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
BTHI11,D1,2024-04-09,36.82,36.82,36.81,36.82,5228.17,142.0,,,36.07076045560048,36.15837236777846,36.319491234022145,50.35868005738881,3.479999999999999,0.09451385116784354,,,,,,,-0.10551530028273248,-0.1207739043913104,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
BTHI11,D1,2024-04-10,33.23,33.23,32.44,32.89,41459.69,1262.0,,,35.363924798800376,35.86124760707133,36.19700940423564,45.496688741721854,3.6749999999999994,0.11173608999695954,,,,,,,-0.35284081411487733,-0.1671872863360238,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
BTHI11,D1,2024-04-11,35.24,35.92,35.24,35.52,30752.55,866.0,,,35.39860817684474,35.83022509733757,36.17283049694151,51.13311331133114,3.7142857142857144,0.10456885456885456,,,,,,,-0.33279281709886277,-0.2003083924885916,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
