symbol,timeframe,time,open,high,low,close,volume,quantity,sma_20,sma_50,ema_8,ema_21,ema_55,rsi_14,atr_14,atr_pct,bb_upper,bb_lower,bb_position,donchian_high_20,donchian_low_20,donchian_position,macd,macd_signal,fibo_382,fibo_500,fibo_618,fibo_zone,trigger_long_wick_rejection,trigger_bullish_engulfing,trend_proxy,volatility_proxy
DEBB11,D1,2024-01-07,12.91,12.92,12.9,12.91,235418.12,18234.0,,,12.91,12.91,12.91,,,,,,,,,,0.0,0.0,,,,NONE,0,0,RANGE,NORMAL_VOL
DEBB11,D1,2024-01-08,13.07,13.07,12.75,13.04,782680.22,60048.0,,,12.93888888888889,12.921818181818182,12.914642857142859,,,,,,,,,,0.01037037037036903,0.002074074074073806,,,,NONE,1,0,TREND_UP,NORMAL_VOL
DEBB11,D1,2024-01-10,13.34,13.34,13.29,13.32,1423774.37,106894.0,,,13.023580246913582,12.95801652892562,12.929119897959186,,,,,,,,,,0.04071330589849076,0.009801920438957197,,,,NONE,1,0,TREND_UP,NORMAL_VOL
DEBB11,D1,2024-01-11,13.42,13.47,13.42,13.44,2721797.92,202520.0,,,13.116117969821675,13.001833208114201,12.947365615889217,,,,,,,,,,0.07359494135900135,0.02256052462296603,,,,NONE,0,0,TREND_UP,NORMAL_VOL
DEBB11,D1,2024-02-07,12.91,12.92,12.89,12.9,119487.54,9260.0,,,13.068091754305748,12.992575643740182,12.945673986750316,,,,,,,,,,0.05544129459605074,0.029136678617582974,,,,NONE,0,0,TREND_UP,NORMAL_VOL
DEBB11,D1,2024-02-08,13.06,13.08,13.06,13.08,198101.6,15149.0,,,13.070738031126693,13.000523312491074,12.950471344366377,,,,,,,,,,0.054945516709452136,0.034298446235956806,,,,NONE,0,0,TREND_UP,NORMAL_VOL
DEBB11,D1,2024-02-09,13.17,13.23,13.17,13.17,873863.68,66215.0,,,13.092796246431872,13.015930284082794,12.95831165349615,,,,,,,,,,0.06111041418622776,0.039660839826011,,,,NONE,0,0,TREND_UP,NORMAL_VOL
DEBB11,D1,2024-02-10,13.34,13.35,13.3,13.31,1527576.65,114603.0,,,13.14106374722479,13.042663894620722,12.970871951585574,,,,,,,,,,0.07641213825850102,0.047011099512509,,,,NONE,0,0,TREND_UP,NORMAL_VOL
DEBB11,D1,2024-02-12,13.55,13.55,13.52,13.53,804711.47,59445.0,,,13.227494025619281,13.08696717692793,12.990840810457518,,,,,,,,,,0.10507973246602553,0.05862482610321231,,,,NONE,0,0,TREND_UP,NORMAL_VOL
DEBB11,D1,2024-03-07,12.9,12.99,12.89,12.91,49836.23,3860.0,,,13.156939797703885,13.070879251752663,12.987953638655465,,,,,,,,,,0.07688391901077019,0.06227664468472389,,,,NONE,0,0,TREND_UP,NORMAL_VOL
