time,open,high,low,close,tick_volume,sma_20,sma_50,ema_8,ema_21,ema_55,rsi_14,atr_14,atr_pct,bb_upper,bb_lower,bb_position,donchian_high_20,donchian_low_20,donchian_position,macd,macd_signal,fibo_382,fibo_500,fibo_618,fibo_zone,trigger_long_wick_rejection,trigger_bullish_engulfing,trend_proxy,volatility_proxy
2020-09-07,1.3257,1.32674,1.31402,1.31619,37329,,,1.31619,1.31619,1.31619,,,,,,,,,,0.0,0.0,,,,NONE,0,0,RANGE,NORMAL_VOL
2020-09-08,1.31618,1.31715,1.29795,1.29801,54797,,,1.3121500000000001,1.3145372727272726,1.3155407142857143,,,,,,,,,,-0.001450256410256312,-0.00029005128205126244,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2020-09-09,1.29821,1.30226,1.28846,1.30013,51520,,,1.309478888888889,1.313227520661157,1.314990331632653,,,,,,,,,,-0.0024008532398276383,-0.0007122116736065377,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
2020-09-10,1.30017,1.30349,1.27725,1.28036,61751,,,1.303008024691358,1.3102395642374154,1.313753534074344,,,,,,,,,,-0.004695356701858389,-0.0015088406792569079,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2020-09-11,1.28035,1.2865,1.2762,1.27966,51416,,,1.2978195747599452,1.3074596038521957,1.3125359078574033,,,,,,,,,,-0.006495376716818546,-0.0025061478867692355,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2020-09-14,1.27805,1.29189,1.27744,1.28458,40210,,,1.294877447035513,1.3053796398656325,1.3115374825767816,,,,,,,,,,-0.007439148788746852,-0.003492748067164759,,,,NONE,0,1,TREND_DOWN,NORMAL_VOL
2020-09-15,1.28445,1.29257,1.28146,1.28884,38272,,,1.2935357921387325,1.303876036241484,1.3107268581990394,,,,,,,,,,-0.007753965668020779,-0.004344991587335963,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2020-09-16,1.28882,1.30074,1.28747,1.29662,53304,,,1.2942211716634586,1.3032163965831673,1.3102230418347882,,,,,,,,,,-0.0072916260074173955,-0.00493431847135225,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2020-09-17,1.29681,1.2999,1.28643,1.29725,72146,,,1.2948942446271343,1.3026739968937884,1.309759718912117,,,,,,,,,,-0.006796042216262066,-0.005306663220334214,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
2020-09-18,1.29729,1.29996,1.2914,1.29221,49955,,,1.2942977458211045,1.3017227244488985,1.3091329432366845,,,,,,,,,,-0.006732367824715979,-0.005591804141210568,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2020-09-21,1.29275,1.2966,1.2775,1.28156,55388,,,1.2914671356386367,1.2998897494989985,1.3081481952639458,,,,,,,,,,-0.0074553309900318165,-0.005964509510974818,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2020-09-22,1.28167,1.28666,1.27107,1.27291,55748,,,1.2873433277189397,1.2974370449990895,1.3068896882902334,,,,,,,,,,-0.008626822575506843,-0.006496972123881223,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2020-09-23,1.27297,1.27767,1.26748,1.27215,57296,,,1.2839670326702863,1.295138222726445,1.3056489851370108,,,,,,,,,,-0.009506973275517305,-0.00709897235420844,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2020-09-24,1.27221,1.27805,1.26902,1.27407,64597,,,1.2817676920768895,1.2932229297513136,1.3045211642392605,,0.014073571428571447,0.011046152431633621,,,,,,,-0.009935046065832953,-0.007666187096533343,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2020-09-25,1.27407,1.28051,1.2687,1.27419,49349,,,1.2800837605042474,1.291492663410285,1.3034379083735725,25.438596491228026,0.01400857142857145,0.010994099332573204,,,,,,,-0.010147638182851138,-0.008162477313796903,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2020-09-28,1.27622,1.29296,1.27508,1.28311,47024,,,1.2807562581699703,1.2907306031002592,1.302711911645945,40.22822665267568,0.013977857142857169,0.010893732527107706,,,,,,,-0.00948698940635162,-0.008427379732307847,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2020-09-29,1.28316,1.29024,1.28223,1.28587,51005,,,1.2818926452433101,1.2902887300911448,1.3021104148014468,40.725806451612975,0.013564285714285742,0.010548722432505419,,,,,,,-0.00864110230902182,-0.008470124247650642,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2020-09-30,1.28602,1.29419,1.28051,1.29165,65681,,,1.2840609463003523,1.2904124819010407,1.301736828558538,58.97598982350135,0.012667142857142877,0.009806946817746973,,,,,,,-0.007418813531238744,-0.008259862104368262,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2020-10-01,1.2917,1.29784,1.28185,1.28859,64828,,,1.2850674026780518,1.2902468017282187,1.3012672989671616,56.84291187739453,0.013073571428571462,0.010145640916483492,,,,,,,-0.00662073755398751,-0.007932037194292113,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2020-10-02,1.28924,1.29539,1.2836,1.29366,68874,1.2875805,,1.286976868749596,1.2905570924801988,1.3009956097183344,56.94189602446478,0.012883571428571454,0.009959008880673016,1.3097555551889186,1.2654054448110814,0.6370797039332304,1.32674,1.26748,0.44178197772527933,-0.005515569907377671,-0.007448743736909225,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
