time,open,high,low,close,tick_volume,sma_20,sma_50,ema_8,ema_21,ema_55,rsi_14,atr_14,atr_pct,bb_upper,bb_lower,bb_position,donchian_high_20,donchian_low_20,donchian_position,macd,macd_signal,fibo_382,fibo_500,fibo_618,fibo_zone,trigger_long_wick_rejection,trigger_bullish_engulfing,trend_proxy,volatility_proxy
2026-06-10 09:25:00,1.33931,1.33938,1.33923,1.33933,63,,,1.33933,1.33933,1.33933,,,,,,,,,,0.0,0.0,,,,NONE,0,0,RANGE,NORMAL_VOL
2026-06-10 09:26:00,1.33933,1.33951,1.33932,1.33945,81,,,1.3393566666666665,1.3393409090909092,1.3393342857142856,,,,,,,,,,9.572649572575642e-06,1.9145299145151285e-06,,,,NONE,0,0,TREND_UP,NORMAL_VOL
2026-06-10 09:27:00,1.33945,1.33945,1.33936,1.33939,67,,,1.339364074074074,1.3393453719008266,1.339336275510204,,,,,,,,,,1.2177173886573911e-05,3.967058708926885e-06,,,,NONE,0,0,TREND_UP,NORMAL_VOL
2026-06-10 09:28:00,1.33939,1.3394,1.33923,1.33932,48,,,1.339354279835391,1.3393430653643879,1.3393356942419825,,,,,,,,,,8.494938817493747e-06,4.872634730640257e-06,,,,NONE,0,0,TREND_UP,NORMAL_VOL
2026-06-10 09:29:00,1.33932,1.33961,1.33932,1.33953,73,,,1.3393933287608597,1.3393600594221708,1.3393426337333403,,,,,,,,,,2.2265325144266157e-05,8.351172813365438e-06,,,,NONE,0,0,TREND_UP,NORMAL_VOL
2026-06-10 09:30:00,1.33953,1.33962,1.33946,1.33947,67,,,1.339410366814002,1.3393700540201552,1.339347182528578,,,,,,,,,,2.8014028675027447e-05,1.2283743985697841e-05,,,,NONE,0,0,TREND_UP,NORMAL_VOL
2026-06-10 09:31:00,1.33947,1.33948,1.33939,1.33943,56,,,1.3394147297442238,1.3393755036546866,1.3393501402954144,,,,,,,,,,2.900786729687077e-05,1.562856864793243e-05,,,,NONE,0,0,TREND_UP,NORMAL_VOL
2026-06-10 09:32:00,1.33943,1.33949,1.3394,1.33949,47,,,1.3394314564677297,1.3393859124133514,1.339355135284864,,,,,,,,,,3.424226658976792e-05,1.935130823629953e-05,,,,NONE,0,0,TREND_UP,NORMAL_VOL
2026-06-10 09:33:00,1.33949,1.33957,1.33948,1.33955,57,,,1.3394577994749008,1.339400829466683,1.3393620947389762,,,,,,,,,,4.2739391203028276e-05,2.402892482964528e-05,,,,NONE,0,0,TREND_UP,NORMAL_VOL
2026-06-10 09:34:00,1.33955,1.33962,1.33953,1.33953,49,,,1.3394738440360339,1.339412572242439,1.3393680913554413,,,,,,,,,,4.7314182381796854e-05,2.8685976340075597e-05,,,,NONE,0,0,TREND_UP,NORMAL_VOL
