symbol,timeframe,time,open,high,low,close,volume,quantity,sma_20,sma_50,ema_8,ema_21,ema_55,rsi_14,atr_14,atr_pct,bb_upper,bb_lower,bb_position,donchian_high_20,donchian_low_20,donchian_position,macd,macd_signal,fibo_382,fibo_500,fibo_618,fibo_zone,trigger_long_wick_rejection,trigger_bullish_engulfing,trend_proxy,volatility_proxy
IGTI3F,D1,2024-01-07,2.54,2.54,2.46,2.49,51371.23,20543.0,,,2.49,2.49,2.49,,,,,,,,,,0.0,0.0,,,,NONE,0,0,RANGE,NORMAL_VOL
IGTI3F,D1,2024-01-08,2.5,2.5,2.44,2.48,2273.71,921.0,,,2.4877777777777776,2.4890909090909092,2.4896428571428575,,,,,,,,,,-0.0007977207977210021,-0.00015954415954420043,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
IGTI3F,D1,2024-01-10,2.44,2.52,2.44,2.47,1692.43,681.0,,,2.483827160493827,2.4873553719008266,2.488941326530613,,,,,,,,,,-0.002211345687129551,-0.0005699044650612706,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
IGTI3F,D1,2024-01-11,2.47,2.47,2.33,2.33,3553.24,1495.0,,,2.4496433470507544,2.4730503380916606,2.483264850583091,,,,,,,,,,-0.014461777202339654,-0.0033482790125169476,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
IGTI3F,D1,2024-02-07,2.51,2.51,2.45,2.45,1599.85,645.0,,,2.449722603261698,2.4709548528106002,2.4820768202051235,,,,,,,,,,-0.014322237481181332,-0.005543070706249825,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
IGTI3F,D1,2024-02-08,2.49,2.5,2.44,2.48,1562.18,632.0,,,2.4564509136479873,2.4717771389187275,2.4820026480549404,,,,,,,,,,-0.011656532714106493,-0.006765763107821159,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
IGTI3F,D1,2024-02-09,2.68,2.68,2.55,2.55,58506.78,22657.0,,,2.47723959950399,2.4788883081079343,2.484431124910121,,,,,,,,,,-0.0038511340195137578,-0.006182837290159679,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
IGTI3F,D1,2024-02-10,2.46,2.51,2.46,2.47,1441.11,577.0,,,2.4756307996142146,2.478080280098122,2.483915727591903,,,,,,,,,,-0.004073671976519755,-0.005761004227431695,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
IGTI3F,D1,2024-02-12,2.17,2.23,2.12,2.17,2975.85,1376.0,,,2.407712844144389,2.4500729819073834,2.472704451606478,,,,,,,,,,-0.028133225396094197,-0.010235448461164195,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
IGTI3F,D1,2024-03-07,2.45,2.5,2.45,2.49,1772.71,715.0,,,2.4259988787789695,2.4537027108248943,2.4733221497633893,,,,,,,,,,-0.02113563077728653,-0.012415484924388662,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
IGTI3F,D1,2024-03-09,2.49,2.61,2.49,2.57,13571.26,5237.0,,,2.4579991279391984,2.464275191658995,2.4767749301289825,,,,,,,,,,-0.00903055657990448,-0.011738499255491827,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
IGTI3F,D1,2024-03-10,2.51,2.51,2.38,2.49,180759.04,73595.0,,,2.4651104328415987,2.4666138105990867,2.4772472540529473,,,,,,,,,,-0.005825378145146942,-0.01055587503342285,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
IGTI3F,D1,2024-03-12,2.17,2.17,2.11,2.11,3002.79,1415.0,,,2.3861970033212434,2.434194373271897,2.4641312806939135,,,,,,,,,,-0.033561202697458103,-0.015156940566229902,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
IGTI3F,D1,2024-04-07,2.48,2.58,2.47,2.57,2549.96,1007.0,,,2.4270421136943003,2.446540339338088,2.4679123063834165,,0.19500000000000003,0.07587548638132298,,,,,,,-0.01821392902536667,-0.015768338258057256,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
IGTI3F,D1,2024-04-09,2.59,2.63,2.58,2.6,31676.7,12096.0,,,2.465477199540011,2.46049121758008,2.4726297240125805,52.60663507109005,0.1935714285714286,0.07445054945054945,,,,,,,-0.0035889832250055598,-0.013332467251446916,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
IGTI3F,D1,2024-04-10,2.44,2.51,2.44,2.48,167038.76,67463.0,,,2.46870448853112,2.462264743254618,2.472892948154988,50.0,0.20071428571428576,0.08093317972350232,,,,,,,-0.001662441834693773,-0.010998462168096287,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
