symbol,timeframe,time,open,high,low,close,volume,quantity,sma_20,sma_50,ema_8,ema_21,ema_55,rsi_14,atr_14,atr_pct,bb_upper,bb_lower,bb_position,donchian_high_20,donchian_low_20,donchian_position,macd,macd_signal,fibo_382,fibo_500,fibo_618,fibo_zone,trigger_long_wick_rejection,trigger_bullish_engulfing,trend_proxy,volatility_proxy
NBIT11,H1,2025-01-09,47.29,47.61,47.29,47.41,5406.13,114.0,,,47.41,47.41,47.41,,,,,,,,,,0.0,0.0,,,,NONE,0,0,RANGE,NORMAL_VOL
NBIT11,H1,2025-01-09,47.58,47.58,47.34,47.46,4079.62,86.0,,,47.42111111111111,47.41454545454545,47.41178571428571,,,,,,,,,,0.00398860398860279,0.000797720797720558,,,,NONE,0,0,TREND_UP,NORMAL_VOL
NBIT11,H1,2025-01-09,47.48,47.62,47.42,47.49,7271.88,153.0,,,47.43641975308642,47.421404958677684,47.41457908163265,,,,,,,,,,0.009461286840199534,0.0025304340062163536,,,,NONE,0,0,TREND_UP,NORMAL_VOL
NBIT11,H1,2025-01-09,47.49,47.56,47.37,47.56,6788.65,143.0,,,47.463882030178326,47.4340045078888,47.41977268586005,,,,,,,,,,0.019225225976462923,0.005869392400265667,,,,NONE,1,0,TREND_UP,NORMAL_VOL
NBIT11,H1,2025-01-09,47.55,47.67,47.55,47.65,7093.59,149.0,,,47.50524157902759,47.453640461717086,47.42799508993648,,,,,,,,,,0.03383543212622442,0.011462600345457418,,,,NONE,0,0,TREND_UP,NORMAL_VOL
NBIT11,H1,2025-01-09,47.64,47.69,47.57,47.57,19395.17,407.0,,,47.51963233924368,47.46421860156099,47.433066693867325,,,,,,,,,,0.03851481948429125,0.016873044173224185,,,,NONE,0,0,TREND_UP,NORMAL_VOL
NBIT11,H1,2025-01-09,47.49,47.49,47.49,47.49,2374.5,50.0,,,47.51304737496731,47.466562365055445,47.43510002622921,,,,,,,,,,0.03536032445730797,0.020570500230040943,,,,NONE,0,0,TREND_UP,NORMAL_VOL
NBIT11,H1,2025-01-10,49.99,50.19,49.9,50.14,6257.14,125.0,,,48.09681462497458,47.7096021500504,47.53170359672102,,,,,,,,,,0.2438818987301019,0.06523277993005314,,,,NONE,0,0,TREND_UP,NORMAL_VOL
NBIT11,H1,2025-01-10,50.19,50.37,50.14,50.25,5228.28,104.0,,,48.57530026386912,47.94054740913673,47.62878561112384,,,,,,,,,,0.4132491503828035,0.13483605402060322,,,,NONE,0,0,TREND_UP,NORMAL_VOL
NBIT11,H1,2025-01-10,50.25,50.26,49.85,49.85,5158.1,103.0,,,48.8585668718982,48.11413400830612,47.708114696440845,,,,,,,,,,0.5093260666305639,0.20973405654259536,,,,NONE,0,0,TREND_UP,NORMAL_VOL
