symbol,timeframe,time,open,high,low,close,volume,quantity,sma_20,sma_50,ema_8,ema_21,ema_55,rsi_14,atr_14,atr_pct,bb_upper,bb_lower,bb_position,donchian_high_20,donchian_low_20,donchian_position,macd,macd_signal,fibo_382,fibo_500,fibo_618,fibo_zone,trigger_long_wick_rejection,trigger_bullish_engulfing,trend_proxy,volatility_proxy
TIRB11,D1,2024-01-11,9.19,9.19,9.18,9.18,164323.47,17893.0,,,9.18,9.18,9.18,,,,,,,,,,0.0,0.0,,,,NONE,0,0,RANGE,NORMAL_VOL
TIRB11,D1,2024-02-12,9.43,9.43,9.09,9.12,319.27,35.0,,,9.166666666666666,9.174545454545454,9.177857142857142,,,,,,,,,,-0.004786324786323348,-0.0009572649572646696,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
TIRB11,D1,2024-03-12,9.14,9.16,9.14,9.16,32125.2,3516.0,,,9.165185185185184,9.173223140495866,9.177219387755102,,,,,,,,,,-0.0052908661455663974,-0.0018239851949250151,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
TIRB11,D1,2024-04-11,9.33,9.33,9.32,9.32,121.3,13.0,,,9.199588477366254,9.186566491359878,9.182318695335278,,,,,,,,,,0.007137665452127351,-3.165506551454193e-05,,,,NONE,0,0,TREND_UP,NORMAL_VOL
TIRB11,D1,2024-04-12,9.06,9.06,9.06,9.06,9.06,1.0,,,9.168568815729309,9.175060446690798,9.177950170501875,,,,,,,,,,-0.003946962674488574,-0.0008147165873093486,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
TIRB11,D1,2024-05-11,9.3,9.3,9.3,9.3,9.3,1.0,,,9.19777574556724,9.186418587900725,9.182309092983951,,,,,,,,,,0.006558778396389187,0.0006599824094303586,,,,NONE,0,0,TREND_UP,NORMAL_VOL
TIRB11,D1,2024-05-12,9.22,9.22,9.22,9.22,9.22,1.0,,,9.20271446877452,9.189471443546113,9.183655196805953,,,,,,,,,,0.00833326181777494,0.002194638291099275,,,,NONE,0,0,TREND_UP,NORMAL_VOL
TIRB11,D1,2024-06-11,9.19,9.19,9.16,9.16,2665.63,290.0,,,9.193222364602404,9.186792221405556,9.182810368348596,,,,,,,,,,0.004842235873642409,0.002724157807607902,,,,NONE,0,0,TREND_UP,NORMAL_VOL
TIRB11,D1,2024-06-12,9.16,9.16,9.09,9.09,127.92,14.0,,,9.170284061357425,9.177992928550506,9.179495712336147,,,,,,,,,,-0.003532126172315131,0.0014729010116232952,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
TIRB11,D1,2024-07-11,9.34,9.34,9.34,9.34,186.84,20.0,,,9.207998714389108,9.192720844136824,9.185228008324142,,,,,,,,,,0.00989003605575256,0.0031563280204491484,,,,NONE,0,0,TREND_UP,NORMAL_VOL
TIRB11,D1,2024-08-11,9.15,9.15,9.15,9.15,92943.01,10162.0,,,9.195110111191529,9.188837131033477,9.183969865169708,,,,,,,,,,0.005136573003031941,0.0035523770169657073,,,,NONE,0,0,TREND_UP,NORMAL_VOL
