time,open,high,low,close,tick_volume,sma_20,sma_50,ema_8,ema_21,ema_55,rsi_14,atr_14,atr_pct,bb_upper,bb_lower,bb_position,donchian_high_20,donchian_low_20,donchian_position,macd,macd_signal,fibo_382,fibo_500,fibo_618,fibo_zone,trigger_long_wick_rejection,trigger_bullish_engulfing,trend_proxy,volatility_proxy
2026-06-10 03:26:00,4221.63,4222.25,4218.85,4221.23,507,,,4221.23,4221.23,4221.23,,,,,,,,,,0.0,0.0,,,,NONE,1,0,RANGE,NORMAL_VOL
2026-06-10 03:27:00,4221.23,4224.01,4219.59,4223.33,388,,,4221.696666666667,4221.420909090909,4221.304999999999,,,,,,,,,,0.16752136752074875,0.03350427350414975,,,,NONE,0,0,TREND_UP,NORMAL_VOL
2026-06-10 03:28:00,4223.33,4224.85,4222.14,4224.6,397,,,4222.341851851852,4221.7099173553715,4221.422678571428,,,,,,,,,,0.39817176808628574,0.10643777242057695,,,,NONE,0,0,TREND_UP,NORMAL_VOL
2026-06-10 03:29:00,4224.54,4224.84,4218.03,4218.05,382,,,4221.388106995884,4221.3771975957925,4221.302225765306,,,,,,,,,,0.05183607886374375,0.09551743370921031,,,,NONE,0,0,TREND_UP,NORMAL_VOL
2026-06-10 03:30:00,4218.05,4219.04,4213.16,4215.58,515,,,4220.097416552355,4220.850179632538,4221.097860559402,,,,,,,,,,-0.41713730817809846,-0.007013514668251453,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:31:00,4215.58,4215.88,4213.96,4215.2,574,,,4219.009101762943,4220.336526938671,4220.8872226822805,,,,,,,,,,-0.8101262888148995,-0.16763606949758106,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:32:00,4215.2,4215.46,4207.5,4208.38,1002,,,4216.6470791489555,4219.249569944247,4220.440536157913,,,,,,,,,,-1.652837013943099,-0.4646762583866847,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:33:00,4208.38,4209.5,4206.98,4207.43,506,,,4214.598839338077,4218.175063585679,4219.975874152273,,,,,,,,,,-2.370028185893716,-0.845746643888091,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:34:00,4207.43,4209.37,4205.89,4206.39,649,,,4212.774652818504,4217.103694168799,4219.49066436112,,,,,,,,,,-2.987884195987135,-1.2741741543079,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:35:00,4206.39,4209.34,4205.7,4207.52,557,,,4211.60695219217,4216.232449244363,4219.063140633937,,,,,,,,,,-3.347767005080641,-1.6888927244624483,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:36:00,4207.52,4207.52,4205.43,4205.59,467,,,4210.269851705021,4215.264953858512,4218.581957039868,,,,,,,,,,-3.7455353939130873,-2.100221258352576,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:37:00,4205.59,4205.62,4201.87,4202.18,567,,,4208.472106881683,4214.075412598648,4217.996172859873,,,,,,,,,,-4.286515921984574,-2.5374801910789757,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:38:00,4202.09,4209.65,4202.09,4208.47,681,,,4208.471638685754,4213.565829635134,4217.655952400592,,,,,,,,,,-4.1597454989987455,-2.8619332526629297,,,,NONE,0,1,TREND_DOWN,NORMAL_VOL
2026-06-10 03:39:00,4208.47,4208.86,4206.01,4207.81,510,,,4208.324607866698,4213.042572395576,4217.304311243428,,4.213571428571413,0.0010013692226054438,,,,,,,-4.065669008066834,-3.102680403743711,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:40:00,4207.83,4208.35,4205.68,4206.13,482,,,4207.836917229653,4212.414156723251,4216.90522869902,29.416575790623014,4.161428571428587,0.0009893723140817299,,,,,,,-4.0796470392961055,-3.29807373085419,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:41:00,4206.15,4207.45,4204.71,4205.67,556,,,4207.355380067508,4211.801051566592,4216.503970531198,24.800228310503115,4.0414285714285665,0.0009609476186739726,,,,,,,-4.08080194080776,-3.4546193728449044,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:42:00,4205.67,4206.08,4201.74,4203.31,568,,,4206.456406719173,4211.02913778781,4216.032757297941,20.536949903127734,4.157857142857146,0.000989186413292654,,,,,,,-4.223464021014479,-3.6083883024788195,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:43:00,4203.31,4203.36,4200.13,4200.17,419,,,4205.059427448246,4210.041943443463,4215.466230251586,22.677261613691982,3.9021428571428,0.0009290440284899896,,,,,,,-4.537589992447465,-3.794228640472549,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:44:00,4200.17,4204.42,4198.89,4204.27,418,,,4204.883999126414,4209.51722131224,4215.066364885458,33.53711790393105,3.877142857142774,0.000922191690149009,,,,,,,-4.404924129696155,-3.9163677383172706,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:45:00,4204.27,4206.0,4202.89,4205.76,478,4209.8535,,4205.078665987211,4209.1756557384,4214.733994710978,36.68922729836493,3.9621428571427453,0.0009420753578765181,4224.228786212253,4195.478213787747,0.3576202261451032,4224.85,4198.89,0.26463790446840835,-4.131924674495167,-3.95947912555285,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:46:00,4205.76,4205.91,4203.38,4203.48,491,4208.966,,4204.723406878942,4208.657868853091,4214.332066328443,42.07632600258669,3.574285714285582,0.0008503158607357671,4222.5541192688,4195.377880731201,0.2981324754560558,4224.85,4198.89,0.1768104776579056,-4.052829093645414,-3.9781491191713627,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:47:00,4203.48,4205.93,4202.7,4204.45,442,4208.022,,4204.662649794733,4208.275335320991,4213.979135388142,45.18422753716817,3.62499999999987,0.0008621817360177597,4219.927529188705,4196.116470811295,0.3499856687013601,4224.85,4198.89,0.21417565485360104,-3.8672946175538527,-3.955978218847861,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:48:00,4204.45,4204.71,4201.29,4201.4,409,4206.862,,4203.937616507014,4207.650304837264,4213.529880552851,42.42792109256382,3.6207142857141923,0.0008617875674094808,4216.213403159558,4197.510596840442,0.2079582653637436,4224.84,4198.89,0.0967244701348488,-3.9211659583070286,-3.949015766739695,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:49:00,4201.4,4204.33,4199.86,4203.79,458,4206.148999999999,,4203.904812838789,4207.299368033876,4213.182027675964,44.54837766734833,3.679999999999901,0.0008754005314251904,4213.955609615201,4198.342390384798,0.3489100828478809,4219.04,4198.89,0.24317617866003596,-3.7280319266092192,-3.9048189987136,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:50:00,4203.79,4205.29,4200.58,4201.63,432,4205.451500000001,,4203.399298874614,4206.783970939887,4212.7694552589655,44.25087108013956,3.8671428571427504,0.0009203910999166395,4212.12000342241,4198.782996577592,0.21346644382314245,4215.88,4198.89,0.1612713360800363,-3.7065390877960454,-3.865163016530089,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:51:00,4201.55,4202.99,4200.68,4202.28,422,4204.8055,,4203.150565791367,4206.374519036261,4212.394831856859,50.15782828282741,3.7642857142855712,0.0008957722270494996,4209.7877061272775,4199.823293872723,0.2465480215507564,4215.46,4198.89,0.2045866022932696,-3.595608355532022,-3.811252084330476,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:52:00,4202.28,4206.28,4202.28,4205.81,496,4204.677000000001,,4203.741551171063,4206.323199123874,4212.1596592905435,45.401106500692116,3.5099999999998936,0.0008345598113086168,4209.3966792932915,4199.95732070671,0.6200293419947389,4209.65,4198.89,0.6431226765799737,-3.1861257777691208,-3.686226823018205,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:53:00,4205.81,4208.59,4204.93,4208.37,505,4204.724,,4204.770095355271,4206.509271930794,4212.024314315881,50.908500973393025,3.567857142857065,0.000847800251132164,4209.575979086164,4199.872020913836,0.8757229715186668,4209.65,4198.89,0.8810408921933246,-2.624780444447424,-3.4739375473040495,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:54:00,4208.37,4208.57,4205.88,4207.41,443,4204.775,,4205.356740831878,4206.591156300722,4211.859517376029,52.126245847175575,3.5692857142856025,0.0008483332297745175,4209.721239400844,4199.828760599155,0.7663639774037713,4209.65,4198.89,0.7918215613382968,-2.2316491383462562,-3.225479865512491,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:55:00,4207.4,4211.57,4207.37,4209.28,519,4204.862999999999,,4206.228576202571,4206.83559663702,4211.767391755456,55.7283402094566,3.6735714285713192,0.0008727315428223638,4210.070590007302,4199.655409992697,0.9240925258907342,4211.57,4198.89,0.8194006309148205,-1.7490345921041808,-2.930190810830829,,,,NONE,0,1,TREND_DOWN,NORMAL_VOL
2026-06-10 03:56:00,4209.28,4212.78,4209.13,4212.09,451,4205.188,,4207.531114824222,4207.313269670018,4211.778913478475,63.73591989987365,3.624285714285569,0.0008604483081523825,4211.316513514278,4199.059486485722,1.0631055543828059,4212.78,4198.89,0.9503239740821001,-1.1268262200674144,-2.5695178926781463,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-06-10 03:57:00,4212.09,4213.07,4210.45,4212.93,637,4205.7255000000005,,4208.730867085505,4207.823881518198,4211.820023711387,71.51045178691757,3.5807142857141634,0.0008499344365356565,4212.58523906209,4198.865760937911,1.0251293041024918,4213.07,4198.89,0.9901269393512395,-0.5594911568468888,-2.167512545511895,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
