symbol,timeframe,date,open,high,low,close,volume,quantity
ABCB4F,D1,09/06/2026,23.67,24.47,23.65,24.44,305603.1,12649.0
ABCB4F,D1,08/06/2026,24.0,24.0,23.61,23.68,407050.31,17137.0
ABCB4F,D1,05/06/2026,23.89,24.04,23.69,24.0,352661.09,14754.0
ABCB4F,D1,03/06/2026,24.4,24.44,23.71,23.88,508271.8,21151.0
ABCB4F,D1,02/06/2026,24.49,24.64,24.3,24.36,302622.19,12368.0
ABCB4F,D1,01/06/2026,24.6,24.6,24.19,24.27,391578.86,16092.0
ABCB4F,D1,29/05/2026,24.65,24.65,24.12,24.42,331495.57,13640.0
ABCB4F,D1,28/05/2026,24.52,24.55,24.22,24.51,246148.37,10076.0
ABCB4F,D1,27/05/2026,24.62,24.89,24.47,24.64,258461.83,10501.0
ABCB4F,D1,26/05/2026,24.85,25.19,24.53,24.75,267094.92,10813.0
ABCB4F,D1,25/05/2026,24.38,24.94,24.38,24.94,319365.29,12938.0
ABCB4F,D1,22/05/2026,24.31,24.57,24.31,24.53,262579.67,10759.0
ABCB4F,D1,21/05/2026,24.17,24.76,24.12,24.56,325568.59,13318.0
ABCB4F,D1,20/05/2026,23.63,24.68,23.45,24.68,342905.3,14172.0
ABCB4F,D1,19/05/2026,23.68,23.75,23.34,23.46,484801.86,20660.0
ABCB4F,D1,18/05/2026,24.17,24.17,23.5,23.63,627934.4,26453.0
ABCB4F,D1,15/05/2026,23.89,24.12,23.51,24.12,546578.64,22924.0
ABCB4F,D1,14/05/2026,24.09,24.36,23.9,24.05,346741.28,14438.0
ABCB4F,D1,13/05/2026,24.05,24.24,23.77,23.85,494730.98,20621.0
ABCB4F,D1,12/05/2026,24.3,24.36,23.97,24.05,391918.73,16260.0
ABCB4F,D1,11/05/2026,24.41,24.45,23.96,24.2,621456.83,25756.0
ABCB4F,D1,08/05/2026,24.28,24.61,24.08,24.39,479754.68,19709.0
ABCB4F,D1,07/05/2026,25.38,25.38,23.96,24.03,1401553.69,57809.0
ABCB4F,D1,06/05/2026,25.19,25.52,25.06,25.35,356824.84,14120.0
ABCB4F,D1,05/05/2026,24.97,25.02,24.74,24.8,376627.28,15144.0
ABCB4F,D1,04/05/2026,25.18,25.18,24.64,24.76,804061.94,32359.0
ABCB4F,D1,30/04/2026,25.0,25.5,24.8,25.06,433206.01,17299.0
ABCB4F,D1,29/04/2026,25.23,25.23,24.7,24.85,821294.05,33044.0
ABCB4F,D1,28/04/2026,24.93,25.19,24.68,25.01,441000.26,17682.0
ABCB4F,D1,27/04/2026,25.39,25.42,24.92,24.95,525949.1,20990.0
ABCB4F,D1,24/04/2026,25.21,25.3,25.05,25.22,380466.0,15122.0
ABCB4F,D1,23/04/2026,26.0,26.0,25.18,25.2,471962.66,18568.0
ABCB4F,D1,22/04/2026,26.2,26.23,25.57,25.63,548575.32,21241.0
ABCB4F,D1,20/04/2026,26.72,26.9,26.15,26.39,381720.19,14476.0
ABCB4F,D1,17/04/2026,26.77,27.15,26.59,26.77,300525.16,11195.0
ABCB4F,D1,16/04/2026,27.61,27.61,26.74,26.77,310783.84,11477.0
ABCB4F,D1,15/04/2026,27.46,27.68,27.25,27.33,313886.14,11460.0
ABCB4F,D1,14/04/2026,27.35,27.45,26.66,27.35,338415.1,12489.0
ABCB4F,D1,13/04/2026,27.04,27.62,26.83,27.28,356103.93,13112.0
ABCB4F,D1,10/04/2026,27.34,27.47,26.97,27.0,359662.89,13221.0
ABCB4F,D1,09/04/2026,26.71,27.24,26.62,27.1,323347.03,11985.0
ABCB4F,D1,08/04/2026,26.51,26.98,26.5,26.5,309449.49,11599.0
ABCB4F,D1,07/04/2026,26.24,26.29,25.91,26.24,324609.21,12455.0
ABCB4F,D1,06/04/2026,26.25,26.4,25.94,26.28,362341.99,13793.0
ABCB4F,D1,02/04/2026,25.99,26.2,25.46,26.1,314244.94,12126.0
ABCB4F,D1,01/04/2026,25.57,26.27,25.4,26.25,328623.98,12649.0
ABCB4F,D1,31/03/2026,25.02,25.6,24.89,25.58,281112.42,11129.0
ABCB4F,D1,30/03/2026,25.06,25.21,24.65,24.78,397675.85,16030.0
ABCB4F,D1,27/03/2026,25.19,25.2,24.78,24.8,518273.77,20774.0
ABCB4F,D1,26/03/2026,25.63,25.67,25.14,25.33,360654.24,14204.0
ABCB4F,D1,25/03/2026,25.3,25.95,25.29,25.9,279671.29,10862.0
ABCB4F,D1,24/03/2026,25.72,25.72,25.12,25.38,324885.89,12817.0
ABCB4F,D1,23/03/2026,25.25,26.18,25.2,25.8,325598.49,12594.0
ABCB4F,D1,20/03/2026,25.69,25.69,24.98,25.0,413826.88,16415.0
ABCB4F,D1,19/03/2026,25.7,25.79,25.18,25.58,416966.86,16409.0
ABCB4F,D1,18/03/2026,26.01,26.19,25.72,25.72,250166.58,9638.0
ABCB4F,D1,17/03/2026,26.19,26.59,25.91,25.95,272577.56,10421.0
ABCB4F,D1,16/03/2026,26.23,26.61,25.88,26.37,264894.93,10041.0
ABCB4F,D1,13/03/2026,26.44,26.44,25.71,25.77,301233.68,11572.0
ABCB4F,D1,12/03/2026,26.6,26.62,25.97,26.21,272800.37,10429.0
ABCB4F,D1,11/03/2026,26.76,27.09,26.44,26.6,259895.6,9725.0
ABCB4F,D1,10/03/2026,26.02,27.05,26.02,26.9,295808.1,11077.0
ABCB4F,D1,09/03/2026,25.85,26.17,25.53,26.06,374932.42,14563.0
ABCB4F,D1,06/03/2026,26.26,26.43,25.64,25.71,409314.75,15849.0
ABCB4F,D1,05/03/2026,26.73,26.77,25.96,26.0,333847.08,12745.0
ABCB4F,D1,04/03/2026,26.4,26.94,26.39,26.9,275935.52,10338.0
ABCB4F,D1,03/03/2026,26.85,26.85,25.77,26.28,557876.3,21296.0
ABCB4F,D1,02/03/2026,26.93,27.11,26.01,27.01,567926.41,21186.0
ABCB4F,D1,27/02/2026,27.94,27.98,27.15,27.15,370621.29,13531.0
ABCB4F,D1,26/02/2026,27.62,27.89,27.47,27.67,245646.57,8868.0
ABCB4F,D1,25/02/2026,28.04,28.25,27.59,27.81,298721.12,10736.0
ABCB4F,D1,24/02/2026,27.49,27.9,27.32,27.8,278211.05,10074.0
ABCB4F,D1,23/02/2026,27.72,27.72,27.14,27.15,357242.74,13016.0
ABCB4F,D1,20/02/2026,27.29,27.92,27.12,27.92,285372.02,10375.0
ABCB4F,D1,19/02/2026,26.95,27.38,26.85,27.22,301631.57,11118.0
ABCB4F,D1,18/02/2026,26.93,27.3,26.83,27.15,239698.12,8878.0
ABCB4F,D1,13/02/2026,27.25,27.25,26.38,26.97,383840.92,14360.0
ABCB4F,D1,12/02/2026,28.02,28.04,27.11,27.2,396197.65,14439.0
ABCB4F,D1,11/02/2026,28.39,28.66,28.02,28.17,358771.58,12713.0
ABCB4F,D1,10/02/2026,27.86,28.64,27.69,28.18,343589.2,12148.0
ABCB4F,D1,09/02/2026,27.17,27.88,26.96,27.71,332416.9,12099.0
ABCB4F,D1,06/02/2026,26.48,27.08,26.35,27.08,291557.57,10931.0
ABCB4F,D1,05/02/2026,26.72,27.01,26.41,26.73,276612.46,10309.0
ABCB4F,D1,04/02/2026,27.26,27.44,26.32,26.7,361243.04,13502.0
ABCB4F,D1,03/02/2026,27.2,27.58,27.13,27.38,328779.46,12016.0
ABCB4F,D1,02/02/2026,26.85,27.25,26.63,27.25,480869.61,17865.0
ABCB4F,D1,30/01/2026,26.6,27.24,26.47,26.76,333760.74,12409.0
ABCB4F,D1,29/01/2026,26.9,27.13,26.46,26.63,295773.05,11052.0
ABCB4F,D1,28/01/2026,26.59,26.9,26.44,26.88,309574.91,11594.0
ABCB4F,D1,27/01/2026,26.05,26.77,26.05,26.71,324294.81,12192.0
ABCB4F,D1,26/01/2026,25.89,26.13,25.45,25.88,307659.85,11913.0
ABCB4F,D1,23/01/2026,25.55,25.86,25.24,25.86,317051.62,12452.0
ABCB4F,D1,22/01/2026,25.0,25.6,24.86,25.6,423756.23,16722.0
ABCB4F,D1,21/01/2026,24.2,24.87,24.16,24.86,335685.71,13739.0
ABCB4F,D1,20/01/2026,24.06,24.13,23.67,24.13,260090.72,10874.0
ABCB4F,D1,19/01/2026,23.95,24.1,23.8,24.06,248619.0,10348.0
ABCB4F,D1,16/01/2026,24.28,24.28,23.8,23.92,381350.05,15930.0
ABCB4F,D1,15/01/2026,24.18,24.29,23.93,24.1,232681.28,9649.0
ABCB4F,D1,14/01/2026,24.15,24.2,23.93,24.2,217426.5,9034.0
ABCB4F,D1,13/01/2026,24.16,24.16,23.87,23.94,266527.23,11116.0
ABCB4F,D1,12/01/2026,23.92,24.08,23.82,24.08,296873.07,12400.0
ABCB4F,D1,09/01/2026,24.09,24.21,23.88,23.9,321145.94,13360.0
ABCB4F,D1,08/01/2026,24.02,24.18,23.85,24.16,247679.23,10304.0
ABCB4F,D1,07/01/2026,24.32,24.33,23.9,24.1,306988.11,12788.0
ABCB4F,D1,06/01/2026,24.45,24.45,24.01,24.25,345828.06,14293.0
ABCB4F,D1,05/01/2026,23.74,24.35,23.48,24.35,323909.34,13539.0
ABCB4F,D1,02/01/2026,23.97,23.97,23.56,23.75,403234.04,17002.0
ABCB4F,D1,30/12/2025,23.77,23.96,23.3,23.74,416252.78,17572.0
ABCB4F,D1,29/12/2025,25.41,25.64,25.14,25.2,641559.08,25363.0
ABCB4F,D1,26/12/2025,25.35,25.58,25.19,25.5,392643.56,15481.0
ABCB4F,D1,23/12/2025,25.05,25.38,24.85,25.35,343645.87,13688.0
ABCB4F,D1,22/12/2025,24.49,25.0,24.17,24.8,260834.03,10614.0
ABCB4F,D1,19/12/2025,24.87,25.02,24.64,24.8,214149.87,8605.0
ABCB4F,D1,18/12/2025,24.41,24.74,24.35,24.74,200302.5,8156.0
