symbol,timeframe,date,open,high,low,close,volume,quantity
ALPA4,H1,09/06/2026,12.55,12.56,12.48,12.56,5088652.0,406100.0
ALPA4,H1,09/06/2026,12.5,12.58,12.48,12.55,1002305.0,80000.0
ALPA4,H1,09/06/2026,12.48,12.57,12.47,12.51,1720655.0,137400.0
ALPA4,H1,09/06/2026,12.49,12.51,12.3,12.48,7244453.0,584800.0
ALPA4,H1,09/06/2026,12.6,12.63,12.45,12.5,2489135.0,198900.0
ALPA4,H1,09/06/2026,12.47,12.61,12.47,12.59,3906034.0,311200.0
ALPA4,H1,09/06/2026,12.13,12.56,12.13,12.47,3282680.0,264400.0
ALPA4,H1,08/06/2026,12.1,12.1,12.03,12.03,6043.0,500.0
ALPA4,H1,08/06/2026,12.05,12.14,12.03,12.1,2590059.0,214300.0
ALPA4,H1,08/06/2026,12.07,12.07,12.03,12.05,380915.0,31600.0
ALPA4,H1,08/06/2026,12.04,12.08,12.02,12.06,1897027.0,157400.0
ALPA4,H1,08/06/2026,12.08,12.09,12.01,12.04,500306.0,41500.0
ALPA4,H1,08/06/2026,12.16,12.21,12.06,12.09,1581223.0,130500.0
ALPA4,H1,08/06/2026,12.11,12.23,12.08,12.18,2798220.0,230600.0
ALPA4,H1,08/06/2026,12.01,12.2,11.79,12.12,1310841.0,108800.0
ALPA4,H1,05/06/2026,11.88,11.98,11.8,11.98,9494789.0,798800.0
ALPA4,H1,05/06/2026,11.87,11.94,11.82,11.9,1951544.0,164100.0
ALPA4,H1,05/06/2026,11.84,11.87,11.79,11.87,61018080.0,5169600.0
ALPA4,H1,05/06/2026,11.78,11.86,11.78,11.85,647596.0,54800.0
ALPA4,H1,05/06/2026,11.77,11.86,11.73,11.78,1718714.0,145800.0
ALPA4,H1,05/06/2026,11.63,11.88,11.61,11.78,2457452.0,208700.0
ALPA4,H1,05/06/2026,11.77,11.86,11.58,11.64,3047125.0,261400.0
ALPA4,H1,03/06/2026,11.86,11.91,11.82,11.82,2678974.0,226200.0
ALPA4,H1,03/06/2026,11.84,11.87,11.82,11.85,1467093.0,123800.0
ALPA4,H1,03/06/2026,11.75,11.87,11.69,11.86,2304555.0,195800.0
ALPA4,H1,03/06/2026,11.84,11.84,11.72,11.74,4336913.0,368600.0
ALPA4,H1,03/06/2026,11.97,11.98,11.79,11.82,3649168.0,308000.0
ALPA4,H1,03/06/2026,12.03,12.08,11.9,11.99,1990800.0,166000.0
ALPA4,H1,03/06/2026,12.08,12.11,11.93,12.03,2333017.0,194600.0
ALPA4,H1,02/06/2026,12.22,12.25,12.18,12.19,3597307.0,294900.0
ALPA4,H1,02/06/2026,12.2,12.3,12.2,12.22,2189129.0,178900.0
ALPA4,H1,02/06/2026,12.27,12.29,12.19,12.2,1080211.0,88300.0
ALPA4,H1,02/06/2026,12.28,12.33,12.25,12.28,1020764.0,83100.0
ALPA4,H1,02/06/2026,12.16,12.31,12.14,12.28,1731966.0,141400.0
ALPA4,H1,02/06/2026,12.08,12.22,12.01,12.16,1887250.0,155700.0
ALPA4,H1,02/06/2026,12.18,12.25,12.01,12.08,1478693.0,122200.0
ALPA4,H1,01/06/2026,12.15,12.17,12.04,12.16,33875.0,2800.0
ALPA4,H1,01/06/2026,12.19,12.2,12.08,12.15,4537179.0,373600.0
ALPA4,H1,01/06/2026,12.26,12.27,12.15,12.19,2226742.0,182600.0
ALPA4,H1,01/06/2026,12.23,12.26,12.12,12.26,5617062.0,460800.0
ALPA4,H1,01/06/2026,12.2,12.25,12.14,12.24,2217343.0,181900.0
ALPA4,H1,01/06/2026,12.17,12.3,12.16,12.22,2613940.0,213700.0
ALPA4,H1,01/06/2026,12.31,12.42,12.16,12.18,1840492.0,149900.0
ALPA4,H1,01/06/2026,12.44,12.57,12.21,12.32,1445594.0,117400.0
ALPA4,H1,29/05/2026,12.44,12.44,12.43,12.43,2487.0,200.0
ALPA4,H1,29/05/2026,12.28,12.4,12.26,12.4,10979907.0,886900.0
ALPA4,H1,29/05/2026,12.29,12.31,12.2,12.28,1906139.0,155500.0
ALPA4,H1,29/05/2026,12.3,12.35,12.29,12.29,1202551.0,97700.0
ALPA4,H1,29/05/2026,12.25,12.33,12.22,12.3,1707522.0,138900.0
ALPA4,H1,29/05/2026,12.27,12.39,12.24,12.25,1869618.0,151700.0
ALPA4,H1,29/05/2026,12.38,12.39,12.2,12.26,3332212.0,271300.0
ALPA4,H1,29/05/2026,12.62,12.65,12.34,12.37,1292602.0,104000.0
ALPA4,H1,28/05/2026,12.57,12.57,12.57,12.57,8799.0,700.0
ALPA4,H1,28/05/2026,12.65,12.66,12.56,12.61,5346076.0,424000.0
ALPA4,H1,28/05/2026,12.62,12.67,12.6,12.66,726131.0,57500.0
ALPA4,H1,28/05/2026,12.62,12.64,12.59,12.62,427839.0,33900.0
ALPA4,H1,28/05/2026,12.62,12.69,12.61,12.63,881581.0,69700.0
ALPA4,H1,28/05/2026,12.78,12.79,12.62,12.62,1433971.0,112800.0
ALPA4,H1,28/05/2026,12.69,12.92,12.69,12.77,2186852.0,170800.0
ALPA4,H1,28/05/2026,12.54,12.75,12.48,12.7,1081511.0,85500.0
ALPA4,H1,27/05/2026,12.64,12.65,12.64,12.65,2529.0,200.0
ALPA4,H1,27/05/2026,12.65,12.7,12.64,12.65,2791551.0,220500.0
ALPA4,H1,27/05/2026,12.65,12.67,12.62,12.66,850884.0,67300.0
ALPA4,H1,27/05/2026,12.68,12.68,12.55,12.64,1031599.0,81800.0
ALPA4,H1,27/05/2026,12.73,12.73,12.66,12.67,847742.0,66800.0
ALPA4,H1,27/05/2026,12.81,12.92,12.71,12.72,2944324.0,229500.0
ALPA4,H1,27/05/2026,12.67,12.86,12.63,12.83,2336768.0,183700.0
ALPA4,H1,27/05/2026,12.6,12.84,12.58,12.67,1961908.0,154300.0
ALPA4,H1,26/05/2026,12.65,12.65,12.58,12.6,20208.0,1600.0
ALPA4,H1,26/05/2026,12.51,12.65,12.5,12.64,4882678.0,387900.0
ALPA4,H1,26/05/2026,12.51,12.53,12.49,12.51,1667667.0,133300.0
ALPA4,H1,26/05/2026,12.47,12.58,12.42,12.5,4094118.0,327900.0
ALPA4,H1,26/05/2026,12.52,12.52,12.45,12.47,1737818.0,139200.0
ALPA4,H1,26/05/2026,12.54,12.58,12.51,12.52,1076067.0,85800.0
ALPA4,H1,26/05/2026,12.5,12.56,12.47,12.54,695095.0,55500.0
ALPA4,H1,26/05/2026,12.47,12.63,12.43,12.5,1078043.0,86100.0
ALPA4,H1,25/05/2026,12.59,12.61,12.53,12.55,3319964.0,264300.0
ALPA4,H1,25/05/2026,12.53,12.61,12.49,12.59,1381718.0,110000.0
ALPA4,H1,25/05/2026,12.46,12.58,12.45,12.53,2057342.0,164100.0
ALPA4,H1,25/05/2026,12.49,12.5,12.43,12.46,724000.0,58100.0
ALPA4,H1,25/05/2026,12.55,12.61,12.49,12.49,1030074.0,82100.0
ALPA4,H1,25/05/2026,12.46,12.67,12.43,12.55,2914746.0,232300.0
ALPA4,H1,25/05/2026,12.43,12.53,12.3,12.47,2505438.0,201100.0
