symbol,timeframe,date,open,high,low,close,volume,quantity
BOVAR170,D1,09/06/2026,3.49,4.57,3.07,3.74,2123828.14,568627.0
BOVAR170,D1,08/06/2026,4.28,4.85,3.85,4.57,3149115.54,712594.0
BOVAR170,D1,05/06/2026,3.85,4.35,3.45,4.22,4778246.14,1192713.0
BOVAR170,D1,03/06/2026,2.89,3.88,2.58,3.75,4153922.15,1258201.0
BOVAR170,D1,02/06/2026,2.44,2.44,1.54,1.69,2757047.81,1467224.0
BOVAR170,D1,01/06/2026,2.0,2.96,1.82,2.62,3446507.76,1325210.0
BOVAR170,D1,29/05/2026,1.85,2.67,1.81,1.96,2670814.78,1155538.0
BOVAR170,D1,28/05/2026,1.6,2.1,1.41,1.75,992445.99,589424.0
BOVAR170,D1,27/05/2026,1.29,1.81,1.1,1.6,1288516.57,910659.0
BOVAR170,D1,26/05/2026,1.36,1.97,1.3,1.53,956960.61,572778.0
BOVAR170,D1,25/05/2026,1.44,1.55,1.23,1.28,1049633.36,744916.0
BOVAR170,D1,22/05/2026,1.7,2.23,1.65,1.81,1527832.42,801832.0
BOVAR170,D1,21/05/2026,1.81,2.0,1.27,1.41,2732045.78,1723796.0
BOVAR170,D1,20/05/2026,2.29,2.29,1.34,1.45,2599952.22,1536314.0
BOVAR170,D1,19/05/2026,2.52,3.04,2.17,2.68,4530090.11,1821628.0
BOVAR170,D1,18/05/2026,2.1,2.27,1.68,1.68,3892225.97,2009360.0
BOVAR170,D1,15/05/2026,2.45,2.72,1.85,1.86,1816269.73,828431.0
BOVAR170,D1,14/05/2026,2.06,2.06,1.52,1.73,1877134.88,1098045.0
BOVAR170,D1,13/05/2026,1.34,2.36,1.27,2.2,2715528.38,1619407.0
BOVAR170,D1,12/05/2026,1.22,1.45,1.11,1.24,702714.9,535102.0
BOVAR170,D1,11/05/2026,0.82,1.14,0.75,1.0,1299657.04,1276744.0
BOVAR170,D1,08/05/2026,0.6,1.0,0.6,0.79,245862.77,332014.0
BOVAR170,D1,07/05/2026,0.59,1.11,0.59,1.05,534651.49,593883.0
BOVAR170,D1,06/05/2026,0.5,0.58,0.42,0.46,134681.17,261425.0
BOVAR170,D1,05/05/2026,0.75,0.75,0.56,0.6,65124.56,105097.0
BOVAR170,D1,04/05/2026,0.69,0.85,0.63,0.79,190018.05,242778.0
BOVAR170,D1,30/04/2026,1.0,1.0,0.63,0.63,214788.47,305262.0
BOVAR170,D1,29/04/2026,0.78,1.1,0.78,1.09,364901.14,379276.0
BOVAR170,D1,28/04/2026,0.75,0.86,0.69,0.69,111448.91,137732.0
BOVAR170,D1,27/04/2026,0.62,0.67,0.59,0.65,71272.58,113592.0
BOVAR170,D1,24/04/2026,0.65,0.73,0.62,0.68,153849.45,223374.0
BOVAR170,D1,23/04/2026,0.52,0.65,0.49,0.64,139710.19,246078.0
BOVAR170,D1,22/04/2026,0.45,0.53,0.41,0.51,58293.28,121893.0
BOVAR170,D1,20/04/2026,0.49,0.49,0.41,0.42,52720.83,120630.0
BOVAR170,D1,17/04/2026,0.53,0.53,0.46,0.5,12032.3,24453.0
BOVAR170,D1,16/04/2026,0.54,0.6,0.53,0.57,1748.51,3062.0
BOVAR170,D1,15/04/2026,0.54,0.7,0.54,0.67,11299.85,18208.0
BOVAR170,D1,14/04/2026,0.65,0.8,0.57,0.59,17004.65,26616.0
BOVAR170,D1,13/04/2026,0.73,0.8,0.67,0.67,28392.95,37769.0
BOVAR170,D1,10/04/2026,0.74,0.84,0.66,0.71,14863.4,19200.0
BOVAR170,D1,09/04/2026,1.0,1.0,0.7,0.7,7161.7,7910.0
BOVAR170,D1,08/04/2026,1.0,1.65,1.0,1.2,35705.63,31959.0
BOVAR170,D1,07/04/2026,3.8,3.8,2.16,2.36,18304.14,6375.0
BOVAR170,D1,06/04/2026,1.85,1.86,1.8,1.85,10110.86,5601.0
BOVAR170,D1,02/04/2026,3.0,3.0,2.06,2.1,8649.9,3414.0
BOVAR170,D1,01/04/2026,2.27,2.27,1.95,1.95,5837.0,2800.0
BOVAR170,D1,31/03/2026,2.8,3.0,2.19,2.39,15504.92,5653.0
BOVAR170,D1,30/03/2026,3.44,3.76,3.08,3.76,57158.78,16452.0
BOVAR170,D1,27/03/2026,3.8,5.33,3.8,4.8,4058.3,1010.0
BOVAR170,D1,26/03/2026,3.0,3.07,2.99,3.0,12094.01,3998.0
BOVAR170,D1,25/03/2026,2.8,2.95,2.65,2.65,7806.0,2750.0
BOVAR170,D1,24/03/2026,3.75,3.76,3.2,3.27,30924.58,8852.0
BOVAR170,D1,23/03/2026,3.53,3.53,3.15,3.19,6518.38,1916.0
BOVAR170,D1,20/03/2026,4.0,5.0,4.0,5.0,23805.0,5010.0
BOVAR170,D1,19/03/2026,4.35,4.51,3.5,3.5,12655.89,3148.0
BOVAR170,D1,18/03/2026,3.8,3.8,3.43,3.55,11390.43,3203.0
BOVAR170,D1,17/03/2026,3.23,3.63,3.23,3.63,19303.59,5783.0
BOVAR170,D1,16/03/2026,2.92,4.04,2.92,3.8,2850.26,770.0
