symbol,timeframe,date,open,high,low,close,volume,quantity
BPML11,D1,09/06/2026,89.99,90.0,89.36,90.0,699620.86,7789.0
BPML11,D1,08/06/2026,90.0,90.0,88.5,89.99,495152.9,5563.0
BPML11,D1,05/06/2026,89.49,90.0,88.08,90.0,808002.75,9085.0
BPML11,D1,03/06/2026,90.0,90.0,88.6,89.25,1206347.37,13488.0
BPML11,D1,02/06/2026,90.0,90.0,87.42,89.9,969429.52,10920.0
BPML11,D1,01/06/2026,88.0,89.68,87.21,89.2,2329047.83,26245.0
BPML11,D1,29/05/2026,87.0,88.0,86.5,88.0,700681.11,8011.0
BPML11,D1,28/05/2026,84.51,87.3,84.5,87.19,2267404.17,26465.0
BPML11,D1,27/05/2026,86.76,86.83,83.95,84.23,3125666.09,36833.0
BPML11,D1,26/05/2026,87.79,87.8,85.55,85.9,2390369.0,27709.0
BPML11,D1,25/05/2026,87.98,87.98,85.71,87.62,1563768.63,18066.0
BPML11,D1,22/05/2026,87.99,87.99,86.01,87.17,1316240.36,15156.0
BPML11,D1,21/05/2026,85.5,87.98,85.5,87.98,1681670.12,19375.0
BPML11,D1,20/05/2026,86.5,86.5,85.14,86.5,1487670.57,17329.0
BPML11,D1,19/05/2026,89.0,89.0,85.12,85.61,3600511.81,41849.0
BPML11,D1,18/05/2026,90.1,90.1,87.93,88.74,1548117.11,17442.0
BPML11,D1,15/05/2026,89.3,89.57,87.47,89.26,1634956.0,18473.0
BPML11,D1,14/05/2026,88.19,89.37,86.29,89.37,2515524.51,28821.0
BPML11,D1,13/05/2026,91.99,91.99,87.14,87.84,3844424.32,43111.0
BPML11,D1,12/05/2026,92.04,92.05,90.56,92.0,1108845.44,12183.0
BPML11,D1,11/05/2026,92.05,92.05,90.89,92.04,959983.08,10501.0
BPML11,D1,08/05/2026,91.87,92.05,91.57,92.05,239434.02,2609.0
BPML11,D1,07/05/2026,92.05,92.05,91.14,91.85,785487.88,8578.0
BPML11,D1,06/05/2026,92.05,92.05,91.39,92.05,736464.14,8011.0
BPML11,D1,05/05/2026,92.0,92.05,90.12,92.05,2389563.22,26246.0
BPML11,D1,04/05/2026,92.04,92.05,91.55,92.0,594261.11,6474.0
BPML11,D1,30/04/2026,92.01,92.05,91.65,92.04,2409724.01,26237.0
BPML11,D1,29/04/2026,94.02,94.02,91.3,91.65,3892087.46,42373.0
BPML11,D1,28/04/2026,93.78,94.02,93.04,93.93,780680.38,8348.0
BPML11,D1,27/04/2026,94.03,94.03,93.05,93.96,894695.68,9572.0
BPML11,D1,24/04/2026,93.95,93.98,93.33,93.98,804677.31,8589.0
BPML11,D1,23/04/2026,93.97,93.97,93.04,93.63,1017647.36,10892.0
BPML11,D1,22/04/2026,93.88,94.02,92.98,93.53,645073.93,6917.0
BPML11,D1,20/04/2026,93.28,94.01,92.98,93.9,593410.99,6360.0
