symbol,timeframe,date,open,high,low,close,volume,quantity
CMIG4F,D1,09/06/2026,10.81,10.93,10.77,10.87,1160366.55,106973.0
CMIG4F,D1,08/06/2026,10.9,10.94,10.71,10.74,2125589.68,196816.0
CMIG4F,D1,05/06/2026,10.97,10.97,10.8,10.88,1622559.38,149184.0
CMIG4F,D1,03/06/2026,10.99,11.02,10.73,10.81,1882744.93,173130.0
CMIG4F,D1,02/06/2026,10.85,11.1,10.79,11.01,1392482.62,127062.0
CMIG4F,D1,01/06/2026,11.12,11.12,10.68,10.79,3071984.31,284132.0
CMIG4F,D1,29/05/2026,11.11,11.13,10.94,11.05,1767833.84,160180.0
CMIG4F,D1,28/05/2026,11.25,11.25,11.04,11.08,1345743.13,121013.0
CMIG4F,D1,27/05/2026,11.31,11.35,11.14,11.18,1124701.69,100312.0
CMIG4F,D1,26/05/2026,11.29,11.3,11.16,11.2,1064894.94,95013.0
CMIG4F,D1,25/05/2026,11.34,11.34,11.24,11.27,958022.85,84895.0
CMIG4F,D1,22/05/2026,11.37,11.38,11.1,11.2,1208820.91,107695.0
CMIG4F,D1,21/05/2026,11.55,11.59,11.29,11.38,936492.98,82178.0
CMIG4F,D1,20/05/2026,11.36,11.68,11.36,11.54,813586.84,70528.0
CMIG4F,D1,19/05/2026,11.48,11.5,11.29,11.33,870677.6,76520.0
CMIG4F,D1,18/05/2026,11.33,11.56,11.21,11.56,1089118.11,95995.0
CMIG4F,D1,15/05/2026,11.3,11.37,11.14,11.31,1270108.33,112858.0
CMIG4F,D1,14/05/2026,11.39,11.42,11.27,11.28,1310860.39,115571.0
CMIG4F,D1,13/05/2026,11.43,11.47,11.22,11.27,1373092.32,121028.0
CMIG4F,D1,12/05/2026,11.82,11.82,11.37,11.5,1296982.69,112567.0
CMIG4F,D1,11/05/2026,11.84,11.88,11.56,11.79,1407273.24,120453.0
CMIG4F,D1,08/05/2026,11.78,11.96,11.7,11.82,1096324.54,92545.0
CMIG4F,D1,07/05/2026,12.01,12.02,11.69,11.76,1510560.96,128118.0
CMIG4F,D1,06/05/2026,12.16,12.23,11.93,12.02,1235300.92,102666.0
CMIG4F,D1,05/05/2026,12.18,12.29,12.06,12.13,991553.43,81594.0
CMIG4F,D1,04/05/2026,12.4,12.41,12.15,12.23,1346653.49,109698.0
CMIG4F,D1,30/04/2026,12.31,12.43,12.18,12.39,817986.84,66212.0
CMIG4F,D1,29/04/2026,12.55,12.56,12.11,12.14,1025947.2,83514.0
CMIG4F,D1,28/04/2026,12.56,12.56,12.36,12.49,742869.4,59535.0
CMIG4F,D1,27/04/2026,12.84,12.84,12.52,12.58,1030678.73,81182.0
CMIG4F,D1,24/04/2026,13.08,13.1,12.74,12.78,904036.79,70074.0
CMIG4F,D1,23/04/2026,13.17,13.21,13.04,13.09,701136.81,53441.0
CMIG4F,D1,22/04/2026,13.47,13.48,13.09,13.15,934761.08,70512.0
CMIG4F,D1,20/04/2026,13.4,13.55,13.34,13.49,771125.77,57297.0
CMIG4F,D1,17/04/2026,13.33,13.43,13.19,13.43,687253.22,51609.0
CMIG4F,D1,16/04/2026,13.37,13.37,13.12,13.23,819371.52,61939.0
CMIG4F,D1,15/04/2026,13.39,13.44,13.13,13.35,840315.59,63214.0
CMIG4F,D1,14/04/2026,13.59,13.63,13.3,13.4,839597.53,62482.0
CMIG4F,D1,13/04/2026,13.52,13.59,13.25,13.52,1161099.68,86622.0
CMIG4F,D1,10/04/2026,13.29,13.54,13.27,13.54,849109.41,63253.0
CMIG4F,D1,09/04/2026,13.07,13.41,13.06,13.32,888117.54,66934.0
CMIG4F,D1,08/04/2026,12.84,13.13,12.84,13.08,943406.2,72638.0
CMIG4F,D1,07/04/2026,12.57,12.65,12.44,12.6,805662.32,64110.0
CMIG4F,D1,06/04/2026,12.61,12.71,12.51,12.61,924626.11,73328.0
CMIG4F,D1,02/04/2026,12.33,12.64,12.19,12.55,789225.41,63255.0
CMIG4F,D1,01/04/2026,12.37,12.48,12.27,12.39,856657.36,69260.0
CMIG4F,D1,31/03/2026,12.16,12.43,12.09,12.43,730150.45,59619.0
CMIG4F,D1,30/03/2026,12.13,12.25,12.02,12.07,730160.05,60270.0
CMIG4F,D1,27/03/2026,12.09,12.25,12.0,12.07,502910.43,41435.0
CMIG4F,D1,26/03/2026,12.23,12.29,12.05,12.13,608395.37,50027.0
CMIG4F,D1,25/03/2026,12.12,12.38,12.05,12.27,711743.11,58109.0
CMIG4F,D1,24/03/2026,12.06,12.12,11.82,11.91,909067.21,76128.0
CMIG4F,D1,23/03/2026,11.95,12.14,11.92,12.11,929750.15,77149.0
CMIG4F,D1,20/03/2026,11.78,12.18,11.64,11.78,1179732.72,98618.0
CMIG4F,D1,19/03/2026,11.35,11.84,11.23,11.72,730253.56,63417.0
CMIG4F,D1,18/03/2026,11.52,11.66,11.43,11.45,639910.96,55549.0
CMIG4F,D1,17/03/2026,11.58,11.7,11.49,11.57,626312.08,54117.0
CMIG4F,D1,16/03/2026,11.4,11.6,11.35,11.5,804603.47,69840.0
CMIG4F,D1,13/03/2026,11.36,11.57,11.31,11.35,726284.92,63403.0
CMIG4F,D1,12/03/2026,11.39,11.4,11.23,11.3,854723.31,75549.0
CMIG4F,D1,11/03/2026,11.49,11.69,11.39,11.44,848713.09,73905.0
CMIG4F,D1,10/03/2026,11.36,11.58,11.28,11.49,704491.79,61612.0
CMIG4F,D1,09/03/2026,11.19,11.44,11.11,11.31,940341.32,83838.0
CMIG4F,D1,06/03/2026,11.17,11.25,11.02,11.17,1022602.86,91704.0
CMIG4F,D1,05/03/2026,11.41,11.41,11.12,11.22,1253181.7,111547.0
CMIG4F,D1,04/03/2026,11.26,11.47,11.21,11.42,920004.72,81089.0
CMIG4F,D1,03/03/2026,11.44,11.47,10.96,11.16,1922622.62,172829.0
CMIG4F,D1,02/03/2026,11.71,11.71,11.46,11.52,1534498.0,132694.0
CMIG4F,D1,27/02/2026,11.88,11.92,11.66,11.79,900399.32,76555.0
CMIG4F,D1,26/02/2026,11.94,12.02,11.74,11.85,694529.16,58501.0
CMIG4F,D1,25/02/2026,11.8,12.02,11.69,11.88,749941.91,63325.0
CMIG4F,D1,24/02/2026,11.49,11.79,11.48,11.77,682426.27,58478.0
CMIG4F,D1,23/02/2026,11.63,11.67,11.4,11.47,1088808.87,94527.0
CMIG4F,D1,20/02/2026,11.47,11.62,11.25,11.58,924244.46,80906.0
CMIG4F,D1,19/02/2026,11.28,11.47,11.25,11.47,781287.1,68874.0
CMIG4F,D1,18/02/2026,11.36,11.39,11.19,11.31,930762.48,82634.0
CMIG4F,D1,13/02/2026,11.47,11.48,11.14,11.33,864185.9,76626.0
CMIG4F,D1,12/02/2026,11.54,11.54,11.36,11.49,713615.3,62320.0
CMIG4F,D1,11/02/2026,11.11,11.57,11.06,11.57,848050.62,74527.0
CMIG4F,D1,10/02/2026,11.04,11.11,10.93,11.1,937065.69,85262.0
CMIG4F,D1,09/02/2026,10.99,11.04,10.85,11.0,1130989.74,103234.0
CMIG4F,D1,06/02/2026,11.17,11.18,10.93,10.97,1050851.47,95207.0
CMIG4F,D1,05/02/2026,11.17,11.29,11.09,11.19,790944.78,70652.0
CMIG4F,D1,04/02/2026,11.44,11.44,11.06,11.18,1002950.57,89250.0
CMIG4F,D1,03/02/2026,11.3,11.48,11.21,11.44,879830.08,77481.0
CMIG4F,D1,02/02/2026,11.16,11.24,11.08,11.21,1197742.98,107161.0
CMIG4F,D1,30/01/2026,11.12,11.17,11.01,11.11,1016999.82,91699.0
CMIG4F,D1,29/01/2026,11.22,11.26,10.95,11.13,985608.87,88982.0
CMIG4F,D1,28/01/2026,11.27,11.34,11.04,11.19,1142290.19,102062.0
CMIG4F,D1,27/01/2026,11.15,11.31,11.04,11.29,885647.59,79014.0
CMIG4F,D1,26/01/2026,11.31,11.35,10.99,11.04,1200756.03,108083.0
CMIG4F,D1,23/01/2026,11.09,11.36,10.96,11.35,940726.33,84610.0
CMIG4F,D1,22/01/2026,10.81,11.14,10.78,11.11,978201.14,89075.0
CMIG4F,D1,21/01/2026,10.55,10.77,10.5,10.76,863416.99,81310.0
CMIG4F,D1,20/01/2026,10.53,10.58,10.34,10.49,1082883.33,103969.0
CMIG4F,D1,19/01/2026,10.43,10.47,10.39,10.44,1095872.52,105134.0
CMIG4F,D1,16/01/2026,10.47,10.49,10.37,10.43,1240373.08,119029.0
CMIG4F,D1,15/01/2026,10.43,10.51,10.38,10.47,1300908.8,124584.0
CMIG4F,D1,14/01/2026,10.45,10.45,10.26,10.4,1633727.71,157979.0
CMIG4F,D1,13/01/2026,10.55,10.57,10.29,10.37,2303319.52,221532.0
CMIG4F,D1,12/01/2026,10.63,10.65,10.53,10.53,1359194.04,128486.0
CMIG4F,D1,09/01/2026,10.61,10.72,10.56,10.64,924663.47,86986.0
CMIG4F,D1,08/01/2026,10.68,10.72,10.52,10.62,1482447.01,139717.0
CMIG4F,D1,07/01/2026,10.74,10.74,10.61,10.66,1290380.61,121018.0
CMIG4F,D1,06/01/2026,10.87,10.95,10.69,10.76,1135680.08,105090.0
CMIG4F,D1,05/01/2026,10.83,10.91,10.8,10.82,1135004.74,104598.0
CMIG4F,D1,02/01/2026,10.87,10.91,10.78,10.85,1319506.29,121589.0
CMIG4F,D1,30/12/2025,10.84,10.93,10.78,10.86,1587194.14,145962.0
CMIG4F,D1,29/12/2025,10.75,10.77,10.65,10.77,1140382.99,106631.0
CMIG4F,D1,26/12/2025,10.68,10.84,10.63,10.84,1011508.47,94618.0
CMIG4F,D1,23/12/2025,10.43,10.66,10.38,10.58,956801.8,90921.0
CMIG4F,D1,22/12/2025,10.48,10.49,10.31,10.36,1441698.69,139040.0
CMIG4F,D1,19/12/2025,10.37,10.39,10.3,10.36,1248691.85,120737.0
CMIG4F,D1,18/12/2025,10.28,10.36,10.21,10.29,961709.25,93476.0
CMIG4F,D1,17/12/2025,10.3,10.34,10.12,10.28,1115085.54,109171.0
CMIG4F,D1,16/12/2025,10.51,10.58,10.26,10.36,1064260.78,102909.0
CMIG4F,D1,15/12/2025,10.49,10.62,10.45,10.53,915318.64,86978.0
CMIG4F,D1,12/12/2025,10.3,10.5,10.28,10.42,683688.34,65638.0
CMIG4F,D1,11/12/2025,10.31,10.34,10.2,10.26,952817.84,92713.0
CMIG4F,D1,10/12/2025,10.46,10.47,10.25,10.31,1034612.64,100423.0
CMIG4F,D1,09/12/2025,10.41,10.52,10.24,10.36,915584.22,88118.0
CMIG4F,D1,08/12/2025,10.52,10.56,10.39,10.42,1091563.03,104254.0
CMIG4F,D1,05/12/2025,10.79,10.83,10.57,10.58,510082.26,47645.0
CMIG4F,D1,04/12/2025,10.65,10.79,10.56,10.72,660062.62,61709.0
CMIG4F,D1,03/12/2025,10.67,10.69,10.53,10.56,720999.88,68075.0
CMIG4F,D1,02/12/2025,10.55,10.76,10.5,10.63,794297.33,74698.0
CMIG4F,D1,01/12/2025,10.9,10.9,10.49,10.55,1194680.49,112739.0
CMIG4F,D1,28/11/2025,10.8,10.81,10.66,10.81,823086.37,76701.0
CMIG4F,D1,27/11/2025,10.77,10.77,10.67,10.76,576172.2,53749.0
CMIG4F,D1,26/11/2025,10.57,10.79,10.53,10.67,589349.86,55047.0
CMIG4F,D1,25/11/2025,10.5,10.6,10.46,10.6,609937.24,57929.0
CMIG4F,D1,24/11/2025,10.32,10.48,10.22,10.48,956928.63,92457.0
CMIG4F,D1,21/11/2025,10.42,10.51,10.32,10.33,886013.81,85252.0
CMIG4F,D1,19/11/2025,10.73,10.73,10.4,10.41,925089.39,88065.0
CMIG4F,D1,18/11/2025,10.79,10.8,10.64,10.79,559449.32,52175.0
CMIG4F,D1,17/11/2025,10.64,10.81,10.55,10.79,812763.86,75822.0
CMIG4F,D1,14/11/2025,10.95,10.95,10.5,10.62,1445413.47,135364.0
CMIG4F,D1,13/11/2025,11.25,11.36,11.05,11.05,649552.29,58212.0
CMIG4F,D1,12/11/2025,11.37,11.45,11.24,11.33,617628.36,54597.0
CMIG4F,D1,11/11/2025,11.01,11.41,10.98,11.41,772608.99,68608.0
CMIG4F,D1,10/11/2025,10.94,11.02,10.84,11.01,735299.6,67268.0
CMIG4F,D1,07/11/2025,10.98,11.01,10.81,10.85,624662.87,57289.0
CMIG4F,D1,06/11/2025,11.07,11.16,10.93,10.93,671588.64,60857.0
CMIG4F,D1,05/11/2025,10.81,11.08,10.79,11.08,627185.29,57358.0
CMIG4F,D1,04/11/2025,10.72,10.87,10.69,10.86,619567.76,57431.0
CMIG4F,D1,03/11/2025,10.62,10.77,10.58,10.76,834459.36,78179.0
CMIG4F,D1,31/10/2025,10.55,10.64,10.49,10.55,536560.72,50853.0
CMIG4F,D1,30/10/2025,10.43,10.53,10.33,10.53,444181.18,42434.0
CMIG4F,D1,29/10/2025,10.38,10.47,10.36,10.39,478724.69,45918.0
CMIG4F,D1,28/10/2025,10.24,10.36,10.15,10.36,550340.89,53612.0
CMIG4F,D1,27/10/2025,10.12,10.21,10.01,10.16,721795.62,71167.0
CMIG4F,D1,24/10/2025,10.13,10.25,9.98,10.12,750342.59,74598.0
CMIG4F,D1,23/10/2025,10.15,10.16,10.03,10.14,497297.76,49340.0
CMIG4F,D1,22/10/2025,10.07,10.12,10.04,10.11,525494.44,52174.0
CMIG4F,D1,21/10/2025,10.2,10.25,10.05,10.16,656082.7,64843.0
CMIG4F,D1,20/10/2025,10.14,10.37,10.12,10.22,639764.6,62430.0
CMIG4F,D1,17/10/2025,10.06,10.19,9.98,10.11,505684.68,49988.0
CMIG4F,D1,16/10/2025,10.03,10.06,9.9,10.03,606479.45,60637.0
CMIG4F,D1,15/10/2025,10.05,10.12,9.96,10.01,740473.38,73927.0
CMIG4F,D1,14/10/2025,10.02,10.14,9.99,10.04,617878.72,61291.0
CMIG4F,D1,13/10/2025,9.91,10.07,9.9,10.02,757339.71,75549.0
CMIG4F,D1,10/10/2025,9.95,9.99,9.85,9.93,779195.04,78611.0
CMIG4F,D1,09/10/2025,10.02,10.07,9.79,9.89,1186732.97,120164.0
CMIG4F,D1,08/10/2025,10.07,10.12,9.95,10.01,885712.15,88430.0
CMIG4F,D1,07/10/2025,10.15,10.22,10.0,10.0,1234853.91,122792.0
CMIG4F,D1,06/10/2025,10.25,10.25,10.13,10.16,961283.34,94483.0
CMIG4F,D1,03/10/2025,10.22,10.24,10.1,10.2,807380.71,79299.0
CMIG4F,D1,02/10/2025,10.17,10.21,10.03,10.16,1055641.31,104333.0
CMIG4F,D1,01/10/2025,10.49,10.49,10.08,10.15,1723734.8,168907.0
CMIG4F,D1,30/09/2025,10.55,10.56,10.38,10.39,758731.76,72544.0
CMIG4F,D1,29/09/2025,10.65,10.66,10.5,10.58,854519.46,80692.0
CMIG4F,D1,26/09/2025,10.56,10.57,10.44,10.55,675063.65,64284.0
CMIG4F,D1,25/09/2025,10.77,10.77,10.45,10.5,901198.31,85459.0
CMIG4F,D1,24/09/2025,10.76,10.76,10.66,10.76,644657.15,60157.0
CMIG4F,D1,23/09/2025,10.62,10.74,10.55,10.7,594127.84,55682.0
CMIG4F,D1,22/09/2025,10.64,10.67,10.44,10.57,798725.27,75959.0
CMIG4F,D1,19/09/2025,10.65,10.69,10.57,10.57,542928.58,51063.0
CMIG4F,D1,18/09/2025,10.71,10.74,10.59,10.63,590192.43,55396.0
CMIG4F,D1,17/09/2025,10.5,10.68,10.44,10.67,665091.09,62733.0
