symbol,timeframe,date,open,high,low,close,volume,quantity
CRAA11,D1,09/06/2026,99.9,99.9,98.82,99.09,460514.53,4648.0
CRAA11,D1,08/06/2026,100.9,101.4,100.62,100.67,553335.02,5475.0
CRAA11,D1,05/06/2026,100.56,100.99,100.07,100.6,302993.83,3015.0
CRAA11,D1,03/06/2026,99.69,100.56,99.69,100.56,573380.1,5737.0
CRAA11,D1,02/06/2026,99.65,99.9,99.45,99.9,285925.82,2867.0
CRAA11,D1,01/06/2026,99.26,99.49,99.01,99.45,376599.28,3790.0
CRAA11,D1,29/05/2026,98.78,99.27,98.78,99.16,236595.21,2386.0
CRAA11,D1,28/05/2026,98.77,99.11,98.67,98.78,321238.81,3252.0
CRAA11,D1,27/05/2026,99.05,99.45,98.7,98.75,524722.07,5307.0
CRAA11,D1,26/05/2026,99.94,99.94,99.01,99.05,546052.13,5497.0
CRAA11,D1,25/05/2026,100.0,100.05,99.04,99.47,740122.05,7433.0
CRAA11,D1,22/05/2026,99.1,99.92,98.92,99.92,297668.53,2990.0
CRAA11,D1,21/05/2026,99.5,99.5,98.99,99.19,443968.12,4477.0
CRAA11,D1,20/05/2026,100.0,100.0,99.18,99.5,766847.52,7710.0
CRAA11,D1,19/05/2026,100.4,100.4,99.85,100.0,363836.55,3640.0
CRAA11,D1,18/05/2026,100.7,100.7,99.91,99.91,627403.05,6254.0
CRAA11,D1,15/05/2026,100.86,101.0,100.62,100.7,342735.23,3400.0
CRAA11,D1,14/05/2026,100.5,100.99,100.01,100.85,512794.83,5102.0
CRAA11,D1,13/05/2026,100.1,100.59,99.51,100.51,896532.39,8954.0
CRAA11,D1,12/05/2026,100.84,100.84,100.02,100.02,605562.9,6033.0
CRAA11,D1,11/05/2026,101.5,101.5,100.03,100.35,1044244.06,10369.0
CRAA11,D1,08/05/2026,102.49,102.92,102.27,102.86,640312.86,6247.0
CRAA11,D1,07/05/2026,101.98,102.41,101.84,102.41,654530.58,6414.0
CRAA11,D1,06/05/2026,101.63,101.81,101.5,101.78,356817.14,3509.0
CRAA11,D1,05/05/2026,101.98,101.98,101.12,101.2,808896.78,7971.0
CRAA11,D1,04/05/2026,101.39,101.97,101.26,101.97,772753.83,7601.0
