symbol,timeframe,date,open,high,low,close,volume,quantity
CSAN3,H1,09/06/2026,3.41,3.43,3.37,3.4,37637765.0,11084900.0
CSAN3,H1,09/06/2026,3.39,3.44,3.38,3.41,13210252.0,3871600.0
CSAN3,H1,09/06/2026,3.36,3.41,3.35,3.38,16781313.0,4962200.0
CSAN3,H1,09/06/2026,3.36,3.4,3.33,3.35,19884300.0,5910300.0
CSAN3,H1,09/06/2026,3.41,3.42,3.35,3.35,21062558.0,6233500.0
CSAN3,H1,09/06/2026,3.46,3.49,3.38,3.4,32959138.0,9616800.0
CSAN3,H1,09/06/2026,3.48,3.51,3.46,3.46,13333646.0,3827800.0
CSAN3,H1,08/06/2026,3.43,3.45,3.42,3.43,963399.0,280500.0
CSAN3,H1,08/06/2026,3.44,3.46,3.43,3.43,27366715.0,7947600.0
CSAN3,H1,08/06/2026,3.43,3.46,3.42,3.44,16508630.0,4790700.0
CSAN3,H1,08/06/2026,3.46,3.46,3.42,3.42,24648500.0,7172600.0
CSAN3,H1,08/06/2026,3.55,3.55,3.44,3.45,24354832.0,6965800.0
CSAN3,H1,08/06/2026,3.58,3.59,3.54,3.55,11245851.0,3150700.0
CSAN3,H1,08/06/2026,3.53,3.6,3.51,3.58,31501605.0,8877500.0
CSAN3,H1,08/06/2026,3.54,3.59,3.48,3.52,21390549.0,6069200.0
CSAN3,H1,05/06/2026,3.6,3.6,3.58,3.58,74204.0,20700.0
CSAN3,H1,05/06/2026,3.61,3.61,3.59,3.59,40750725.0,11329300.0
CSAN3,H1,05/06/2026,3.6,3.64,3.6,3.6,16519269.0,4566600.0
CSAN3,H1,05/06/2026,3.56,3.62,3.55,3.6,18321625.0,5102200.0
CSAN3,H1,05/06/2026,3.5,3.57,3.49,3.56,18490500.0,5230600.0
CSAN3,H1,05/06/2026,3.53,3.54,3.47,3.5,12613615.0,3598700.0
CSAN3,H1,05/06/2026,3.55,3.56,3.52,3.53,14978062.0,4226500.0
CSAN3,H1,05/06/2026,3.57,3.59,3.52,3.55,22886395.0,6437200.0
CSAN3,H1,03/06/2026,3.58,3.59,3.57,3.58,961545.0,268800.0
CSAN3,H1,03/06/2026,3.64,3.65,3.58,3.58,49274083.0,13680900.0
CSAN3,H1,03/06/2026,3.62,3.66,3.59,3.64,37203704.0,10265300.0
CSAN3,H1,03/06/2026,3.63,3.65,3.61,3.61,15215069.0,4195500.0
CSAN3,H1,03/06/2026,3.65,3.65,3.59,3.62,27203343.0,7522200.0
CSAN3,H1,03/06/2026,3.66,3.66,3.61,3.65,44274520.0,12192500.0
CSAN3,H1,03/06/2026,3.73,3.74,3.64,3.65,51167544.0,13919700.0
CSAN3,H1,03/06/2026,3.8,3.8,3.71,3.74,17777927.0,4740100.0
CSAN3,H1,02/06/2026,3.87,3.89,3.86,3.86,496732.0,128400.0
CSAN3,H1,02/06/2026,3.89,3.93,3.87,3.88,30740753.0,7890300.0
CSAN3,H1,02/06/2026,3.93,3.93,3.88,3.88,17372563.0,4436100.0
CSAN3,H1,02/06/2026,3.94,3.96,3.89,3.93,19421981.0,4951100.0
CSAN3,H1,02/06/2026,3.92,3.95,3.92,3.94,10262092.0,2608400.0
CSAN3,H1,02/06/2026,3.91,3.95,3.9,3.93,8145203.0,2074800.0
CSAN3,H1,02/06/2026,3.86,3.97,3.84,3.92,23720084.0,6042300.0
CSAN3,H1,02/06/2026,3.89,3.96,3.85,3.86,10235659.0,2625200.0
CSAN3,H1,01/06/2026,3.88,3.88,3.84,3.84,213410.0,55300.0
CSAN3,H1,01/06/2026,3.89,3.91,3.84,3.88,43703527.0,11259900.0
CSAN3,H1,01/06/2026,3.9,3.91,3.87,3.88,10061583.0,2587600.0
CSAN3,H1,01/06/2026,3.88,3.92,3.85,3.9,17446062.0,4491600.0
CSAN3,H1,01/06/2026,3.87,3.88,3.83,3.88,11531515.0,2990800.0
CSAN3,H1,01/06/2026,3.82,3.89,3.81,3.87,17703209.0,4592800.0
CSAN3,H1,01/06/2026,3.8,3.84,3.76,3.81,20402701.0,5353700.0
CSAN3,H1,01/06/2026,3.8,3.87,3.78,3.8,16367196.0,4297400.0
CSAN3,H1,29/05/2026,3.8,3.82,3.8,3.82,159875.0,42000.0
CSAN3,H1,29/05/2026,3.84,3.86,3.79,3.8,102556837.0,26909000.0
CSAN3,H1,29/05/2026,3.86,3.9,3.81,3.85,25395408.0,6590600.0
CSAN3,H1,29/05/2026,3.79,3.87,3.78,3.86,23538790.0,6146000.0
CSAN3,H1,29/05/2026,3.86,3.88,3.75,3.8,32315740.0,8490100.0
CSAN3,H1,29/05/2026,3.85,3.89,3.82,3.86,27724991.0,7176800.0
CSAN3,H1,29/05/2026,3.83,3.87,3.8,3.85,85093443.0,22272400.0
CSAN3,H1,29/05/2026,3.93,3.97,3.78,3.84,75233554.0,19646500.0
