symbol,timeframe,date,open,high,low,close,volume,quantity
CTKA3,H1,21/05/2026,46.39,46.39,46.39,46.39,9278.0,200.0
CTKA3,H1,27/03/2026,46.95,46.95,46.95,46.95,4695.0,100.0
CTKA3,H1,16/03/2026,47.1,47.1,47.1,47.1,4710.0,100.0
CTKA3,H1,11/03/2026,45.0,45.99,45.0,45.99,9099.0,200.0
CTKA3,H1,10/03/2026,44.01,44.01,44.01,44.01,4401.0,100.0
CTKA3,H1,10/03/2026,44.01,44.01,44.01,44.01,4401.0,100.0
CTKA3,H1,02/03/2026,47.8,47.8,47.8,47.8,4780.0,100.0
CTKA3,H1,02/03/2026,47.0,47.0,47.0,47.0,4700.0,100.0
CTKA3,H1,27/02/2026,44.0,45.47,44.0,45.47,44735.0,1000.0
CTKA3,H1,27/02/2026,48.99,50.0,48.99,50.0,54596.0,1100.0
CTKA3,H1,09/02/2026,50.0,50.0,50.0,50.0,5000.0,100.0
CTKA3,H1,03/12/2025,50.0,50.0,50.0,50.0,5000.0,100.0
CTKA3,H1,03/12/2025,42.5,42.5,42.5,42.5,21250.0,500.0
CTKA3,H1,28/11/2025,39.0,42.5,39.0,42.5,12400.0,300.0
CTKA3,H1,25/11/2025,34.0,34.0,34.0,34.0,3400.0,100.0
CTKA3,H1,21/11/2025,37.0,37.0,37.0,37.0,3700.0,100.0
CTKA3,H1,19/11/2025,35.9,35.9,35.9,35.9,3590.0,100.0
CTKA3,H1,14/11/2025,35.0,35.0,35.0,35.0,7000.0,200.0
CTKA3,H1,04/11/2025,35.9,35.9,35.9,35.9,3590.0,100.0
CTKA3,H1,25/09/2025,36.0,36.0,36.0,36.0,7200.0,200.0
CTKA3,H1,25/09/2025,34.99,36.0,34.99,36.0,10599.0,300.0
CTKA3,H1,11/09/2025,35.0,35.0,35.0,35.0,10500.0,300.0
CTKA3,H1,08/09/2025,35.0,35.0,35.0,35.0,3500.0,100.0
CTKA3,H1,03/09/2025,31.21,33.0,31.21,33.0,6421.0,200.0
CTKA3,H1,29/08/2025,33.0,33.0,33.0,33.0,3300.0,100.0
CTKA3,H1,18/08/2025,33.15,33.15,33.15,33.15,3315.07,100.0
CTKA3,H1,14/08/2025,33.15,33.15,33.15,33.15,3315.07,100.0
CTKA3,H1,14/08/2025,31.14,31.14,31.14,31.14,3114.16,100.0
CTKA3,H1,30/06/2025,34.34,34.34,34.34,34.34,3433.61,100.0
CTKA3,H1,30/06/2025,31.74,31.74,31.74,31.74,3174.43,100.0
CTKA3,H1,03/06/2025,41.98,41.98,41.98,41.98,4198.08,100.0
CTKA3,H1,08/05/2025,39.58,39.58,39.58,39.58,3957.99,100.0
CTKA3,H1,01/04/2025,38.17,38.17,38.17,38.17,3817.35,100.0
CTKA3,H1,31/03/2025,35.16,35.16,35.16,35.16,3515.98,100.0
CTKA3,H1,31/03/2025,35.65,35.65,35.65,35.65,3565.21,100.0
CTKA3,H1,31/03/2025,32.15,32.15,32.15,32.15,9643.84,300.0
CTKA3,H1,13/03/2025,34.25,34.25,34.25,34.25,3424.57,100.0
CTKA3,H1,20/02/2025,32.85,34.25,32.85,34.25,9994.43,300.0
CTKA3,H1,10/02/2025,32.85,32.85,32.85,32.85,3284.93,100.0
CTKA3,H1,10/02/2025,33.12,33.12,33.12,33.12,3312.05,100.0
CTKA3,H1,06/02/2025,28.12,28.12,28.12,28.12,5623.56,200.0
CTKA3,H1,03/02/2025,28.12,28.12,28.12,28.12,5623.56,200.0
CTKA3,H1,31/01/2025,24.61,24.61,24.61,24.61,2461.19,100.0
CTKA3,H1,31/01/2025,24.61,24.61,24.61,24.61,2461.19,100.0
CTKA3,H1,31/01/2025,24.6,24.6,24.6,24.6,2460.18,100.0
CTKA3,H1,13/01/2025,21.55,21.55,21.55,21.55,2154.79,100.0
CTKA3,H1,13/01/2025,21.55,21.55,21.55,21.55,4309.59,200.0
CTKA3,H1,09/01/2025,21.6,21.6,21.6,21.6,2159.82,100.0
CTKA3,H1,08/01/2025,18.11,18.11,18.11,18.11,3622.47,200.0
CTKA3,H1,21/11/2024,21.99,21.99,21.99,21.99,6596.99,300.0
CTKA3,H1,21/11/2024,21.89,21.99,21.89,21.99,13155.8,600.0
CTKA3,H1,18/11/2024,21.99,21.99,21.99,21.99,4397.99,200.0
CTKA3,H1,18/11/2024,19.89,22.09,19.89,22.09,10204.38,500.0
CTKA3,H1,14/11/2024,19.09,19.99,19.09,19.99,19900.46,1000.0
CTKA3,H1,14/11/2024,18.08,18.08,18.08,18.08,3616.44,200.0
CTKA3,H1,13/11/2024,18.58,18.58,18.58,18.58,7433.79,400.0
CTKA3,H1,25/10/2024,19.99,19.99,19.99,19.99,1999.09,100.0
CTKA3,H1,22/10/2024,18.18,20.08,18.18,20.08,7462.92,400.0
CTKA3,H1,21/10/2024,19.58,19.58,19.58,19.58,5873.7,300.0
CTKA3,H1,16/10/2024,19.59,19.59,19.59,19.59,1958.9,100.0
