symbol,timeframe,date,open,high,low,close,volume,quantity
DI1F34,H1,09/06/2026,14.705,14.705,14.675,14.685,1139212.75,32.0
DI1F34,H1,09/06/2026,14.69,14.745,14.69,14.705,3907866.45,110.0
DI1F34,H1,09/06/2026,14.66,14.705,14.66,14.705,1639161.65,46.0
DI1F34,H1,09/06/2026,14.63,14.65,14.62,14.65,1822853.03,51.0
DI1F34,H1,09/06/2026,14.605,14.675,14.59,14.61,2394990.19,67.0
DI1F34,H1,09/06/2026,14.635,14.635,14.61,14.61,572109.54,16.0
DI1F34,H1,09/06/2026,14.625,14.64,14.595,14.605,8517515.93,238.0
DI1F34,H1,09/06/2026,14.595,14.625,14.585,14.595,1288917.13,36.0
DI1F34,H1,09/06/2026,14.71,14.71,14.57,14.59,3472012.51,97.0
DI1F34,H1,08/06/2026,14.725,14.77,14.725,14.75,5102684.48,144.0
DI1F34,H1,08/06/2026,14.66,14.735,14.66,14.715,6468605.65,182.0
DI1F34,H1,08/06/2026,14.65,14.67,14.625,14.67,2319045.04,65.0
DI1F34,H1,08/06/2026,14.55,14.645,14.55,14.645,2218161.88,62.0
DI1F34,H1,08/06/2026,14.5,14.525,14.495,14.525,13653943.56,379.0
DI1F34,H1,08/06/2026,14.6,14.605,14.51,14.51,3549371.39,99.0
DI1F34,H1,08/06/2026,14.69,14.69,14.675,14.675,1174300.99,33.0
DI1F34,H1,08/06/2026,14.66,14.665,14.625,14.665,534976.56,15.0
DI1F34,H1,08/06/2026,14.67,14.815,14.58,14.735,10487815.54,294.0
DI1F34,H1,05/06/2026,14.73,14.74,14.715,14.725,10752957.02,303.0
DI1F34,H1,05/06/2026,14.635,14.685,14.63,14.685,1317658.81,37.0
DI1F34,H1,05/06/2026,14.59,14.645,14.59,14.645,1106681.09,31.0
DI1F34,H1,05/06/2026,14.6,14.6,14.575,14.585,393705.62,11.0
DI1F34,H1,05/06/2026,14.63,14.65,14.6,14.605,5961587.95,167.0
DI1F34,H1,05/06/2026,14.575,14.625,14.565,14.625,6731406.86,188.0
DI1F34,H1,05/06/2026,14.54,14.57,14.515,14.57,16397564.58,457.0
DI1F34,H1,05/06/2026,14.53,14.61,14.49,14.52,16531724.06,460.0
DI1F34,H1,05/06/2026,14.38,14.495,14.36,14.49,2960965.19,82.0
DI1F34,H1,03/06/2026,14.41,14.41,14.37,14.37,3189459.13,88.0
DI1F34,H1,03/06/2026,14.425,14.455,14.425,14.425,6539376.71,181.0
DI1F34,H1,03/06/2026,14.365,14.455,14.365,14.425,30138717.86,832.0
DI1F34,H1,03/06/2026,14.345,14.375,14.32,14.365,7628293.66,210.0
DI1F34,H1,03/06/2026,14.31,14.36,14.31,14.345,1527573.12,42.0
DI1F34,H1,03/06/2026,14.26,14.26,14.25,14.255,1902062.0,52.0
DI1F34,H1,03/06/2026,14.255,14.285,14.255,14.27,4750006.22,130.0
DI1F34,H1,03/06/2026,14.21,14.27,14.21,14.255,5126554.5,140.0
DI1F34,H1,03/06/2026,14.19,14.2,14.19,14.2,734301.44,20.0
DI1F34,H1,02/06/2026,14.115,14.125,14.105,14.11,6603128.68,179.0
DI1F34,H1,02/06/2026,14.13,14.14,14.12,14.12,1620833.05,44.0
DI1F34,H1,02/06/2026,14.11,14.11,14.11,14.11,369075.36,10.0
DI1F34,H1,02/06/2026,14.115,14.115,14.115,14.115,110685.98,3.0
DI1F34,H1,02/06/2026,14.125,14.125,14.125,14.125,36870.92,1.0
DI1F34,H1,02/06/2026,14.1,14.1,14.1,14.1,7386393.75,200.0
DI1F34,H1,02/06/2026,14.155,14.155,14.11,14.11,4235257.06,115.0
DI1F34,H1,02/06/2026,14.125,14.17,14.12,14.145,6771431.15,184.0
DI1F34,H1,02/06/2026,14.08,14.115,14.08,14.11,3102823.88,84.0
DI1F34,H1,01/06/2026,14.05,14.1,14.05,14.1,739219.47,20.0
DI1F34,H1,01/06/2026,14.02,14.045,14.015,14.045,3078111.82,83.0
DI1F34,H1,01/06/2026,14.02,14.025,14.02,14.025,74205.27,2.0
DI1F34,H1,01/06/2026,14.03,14.03,13.99,14.01,7544883.58,203.0
DI1F34,H1,01/06/2026,14.065,14.065,14.045,14.045,1703908.59,46.0
DI1F34,H1,01/06/2026,14.07,14.07,14.035,14.065,1888851.0,51.0
DI1F34,H1,01/06/2026,14.065,14.075,14.065,14.075,887714.37,24.0
DI1F34,H1,01/06/2026,13.98,14.045,13.98,14.03,1038911.6,28.0
DI1F34,H1,01/06/2026,14.03,14.03,13.995,13.995,371075.58,10.0
DI1F34,H1,29/05/2026,13.995,13.995,13.985,13.99,1969569.49,53.0
DI1F34,H1,29/05/2026,13.98,14.0,13.97,13.995,929206.26,25.0
DI1F34,H1,29/05/2026,13.995,13.995,13.99,13.99,297281.87,8.0
DI1F34,H1,29/05/2026,14.0,14.0,14.0,14.0,557080.18,15.0
DI1F34,H1,29/05/2026,14.07,14.075,14.05,14.05,15114901.36,409.0
DI1F34,H1,29/05/2026,14.07,14.1,14.06,14.085,1551121.92,42.0
DI1F34,H1,29/05/2026,14.065,14.075,14.065,14.075,1441653.84,39.0
DI1F34,H1,29/05/2026,14.035,14.065,14.035,14.065,407136.92,11.0
DI1F34,H1,28/05/2026,14.05,14.055,14.035,14.055,9034121.43,244.0
DI1F34,H1,28/05/2026,14.0,14.01,14.0,14.01,2004076.8,54.0
DI1F34,H1,28/05/2026,13.97,13.98,13.97,13.98,669455.4,18.0
DI1F34,H1,28/05/2026,13.995,13.995,13.96,13.98,7471346.99,201.0
DI1F34,H1,28/05/2026,14.01,14.01,14.01,14.01,333852.8,9.0
DI1F34,H1,28/05/2026,14.075,14.075,13.995,14.02,3371457.67,91.0
DI1F34,H1,28/05/2026,14.025,14.075,14.025,14.065,1740283.5,47.0
DI1F34,H1,28/05/2026,14.07,14.07,14.04,14.045,777073.19,21.0
DI1F34,H1,27/05/2026,14.005,14.005,14.005,14.005,964281.89,26.0
DI1F34,H1,27/05/2026,13.995,14.01,13.995,14.0,1297739.54,35.0
DI1F34,H1,27/05/2026,13.975,13.975,13.975,13.975,222970.23,6.0
DI1F34,H1,27/05/2026,13.945,13.945,13.93,13.935,596243.05,16.0
DI1F34,H1,27/05/2026,13.935,13.935,13.93,13.93,6485055.47,174.0
DI1F34,H1,27/05/2026,13.92,13.93,13.92,13.93,223662.31,6.0
DI1F34,H1,27/05/2026,13.915,13.925,13.89,13.89,1456184.97,39.0
DI1F34,H1,27/05/2026,13.98,13.98,13.89,13.905,7433239.66,199.0
DI1F34,H1,26/05/2026,13.995,13.995,13.97,13.97,2450967.98,66.0
DI1F34,H1,26/05/2026,13.99,13.995,13.99,13.99,148409.4,4.0
DI1F34,H1,26/05/2026,13.995,13.995,13.995,13.995,111279.32,3.0
DI1F34,H1,26/05/2026,14.02,14.02,13.985,14.0,6899971.66,186.0
DI1F34,H1,26/05/2026,14.0,14.015,14.0,14.015,74124.67,2.0
DI1F34,H1,26/05/2026,14.0,14.0,13.985,13.995,2003471.41,54.0
DI1F34,H1,26/05/2026,13.99,14.02,13.99,14.005,259516.4,7.0
DI1F34,H1,26/05/2026,13.975,13.975,13.96,13.975,520067.93,14.0
DI1F34,H1,25/05/2026,13.93,13.94,13.93,13.935,2084295.39,56.0
DI1F34,H1,25/05/2026,13.905,13.915,13.9,13.9,9882297.64,265.0
DI1F34,H1,25/05/2026,13.91,13.91,13.905,13.905,633838.99,17.0
DI1F34,H1,25/05/2026,13.92,13.93,13.92,13.925,1899546.99,51.0
DI1F34,H1,25/05/2026,13.93,13.935,13.915,13.935,5884714.2,158.0
DI1F34,H1,25/05/2026,13.935,13.935,13.935,13.935,186109.95,5.0
DI1F34,H1,25/05/2026,13.92,13.92,13.91,13.92,18827523.01,505.0
DI1F34,H1,22/05/2026,14.065,14.085,14.065,14.085,921512.97,25.0
DI1F34,H1,22/05/2026,14.075,14.085,14.05,14.055,3430507.95,93.0
DI1F34,H1,22/05/2026,14.09,14.1,14.07,14.075,773321.88,21.0
DI1F34,H1,22/05/2026,14.145,14.145,14.08,14.08,1067379.67,29.0
DI1F34,H1,22/05/2026,14.16,14.16,14.16,14.16,36650.57,1.0
DI1F34,H1,22/05/2026,14.175,14.18,14.17,14.18,329563.31,9.0
DI1F34,H1,22/05/2026,14.08,14.145,14.08,14.135,1102832.86,30.0
DI1F34,H1,22/05/2026,14.14,14.14,14.14,14.14,110097.82,3.0
DI1F34,H1,21/05/2026,14.14,14.16,14.14,14.16,769440.19,21.0
DI1F34,H1,21/05/2026,14.125,14.15,14.12,14.15,917707.61,25.0
DI1F34,H1,21/05/2026,14.125,14.165,14.125,14.155,880138.11,24.0
DI1F34,H1,21/05/2026,14.2,14.2,14.095,14.095,2861070.39,78.0
DI1F34,H1,21/05/2026,14.205,14.205,14.205,14.205,36522.0,1.0
