symbol,timeframe,date,open,high,low,close,volume,quantity
DIIV26F27,D1,09/06/2026,0.115,0.145,0.11,0.13,24489397622.15,258872.0
DIIV26F27,D1,08/06/2026,0.045,0.13,0.025,0.125,39376648989.55,416430.0
DIIV26F27,D1,05/06/2026,-0.015,0.055,-0.02,0.055,63837210786.09,675395.0
DIIV26F27,D1,03/06/2026,-0.035,0.005,-0.035,-0.01,83628433450.76,884934.0
DIIV26F27,D1,02/06/2026,-0.04,-0.035,-0.05,-0.045,8451730764.44,89464.0
DIIV26F27,D1,01/06/2026,-0.065,-0.025,-0.075,-0.025,26661667315.91,282362.0
DIIV26F27,D1,29/05/2026,-0.075,-0.065,-0.08,-0.075,11225162553.19,118929.0
DIIV26F27,D1,28/05/2026,-0.085,-0.07,-0.1,-0.075,30625236278.55,324632.0
DIIV26F27,D1,27/05/2026,-0.09,-0.09,-0.11,-0.09,12153869380.69,128891.0
DIIV26F27,D1,26/05/2026,-0.1,-0.09,-0.11,-0.095,22696050019.12,240839.0
DIIV26F27,D1,25/05/2026,-0.12,-0.11,-0.13,-0.115,20964383278.39,222548.0
DIIV26F27,D1,22/05/2026,-0.095,-0.075,-0.1,-0.075,13523979268.12,143683.0
DIIV26F27,D1,21/05/2026,-0.08,-0.065,-0.12,-0.105,16579469760.85,176225.0
DIIV26F27,D1,20/05/2026,-0.06,-0.055,-0.1,-0.09,23497167904.1,249922.0
DIIV26F27,D1,19/05/2026,-0.055,-0.05,-0.075,-0.065,13934780036.04,148328.0
DIIV26F27,D1,18/05/2026,-0.045,-0.045,-0.075,-0.07,19175118189.16,204239.0
DIIV26F27,D1,15/05/2026,-0.05,-0.035,-0.055,-0.04,19257430189.37,205263.0
DIIV26F27,D1,14/05/2026,-0.045,-0.04,-0.075,-0.055,9779693319.86,104281.0
DIIV26F27,D1,13/05/2026,-0.095,-0.035,-0.095,-0.055,46035721890.83,491217.0
DIIV26F27,D1,12/05/2026,-0.085,-0.07,-0.095,-0.09,15947583791.32,170231.0
DIIV26F27,D1,11/05/2026,-0.11,-0.095,-0.11,-0.095,3830705190.99,40906.0
DIIV26F27,D1,08/05/2026,-0.1,-0.1,-0.135,-0.13,10373861300.46,110819.0
DIIV26F27,D1,07/05/2026,-0.14,-0.1,-0.14,-0.105,13347410779.39,142672.0
DIIV26F27,D1,06/05/2026,-0.12,-0.115,-0.15,-0.125,26774271705.3,286327.0
DIIV26F27,D1,05/05/2026,-0.065,-0.065,-0.095,-0.09,17206390934.68,184186.0
DIIV26F27,D1,04/05/2026,-0.06,-0.05,-0.095,-0.06,27658786599.08,296282.0
DIIV26F27,D1,30/04/2026,-0.085,-0.075,-0.095,-0.085,12871240781.23,137926.0
DIIV26F27,D1,29/04/2026,-0.085,-0.055,-0.09,-0.065,23325467747.84,250121.0
DIIV26F27,D1,28/04/2026,-0.085,-0.08,-0.105,-0.105,22073436875.96,236822.0
DIIV26F27,D1,27/04/2026,-0.125,-0.1,-0.125,-0.105,7501955828.72,80521.0
DIIV26F27,D1,24/04/2026,-0.135,-0.115,-0.14,-0.13,16081228477.57,172690.0
DIIV26F27,D1,23/04/2026,-0.16,-0.115,-0.165,-0.115,20915362513.51,224729.0
DIIV26F27,D1,22/04/2026,-0.185,-0.16,-0.185,-0.165,7394102640.69,79452.0
DIIV26F27,D1,20/04/2026,-0.18,-0.18,-0.2,-0.2,7632052408.18,82040.0
DIIV26F27,D1,17/04/2026,-0.155,-0.155,-0.225,-0.2,14762508684.15,158749.0
DIIV26F27,D1,16/04/2026,-0.18,-0.15,-0.185,-0.15,14387904050.66,154883.0
DIIV26F27,D1,15/04/2026,-0.175,-0.17,-0.185,-0.18,4679909526.53,50393.0
DIIV26F27,D1,14/04/2026,-0.17,-0.155,-0.18,-0.175,9463352108.38,101980.0
DIIV26F27,D1,13/04/2026,-0.125,-0.125,-0.16,-0.15,10758791920.57,116048.0
DIIV26F27,D1,10/04/2026,-0.195,-0.15,-0.195,-0.16,27925216452.74,301313.0
DIIV26F27,D1,09/04/2026,-0.19,-0.185,-0.215,-0.2,18283286966.35,197276.0
DIIV26F27,D1,08/04/2026,-0.205,-0.185,-0.215,-0.19,21584233087.43,232992.0
DIIV26F27,D1,07/04/2026,-0.11,-0.095,-0.13,-0.125,12819883883.44,138660.0
DIIV26F27,D1,06/04/2026,-0.135,-0.11,-0.145,-0.12,8178461973.52,88471.0
