symbol,timeframe,date,open,high,low,close,volume,quantity
IBEP,H1,09/06/2026,1703.71,1703.71,1696.58,1701.9,4488878345.0,212288000.0
IBEP,H1,09/06/2026,1697.96,1703.93,1697.25,1703.75,1315897445.0,71052700.0
IBEP,H1,09/06/2026,1691.68,1702.08,1691.6,1697.89,1181210978.0,63429900.0
IBEP,H1,09/06/2026,1694.36,1697.38,1684.16,1691.99,2008334175.0,97851600.0
IBEP,H1,09/06/2026,1703.17,1705.36,1692.96,1694.76,1378697941.0,69240400.0
IBEP,H1,09/06/2026,1700.66,1710.51,1698.73,1703.15,2507403412.0,121315600.0
IBEP,H1,09/06/2026,1688.48,1707.46,1688.44,1700.57,1883472791.0,100369500.0
IBEP,H1,08/06/2026,1689.15,1689.5,1686.09,1688.43,3651999922.0,174225100.0
IBEP,H1,08/06/2026,1687.05,1689.72,1686.78,1689.23,1543837975.0,70613100.0
IBEP,H1,08/06/2026,1685.23,1687.51,1682.9,1687.34,1135466447.0,63000200.0
IBEP,H1,08/06/2026,1689.4,1689.4,1684.69,1684.96,909255326.0,51037700.0
IBEP,H1,08/06/2026,1694.54,1695.37,1688.53,1689.05,1174116364.0,59859300.0
IBEP,H1,08/06/2026,1688.46,1695.85,1684.85,1694.38,1593394694.0,87799300.0
IBEP,H1,08/06/2026,1695.09,1699.45,1688.94,1689.59,2421268393.0,139174500.0
IBEP,H1,05/06/2026,1699.0,1699.0,1693.83,1694.83,4411514025.0,201179100.0
IBEP,H1,05/06/2026,1699.68,1703.0,1696.05,1699.05,1693647101.0,88957000.0
IBEP,H1,05/06/2026,1698.15,1701.29,1695.31,1699.54,1867422426.0,93832300.0
IBEP,H1,05/06/2026,1697.92,1699.56,1696.14,1697.98,1684930697.0,78033000.0
IBEP,H1,05/06/2026,1706.5,1708.04,1697.11,1697.52,1550113468.0,80645800.0
IBEP,H1,05/06/2026,1704.03,1709.1,1701.55,1706.09,1875015521.0,89732400.0
IBEP,H1,05/06/2026,1708.96,1710.3,1697.5,1705.55,2207695196.0,108416100.0
IBEP,H1,03/06/2026,1708.12,1709.56,1705.74,1708.97,4661785674.0,219002100.0
IBEP,H1,03/06/2026,1705.82,1709.29,1704.88,1708.43,1924545280.0,100365300.0
IBEP,H1,03/06/2026,1707.97,1710.45,1705.29,1705.61,1711028594.0,85114600.0
IBEP,H1,03/06/2026,1713.17,1713.17,1706.57,1707.76,1490489674.0,81810800.0
IBEP,H1,03/06/2026,1718.9,1720.45,1711.8,1712.65,1992619572.0,104696300.0
IBEP,H1,03/06/2026,1726.31,1726.31,1714.13,1718.9,3192005485.0,160637400.0
IBEP,H1,03/06/2026,1753.79,1753.79,1719.61,1725.92,2356628025.0,130704800.0
IBEP,H1,02/06/2026,1757.73,1757.87,1753.85,1753.85,3945762234.0,187933000.0
IBEP,H1,02/06/2026,1752.66,1760.19,1752.66,1757.22,1599126966.0,80713500.0
IBEP,H1,02/06/2026,1755.05,1755.47,1749.62,1752.87,1640204579.0,79442800.0
IBEP,H1,02/06/2026,1759.18,1759.18,1754.42,1755.17,1177614172.0,57758800.0
IBEP,H1,02/06/2026,1756.99,1759.69,1754.61,1758.78,1321833190.0,60566600.0
IBEP,H1,02/06/2026,1741.66,1760.6,1738.49,1756.82,2391264258.0,112366500.0
IBEP,H1,02/06/2026,1727.5,1749.22,1727.5,1741.84,1896610579.0,93941100.0
IBEP,H1,01/06/2026,1730.27,1732.53,1727.5,1727.5,4972030302.0,255201700.0
IBEP,H1,01/06/2026,1729.65,1731.46,1728.45,1730.65,1880223757.0,96515000.0
IBEP,H1,01/06/2026,1730.39,1733.61,1726.17,1729.62,1735631606.0,87358600.0
IBEP,H1,01/06/2026,1727.13,1730.32,1721.17,1730.32,1187229879.0,61467800.0
IBEP,H1,01/06/2026,1721.97,1730.9,1721.45,1727.13,1561716534.0,73754400.0
IBEP,H1,01/06/2026,1727.1,1733.77,1721.33,1722.86,2060522861.0,102294800.0
IBEP,H1,01/06/2026,1748.84,1750.15,1724.97,1727.96,2663830962.0,130839500.0
IBEP,H1,29/05/2026,1747.31,1752.3,1746.35,1748.81,18530141529.0,737175700.0
IBEP,H1,29/05/2026,1747.7,1749.16,1745.81,1747.37,1810097278.0,89945100.0
IBEP,H1,29/05/2026,1741.23,1749.29,1741.23,1748.28,1915216036.0,88570700.0
IBEP,H1,29/05/2026,1742.61,1743.25,1740.52,1741.31,1631547452.0,78246200.0
IBEP,H1,29/05/2026,1743.57,1749.74,1740.95,1742.57,2192125284.0,97046500.0
IBEP,H1,29/05/2026,1742.69,1744.28,1733.85,1742.83,2266246626.0,140325800.0
IBEP,H1,29/05/2026,1760.35,1761.4,1738.81,1744.5,2171418002.0,119667200.0
IBEP,H1,28/05/2026,1765.58,1765.58,1760.34,1760.34,3635062246.0,165803500.0
IBEP,H1,28/05/2026,1770.29,1770.55,1763.74,1765.39,1294204217.0,68207500.0
IBEP,H1,28/05/2026,1768.78,1770.7,1764.39,1770.62,1087617681.0,56872200.0
IBEP,H1,28/05/2026,1765.16,1769.26,1764.09,1768.8,952896516.0,45574000.0
IBEP,H1,28/05/2026,1767.4,1769.51,1764.99,1765.58,1041984871.0,54299800.0
IBEP,H1,28/05/2026,1762.21,1777.99,1759.62,1767.14,2155738084.0,120407500.0
IBEP,H1,28/05/2026,1764.96,1769.62,1751.67,1762.78,2445490843.0,140347500.0
IBEP,H1,27/05/2026,1766.54,1768.36,1764.32,1764.96,3783578926.0,182599900.0
IBEP,H1,27/05/2026,1766.38,1769.36,1763.55,1766.76,1443358532.0,74048300.0
IBEP,H1,27/05/2026,1770.88,1770.88,1761.64,1766.05,1391715423.0,74553100.0
IBEP,H1,27/05/2026,1773.46,1774.32,1770.24,1770.94,758669061.0,44222200.0
IBEP,H1,27/05/2026,1778.36,1779.64,1770.76,1773.85,1376304794.0,70801400.0
IBEP,H1,27/05/2026,1781.0,1781.0,1770.69,1778.63,1666048157.0,82490700.0
IBEP,H1,27/05/2026,1770.4,1786.95,1770.4,1781.55,1792940215.0,90982100.0
IBEP,H1,26/05/2026,1761.88,1770.26,1761.03,1770.26,4082941905.0,185416800.0
IBEP,H1,26/05/2026,1760.6,1762.91,1758.93,1761.75,1461373285.0,70859300.0
IBEP,H1,26/05/2026,1758.94,1762.06,1757.05,1760.43,1102570736.0,53918500.0
IBEP,H1,26/05/2026,1761.91,1762.7,1757.1,1759.07,1053142913.0,53472300.0
IBEP,H1,26/05/2026,1767.43,1767.43,1757.52,1761.74,1282423402.0,64520300.0
IBEP,H1,26/05/2026,1762.93,1769.53,1758.78,1767.29,1462943884.0,79143300.0
IBEP,H1,26/05/2026,1784.27,1784.27,1759.87,1761.97,2960074204.0,141339500.0
IBEP,H1,25/05/2026,1783.24,1784.27,1779.58,1784.27,2834626420.0,130028400.0
IBEP,H1,25/05/2026,1778.49,1783.3,1778.19,1782.81,1031675180.0,51266500.0
IBEP,H1,25/05/2026,1773.9,1779.81,1773.25,1778.32,1054382984.0,51217100.0
IBEP,H1,25/05/2026,1771.94,1774.01,1768.43,1774.01,678594003.0,30927600.0
IBEP,H1,25/05/2026,1770.47,1774.29,1769.24,1771.75,752806137.0,36641500.0
IBEP,H1,25/05/2026,1770.76,1772.94,1768.88,1770.51,695106106.0,33349700.0
IBEP,H1,25/05/2026,1760.1,1775.64,1760.1,1770.58,830792766.0,43884400.0
IBEP,H1,22/05/2026,1762.15,1762.84,1757.62,1760.1,3418940648.0,165526200.0
IBEP,H1,22/05/2026,1762.43,1762.69,1759.39,1762.69,1379634631.0,62539800.0
IBEP,H1,22/05/2026,1758.45,1767.73,1757.77,1762.09,1519916125.0,72620300.0
IBEP,H1,22/05/2026,1754.64,1758.66,1754.5,1758.66,1112259790.0,53759700.0
IBEP,H1,22/05/2026,1747.84,1755.85,1746.94,1754.57,1150216063.0,59972100.0
IBEP,H1,22/05/2026,1764.31,1764.31,1747.84,1748.88,1688821178.0,91746800.0
IBEP,H1,22/05/2026,1774.71,1774.71,1759.83,1765.24,1770436480.0,83274200.0
IBEP,H1,21/05/2026,1771.11,1776.59,1771.11,1774.73,3377501369.0,149820300.0
IBEP,H1,21/05/2026,1781.35,1782.25,1769.54,1771.12,1820542532.0,87506400.0
IBEP,H1,21/05/2026,1761.93,1784.34,1761.93,1781.6,2903298370.0,120306400.0
IBEP,H1,21/05/2026,1760.96,1764.09,1760.68,1762.26,916793987.0,44992100.0
IBEP,H1,21/05/2026,1759.93,1763.88,1757.75,1760.54,1122339480.0,50548800.0
IBEP,H1,21/05/2026,1762.73,1763.54,1755.82,1759.85,1426061281.0,73479800.0
IBEP,H1,21/05/2026,1773.18,1773.18,1750.72,1763.53,1671651211.0,89967600.0
IBEP,H1,20/05/2026,1778.97,1781.86,1773.23,1773.23,4608598037.0,198930200.0
IBEP,H1,20/05/2026,1777.22,1781.0,1776.31,1779.46,1959091389.0,84605400.0
IBEP,H1,20/05/2026,1777.96,1780.42,1776.43,1776.77,1851286718.0,83346400.0
IBEP,H1,20/05/2026,1769.81,1778.08,1769.81,1778.08,1732724146.0,75637000.0
IBEP,H1,20/05/2026,1764.28,1776.73,1764.28,1769.81,2334616781.0,114955800.0
IBEP,H1,20/05/2026,1763.04,1770.26,1751.95,1764.59,2721737979.0,124554000.0
IBEP,H1,20/05/2026,1729.29,1765.09,1729.29,1763.9,2282368907.0,119613500.0
IBEP,H1,19/05/2026,1729.08,1730.53,1725.49,1729.29,5012870389.0,237427100.0
IBEP,H1,19/05/2026,1736.35,1736.35,1728.15,1728.66,2187401033.0,106579200.0
IBEP,H1,19/05/2026,1740.88,1740.88,1735.34,1736.19,1622788384.0,77655700.0
IBEP,H1,19/05/2026,1734.37,1740.86,1730.44,1740.71,1302983313.0,62971200.0
