symbol,timeframe,date,open,high,low,close,volume,quantity
IFIX,H1,09/06/2026,3813.57,3815.34,3811.67,3811.81,67128381.39,3515489.0
IFIX,H1,09/06/2026,3815.32,3815.65,3811.74,3813.38,47162884.25,1726992.0
IFIX,H1,09/06/2026,3817.62,3819.56,3815.8,3816.1,44204365.5,1655404.0
IFIX,H1,09/06/2026,3820.5,3820.51,3817.33,3817.81,40374369.37,1887628.0
IFIX,H1,09/06/2026,3821.77,3823.23,3820.16,3820.23,35165196.05,1496684.0
IFIX,H1,09/06/2026,3822.13,3824.23,3821.37,3821.63,53498465.06,2294887.0
IFIX,H1,09/06/2026,3818.23,3821.79,3817.59,3821.79,75705335.59,3033306.0
IFIX,H1,08/06/2026,3820.33,3821.42,3818.23,3818.23,58733426.34,1899791.0
IFIX,H1,08/06/2026,3819.55,3820.76,3817.07,3820.15,59139223.09,1928447.0
IFIX,H1,08/06/2026,3824.46,3824.49,3819.73,3819.75,59316356.73,2086251.0
IFIX,H1,08/06/2026,3825.23,3826.7,3823.87,3824.24,73806817.74,3357289.0
IFIX,H1,08/06/2026,3827.38,3827.89,3824.67,3825.12,47586401.15,1904432.0
IFIX,H1,08/06/2026,3831.37,3831.63,3827.37,3827.57,53719378.2,2195447.0
IFIX,H1,08/06/2026,3848.37,3852.85,3830.87,3830.99,114120040.69,4448242.0
IFIX,H1,05/06/2026,3844.61,3851.94,3843.86,3848.37,51511127.79,2149459.0
IFIX,H1,05/06/2026,3843.66,3845.18,3843.17,3844.48,35945274.94,1339531.0
IFIX,H1,05/06/2026,3842.47,3844.86,3841.37,3843.86,41855530.9,1562339.0
IFIX,H1,05/06/2026,3845.91,3846.09,3841.78,3842.13,40196463.32,1550105.0
IFIX,H1,05/06/2026,3845.62,3848.35,3845.62,3846.56,38773842.32,1640992.0
IFIX,H1,05/06/2026,3845.84,3847.18,3844.05,3846.67,44907985.05,1703739.0
IFIX,H1,05/06/2026,3842.46,3850.72,3841.85,3845.99,82631250.16,3442075.0
IFIX,H1,03/06/2026,3841.16,3843.24,3839.99,3842.46,58976835.58,2687865.0
IFIX,H1,03/06/2026,3842.4,3842.9,3840.72,3841.32,51667769.71,1939356.0
IFIX,H1,03/06/2026,3840.85,3842.58,3839.66,3842.35,52132614.63,2193009.0
IFIX,H1,03/06/2026,3844.13,3844.27,3840.26,3840.52,39206792.02,1458015.0
IFIX,H1,03/06/2026,3847.8,3847.8,3843.85,3843.95,45855809.89,2046804.0
IFIX,H1,03/06/2026,3853.38,3854.85,3847.67,3847.71,56278969.85,2243505.0
IFIX,H1,03/06/2026,3860.28,3861.4,3852.33,3853.27,74311332.89,2650449.0
IFIX,H1,02/06/2026,3865.12,3865.12,3860.28,3860.28,57435630.94,2040541.0
IFIX,H1,02/06/2026,3859.88,3865.75,3859.8,3865.63,54040384.93,2058035.0
IFIX,H1,02/06/2026,3861.62,3861.91,3858.35,3859.5,42976378.68,1554903.0
IFIX,H1,02/06/2026,3861.67,3862.28,3860.51,3861.59,39455943.6,1462919.0
IFIX,H1,02/06/2026,3859.91,3863.07,3859.91,3861.9,40702261.51,1560774.0
IFIX,H1,02/06/2026,3859.78,3861.14,3858.38,3860.05,51919491.09,2065654.0
IFIX,H1,02/06/2026,3860.37,3864.8,3858.75,3859.22,74740927.27,2821271.0
IFIX,H1,01/06/2026,3860.5,3862.49,3859.54,3860.37,82769726.04,4389974.0
IFIX,H1,01/06/2026,3863.99,3864.18,3858.41,3860.75,54535270.18,1843939.0
IFIX,H1,01/06/2026,3865.42,3865.81,3863.73,3864.28,50889530.09,2149553.0
IFIX,H1,01/06/2026,3865.39,3866.75,3864.43,3865.46,48182762.29,1958696.0
IFIX,H1,01/06/2026,3862.15,3867.48,3861.63,3866.05,49785913.13,1860950.0
IFIX,H1,01/06/2026,3863.51,3863.81,3858.73,3861.84,71037366.93,2661125.0
IFIX,H1,01/06/2026,3877.52,3879.7,3858.31,3863.64,139333341.01,5512218.0
IFIX,H1,29/05/2026,3875.78,3880.58,3875.78,3877.52,94545509.86,3596577.0
IFIX,H1,29/05/2026,3873.22,3876.59,3873.05,3875.75,52946108.88,2258045.0
IFIX,H1,29/05/2026,3871.62,3873.91,3870.94,3873.38,51088648.57,1807608.0
IFIX,H1,29/05/2026,3869.03,3872.02,3868.32,3871.71,40767306.24,1885299.0
IFIX,H1,29/05/2026,3867.09,3868.99,3866.72,3868.88,44948606.86,1724165.0
IFIX,H1,29/05/2026,3865.26,3867.26,3864.22,3867.06,59225294.23,2312679.0
IFIX,H1,29/05/2026,3861.52,3869.83,3861.52,3865.6,77223052.2,3100404.0
IFIX,H1,28/05/2026,3856.95,3861.65,3856.95,3861.52,54748014.21,2190905.0
IFIX,H1,28/05/2026,3858.67,3859.09,3856.56,3857.16,41039089.23,1618352.0
IFIX,H1,28/05/2026,3859.53,3860.43,3856.46,3858.75,37410942.25,1481279.0
IFIX,H1,28/05/2026,3855.87,3860.58,3854.99,3859.43,36239907.01,1495183.0
IFIX,H1,28/05/2026,3852.79,3855.89,3852.79,3855.88,30284313.92,1056334.0
IFIX,H1,28/05/2026,3853.56,3853.96,3852.53,3852.79,37786005.44,1357926.0
IFIX,H1,28/05/2026,3853.81,3859.52,3853.29,3853.5,70572721.87,3526380.0
IFIX,H1,27/05/2026,3852.81,3856.59,3850.96,3853.81,57070693.4,2238340.0
IFIX,H1,27/05/2026,3851.31,3853.11,3850.71,3852.94,43530704.36,1883531.0
IFIX,H1,27/05/2026,3852.19,3852.19,3848.13,3851.02,46892220.84,1689151.0
IFIX,H1,27/05/2026,3851.23,3852.45,3849.74,3852.45,82539481.41,1855787.0
IFIX,H1,27/05/2026,3852.69,3853.18,3851.08,3851.5,38561231.86,1631715.0
IFIX,H1,27/05/2026,3854.06,3856.72,3852.3,3852.74,48048055.07,2431321.0
IFIX,H1,27/05/2026,3851.02,3857.87,3850.82,3854.0,68821468.21,2816082.0
IFIX,H1,26/05/2026,3855.12,3856.25,3851.02,3851.02,61281759.95,2256340.0
IFIX,H1,26/05/2026,3851.88,3855.52,3851.88,3855.48,62863124.95,2310211.0
IFIX,H1,26/05/2026,3854.2,3854.22,3850.72,3851.99,47247173.18,1845689.0
IFIX,H1,26/05/2026,3856.79,3857.31,3853.39,3853.99,88012992.28,2125348.0
IFIX,H1,26/05/2026,3858.16,3858.46,3855.39,3856.74,37615644.2,1598804.0
IFIX,H1,26/05/2026,3856.02,3858.32,3855.85,3857.87,46397145.33,1666758.0
IFIX,H1,26/05/2026,3863.88,3864.85,3853.36,3856.02,85973343.68,3108029.0
IFIX,H1,25/05/2026,3861.79,3864.45,3859.87,3863.87,76819159.98,4179688.0
IFIX,H1,25/05/2026,3863.96,3864.23,3861.69,3861.79,44786232.47,1800164.0
IFIX,H1,25/05/2026,3862.15,3864.78,3861.67,3863.96,43140432.35,1737801.0
IFIX,H1,25/05/2026,3861.69,3862.47,3860.65,3862.01,40388636.39,1749847.0
IFIX,H1,25/05/2026,3858.18,3861.69,3857.78,3861.54,41938411.5,1635893.0
IFIX,H1,25/05/2026,3860.81,3861.02,3857.6,3858.3,46513187.68,2080932.0
IFIX,H1,25/05/2026,3855.05,3862.96,3855.0,3861.01,82915219.5,3231753.0
IFIX,H1,22/05/2026,3854.17,3859.15,3851.64,3855.09,58791292.62,2169043.0
IFIX,H1,22/05/2026,3850.57,3854.9,3849.98,3854.09,40899715.71,1847250.0
IFIX,H1,22/05/2026,3848.95,3851.43,3848.43,3850.54,36857614.1,1491766.0
IFIX,H1,22/05/2026,3848.28,3849.12,3847.62,3849.03,38810280.72,1387737.0
IFIX,H1,22/05/2026,3844.92,3847.9,3844.13,3847.9,42761211.37,1562519.0
IFIX,H1,22/05/2026,3845.45,3845.48,3842.32,3844.88,48359899.35,1855788.0
IFIX,H1,22/05/2026,3849.94,3853.57,3844.86,3845.72,79749896.04,2671752.0
IFIX,H1,21/05/2026,3845.84,3850.32,3845.19,3849.95,61861366.84,2018504.0
IFIX,H1,21/05/2026,3845.89,3847.03,3844.78,3846.13,40058269.51,1464569.0
IFIX,H1,21/05/2026,3844.12,3845.89,3841.47,3845.88,48252396.31,1712732.0
IFIX,H1,21/05/2026,3840.44,3844.56,3840.15,3844.37,29518549.15,1135051.0
IFIX,H1,21/05/2026,3839.57,3841.02,3839.42,3840.1,29537405.24,1131615.0
IFIX,H1,21/05/2026,3842.17,3842.63,3839.0,3839.7,40395083.83,1659553.0
IFIX,H1,21/05/2026,3850.07,3851.96,3839.44,3841.38,54732030.79,2279893.0
IFIX,H1,20/05/2026,3848.92,3850.6,3846.81,3850.07,59289416.78,2242479.0
IFIX,H1,20/05/2026,3848.05,3848.97,3847.38,3848.58,43811016.17,1749892.0
IFIX,H1,20/05/2026,3848.26,3849.52,3847.44,3848.19,41169762.53,1701757.0
IFIX,H1,20/05/2026,3848.54,3848.74,3846.21,3848.37,40027986.52,1665168.0
IFIX,H1,20/05/2026,3848.21,3851.4,3846.19,3848.45,49326870.33,1762752.0
IFIX,H1,20/05/2026,3837.22,3848.4,3837.22,3848.25,61163020.17,2117634.0
IFIX,H1,20/05/2026,3816.66,3836.95,3816.66,3836.85,76035769.17,3016727.0
IFIX,H1,19/05/2026,3823.92,3824.34,3816.65,3816.65,101225307.65,3197896.0
IFIX,H1,19/05/2026,3829.07,3829.11,3823.89,3823.89,50163852.23,2090222.0
IFIX,H1,19/05/2026,3831.62,3831.62,3828.86,3828.93,35651272.56,1622825.0
IFIX,H1,19/05/2026,3831.16,3832.0,3829.52,3831.11,42412448.83,1758578.0
IFIX,H1,19/05/2026,3835.8,3835.87,3830.39,3831.24,43098647.87,2023482.0
IFIX,H1,19/05/2026,3837.93,3839.15,3835.46,3835.89,48761068.09,1872914.0
