symbol,timeframe,date,open,high,low,close,volume,quantity
LFTS11,D1,09/06/2026,154.19,154.25,154.17,154.21,15970829.19,103556.0
LFTS11,D1,08/06/2026,154.13,154.21,154.12,154.15,20237704.79,131281.0
LFTS11,D1,05/06/2026,154.03,154.19,153.95,154.07,18663321.18,121135.0
LFTS11,D1,03/06/2026,153.97,154.04,153.94,154.02,36751377.56,238645.0
LFTS11,D1,02/06/2026,153.9,153.93,153.88,153.93,14961406.26,97209.0
LFTS11,D1,01/06/2026,153.78,153.85,153.75,153.85,18647517.47,121230.0
LFTS11,D1,29/05/2026,153.72,153.8,153.7,153.74,19549934.18,127161.0
LFTS11,D1,28/05/2026,153.61,153.69,153.59,153.69,21284967.41,138528.0
LFTS11,D1,27/05/2026,153.45,153.59,153.45,153.58,20227851.7,131746.0
LFTS11,D1,26/05/2026,153.44,153.55,153.44,153.45,14667638.45,95571.0
LFTS11,D1,25/05/2026,153.34,153.43,153.33,153.43,14594438.53,95138.0
LFTS11,D1,22/05/2026,153.3,153.36,153.19,153.3,12551721.31,81871.0
LFTS11,D1,21/05/2026,153.18,153.28,153.16,153.24,33746271.15,220241.0
LFTS11,D1,20/05/2026,153.17,153.18,153.08,153.16,22010753.76,143710.0
LFTS11,D1,19/05/2026,153.02,153.09,153.01,153.09,21770231.19,142231.0
LFTS11,D1,18/05/2026,152.92,153.01,152.88,152.99,33973869.45,222094.0
LFTS11,D1,15/05/2026,152.85,152.93,152.84,152.92,30839285.47,201697.0
LFTS11,D1,14/05/2026,152.76,152.85,152.75,152.8,27850479.19,182242.0
LFTS11,D1,13/05/2026,152.71,152.77,152.71,152.77,22963716.82,150336.0
LFTS11,D1,12/05/2026,152.55,152.69,152.55,152.69,26009165.06,170359.0
LFTS11,D1,11/05/2026,152.52,152.6,152.49,152.59,15686765.48,102816.0
LFTS11,D1,08/05/2026,152.42,152.53,152.41,152.51,19839447.74,130080.0
LFTS11,D1,07/05/2026,152.38,152.45,152.37,152.41,20170983.92,132337.0
LFTS11,D1,06/05/2026,152.27,152.37,152.16,152.34,11973585.19,78598.0
LFTS11,D1,05/05/2026,152.19,152.29,152.19,152.28,14542931.71,95509.0
LFTS11,D1,04/05/2026,152.12,152.2,152.12,152.18,16691395.97,109684.0
LFTS11,D1,30/04/2026,152.12,152.27,152.08,152.12,20614698.72,135526.0
LFTS11,D1,29/04/2026,151.98,152.05,151.98,152.03,16547567.98,108847.0
LFTS11,D1,28/04/2026,151.89,151.97,151.86,151.93,18281447.25,120318.0
LFTS11,D1,27/04/2026,151.71,151.89,151.71,151.89,19961456.87,131445.0
LFTS11,D1,24/04/2026,151.74,151.85,151.72,151.79,18196898.98,119879.0
LFTS11,D1,23/04/2026,151.65,151.74,151.65,151.71,70021859.68,461556.0
LFTS11,D1,22/04/2026,151.58,151.69,151.58,151.64,19467070.58,128384.0
LFTS11,D1,20/04/2026,151.49,151.6,151.48,151.51,25014428.59,165062.0
LFTS11,D1,17/04/2026,151.51,151.51,151.44,151.48,201212212.85,1328562.0
LFTS11,D1,16/04/2026,151.31,151.49,151.31,151.41,13461130.57,88912.0
LFTS11,D1,15/04/2026,151.26,151.35,151.25,151.31,17015164.42,112450.0
LFTS11,D1,14/04/2026,151.22,151.26,151.18,151.26,15337164.89,101422.0
LFTS11,D1,13/04/2026,151.12,151.18,151.12,151.17,21592251.3,142845.0
LFTS11,D1,10/04/2026,151.12,151.14,150.97,151.09,20788616.78,137599.0
LFTS11,D1,09/04/2026,150.94,151.01,150.94,150.97,27745342.06,183753.0
LFTS11,D1,08/04/2026,150.91,150.93,150.78,150.93,25143300.55,166622.0
LFTS11,D1,07/04/2026,150.78,150.85,150.78,150.85,20567476.82,136354.0
LFTS11,D1,06/04/2026,150.69,150.76,150.66,150.74,18698448.14,124038.0
LFTS11,D1,02/04/2026,150.61,150.71,150.61,150.68,52338371.79,347358.0
LFTS11,D1,01/04/2026,150.61,150.71,150.56,150.59,122909921.16,816138.0
LFTS11,D1,31/03/2026,150.49,150.55,150.4,150.52,196778826.97,1307579.0
LFTS11,D1,30/03/2026,150.35,150.47,150.35,150.4,23381243.7,155444.0
LFTS11,D1,27/03/2026,150.18,150.36,150.18,150.34,27700476.09,184264.0
LFTS11,D1,26/03/2026,150.22,150.31,150.14,150.15,33818266.16,225202.0
LFTS11,D1,25/03/2026,150.15,150.18,150.13,150.18,29149098.08,194121.0
LFTS11,D1,24/03/2026,150.09,150.1,150.05,150.1,171361709.01,1141657.0
LFTS11,D1,23/03/2026,149.93,150.02,149.92,149.99,32198367.18,214667.0
LFTS11,D1,20/03/2026,149.86,149.93,149.86,149.9,43532941.43,290391.0
LFTS11,D1,19/03/2026,149.77,149.84,149.77,149.83,29500403.78,196901.0
LFTS11,D1,18/03/2026,149.7,149.79,149.69,149.76,14273053.9,95319.0
LFTS11,D1,17/03/2026,149.52,149.7,149.52,149.66,23007060.31,153745.0
LFTS11,D1,16/03/2026,149.54,149.59,149.49,149.56,18980635.74,126910.0
LFTS11,D1,13/03/2026,149.4,149.5,149.4,149.46,22296381.78,149156.0
LFTS11,D1,12/03/2026,149.39,149.46,149.35,149.37,17451875.57,116824.0
LFTS11,D1,11/03/2026,149.31,149.39,149.23,149.31,18827286.98,126085.0
LFTS11,D1,10/03/2026,149.14,149.25,149.14,149.22,25951744.21,173920.0
LFTS11,D1,09/03/2026,149.07,149.16,149.05,149.1,178363477.16,1195825.0
LFTS11,D1,06/03/2026,149.0,149.15,149.0,149.07,22616877.86,151733.0
LFTS11,D1,05/03/2026,148.92,149.04,148.89,149.0,22643684.09,151992.0
LFTS11,D1,04/03/2026,148.82,148.9,148.82,148.88,124566313.3,836586.0
LFTS11,D1,03/03/2026,148.78,148.87,148.76,148.84,45058007.18,302817.0
LFTS11,D1,02/03/2026,148.64,148.87,148.64,148.8,23362882.2,157097.0
LFTS11,D1,27/02/2026,148.58,148.73,148.58,148.63,373409868.89,2512018.0
LFTS11,D1,26/02/2026,148.53,148.62,148.47,148.5,26033586.44,175251.0
