symbol,timeframe,date,open,high,low,close,volume,quantity
M2RV34,D1,09/06/2026,153.01,155.31,126.88,140.25,45473884.14,330943.0
M2RV34,D1,08/06/2026,149.91,158.17,146.0,149.99,25767206.32,170316.0
M2RV34,D1,05/06/2026,153.05,155.23,138.9,142.21,13298461.87,91066.0
M2RV34,D1,03/06/2026,161.19,163.33,149.24,153.21,24344818.36,156872.0
M2RV34,D1,02/06/2026,129.0,145.0,123.2,145.0,17926360.98,127542.0
M2RV34,D1,01/06/2026,101.06,113.09,99.46,111.49,2083559.2,19092.0
M2RV34,D1,29/05/2026,105.04,105.5,101.31,104.99,5500475.89,53262.0
M2RV34,D1,28/05/2026,104.79,105.14,98.33,104.0,3510312.64,34398.0
M2RV34,D1,27/05/2026,116.9,116.9,99.59,99.97,10601763.17,101866.0
M2RV34,D1,26/05/2026,105.99,108.12,100.82,105.65,3226571.4,30448.0
M2RV34,D1,25/05/2026,103.99,105.0,97.15,104.69,279835.19,2737.0
M2RV34,D1,22/05/2026,98.5,102.96,96.77,102.96,644437.82,6551.0
M2RV34,D1,21/05/2026,94.94,98.47,94.42,97.87,891689.96,9286.0
M2RV34,D1,20/05/2026,93.0,97.0,91.79,94.0,1735946.09,18535.0
M2RV34,D1,19/05/2026,91.34,91.42,82.48,89.5,1425205.2,16384.0
M2RV34,D1,18/05/2026,91.52,92.2,82.99,83.56,2714848.92,31691.0
M2RV34,D1,15/05/2026,86.6,91.91,86.5,90.6,1731639.6,19097.0
M2RV34,D1,14/05/2026,90.16,95.32,88.67,93.5,905413.93,9791.0
M2RV34,D1,13/05/2026,82.61,89.59,82.56,88.4,567628.38,6448.0
M2RV34,D1,12/05/2026,80.7,81.97,77.46,81.5,2001739.73,25034.0
M2RV34,D1,11/05/2026,79.54,85.36,79.54,84.4,360581.37,4369.0
M2RV34,D1,08/05/2026,81.36,83.5,80.58,82.0,510046.79,6169.0
M2RV34,D1,07/05/2026,83.89,83.89,78.09,79.08,713085.78,8829.0
M2RV34,D1,06/05/2026,83.55,86.48,82.41,84.1,297043.16,3526.0
M2RV34,D1,05/05/2026,82.87,85.0,81.21,82.72,817545.07,9806.0
M2RV34,D1,04/05/2026,84.0,84.0,81.03,81.68,654333.57,8017.0
M2RV34,D1,30/04/2026,80.71,84.0,78.49,84.0,645039.81,7957.0
M2RV34,D1,29/04/2026,78.08,81.43,76.0,81.43,465653.69,6024.0
M2RV34,D1,28/04/2026,74.14,79.0,73.33,79.0,361014.16,4758.0
M2RV34,D1,27/04/2026,84.0,84.0,76.35,78.11,2329047.12,29998.0
M2RV34,D1,24/04/2026,85.0,87.99,80.0,87.99,2210491.83,26757.0
M2RV34,D1,23/04/2026,79.5,83.14,77.92,83.0,2040093.46,24953.0
M2RV34,D1,22/04/2026,72.66,79.5,72.66,79.5,612728.99,7909.0
M2RV34,D1,20/04/2026,73.79,74.5,72.12,74.15,352056.83,4775.0
M2RV34,D1,17/04/2026,67.82,70.2,66.43,70.2,466629.5,6718.0
M2RV34,D1,16/04/2026,66.53,68.79,65.0,68.79,257377.68,3903.0
M2RV34,D1,15/04/2026,66.0,68.93,65.1,66.95,1571267.73,23479.0
M2RV34,D1,14/04/2026,67.09,68.66,65.66,67.55,1847386.43,27634.0
M2RV34,D1,13/04/2026,66.67,67.19,64.85,67.09,555787.24,8517.0
M2RV34,D1,10/04/2026,62.07,66.67,62.07,66.67,1347137.84,20836.0
M2RV34,D1,09/04/2026,59.03,63.89,59.0,62.07,75793.91,1233.0
M2RV34,D1,08/04/2026,59.01,59.03,56.4,57.0,72106.22,1252.0
M2RV34,D1,07/04/2026,56.86,56.87,55.05,56.12,83522.11,1491.0
M2RV34,D1,06/04/2026,55.98,57.0,54.72,56.29,54460.67,971.0
M2RV34,D1,02/04/2026,55.0,55.3,52.06,55.23,119984.85,2191.0
M2RV34,D1,01/04/2026,53.55,55.69,53.14,55.0,585282.02,10688.0
M2RV34,D1,31/03/2026,50.22,51.69,48.74,51.69,501817.33,10018.0
M2RV34,D1,30/03/2026,48.37,48.44,45.63,46.22,32880.29,710.0
M2RV34,D1,27/03/2026,51.25,51.65,49.03,50.01,380154.42,7665.0
M2RV34,D1,26/03/2026,52.17,53.36,51.2,53.36,288416.11,5542.0
M2RV34,D1,25/03/2026,49.24,51.65,49.24,51.33,232393.55,4581.0
M2RV34,D1,24/03/2026,47.95,48.9,47.93,48.75,80817.04,1660.0
M2RV34,D1,23/03/2026,47.05,47.49,46.74,47.42,8261.36,175.0
M2RV34,D1,20/03/2026,47.16,47.53,46.17,46.17,123905.81,2635.0
M2RV34,D1,19/03/2026,45.66,46.64,45.43,46.48,29270.92,630.0
M2RV34,D1,18/03/2026,46.04,46.29,45.66,45.66,80509.73,1759.0
M2RV34,D1,17/03/2026,47.86,48.47,47.02,47.09,29390.56,609.0
M2RV34,D1,16/03/2026,46.96,48.63,46.96,47.64,373566.89,7797.0
M2RV34,D1,13/03/2026,46.31,47.23,45.99,46.76,48821.68,1045.0
M2RV34,D1,12/03/2026,45.72,46.52,45.72,46.04,25427.4,552.0
M2RV34,D1,11/03/2026,48.79,48.95,46.66,46.66,128427.14,2710.0
M2RV34,D1,10/03/2026,47.34,49.0,47.34,48.59,288979.87,5975.0
M2RV34,D1,09/03/2026,47.17,47.81,44.01,47.41,257977.72,5508.0
M2RV34,D1,06/03/2026,42.3,49.14,42.3,47.17,2427369.23,51627.0
M2RV34,D1,05/03/2026,41.91,41.91,39.92,40.17,543215.24,13351.0
M2RV34,D1,04/03/2026,40.93,41.11,40.7,40.86,20983.1,513.0
M2RV34,D1,03/03/2026,41.83,41.83,40.81,40.81,179688.72,4371.0
M2RV34,D1,02/03/2026,41.81,42.8,41.33,41.83,584883.47,13995.0
M2RV34,D1,27/02/2026,40.74,42.08,40.7,41.81,63872.7,1551.0
M2RV34,D1,26/02/2026,41.91,41.91,39.92,40.74,14372.17,351.0
M2RV34,D1,25/02/2026,41.09,41.51,41.09,41.39,10978.72,265.0
M2RV34,D1,24/02/2026,40.31,40.82,40.31,40.55,82990.87,2052.0
M2RV34,D1,23/02/2026,40.88,40.88,39.4,40.13,832835.17,20963.0
M2RV34,D1,20/02/2026,41.11,41.42,40.89,41.03,66887.05,1627.0
M2RV34,D1,19/02/2026,41.3,41.33,40.87,41.33,35056.18,854.0
M2RV34,D1,18/02/2026,41.38,42.04,41.29,41.36,81798.45,1966.0
M2RV34,D1,13/02/2026,40.41,41.76,40.41,40.97,144459.57,3524.0
M2RV34,D1,12/02/2026,41.11,41.11,40.41,40.83,43978.7,1080.0
