symbol,timeframe,date,open,high,low,close,volume,quantity
MDIA3,D1,09/06/2026,18.8,19.03,18.66,18.77,17910132.0,951900.0
MDIA3,D1,08/06/2026,18.92,18.92,18.58,18.72,9651232.0,515900.0
MDIA3,D1,05/06/2026,19.04,19.2,18.81,18.92,6132852.0,323600.0
MDIA3,D1,03/06/2026,19.22,19.32,18.97,19.01,8936091.0,468400.0
MDIA3,D1,02/06/2026,19.18,19.25,18.94,19.23,7918070.0,413800.0
MDIA3,D1,01/06/2026,19.46,19.61,18.91,19.18,26701945.0,1386900.0
MDIA3,D1,29/05/2026,19.75,19.79,19.16,19.39,14432714.0,744300.0
MDIA3,D1,28/05/2026,20.07,20.09,19.65,19.7,7259551.0,366500.0
MDIA3,D1,27/05/2026,19.91,20.34,19.91,19.97,5265545.0,261500.0
MDIA3,D1,26/05/2026,20.28,20.28,19.85,19.9,12139682.0,609300.0
MDIA3,D1,25/05/2026,19.84,20.25,19.79,20.25,7538582.0,374600.0
MDIA3,D1,22/05/2026,19.87,19.92,19.66,19.79,4542664.0,229400.0
MDIA3,D1,21/05/2026,19.78,20.07,19.47,19.85,5707624.87,288200.0
MDIA3,D1,20/05/2026,19.52,19.89,19.47,19.68,6851949.41,347600.0
MDIA3,D1,19/05/2026,19.87,19.94,19.38,19.38,6545230.96,334800.0
MDIA3,D1,18/05/2026,19.97,20.05,19.81,19.91,9969747.37,500700.0
MDIA3,D1,15/05/2026,19.72,20.14,19.38,19.92,14909652.52,747400.0
MDIA3,D1,14/05/2026,19.97,20.23,19.71,19.71,10488052.04,527600.0
MDIA3,D1,13/05/2026,20.74,20.85,19.87,19.9,16267941.69,804900.0
MDIA3,D1,12/05/2026,20.37,20.85,20.32,20.79,11647497.73,562800.0
MDIA3,D1,11/05/2026,21.27,21.28,19.99,20.38,28869314.79,1413000.0
MDIA3,D1,08/05/2026,22.76,22.9,21.13,21.22,52413045.33,2412300.0
MDIA3,D1,07/05/2026,24.24,24.76,24.19,24.6,8721268.24,354700.0
MDIA3,D1,06/05/2026,24.19,24.47,24.02,24.31,9223104.8,379000.0
MDIA3,D1,05/05/2026,23.52,24.05,23.52,23.9,5642047.98,236200.0
MDIA3,D1,04/05/2026,23.7,24.06,23.42,23.78,9703439.85,408500.0
MDIA3,D1,30/04/2026,23.43,23.66,23.27,23.44,7147966.03,304500.0
MDIA3,D1,29/04/2026,23.59,23.65,23.16,23.16,9745057.95,417000.0
MDIA3,D1,28/04/2026,22.7,23.59,22.6,23.59,14799787.56,634300.0
MDIA3,D1,27/04/2026,22.91,22.91,22.52,22.7,7371398.35,324100.0
MDIA3,D1,24/04/2026,22.86,22.94,22.67,22.76,4353145.94,191100.0
MDIA3,D1,23/04/2026,23.22,23.33,22.88,22.91,3728137.54,161900.0
MDIA3,D1,22/04/2026,23.54,23.63,23.04,23.22,8145220.52,350800.0
MDIA3,D1,20/04/2026,23.62,23.62,23.32,23.51,6424077.97,273600.0
MDIA3,D1,17/04/2026,23.21,23.92,23.21,23.62,13047039.47,552500.0
MDIA3,D1,16/04/2026,23.66,23.67,23.14,23.19,11049122.73,475300.0
MDIA3,D1,15/04/2026,23.66,23.8,23.46,23.64,6071210.08,257600.0
MDIA3,D1,14/04/2026,23.89,23.99,23.55,23.64,7018322.28,296100.0
MDIA3,D1,13/04/2026,24.05,24.05,23.43,23.89,12203350.37,513800.0
MDIA3,D1,10/04/2026,24.42,24.42,23.93,23.93,9412740.6,391100.0
MDIA3,D1,09/04/2026,23.87,24.52,23.75,24.17,11503948.83,474700.0
MDIA3,D1,08/04/2026,23.4,24.16,23.34,23.87,15232883.43,637300.0
MDIA3,D1,07/04/2026,22.89,23.01,22.59,22.9,7050629.72,309100.0
MDIA3,D1,06/04/2026,22.97,23.25,22.85,22.98,8961652.02,389800.0
MDIA3,D1,02/04/2026,22.69,23.21,22.64,22.98,6779170.63,295000.0
MDIA3,D1,01/04/2026,23.04,23.38,22.94,23.11,9277302.24,400000.0
MDIA3,D1,31/03/2026,22.07,22.95,22.06,22.95,12479371.67,551700.0
MDIA3,D1,30/03/2026,22.05,22.4,21.88,21.9,17734143.27,801200.0
MDIA3,D1,27/03/2026,21.84,22.2,21.72,21.91,7363379.06,335000.0
MDIA3,D1,26/03/2026,22.37,22.56,21.86,21.86,10352549.26,466600.0
MDIA3,D1,25/03/2026,21.86,22.72,21.86,22.53,11941973.03,532800.0
MDIA3,D1,24/03/2026,21.81,21.91,21.55,21.8,11664472.87,536500.0
MDIA3,D1,23/03/2026,21.4,22.03,21.33,22.03,13523100.11,618600.0
MDIA3,D1,20/03/2026,21.36,21.63,21.16,21.16,15953906.94,748600.0
MDIA3,D1,19/03/2026,21.44,21.88,21.11,21.44,22027833.41,1036400.0
MDIA3,D1,18/03/2026,21.87,22.21,21.57,21.57,22254750.31,1025000.0
MDIA3,D1,17/03/2026,21.86,22.11,21.82,21.87,11844703.53,539800.0
MDIA3,D1,16/03/2026,22.06,22.24,21.81,21.81,7556567.35,343900.0
MDIA3,D1,13/03/2026,22.2,22.51,21.84,21.84,21735909.25,986400.0
MDIA3,D1,12/03/2026,22.88,22.88,22.17,22.17,28026243.39,1247800.0
MDIA3,D1,11/03/2026,23.17,23.44,22.74,22.78,26627983.06,1156500.0
MDIA3,D1,10/03/2026,22.86,23.5,22.77,23.25,11459743.86,492900.0
MDIA3,D1,09/03/2026,22.7,22.93,22.43,22.86,29233658.58,1293600.0
MDIA3,D1,06/03/2026,22.56,22.91,22.43,22.7,17735124.28,781900.0
MDIA3,D1,05/03/2026,22.94,23.23,22.55,22.73,20422794.3,895300.0
MDIA3,D1,04/03/2026,23.0,23.12,22.64,22.94,13597825.88,594600.0
MDIA3,D1,03/03/2026,22.96,23.13,22.5,22.71,25240101.5,1108700.0
MDIA3,D1,02/03/2026,22.6,23.18,22.51,23.14,48261871.23,2111100.0
MDIA3,D1,27/02/2026,23.88,23.93,22.36,23.3,100749552.21,4358000.0
MDIA3,D1,26/02/2026,25.83,26.34,25.79,26.05,16894404.83,646800.0
MDIA3,D1,25/02/2026,25.98,26.33,25.7,25.83,19704810.66,760100.0
MDIA3,D1,24/02/2026,25.25,26.09,25.22,25.97,17660575.77,683500.0
MDIA3,D1,23/02/2026,25.29,25.45,25.11,25.25,9062503.22,359100.0
MDIA3,D1,20/02/2026,25.29,25.39,24.76,25.39,8766682.3,348900.0
MDIA3,D1,19/02/2026,24.9,25.3,24.83,25.29,8359161.45,332400.0
MDIA3,D1,18/02/2026,24.87,25.13,24.54,24.86,7000896.48,283100.0
MDIA3,D1,13/02/2026,25.02,25.1,24.47,24.99,10185590.3,410500.0
MDIA3,D1,12/02/2026,25.17,25.6,24.82,24.86,11652026.46,463400.0
MDIA3,D1,11/02/2026,25.19,25.47,25.12,25.22,15544017.57,615200.0
MDIA3,D1,10/02/2026,24.26,25.12,24.19,25.12,13912081.99,560900.0
MDIA3,D1,09/02/2026,24.47,24.55,24.11,24.26,13605755.13,560300.0
MDIA3,D1,06/02/2026,24.71,24.72,24.35,24.47,8379193.26,341800.0
MDIA3,D1,05/02/2026,24.84,24.97,24.68,24.72,10875552.34,438500.0
MDIA3,D1,04/02/2026,25.02,25.02,24.48,24.78,8230716.76,332800.0
MDIA3,D1,03/02/2026,25.0,25.38,24.93,25.1,22915988.44,910400.0
MDIA3,D1,02/02/2026,24.77,24.97,24.74,24.97,8839106.29,355200.0
MDIA3,D1,30/01/2026,24.63,24.76,24.32,24.7,11916006.91,485300.0
MDIA3,D1,29/01/2026,25.26,25.37,24.31,24.51,14564409.41,591300.0
MDIA3,D1,28/01/2026,25.26,25.41,24.98,25.19,11496799.08,456100.0
MDIA3,D1,27/01/2026,24.99,25.22,24.71,25.06,16355870.37,654400.0
MDIA3,D1,26/01/2026,25.34,25.41,24.67,24.98,17108731.84,685500.0
MDIA3,D1,23/01/2026,25.21,25.42,24.65,25.36,9088989.17,362000.0
MDIA3,D1,22/01/2026,24.42,25.3,24.42,25.18,8494145.16,338700.0
MDIA3,D1,21/01/2026,24.37,24.7,24.29,24.59,14315731.81,583900.0
MDIA3,D1,20/01/2026,24.27,24.33,24.0,24.23,6388367.43,264000.0
MDIA3,D1,19/01/2026,24.7,24.75,24.36,24.36,3145664.16,128400.0
MDIA3,D1,16/01/2026,24.84,24.89,24.43,24.63,8707260.82,353900.0
MDIA3,D1,15/01/2026,25.23,25.28,24.63,24.69,7399181.07,298500.0
MDIA3,D1,14/01/2026,25.06,25.21,24.7,25.12,7161881.63,285700.0
MDIA3,D1,13/01/2026,24.34,24.91,24.34,24.91,8097050.19,326700.0
MDIA3,D1,12/01/2026,24.35,24.73,24.32,24.59,5424425.12,220800.0
MDIA3,D1,09/01/2026,24.34,24.4,24.15,24.34,4440889.01,182800.0
MDIA3,D1,08/01/2026,24.0,24.27,23.78,24.23,6956440.75,288800.0
MDIA3,D1,07/01/2026,23.94,24.0,23.73,24.0,5721733.95,239300.0
MDIA3,D1,06/01/2026,24.0,24.01,23.77,23.91,5903427.2,247100.0
MDIA3,D1,05/01/2026,23.89,24.03,23.49,23.83,4694741.16,197100.0
MDIA3,D1,02/01/2026,23.95,24.02,23.51,23.7,8303935.62,350400.0
MDIA3,D1,30/12/2025,23.75,23.94,23.72,23.8,3638246.39,152600.0
MDIA3,D1,29/12/2025,23.73,23.82,23.63,23.75,5563975.1,234400.0
MDIA3,D1,26/12/2025,23.51,23.94,23.38,23.74,9593549.19,404400.0
MDIA3,D1,23/12/2025,23.47,23.69,23.31,23.51,6729674.39,286300.0
MDIA3,D1,22/12/2025,23.09,23.45,23.01,23.37,11976866.09,514900.0
MDIA3,D1,19/12/2025,24.13,24.25,23.51,23.51,17933178.28,754200.0
MDIA3,D1,18/12/2025,24.22,24.49,24.03,24.04,12006563.24,496300.0
MDIA3,D1,17/12/2025,24.26,24.46,23.74,24.13,15213341.2,626800.0
MDIA3,D1,16/12/2025,24.3,24.46,24.11,24.26,6718355.42,276900.0
MDIA3,D1,15/12/2025,24.39,24.68,24.22,24.4,7578226.69,310500.0
MDIA3,D1,12/12/2025,24.23,24.4,24.03,24.21,8778528.87,362500.0
MDIA3,D1,11/12/2025,24.1,24.43,24.0,24.2,7881170.64,324900.0
MDIA3,D1,10/12/2025,23.86,24.1,23.73,24.1,7395664.92,308700.0
MDIA3,D1,09/12/2025,24.35,24.47,23.75,23.84,25800018.9,1076800.0
MDIA3,D1,08/12/2025,24.81,24.81,24.4,24.46,6817197.4,277300.0
MDIA3,D1,05/12/2025,25.87,25.87,25.26,25.28,1472925.34,57700.0
MDIA3,D1,04/12/2025,25.65,25.87,25.55,25.87,6245828.59,242600.0
MDIA3,D1,03/12/2025,25.29,25.65,25.23,25.48,5627790.34,220800.0
MDIA3,D1,02/12/2025,25.25,25.52,25.04,25.29,9217292.73,364700.0
MDIA3,D1,01/12/2025,25.79,25.79,25.24,25.24,9512576.36,375200.0
MDIA3,D1,28/11/2025,25.51,25.58,25.12,25.58,6428855.73,252800.0
MDIA3,D1,27/11/2025,25.89,25.9,25.36,25.44,6983873.93,273700.0
MDIA3,D1,26/11/2025,25.8,26.03,25.43,26.03,21784137.16,844700.0
MDIA3,D1,25/11/2025,24.67,25.54,23.92,25.54,32371509.45,1298500.0
MDIA3,D1,24/11/2025,25.21,25.64,24.88,24.88,20122052.45,802400.0
MDIA3,D1,21/11/2025,25.43,25.51,25.12,25.46,18221232.57,718300.0
MDIA3,D1,19/11/2025,25.68,25.81,25.3,25.49,15701559.79,616300.0
MDIA3,D1,18/11/2025,25.71,26.08,25.67,25.7,12698914.56,492500.0
MDIA3,D1,17/11/2025,25.87,26.05,25.73,25.92,27539277.4,1065200.0
MDIA3,D1,14/11/2025,25.9,26.26,25.75,25.97,11999382.18,461600.0
MDIA3,D1,13/11/2025,26.57,26.82,25.69,25.91,28707867.63,1103800.0
MDIA3,D1,12/11/2025,26.17,26.87,25.97,26.43,31345373.44,1185600.0
MDIA3,D1,11/11/2025,25.96,26.7,25.74,26.09,50407795.82,1913200.0
MDIA3,D1,10/11/2025,27.24,27.24,25.49,25.8,132474702.94,5108600.0
MDIA3,D1,07/11/2025,29.06,29.18,28.82,29.03,33715435.74,1163000.0
MDIA3,D1,06/11/2025,29.27,29.41,28.83,29.08,16987783.61,584300.0
MDIA3,D1,05/11/2025,29.4,29.73,29.02,29.26,7997120.35,273400.0
MDIA3,D1,04/11/2025,28.96,29.6,28.82,29.32,12191115.51,415400.0
MDIA3,D1,03/11/2025,29.27,29.27,28.81,28.96,12604414.75,434800.0
MDIA3,D1,31/10/2025,28.88,29.23,28.69,29.09,17463554.17,600900.0
MDIA3,D1,30/10/2025,28.38,29.12,28.38,28.88,14987318.01,518000.0
MDIA3,D1,29/10/2025,29.01,29.16,28.51,28.67,15149673.2,528300.0
MDIA3,D1,28/10/2025,29.2,29.2,28.34,29.0,19669612.13,683900.0
MDIA3,D1,27/10/2025,29.44,29.59,29.03,29.29,9692595.94,331400.0
MDIA3,D1,24/10/2025,29.08,29.54,28.82,29.25,19670168.79,676600.0
MDIA3,D1,23/10/2025,29.15,29.42,28.59,29.08,15878074.2,547800.0
MDIA3,D1,22/10/2025,28.8,29.18,28.74,29.14,11197740.64,385200.0
MDIA3,D1,21/10/2025,29.03,29.3,28.65,28.88,20389406.67,703500.0
MDIA3,D1,20/10/2025,28.88,29.27,28.75,29.02,17368398.7,598900.0
MDIA3,D1,17/10/2025,28.06,29.22,28.01,28.86,24325767.48,844300.0
MDIA3,D1,16/10/2025,27.81,28.42,27.79,28.16,22123919.97,786500.0
MDIA3,D1,15/10/2025,27.8,28.01,27.28,27.77,19674601.61,707500.0
MDIA3,D1,14/10/2025,26.43,28.13,26.43,27.9,37552448.02,1350400.0
MDIA3,D1,13/10/2025,26.34,26.99,26.22,26.72,17283766.32,645900.0
MDIA3,D1,10/10/2025,26.21,26.47,25.87,26.14,7709864.34,295900.0
MDIA3,D1,09/10/2025,26.33,26.6,26.04,26.21,26468335.96,1011700.0
MDIA3,D1,08/10/2025,26.82,27.02,26.13,26.33,35260745.19,1335800.0
MDIA3,D1,07/10/2025,27.36,27.42,26.56,26.8,21907309.88,817700.0
MDIA3,D1,06/10/2025,28.09,28.58,27.07,27.46,20259202.32,731400.0
MDIA3,D1,03/10/2025,28.16,28.22,27.93,28.1,5848631.95,208000.0
MDIA3,D1,02/10/2025,28.07,28.79,27.95,28.24,27569966.48,973600.0
