time,open,high,low,close,tick_volume,spread,real_volume
2026-06-11T06:20:00+00:00,0.69996,0.70025,0.69987,0.70024,277,7,0
2026-06-11T06:25:00+00:00,0.70024,0.70024,0.7001,0.70021,217,6,0
2026-06-11T06:30:00+00:00,0.70021,0.70031,0.70011,0.70025,358,7,0
2026-06-11T06:35:00+00:00,0.70025,0.70025,0.70001,0.70021,319,6,0
2026-06-11T06:40:00+00:00,0.70022,0.70031,0.70015,0.70023,288,7,0
2026-06-11T06:45:00+00:00,0.70023,0.70028,0.70002,0.70006,231,7,0
2026-06-11T06:50:00+00:00,0.70006,0.7002,0.70003,0.70011,201,4,0
2026-06-11T06:55:00+00:00,0.70011,0.70017,0.70003,0.70014,182,6,0
2026-06-11T07:00:00+00:00,0.70014,0.70018,0.69997,0.70013,248,4,0
2026-06-11T07:05:00+00:00,0.70012,0.7002,0.70005,0.70018,188,7,0
2026-06-11T07:10:00+00:00,0.70018,0.7003,0.70011,0.70023,212,6,0
2026-06-11T07:15:00+00:00,0.70023,0.70028,0.70011,0.7002,207,7,0
2026-06-11T07:20:00+00:00,0.7002,0.70033,0.70015,0.70015,223,3,0
2026-06-11T07:25:00+00:00,0.70015,0.70034,0.70011,0.70028,290,6,0
2026-06-11T07:30:00+00:00,0.70028,0.70055,0.70028,0.70033,240,6,0
2026-06-11T07:35:00+00:00,0.70033,0.70065,0.70032,0.70062,199,5,0
2026-06-11T07:40:00+00:00,0.70063,0.70079,0.70059,0.70073,207,6,0
2026-06-11T07:45:00+00:00,0.70073,0.70097,0.70065,0.70069,193,7,0
2026-06-11T07:50:00+00:00,0.70069,0.70081,0.70049,0.7008,240,6,0
2026-06-11T07:55:00+00:00,0.7008,0.70088,0.70075,0.70082,189,6,0
2026-06-11T08:00:00+00:00,0.70081,0.70086,0.70065,0.70086,508,2,0
2026-06-11T08:05:00+00:00,0.70087,0.70106,0.70071,0.701,256,2,0
2026-06-11T08:10:00+00:00,0.701,0.70106,0.70093,0.70104,174,2,0
2026-06-11T08:15:00+00:00,0.70104,0.70117,0.70091,0.70107,206,2,0
2026-06-11T08:20:00+00:00,0.70106,0.70119,0.70105,0.70105,182,2,0
2026-06-11T08:25:00+00:00,0.70105,0.70112,0.70083,0.70096,247,2,0
2026-06-11T08:30:00+00:00,0.70096,0.70105,0.70077,0.70086,415,2,0
2026-06-11T08:35:00+00:00,0.70087,0.701,0.70073,0.70084,388,2,0
2026-06-11T08:40:00+00:00,0.70084,0.70096,0.70081,0.70096,199,2,0
2026-06-11T08:45:00+00:00,0.70096,0.70101,0.70084,0.70089,274,2,0
2026-06-11T08:50:00+00:00,0.70089,0.7009,0.70059,0.70061,298,2,0
2026-06-11T08:55:00+00:00,0.70061,0.70088,0.7006,0.7007,255,2,0
2026-06-11T09:00:00+00:00,0.7007,0.7007,0.70018,0.70018,348,2,0
2026-06-11T09:05:00+00:00,0.70018,0.70039,0.70014,0.70031,404,2,0
2026-06-11T09:10:00+00:00,0.7003,0.70057,0.70028,0.70054,231,2,0
2026-06-11T09:15:00+00:00,0.70054,0.70061,0.70044,0.70054,286,2,0
2026-06-11T09:20:00+00:00,0.70055,0.70071,0.70048,0.70071,243,2,0
2026-06-11T09:25:00+00:00,0.70071,0.70075,0.70047,0.70047,299,2,0
2026-06-11T09:30:00+00:00,0.70047,0.70054,0.70033,0.70049,210,2,0
2026-06-11T09:35:00+00:00,0.70049,0.70072,0.70041,0.70064,272,2,0
2026-06-11T09:40:00+00:00,0.70064,0.70078,0.70058,0.70069,231,2,0
2026-06-11T09:45:00+00:00,0.70069,0.70078,0.70029,0.7003,229,0,0
2026-06-11T09:50:00+00:00,0.7003,0.70054,0.70027,0.70051,256,2,0
2026-06-11T09:55:00+00:00,0.70051,0.70053,0.70019,0.7002,279,2,0
2026-06-11T10:00:00+00:00,0.70019,0.7003,0.69998,0.70013,425,2,0
2026-06-11T10:05:00+00:00,0.70013,0.70034,0.70013,0.70025,260,2,0
2026-06-11T10:10:00+00:00,0.70024,0.70049,0.70007,0.70018,340,0,0
2026-06-11T10:15:00+00:00,0.70018,0.7004,0.70007,0.70027,414,2,0
2026-06-11T10:20:00+00:00,0.70027,0.70074,0.70026,0.70067,303,2,0
2026-06-11T10:25:00+00:00,0.70067,0.70078,0.70055,0.70077,244,2,0
2026-06-11T10:30:00+00:00,0.70078,0.70088,0.70055,0.70056,237,2,0
2026-06-11T10:35:00+00:00,0.70056,0.70064,0.7004,0.70041,201,2,0
2026-06-11T10:40:00+00:00,0.70041,0.70045,0.70029,0.70033,201,2,0
2026-06-11T10:45:00+00:00,0.70033,0.70033,0.70009,0.70017,258,2,0
2026-06-11T10:50:00+00:00,0.70017,0.70017,0.69989,0.70006,263,2,0
2026-06-11T10:55:00+00:00,0.70006,0.70015,0.69999,0.70009,203,2,0
2026-06-11T11:00:00+00:00,0.70009,0.70021,0.69982,0.69984,427,2,0
2026-06-11T11:05:00+00:00,0.69984,0.70007,0.69975,0.69996,347,1,0
2026-06-11T11:10:00+00:00,0.69996,0.69997,0.69966,0.69984,252,2,0
2026-06-11T11:15:00+00:00,0.69984,0.69985,0.69959,0.69977,249,2,0
2026-06-11T11:20:00+00:00,0.69977,0.69982,0.6996,0.69979,311,1,0
2026-06-11T11:25:00+00:00,0.69978,0.6998,0.6996,0.69965,338,2,0
2026-06-11T11:30:00+00:00,0.69963,0.6997,0.69946,0.6997,243,2,0
2026-06-11T11:35:00+00:00,0.6997,0.69985,0.69962,0.69965,217,1,0
2026-06-11T11:40:00+00:00,0.69964,0.69966,0.69947,0.69952,193,2,0
2026-06-11T11:45:00+00:00,0.69952,0.6996,0.69932,0.69934,189,2,0
2026-06-11T11:50:00+00:00,0.69934,0.69942,0.69908,0.69909,302,0,0
2026-06-11T11:55:00+00:00,0.69909,0.69955,0.69906,0.69929,289,2,0
2026-06-11T12:00:00+00:00,0.69929,0.6995,0.69924,0.69949,295,2,0
2026-06-11T12:05:00+00:00,0.69949,0.69951,0.69922,0.69923,226,2,0
2026-06-11T12:10:00+00:00,0.69923,0.69945,0.69918,0.69944,219,2,0
2026-06-11T12:15:00+00:00,0.69944,0.69968,0.69943,0.69964,348,2,0
2026-06-11T12:20:00+00:00,0.69964,0.69964,0.69927,0.69948,236,2,0
2026-06-11T12:25:00+00:00,0.69948,0.69953,0.6994,0.69944,172,2,0
2026-06-11T12:30:00+00:00,0.69944,0.69952,0.69939,0.69951,203,2,0
