time,open,high,low,close,tick_volume
2026-05-21 12:10:00,0.71365,0.71398,0.71348,0.71389,364
2026-05-21 12:15:00,0.71389,0.71405,0.7138,0.71399,298
2026-05-21 12:20:00,0.714,0.7142,0.71392,0.71401,268
2026-05-21 12:25:00,0.71401,0.71416,0.7138,0.71411,259
2026-05-21 12:30:00,0.71411,0.71422,0.71394,0.71414,292
2026-05-21 12:35:00,0.71414,0.71414,0.71367,0.71367,291
2026-05-21 12:40:00,0.71368,0.71376,0.71342,0.71348,259
2026-05-21 12:45:00,0.71348,0.71358,0.71334,0.71352,230
2026-05-21 12:50:00,0.71352,0.71358,0.71343,0.71356,191
2026-05-21 12:55:00,0.71356,0.71363,0.71348,0.71356,181
2026-05-21 13:00:00,0.71356,0.71381,0.71353,0.71376,260
2026-05-21 13:05:00,0.71376,0.71394,0.71357,0.7138,269
2026-05-21 13:10:00,0.7138,0.71384,0.71363,0.71365,295
2026-05-21 13:15:00,0.71364,0.71383,0.71357,0.71365,250
2026-05-21 13:20:00,0.71365,0.71365,0.71353,0.71355,269
2026-05-21 13:25:00,0.71355,0.71357,0.71221,0.71251,1327
2026-05-21 13:30:00,0.71252,0.71254,0.71183,0.71241,975
2026-05-21 13:35:00,0.71241,0.71264,0.71185,0.71191,792
2026-05-21 13:40:00,0.71191,0.71256,0.71173,0.71242,677
2026-05-21 13:45:00,0.71242,0.71253,0.71215,0.71247,672
2026-05-21 13:50:00,0.71247,0.71252,0.71218,0.7124,551
2026-05-21 13:55:00,0.71239,0.71279,0.71239,0.71244,494
2026-05-21 14:00:00,0.71244,0.71306,0.71241,0.71278,566
2026-05-21 14:05:00,0.71277,0.71284,0.71259,0.71279,474
2026-05-21 14:10:00,0.71279,0.71304,0.71264,0.71303,338
2026-05-21 14:15:00,0.71303,0.71325,0.71295,0.71318,346
2026-05-21 14:20:00,0.71317,0.71378,0.71309,0.71358,567
2026-05-21 14:25:00,0.71358,0.71358,0.71319,0.71347,393
