time,open,high,low,close,tick_volume
2020-08-21,1948.08,1955.97,1911.26,1938.98,149830
2020-08-24,1936.69,1961.88,1923.74,1928.38,131802
2020-08-25,1930.34,1937.49,1914.19,1926.87,131524
2020-08-26,1928.28,1954.82,1902.64,1953.14,134650
2020-08-27,1951.92,1976.53,1909.79,1928.32,159239
2020-08-28,1929.98,1973.78,1923.15,1964.34,148365
2020-08-31,1969.07,1976.54,1954.23,1968.22,99691
2020-09-01,1968.35,1992.29,1963.35,1970.63,110904
2020-09-02,1968.21,1973.26,1932.39,1943.08,115889
2020-09-03,1942.01,1950.94,1921.75,1930.45,121698
2020-09-04,1931.28,1948.36,1916.27,1933.09,122132
2020-09-07,1932.07,1941.37,1924.44,1928.29,53826
2020-09-08,1929.54,1940.84,1906.54,1931.51,127513
2020-09-09,1931.59,1950.84,1919.95,1947.37,106929
2020-09-10,1946.3,1966.53,1941.35,1946.01,125077
2020-09-11,1946.32,1954.8,1937.12,1940.48,115707
2020-09-14,1937.74,1962.56,1937.36,1956.52,94840
2020-09-15,1957.68,1972.21,1948.29,1953.34,101514
2020-09-16,1954.52,1973.64,1949.87,1959.15,114101
2020-09-17,1959.47,1960.96,1932.87,1944.2,116066
2020-09-18,1944.43,1960.1,1943.93,1950.42,104181
2020-09-21,1949.75,1955.62,1882.71,1911.92,140739
2020-09-22,1914.34,1920.03,1894.64,1900.34,138128
2020-09-23,1900.62,1905.39,1855.67,1862.74,170439
2020-09-24,1863.96,1877.15,1848.75,1868.66,185366
2020-09-25,1869.77,1875.18,1852.37,1860.14,143312
2020-09-28,1862.9,1882.96,1848.93,1881.84,121920
2020-09-29,1881.24,1899.12,1875.49,1897.48,121758
2020-09-30,1897.69,1902.27,1881.34,1885.23,124684
2020-10-01,1887.32,1912.12,1884.67,1905.94,129822
2020-10-02,1904.72,1917.1,1889.76,1900.58,110455
2020-10-05,1903.47,1918.73,1887.05,1913.65,96742
2020-10-06,1911.96,1921.09,1876.78,1877.56,103229
2020-10-07,1877.88,1898.01,1872.94,1887.83,94014
2020-10-08,1887.27,1900.62,1882.0,1893.5,89931
2020-10-09,1893.93,1930.41,1893.58,1929.87,93245
2020-10-12,1926.89,1933.18,1918.2,1922.63,89130
2020-10-13,1923.88,1925.37,1886.37,1891.07,98934
2020-10-14,1892.95,1912.94,1882.46,1900.49,88039
2020-10-15,1901.54,1908.9,1889.48,1907.92,100016
2020-10-16,1908.74,1913.92,1897.76,1898.76,79358
2020-10-19,1899.71,1918.47,1896.98,1903.44,81201
2020-10-20,1903.5,1914.03,1894.81,1907.53,80173
2020-10-21,1910.14,1931.36,1908.41,1924.6,87121
2020-10-22,1924.65,1925.94,1894.5,1903.67,83858
2020-10-23,1904.81,1914.19,1894.29,1901.41,72918
2020-10-26,1901.37,1908.52,1891.21,1901.68,84997
2020-10-27,1902.06,1911.42,1897.84,1907.35,70872
2020-10-28,1907.75,1910.87,1869.36,1876.81,107560
2020-10-29,1877.7,1884.97,1859.92,1867.11,101170
2020-10-30,1869.1,1889.79,1864.45,1878.37,102452
2020-11-02,1879.27,1896.02,1873.41,1895.06,91898
2020-11-03,1894.95,1910.55,1886.86,1908.94,83912
2020-11-04,1909.17,1916.31,1881.82,1903.27,138750
2020-11-05,1903.22,1952.76,1902.45,1949.17,136181
2020-11-06,1946.29,1960.29,1935.59,1951.81,129291
2020-11-09,1957.18,1965.46,1850.52,1863.13,178171
2020-11-10,1860.97,1890.35,1860.69,1877.39,145814
2020-11-11,1875.53,1884.41,1856.43,1865.5,110216
2020-11-12,1866.76,1883.81,1862.69,1876.71,108861
2020-11-13,1877.12,1896.75,1873.97,1889.28,91972
2020-11-16,1887.89,1899.01,1864.46,1888.66,117953
2020-11-17,1889.5,1893.43,1876.84,1880.19,92151
2020-11-18,1881.56,1884.82,1863.47,1871.97,88323
2020-11-19,1873.83,1874.13,1852.69,1866.84,88459
2020-11-20,1861.33,1879.75,1860.76,1870.9,69867
2020-11-23,1870.86,1876.14,1830.95,1837.49,90322
2020-11-24,1838.68,1838.95,1800.25,1807.71,115098
2020-11-25,1807.66,1817.63,1801.73,1807.07,80615
2020-11-26,1809.01,1818.22,1805.7,1810.2,48151
2020-11-27,1810.24,1813.88,1774.33,1786.76,77501
2020-11-30,1789.31,1789.86,1764.38,1777.64,99038
2020-12-01,1776.97,1817.27,1775.74,1815.42,84421
2020-12-02,1812.97,1832.55,1807.43,1830.72,80494
2020-12-03,1829.36,1843.91,1823.64,1840.98,89559
2020-12-04,1841.28,1848.17,1829.11,1838.6,74001
2020-12-07,1836.86,1868.5,1821.99,1863.1,80761
2020-12-08,1862.91,1875.28,1860.17,1870.83,75510
2020-12-09,1869.35,1870.53,1825.4,1839.41,99377
2020-12-10,1838.49,1849.98,1828.62,1835.96,90853
2020-12-11,1837.03,1847.66,1823.91,1839.91,75786
2020-12-14,1837.07,1839.02,1818.34,1827.82,77212
2020-12-15,1828.4,1855.32,1825.46,1853.67,74189
2020-12-16,1853.88,1865.77,1844.71,1864.06,101568
2020-12-17,1863.46,1896.19,1862.01,1886.04,95207
2020-12-18,1884.71,1889.58,1877.38,1880.55,78474
2020-12-21,1882.51,1906.7,1854.99,1876.25,133851
2020-12-22,1879.31,1884.21,1858.93,1859.91,101321
2020-12-23,1861.01,1878.56,1857.06,1872.63,98019
2020-12-24,1873.39,1883.46,1869.5,1879.3,55919
2020-12-28,1888.4,1900.2,1869.12,1873.05,85663
2020-12-29,1875.23,1886.44,1871.71,1878.17,75438
2020-12-30,1877.31,1894.04,1876.08,1893.81,63365
2020-12-31,1893.47,1900.38,1885.41,1893.68,64248
2021-01-04,1909.07,1944.43,1907.72,1943.23,110285
2021-01-05,1941.49,1953.09,1934.31,1950.03,95998
2021-01-06,1949.89,1959.29,1900.83,1918.79,143511
2021-01-07,1920.94,1927.64,1906.77,1913.51,105316
2021-01-08,1916.18,1917.48,1828.27,1849.04,155562
2021-01-11,1854.74,1855.59,1817.0,1844.45,120645
2021-01-12,1847.51,1863.8,1836.7,1855.31,105679
2021-01-13,1855.04,1862.94,1841.91,1844.68,88213
2021-01-14,1847.51,1857.45,1830.94,1846.46,102850
2021-01-15,1847.79,1856.85,1823.39,1827.65,125252
2021-01-18,1828.39,1840.72,1810.29,1837.52,89033
2021-01-19,1838.41,1845.51,1833.12,1839.63,109648
2021-01-20,1840.51,1871.73,1832.49,1871.42,125615
2021-01-21,1871.58,1875.01,1858.32,1869.8,118950
2021-01-22,1869.76,1870.81,1837.4,1854.67,132569
2021-01-25,1858.02,1867.93,1847.11,1855.94,137306
2021-01-26,1855.26,1861.73,1848.4,1851.43,110758
2021-01-27,1851.58,1853.11,1831.35,1843.83,143666
2021-01-28,1842.66,1864.0,1834.0,1842.61,171059
2021-01-29,1843.12,1875.69,1839.59,1847.59,192328
2021-02-01,1855.57,1871.78,1849.15,1860.55,220293
2021-02-02,1859.37,1864.05,1829.53,1837.65,180506
2021-02-03,1837.38,1844.98,1829.81,1834.21,128024
