symbol,timeframe,date,open,high,low,close,volume,quantity
NBIT11,D1,09/06/2026,25.95,25.95,24.9,25.39,29266.8,1153.0
NBIT11,D1,08/06/2026,25.2,26.42,25.2,25.85,59406.78,2304.0
NBIT11,D1,05/06/2026,25.78,25.78,24.08,24.79,52470.81,2125.0
NBIT11,D1,03/06/2026,26.59,26.64,26.19,26.31,5607.38,212.0
NBIT11,D1,02/06/2026,27.55,27.55,26.25,26.61,57489.73,2144.0
NBIT11,D1,01/06/2026,28.98,29.18,27.96,28.23,100427.36,3542.0
NBIT11,D1,29/05/2026,29.23,29.76,28.98,29.19,61224.67,2084.0
NBIT11,D1,28/05/2026,29.89,29.89,28.99,29.16,36940.15,1266.0
NBIT11,D1,27/05/2026,30.48,30.48,29.86,29.87,15886.68,531.0
NBIT11,D1,26/05/2026,30.41,30.93,30.02,30.17,58820.28,1939.0
NBIT11,D1,25/05/2026,30.51,31.43,30.11,30.66,31248.55,1018.0
NBIT11,D1,22/05/2026,30.78,30.78,29.98,30.09,22683.29,747.0
NBIT11,D1,21/05/2026,31.0,31.0,30.11,30.69,58442.76,1914.0
NBIT11,D1,20/05/2026,30.93,31.03,30.48,30.69,54820.94,1790.0
NBIT11,D1,19/05/2026,30.66,31.13,30.34,30.62,56012.72,1832.0
NBIT11,D1,18/05/2026,31.19,31.19,30.08,30.35,24156.17,798.0
NBIT11,D1,15/05/2026,32.31,32.31,31.45,31.67,112064.01,3538.0
NBIT11,D1,14/05/2026,31.43,32.28,31.37,32.06,110965.4,3456.0
NBIT11,D1,13/05/2026,31.52,31.52,30.46,31.49,56338.66,1810.0
NBIT11,D1,12/05/2026,31.68,31.68,30.87,31.2,60904.31,1954.0
NBIT11,D1,11/05/2026,31.23,31.84,31.23,31.77,41296.18,1308.0
NBIT11,D1,08/05/2026,30.89,31.24,30.78,31.08,3225246.77,103786.0
NBIT11,D1,07/05/2026,31.82,31.82,31.06,31.18,7550.79,241.0
NBIT11,D1,06/05/2026,32.06,32.06,31.61,31.77,36207.98,1139.0
NBIT11,D1,05/05/2026,31.81,32.05,31.51,31.81,51198.48,1617.0
NBIT11,D1,04/05/2026,30.54,31.77,30.54,31.49,114838.33,3646.0
NBIT11,D1,30/04/2026,29.68,30.99,29.68,30.01,191844.61,6385.0
NBIT11,D1,29/04/2026,30.42,30.45,29.52,29.89,161621.91,5363.0
NBIT11,D1,28/04/2026,30.24,30.24,29.93,30.11,52321.53,1743.0
NBIT11,D1,27/04/2026,30.93,30.93,30.04,30.24,132744.5,4395.0
NBIT11,D1,24/04/2026,30.75,31.3,30.58,30.62,75593.72,2452.0
NBIT11,D1,23/04/2026,31.1,31.34,30.43,30.84,37278.37,1211.0
NBIT11,D1,22/04/2026,30.96,32.0,30.96,31.09,358601.06,11531.0
NBIT11,D1,20/04/2026,31.02,31.02,29.56,30.12,67451.34,2234.0
NBIT11,D1,17/04/2026,29.52,31.07,29.52,30.71,55697.26,1827.0
NBIT11,D1,16/04/2026,29.94,30.44,29.17,29.87,52334.08,1759.0
NBIT11,D1,15/04/2026,29.8,29.8,29.23,29.64,12532.18,425.0
NBIT11,D1,14/04/2026,29.36,30.06,29.0,29.5,157188.59,5324.0
NBIT11,D1,13/04/2026,28.95,29.18,28.29,29.08,36511.22,1268.0
NBIT11,D1,10/04/2026,29.2,29.2,28.79,29.18,46886.25,1611.0
NBIT11,D1,09/04/2026,29.19,29.22,28.52,29.02,24506.31,847.0
NBIT11,D1,08/04/2026,28.88,29.25,28.68,28.94,69305.56,2393.0
NBIT11,D1,07/04/2026,27.92,28.43,27.58,28.43,57040.66,2024.0
NBIT11,D1,06/04/2026,28.1,29.08,28.06,28.49,30506.87,1071.0
NBIT11,D1,02/04/2026,27.32,28.03,27.0,27.4,49300.97,1799.0
NBIT11,D1,01/04/2026,28.32,28.54,27.66,27.88,33566.68,1196.0
NBIT11,D1,31/03/2026,27.98,28.46,27.3,28.03,57195.21,2052.0
NBIT11,D1,30/03/2026,27.93,28.32,27.46,27.7,19463.82,702.0
NBIT11,D1,27/03/2026,28.22,28.22,27.27,27.39,69300.26,2532.0
NBIT11,D1,26/03/2026,29.64,29.64,28.03,28.81,63891.64,2226.0
NBIT11,D1,25/03/2026,29.39,29.79,28.81,29.34,22514.89,765.0
NBIT11,D1,24/03/2026,30.03,30.03,28.79,28.97,42285.83,1454.0
NBIT11,D1,23/03/2026,29.93,31.02,29.45,29.45,37763.81,1261.0
NBIT11,D1,20/03/2026,29.43,29.63,29.22,29.63,20550.26,699.0
NBIT11,D1,19/03/2026,29.0,29.31,28.48,29.13,34588.71,1191.0
NBIT11,D1,18/03/2026,30.13,30.13,29.05,29.5,63967.51,2165.0
NBIT11,D1,17/03/2026,30.84,30.97,30.43,30.75,24807.3,808.0
NBIT11,D1,16/03/2026,30.55,31.12,30.07,30.73,44895.09,1456.0
NBIT11,D1,13/03/2026,29.64,30.74,29.64,30.14,25058.75,831.0
NBIT11,D1,12/03/2026,29.19,29.45,28.79,29.34,22357.52,767.0
NBIT11,D1,11/03/2026,28.75,29.64,28.68,28.89,18767.43,648.0
NBIT11,D1,10/03/2026,28.73,29.36,28.36,28.72,31326.98,1083.0
NBIT11,D1,09/03/2026,28.69,28.96,28.27,28.37,27982.9,981.0
NBIT11,D1,06/03/2026,29.28,29.46,27.93,28.4,35440.9,1233.0
