symbol,timeframe,date,open,high,low,close,volume,quantity
POSI3F,D1,09/06/2026,3.43,3.53,3.39,3.47,18455.29,5352.0
POSI3F,D1,08/06/2026,3.66,3.7,3.38,3.39,44668.4,12784.0
POSI3F,D1,05/06/2026,3.75,3.8,3.65,3.69,30653.53,8304.0
POSI3F,D1,03/06/2026,4.1,4.1,3.68,3.76,57915.61,15056.0
POSI3F,D1,02/06/2026,4.1,4.14,4.01,4.04,12564.95,3093.0
POSI3F,D1,01/06/2026,4.06,4.11,4.0,4.11,17177.44,4231.0
POSI3F,D1,29/05/2026,4.1,4.15,3.98,4.06,17858.61,4402.0
POSI3F,D1,28/05/2026,4.11,4.2,4.11,4.15,8527.02,2052.0
POSI3F,D1,27/05/2026,4.18,4.24,4.1,4.16,11187.63,2691.0
POSI3F,D1,26/05/2026,4.05,4.18,4.04,4.18,11920.53,2894.0
POSI3F,D1,25/05/2026,4.12,4.17,4.07,4.16,10707.53,2598.0
POSI3F,D1,22/05/2026,4.1,4.1,4.02,4.1,10766.18,2650.0
POSI3F,D1,21/05/2026,4.17,4.21,4.05,4.1,12830.51,3117.0
POSI3F,D1,20/05/2026,3.97,4.26,3.92,4.26,21191.7,5140.0
POSI3F,D1,19/05/2026,3.96,4.04,3.86,4.04,20278.23,5124.0
POSI3F,D1,18/05/2026,3.87,3.98,3.87,3.98,18628.32,4746.0
POSI3F,D1,15/05/2026,3.94,3.99,3.84,3.84,32725.87,8399.0
POSI3F,D1,14/05/2026,4.2,4.3,3.77,3.93,78587.48,19911.0
POSI3F,D1,13/05/2026,4.35,4.45,4.23,4.23,11791.74,2724.0
POSI3F,D1,12/05/2026,4.39,4.47,4.33,4.33,12816.2,2907.0
POSI3F,D1,11/05/2026,4.4,4.48,4.36,4.44,14611.34,3308.0
POSI3F,D1,08/05/2026,4.52,4.65,4.43,4.43,13089.29,2889.0
POSI3F,D1,07/05/2026,4.56,4.64,4.49,4.56,17359.64,3803.0
POSI3F,D1,06/05/2026,4.27,4.64,4.27,4.54,25569.21,5702.0
POSI3F,D1,05/05/2026,4.25,4.34,4.22,4.22,12846.56,3005.0
POSI3F,D1,04/05/2026,4.22,4.42,4.22,4.26,23853.33,5546.0
POSI3F,D1,30/04/2026,4.16,4.25,4.14,4.19,15521.82,3702.0
POSI3F,D1,29/04/2026,4.19,4.25,4.1,4.16,16087.17,3851.0
POSI3F,D1,28/04/2026,4.23,4.25,4.13,4.16,20975.64,5025.0
POSI3F,D1,27/04/2026,4.33,4.38,4.18,4.19,25474.81,6000.0
POSI3F,D1,24/04/2026,4.73,4.77,4.32,4.39,36364.91,8077.0
POSI3F,D1,23/04/2026,4.77,4.77,4.64,4.65,24846.52,5274.0
POSI3F,D1,22/04/2026,4.72,4.8,4.7,4.71,25250.73,5301.0
POSI3F,D1,20/04/2026,4.64,4.77,4.56,4.73,35667.75,7670.0
POSI3F,D1,17/04/2026,4.61,4.71,4.61,4.69,22416.24,4814.0
POSI3F,D1,16/04/2026,4.51,4.6,4.49,4.54,15621.76,3447.0
POSI3F,D1,15/04/2026,4.59,4.64,4.53,4.57,19774.96,4311.0
POSI3F,D1,14/04/2026,4.6,4.69,4.51,4.54,19077.65,4139.0
POSI3F,D1,13/04/2026,4.55,4.69,4.51,4.66,41011.35,8935.0
POSI3F,D1,10/04/2026,4.52,4.67,4.45,4.6,31604.8,6905.0
POSI3F,D1,09/04/2026,4.41,4.53,4.36,4.49,32897.26,7404.0
POSI3F,D1,08/04/2026,4.3,4.39,4.29,4.33,32232.43,7415.0
POSI3F,D1,07/04/2026,4.27,4.34,4.13,4.22,22911.87,5449.0
POSI3F,D1,06/04/2026,4.34,4.35,4.17,4.3,35187.85,8277.0
POSI3F,D1,02/04/2026,4.19,4.34,4.07,4.31,26683.98,6277.0
POSI3F,D1,01/04/2026,4.1,4.3,4.1,4.28,32438.71,7660.0
POSI3F,D1,31/03/2026,4.05,4.16,4.01,4.15,20360.77,4967.0
POSI3F,D1,30/03/2026,4.03,4.1,3.98,4.03,30731.26,7648.0
POSI3F,D1,27/03/2026,4.03,4.07,3.99,4.04,22342.64,5557.0
POSI3F,D1,26/03/2026,4.1,4.2,4.03,4.09,23434.56,5743.0
POSI3F,D1,25/03/2026,4.14,4.27,4.14,4.22,17812.18,4222.0
POSI3F,D1,24/03/2026,4.14,4.2,4.1,4.11,17596.75,4258.0
POSI3F,D1,23/03/2026,4.21,4.3,4.15,4.27,15943.54,3780.0
POSI3F,D1,20/03/2026,4.42,4.46,4.14,4.35,19166.98,4504.0
POSI3F,D1,19/03/2026,4.37,4.48,4.25,4.42,18626.31,4297.0
POSI3F,D1,18/03/2026,4.39,4.48,4.33,4.35,15501.08,3518.0
POSI3F,D1,17/03/2026,4.49,4.59,4.4,4.45,20292.79,4545.0
POSI3F,D1,16/03/2026,4.51,4.6,4.39,4.54,18463.53,4065.0
POSI3F,D1,13/03/2026,4.42,4.64,4.42,4.53,21510.83,4714.0
POSI3F,D1,12/03/2026,4.45,4.57,4.4,4.52,20592.13,4584.0
POSI3F,D1,11/03/2026,4.39,4.59,4.36,4.53,35048.83,7753.0
POSI3F,D1,10/03/2026,4.18,4.5,4.18,4.38,48968.68,11157.0
POSI3F,D1,09/03/2026,4.06,4.22,4.03,4.14,30155.66,7370.0
POSI3F,D1,06/03/2026,4.05,4.11,4.02,4.05,20553.47,5072.0
POSI3F,D1,05/03/2026,4.03,4.15,4.02,4.05,27242.43,6674.0
POSI3F,D1,04/03/2026,3.97,4.06,3.97,4.01,23233.18,5774.0
POSI3F,D1,03/03/2026,4.14,4.14,3.93,3.93,50641.94,12767.0
POSI3F,D1,02/03/2026,4.07,4.16,3.99,4.12,31610.02,7804.0
POSI3F,D1,27/02/2026,4.16,4.16,4.04,4.08,32448.73,7951.0
POSI3F,D1,26/02/2026,4.2,4.24,4.12,4.13,17132.14,4070.0
POSI3F,D1,25/02/2026,4.24,4.27,4.12,4.15,39960.5,9542.0
POSI3F,D1,24/02/2026,4.11,4.25,4.1,4.19,33064.15,7923.0
POSI3F,D1,23/02/2026,4.15,4.16,4.04,4.04,26044.41,6383.0
POSI3F,D1,20/02/2026,4.02,4.14,4.0,4.12,27370.82,6747.0
POSI3F,D1,19/02/2026,4.06,4.11,4.02,4.02,27521.06,6793.0
POSI3F,D1,18/02/2026,4.08,4.18,4.03,4.1,26527.51,6489.0
POSI3F,D1,13/02/2026,4.11,4.14,4.03,4.12,34506.78,8457.0
POSI3F,D1,12/02/2026,4.22,4.22,4.09,4.1,28073.7,6769.0
POSI3F,D1,11/02/2026,4.21,4.26,4.18,4.23,30877.22,7307.0
POSI3F,D1,10/02/2026,4.29,4.29,4.2,4.24,23769.11,5597.0
POSI3F,D1,09/02/2026,4.33,4.34,4.23,4.34,28701.2,6681.0
POSI3F,D1,06/02/2026,4.26,4.37,4.23,4.27,27177.6,6352.0
POSI3F,D1,05/02/2026,4.4,4.4,4.3,4.33,30425.28,7010.0
