symbol,timeframe,date,open,high,low,close,volume,quantity
POSI3,D1,09/06/2026,3.46,3.52,3.38,3.43,4969749.0,1440900.0
POSI3,D1,08/06/2026,3.66,3.67,3.37,3.4,8802855.0,2542200.0
POSI3,D1,05/06/2026,3.79,3.79,3.64,3.66,4294583.0,1166600.0
POSI3,D1,03/06/2026,4.05,4.05,3.68,3.75,10120559.0,2654900.0
POSI3,D1,02/06/2026,4.07,4.13,4.02,4.06,1728765.0,425800.0
POSI3,D1,01/06/2026,4.01,4.12,4.01,4.1,2981838.0,733000.0
POSI3,D1,29/05/2026,4.14,4.14,3.97,4.07,3495845.0,862500.0
POSI3,D1,28/05/2026,4.11,4.2,4.11,4.14,2377697.0,571500.0
POSI3,D1,27/05/2026,4.16,4.24,4.11,4.13,1731031.0,416100.0
POSI3,D1,26/05/2026,4.1,4.17,4.05,4.17,2024457.0,491300.0
POSI3,D1,25/05/2026,4.07,4.18,4.07,4.1,2333392.0,564500.0
POSI3,D1,22/05/2026,4.09,4.1,4.03,4.06,1465160.0,360600.0
POSI3,D1,21/05/2026,4.18,4.2,4.04,4.09,2402349.0,584700.0
POSI3,D1,20/05/2026,3.94,4.26,3.94,4.17,7361056.0,1777700.0
POSI3,D1,19/05/2026,3.95,4.02,3.86,3.99,3959203.0,999600.0
POSI3,D1,18/05/2026,3.89,3.96,3.87,3.95,2730867.0,694900.0
POSI3,D1,15/05/2026,3.89,3.96,3.83,3.88,5374449.0,1384200.0
POSI3,D1,14/05/2026,4.23,4.3,3.77,3.97,20763524.0,5264200.0
POSI3,D1,13/05/2026,4.42,4.43,4.21,4.23,4207498.0,972700.0
POSI3,D1,12/05/2026,4.34,4.47,4.34,4.41,2997141.0,678800.0
POSI3,D1,11/05/2026,4.42,4.46,4.35,4.44,3988382.0,905100.0
POSI3,D1,08/05/2026,4.5,4.65,4.46,4.46,3135004.0,691900.0
POSI3,D1,07/05/2026,4.6,4.64,4.51,4.53,3735846.0,818400.0
POSI3,D1,06/05/2026,4.32,4.63,4.32,4.55,7949591.0,1761100.0
POSI3,D1,05/05/2026,4.26,4.33,4.25,4.27,1423339.0,332500.0
POSI3,D1,04/05/2026,4.22,4.41,4.17,4.27,2856459.0,661600.0
POSI3,D1,30/04/2026,4.12,4.23,4.12,4.2,2458577.0,586400.0
POSI3,D1,29/04/2026,4.16,4.23,4.11,4.12,4602010.0,1102400.0
POSI3,D1,28/04/2026,4.22,4.24,4.13,4.19,3269620.0,785300.0
POSI3,D1,27/04/2026,4.33,4.36,4.18,4.22,4331282.0,1023000.0
POSI3,D1,24/04/2026,4.76,4.76,4.3,4.3,6246667.0,1399700.0
POSI3,D1,23/04/2026,4.78,4.78,4.64,4.71,3886146.0,826700.0
POSI3,D1,22/04/2026,4.72,4.8,4.7,4.72,5354709.0,1125900.0
POSI3,D1,20/04/2026,4.6,4.77,4.55,4.68,6695267.0,1440600.0
POSI3,D1,17/04/2026,4.6,4.7,4.6,4.65,2979543.0,639600.0
POSI3,D1,16/04/2026,4.55,4.58,4.49,4.56,2591842.0,571900.0
POSI3,D1,15/04/2026,4.58,4.64,4.51,4.51,1765121.0,385700.0
POSI3,D1,14/04/2026,4.64,4.69,4.49,4.6,4751057.0,1032600.0
POSI3,D1,13/04/2026,4.6,4.68,4.51,4.64,5074139.0,1102700.0
POSI3,D1,10/04/2026,4.53,4.67,4.48,4.63,5801527.0,1264800.0
POSI3,D1,09/04/2026,4.38,4.57,4.36,4.57,5521953.0,1234300.0
POSI3,D1,08/04/2026,4.31,4.39,4.28,4.36,6527110.0,1500400.0
POSI3,D1,07/04/2026,4.26,4.3,4.13,4.21,7595879.0,1809700.0
POSI3,D1,06/04/2026,4.35,4.35,4.17,4.27,3913193.0,921800.0
POSI3,D1,02/04/2026,4.19,4.35,4.07,4.3,7931925.0,1862300.0
POSI3,D1,01/04/2026,4.2,4.3,4.16,4.21,6719322.0,1587700.0
POSI3,D1,31/03/2026,4.03,4.17,4.02,4.1,5711211.0,1392600.0
POSI3,D1,30/03/2026,4.07,4.08,3.97,3.98,4947324.0,1232100.0
POSI3,D1,27/03/2026,4.05,4.07,3.98,4.02,6664189.0,1654400.0
POSI3,D1,26/03/2026,4.14,4.2,4.03,4.07,5333531.0,1306700.0
POSI3,D1,25/03/2026,4.14,4.27,4.14,4.17,3974335.0,942200.0
POSI3,D1,24/03/2026,4.17,4.2,4.09,4.14,3924626.0,949800.0
POSI3,D1,23/03/2026,4.21,4.3,4.14,4.2,7050073.0,1672400.0
POSI3,D1,20/03/2026,4.4,4.47,4.13,4.2,7118236.0,1683500.0
POSI3,D1,19/03/2026,4.5,4.5,4.24,4.46,8717135.0,1999200.0
POSI3,D1,18/03/2026,4.38,4.48,4.33,4.37,3903290.0,887000.0
POSI3,D1,17/03/2026,4.54,4.59,4.39,4.41,3235851.0,724000.0
POSI3,D1,16/03/2026,4.53,4.62,4.51,4.56,5902736.0,1294700.0
POSI3,D1,13/03/2026,4.44,4.64,4.44,4.51,7594287.0,1664700.0
POSI3,D1,12/03/2026,4.48,4.58,4.4,4.46,9400622.0,2089500.0
POSI3,D1,11/03/2026,4.35,4.58,4.35,4.51,7675620.0,1694800.0
POSI3,D1,10/03/2026,4.2,4.5,4.2,4.4,20372039.0,4630600.0
POSI3,D1,09/03/2026,4.03,4.2,4.03,4.19,4770190.0,1159900.0
POSI3,D1,06/03/2026,4.05,4.11,4.01,4.06,5323191.0,1313200.0
POSI3,D1,05/03/2026,4.03,4.16,4.02,4.08,5968377.0,1461300.0
POSI3,D1,04/03/2026,3.98,4.06,3.98,4.03,2397821.0,595600.0
POSI3,D1,03/03/2026,4.07,4.07,3.92,3.97,7094813.0,1786500.0
POSI3,D1,02/03/2026,4.03,4.17,3.98,4.14,6546388.0,1608700.0
POSI3,D1,27/02/2026,4.11,4.15,4.03,4.06,7134024.0,1751700.0
POSI3,D1,26/02/2026,4.2,4.24,4.11,4.11,4673490.0,1112600.0
POSI3,D1,25/02/2026,4.25,4.27,4.14,4.2,5019619.0,1198900.0
POSI3,D1,24/02/2026,4.12,4.25,4.1,4.21,7881389.0,1888900.0
POSI3,D1,23/02/2026,4.14,4.14,4.03,4.09,6280686.0,1545800.0
POSI3,D1,20/02/2026,4.05,4.13,4.0,4.13,4850518.0,1190800.0
POSI3,D1,19/02/2026,4.09,4.09,4.01,4.04,4672100.0,1156800.0
POSI3,D1,18/02/2026,4.08,4.18,4.03,4.06,6594179.0,1612600.0
POSI3,D1,13/02/2026,4.1,4.13,4.02,4.08,3972455.0,975500.0
POSI3,D1,12/02/2026,4.18,4.2,4.08,4.09,5876588.0,1423300.0
POSI3,D1,11/02/2026,4.22,4.27,4.17,4.18,5525332.0,1309000.0
POSI3,D1,10/02/2026,4.25,4.3,4.2,4.21,4137327.0,977600.0
POSI3,D1,09/02/2026,4.3,4.35,4.23,4.3,3459342.0,805800.0
POSI3,D1,06/02/2026,4.28,4.35,4.22,4.32,5819398.0,1362600.0
POSI3,D1,05/02/2026,4.42,4.42,4.29,4.34,7453123.0,1720900.0
POSI3,D1,04/02/2026,4.65,4.7,4.3,4.35,12879681.0,2922100.0
POSI3,D1,03/02/2026,4.57,4.72,4.54,4.72,8207326.0,1762300.0
POSI3,D1,02/02/2026,4.54,4.59,4.49,4.57,4101331.0,904300.0
POSI3,D1,30/01/2026,4.43,4.57,4.34,4.5,7345560.0,1657500.0
POSI3,D1,29/01/2026,4.64,4.65,4.25,4.4,10599904.0,2411500.0
POSI3,D1,28/01/2026,4.63,4.72,4.56,4.61,5001128.0,1083400.0
POSI3,D1,27/01/2026,4.58,4.69,4.58,4.62,5033742.0,1085600.0
POSI3,D1,26/01/2026,4.53,4.62,4.39,4.58,6114756.0,1351900.0
POSI3,D1,23/01/2026,4.38,4.52,4.33,4.49,7176695.0,1617500.0
POSI3,D1,22/01/2026,4.22,4.42,4.21,4.36,10534408.0,2423500.0
POSI3,D1,21/01/2026,4.0,4.22,3.96,4.2,12327808.0,2975400.0
POSI3,D1,20/01/2026,3.93,4.03,3.88,3.96,6223832.0,1573400.0
POSI3,D1,19/01/2026,3.96,3.96,3.92,3.92,1532453.0,389300.0
POSI3,D1,16/01/2026,3.97,3.98,3.87,3.98,7368078.0,1883400.0
POSI3,D1,15/01/2026,4.03,4.1,3.94,3.96,5024877.0,1248200.0
POSI3,D1,14/01/2026,4.06,4.08,4.0,4.03,2689945.0,666800.0
POSI3,D1,13/01/2026,4.1,4.1,4.0,4.05,3437003.0,851700.0
POSI3,D1,12/01/2026,4.09,4.11,4.0,4.1,3638298.0,895400.0
POSI3,D1,09/01/2026,4.06,4.1,4.03,4.07,2937687.0,722500.0
POSI3,D1,08/01/2026,4.09,4.14,4.05,4.08,3426169.0,840100.0
POSI3,D1,07/01/2026,4.1,4.1,4.02,4.09,5735943.0,1409500.0
POSI3,D1,06/01/2026,4.05,4.12,4.01,4.11,7537963.8,1850600.0
POSI3,D1,05/01/2026,3.94,4.06,3.94,4.01,5798606.23,1450100.0
POSI3,D1,02/01/2026,3.98,4.06,3.94,3.94,8142124.07,2041800.0
