symbol,timeframe,date,open,high,low,close,volume,quantity
QBTC11,D1,09/06/2026,19.75,19.75,19.15,19.6,3553766.31,183665.0
QBTC11,D1,08/06/2026,19.88,20.19,19.88,19.95,5984521.39,299120.0
QBTC11,D1,05/06/2026,19.37,19.37,18.65,19.03,19796742.25,1048929.0
QBTC11,D1,03/06/2026,20.4,20.59,20.1,20.14,4510563.42,221772.0
QBTC11,D1,02/06/2026,21.15,21.15,20.24,20.36,9602311.14,466012.0
QBTC11,D1,01/06/2026,22.08,22.08,21.54,21.76,4810632.26,220781.0
QBTC11,D1,29/05/2026,22.44,22.62,22.13,22.39,2442964.35,109185.0
QBTC11,D1,28/05/2026,22.48,22.48,22.12,22.32,2987471.72,133930.0
QBTC11,D1,27/05/2026,23.19,23.19,22.8,22.91,1968809.17,85992.0
QBTC11,D1,26/05/2026,23.5,23.63,22.95,23.0,3088751.31,133073.0
QBTC11,D1,25/05/2026,23.25,23.51,23.25,23.48,3755531.46,160448.0
QBTC11,D1,22/05/2026,23.45,23.53,22.97,23.0,2731531.64,117368.0
QBTC11,D1,21/05/2026,23.2,23.56,23.2,23.4,2202960.52,94110.0
QBTC11,D1,20/05/2026,23.64,23.72,23.33,23.54,4119367.79,175579.0
QBTC11,D1,19/05/2026,23.3,23.49,23.22,23.44,3914386.71,167622.0
QBTC11,D1,18/05/2026,23.63,23.63,22.97,23.3,5916877.47,256455.0
QBTC11,D1,15/05/2026,24.3,24.55,24.06,24.17,13354799.97,552047.0
QBTC11,D1,14/05/2026,24.12,24.77,24.06,24.55,6327937.8,257924.0
QBTC11,D1,13/05/2026,23.96,24.19,23.44,24.11,2303763.72,96596.0
QBTC11,D1,12/05/2026,23.99,24.12,23.78,23.96,4025043.28,167782.0
QBTC11,D1,11/05/2026,24.12,24.39,23.89,24.29,2150485.14,88846.0
QBTC11,D1,08/05/2026,23.97,24.05,23.63,24.05,1936370.35,81048.0
QBTC11,D1,07/05/2026,24.3,24.3,23.79,23.91,1479674.23,61877.0
QBTC11,D1,06/05/2026,24.53,24.61,24.23,24.35,2834407.56,116205.0
QBTC11,D1,05/05/2026,24.32,24.49,24.13,24.45,4024339.27,165375.0
QBTC11,D1,04/05/2026,23.7,24.28,23.6,24.02,3975650.5,165847.0
QBTC11,D1,30/04/2026,23.0,23.23,22.98,23.08,3157393.12,136834.0
