symbol,timeframe,date,open,high,low,close,volume,quantity
SBSP3F,H1,09/06/2026,27.85,27.89,27.64,27.64,181300.23,6540.0
SBSP3F,H1,09/06/2026,27.69,27.89,27.66,27.86,66525.92,2397.0
SBSP3F,H1,09/06/2026,27.51,27.75,27.49,27.65,64145.17,2320.0
SBSP3F,H1,09/06/2026,27.53,27.61,27.35,27.5,62791.85,2282.0
SBSP3F,H1,09/06/2026,27.48,27.6,27.4,27.52,74728.84,2717.0
SBSP3F,H1,09/06/2026,27.55,27.78,27.48,27.5,80781.61,2922.0
SBSP3F,H1,09/06/2026,27.44,27.87,27.39,27.52,155943.78,5654.0
SBSP3F,H1,08/06/2026,27.3,27.32,27.21,27.32,1909.38,70.0
SBSP3F,H1,08/06/2026,27.3,27.4,27.15,27.15,279791.79,10288.0
SBSP3F,H1,08/06/2026,27.26,27.3,27.18,27.3,55233.49,2027.0
SBSP3F,H1,08/06/2026,27.17,27.27,27.13,27.25,55293.96,2034.0
SBSP3F,H1,08/06/2026,27.38,27.39,27.17,27.19,89932.18,3296.0
SBSP3F,H1,08/06/2026,27.47,27.49,27.35,27.39,62309.36,2273.0
SBSP3F,H1,08/06/2026,27.49,27.52,27.36,27.46,66550.79,2425.0
SBSP3F,H1,08/06/2026,27.48,27.68,27.3,27.47,142340.94,5183.0
SBSP3F,H1,05/06/2026,27.3,27.39,27.3,27.39,164.07,6.0
SBSP3F,H1,05/06/2026,27.53,27.58,27.3,27.3,171491.92,6262.0
SBSP3F,H1,05/06/2026,27.57,27.65,27.41,27.53,60311.68,2190.0
SBSP3F,H1,05/06/2026,27.56,27.58,27.38,27.55,61195.25,2225.0
SBSP3F,H1,05/06/2026,27.31,27.59,27.31,27.59,65343.79,2379.0
SBSP3F,H1,05/06/2026,27.51,27.59,27.3,27.3,48582.74,1770.0
SBSP3F,H1,05/06/2026,27.48,27.69,27.46,27.5,92264.66,3343.0
SBSP3F,H1,05/06/2026,27.3,27.57,26.75,27.54,213709.82,7861.0
SBSP3F,H1,03/06/2026,27.06,27.26,27.06,27.26,9996.19,368.0
SBSP3F,H1,03/06/2026,27.24,27.27,27.01,27.01,154157.84,5689.0
SBSP3F,H1,03/06/2026,27.06,27.34,27.06,27.27,83005.25,3049.0
SBSP3F,H1,03/06/2026,27.1,27.17,27.02,27.07,88619.34,3271.0
SBSP3F,H1,03/06/2026,27.26,27.27,27.06,27.12,77586.59,2857.0
SBSP3F,H1,03/06/2026,27.55,27.6,27.25,27.26,60496.27,2204.0
SBSP3F,H1,03/06/2026,27.79,27.92,27.48,27.51,103947.0,3752.0
SBSP3F,H1,03/06/2026,27.49,27.84,27.12,27.79,157703.29,5760.0
SBSP3F,H1,02/06/2026,27.62,27.89,27.61,27.85,8330.62,300.0
SBSP3F,H1,02/06/2026,27.87,27.93,27.61,27.61,235430.97,8499.0
SBSP3F,H1,02/06/2026,27.68,27.87,27.65,27.87,71540.49,2575.0
SBSP3F,H1,02/06/2026,27.68,27.73,27.57,27.64,73321.28,2652.0
SBSP3F,H1,02/06/2026,27.77,27.77,27.61,27.68,60679.76,2192.0
SBSP3F,H1,02/06/2026,27.85,27.95,27.73,27.78,75165.66,2701.0
SBSP3F,H1,02/06/2026,27.46,27.88,27.41,27.85,107767.04,3896.0
SBSP3F,H1,02/06/2026,27.7,27.8,27.39,27.49,251459.17,9099.0
SBSP3F,H1,01/06/2026,27.32,27.5,27.2,27.5,5166.63,189.0
SBSP3F,H1,01/06/2026,27.56,27.61,27.2,27.2,404149.89,14808.0
SBSP3F,H1,01/06/2026,27.45,27.62,27.42,27.55,91147.02,3313.0
SBSP3F,H1,01/06/2026,27.53,27.64,27.45,27.45,89345.59,3245.0
SBSP3F,H1,01/06/2026,27.56,27.57,27.41,27.55,72339.0,2631.0
SBSP3F,H1,01/06/2026,27.47,27.76,27.45,27.55,97681.01,3537.0
SBSP3F,H1,01/06/2026,27.55,27.62,27.42,27.5,136875.22,4974.0
SBSP3F,H1,01/06/2026,28.15,28.15,27.55,27.58,202792.89,7285.0
SBSP3F,H1,29/05/2026,28.07,28.18,27.88,27.88,7852.9,281.0
SBSP3F,H1,29/05/2026,27.95,28.1,27.88,27.95,228623.33,8178.0
SBSP3F,H1,29/05/2026,27.9,28.02,27.85,27.98,100186.71,3586.0
SBSP3F,H1,29/05/2026,27.67,27.96,27.67,27.93,92633.88,3335.0
SBSP3F,H1,29/05/2026,27.62,27.69,27.56,27.67,88924.36,3219.0
SBSP3F,H1,29/05/2026,27.81,27.88,27.58,27.63,115032.08,4156.0
SBSP3F,H1,29/05/2026,27.64,27.84,27.54,27.82,119459.91,4316.0
SBSP3F,H1,29/05/2026,28.1,28.29,27.55,27.64,297144.1,10678.0
SBSP3F,H1,28/05/2026,28.29,28.29,28.07,28.21,8101.56,288.0
SBSP3F,H1,28/05/2026,28.36,28.36,28.14,28.14,155523.83,5507.0
SBSP3F,H1,28/05/2026,28.48,28.54,28.31,28.36,67931.14,2392.0
SBSP3F,H1,28/05/2026,28.52,28.56,28.4,28.51,74489.85,2616.0
SBSP3F,H1,28/05/2026,28.36,28.62,28.36,28.54,44090.26,1547.0
SBSP3F,H1,28/05/2026,28.63,28.67,28.38,28.38,87175.74,3057.0
SBSP3F,H1,28/05/2026,28.68,28.93,28.54,28.65,77428.01,2701.0
SBSP3F,H1,28/05/2026,28.59,28.79,28.4,28.7,136652.36,4775.0
SBSP3F,H1,27/05/2026,28.51,28.69,28.51,28.52,1943.13,68.0
SBSP3F,H1,27/05/2026,28.64,28.7,28.51,28.51,136375.84,4773.0
SBSP3F,H1,27/05/2026,28.72,28.78,28.6,28.65,72740.92,2533.0
SBSP3F,H1,27/05/2026,28.8,28.84,28.65,28.74,62574.01,2179.0
SBSP3F,H1,27/05/2026,28.88,28.89,28.78,28.8,45718.59,1585.0
SBSP3F,H1,27/05/2026,28.92,29.03,28.81,28.88,54424.54,1883.0
SBSP3F,H1,27/05/2026,29.08,29.11,28.8,28.97,73618.64,2542.0
SBSP3F,H1,27/05/2026,29.0,29.33,28.72,29.05,110070.02,3798.0
SBSP3F,H1,26/05/2026,28.76,28.88,28.67,28.67,7595.28,264.0
SBSP3F,H1,26/05/2026,28.57,28.86,28.51,28.77,325428.04,11329.0
SBSP3F,H1,26/05/2026,28.55,28.58,28.46,28.57,75704.43,2655.0
SBSP3F,H1,26/05/2026,28.54,28.62,28.45,28.55,94060.65,3295.0
SBSP3F,H1,26/05/2026,28.68,28.69,28.47,28.53,75342.93,2636.0
SBSP3F,H1,26/05/2026,28.91,28.91,28.63,28.69,94706.18,3295.0
SBSP3F,H1,26/05/2026,28.88,28.98,28.85,28.92,55118.93,1906.0
SBSP3F,H1,26/05/2026,29.2,29.2,28.71,28.9,145332.11,5029.0
SBSP3F,H1,25/05/2026,29.04,29.28,29.01,29.07,11493.8,395.0
SBSP3F,H1,25/05/2026,29.03,29.1,28.95,29.1,368979.72,12689.0
SBSP3F,H1,25/05/2026,29.03,29.08,28.96,29.05,71486.45,2463.0
SBSP3F,H1,25/05/2026,28.94,29.04,28.91,29.0,56590.86,1952.0
SBSP3F,H1,25/05/2026,28.87,28.95,28.81,28.93,58069.91,2010.0
SBSP3F,H1,25/05/2026,28.7,28.88,28.69,28.87,63336.92,2199.0
SBSP3F,H1,25/05/2026,28.69,28.76,28.63,28.67,74670.99,2602.0
SBSP3F,H1,25/05/2026,28.66,29.1,28.59,28.67,117045.16,4075.0
SBSP3F,H1,22/05/2026,28.45,28.47,28.45,28.47,284.58,10.0
SBSP3F,H1,22/05/2026,28.44,28.49,28.32,28.35,193222.96,6806.0
