symbol,timeframe,date,open,high,low,close,volume,quantity
SELIC,D1,01/06/2026,0.32,0.32,0.32,0.32,0.0,0.0
SELIC,D1,01/05/2026,1.07,1.07,1.07,1.07,0.0,0.0
SELIC,D1,01/04/2026,1.09,1.09,1.09,1.09,0.0,0.0
SELIC,D1,01/03/2026,1.21,1.21,1.21,1.21,0.0,0.0
SELIC,D1,01/02/2026,1.0,1.0,1.0,1.0,0.0,0.0
SELIC,D1,01/01/2026,1.16,1.16,1.16,1.16,0.0,0.0
SELIC,D1,01/12/2025,1.22,1.22,1.22,1.22,0.0,0.0
SELIC,D1,01/11/2025,1.05,1.05,1.05,1.05,0.0,0.0
SELIC,D1,01/10/2025,1.28,1.28,1.28,1.28,0.0,0.0
SELIC,D1,01/09/2025,1.22,1.22,1.22,1.22,0.0,0.0
SELIC,D1,01/08/2025,1.16,1.16,1.16,1.16,0.0,0.0
SELIC,D1,01/07/2025,1.28,1.28,1.28,1.28,0.0,0.0
SELIC,D1,01/06/2025,1.1,1.1,1.1,1.1,0.0,0.0
SELIC,D1,01/05/2025,1.14,1.14,1.14,1.14,0.0,0.0
SELIC,D1,01/04/2025,1.06,1.06,1.06,1.06,0.0,0.0
SELIC,D1,01/03/2025,0.96,0.96,0.96,0.96,0.0,0.0
SELIC,D1,01/02/2025,0.99,0.99,0.99,0.99,0.0,0.0
SELIC,D1,01/01/2025,1.01,1.01,1.01,1.01,0.0,0.0
SELIC,D1,01/12/2024,0.93,0.93,0.93,0.93,0.0,0.0
SELIC,D1,01/11/2024,0.79,0.79,0.79,0.79,0.0,0.0
SELIC,D1,01/10/2024,0.93,0.93,0.93,0.93,0.0,0.0
SELIC,D1,01/09/2024,0.84,0.84,0.84,0.84,0.0,0.0
SELIC,D1,01/08/2024,0.87,0.87,0.87,0.87,0.0,0.0
SELIC,D1,01/07/2024,0.91,0.91,0.91,0.91,0.0,0.0
