symbol,timeframe,date,open,high,low,close,volume,quantity
SMAB11,D1,09/06/2026,7.88,7.97,7.88,7.91,1734.47,219.0
SMAB11,D1,08/06/2026,7.87,7.98,7.84,7.84,2284.91,290.0
SMAB11,D1,05/06/2026,7.94,7.97,7.89,7.9,56392.8,7134.0
SMAB11,D1,03/06/2026,8.18,8.18,7.91,7.96,24954.65,3154.0
SMAB11,D1,02/06/2026,8.14,8.22,8.09,8.18,15052.05,1839.0
SMAB11,D1,01/06/2026,8.14,8.14,7.97,8.09,558154.29,69192.0
SMAB11,D1,29/05/2026,8.33,8.33,8.06,8.14,4144.5,510.0
SMAB11,D1,28/05/2026,8.2,8.29,8.07,8.2,4531.94,551.0
SMAB11,D1,27/05/2026,8.29,8.34,8.2,8.2,3280.14,396.0
SMAB11,D1,26/05/2026,8.17,8.32,8.14,8.25,1475.83,179.0
SMAB11,D1,25/05/2026,8.2,8.35,8.2,8.34,9553.89,1158.0
SMAB11,D1,22/05/2026,8.23,8.28,8.11,8.15,3769.01,462.0
SMAB11,D1,21/05/2026,8.22,8.23,8.14,8.23,10788.79,1313.0
SMAB11,D1,20/05/2026,7.94,8.27,7.94,8.23,9384.22,1141.0
SMAB11,D1,19/05/2026,7.99,8.08,7.94,7.94,82012.41,10326.0
SMAB11,D1,18/05/2026,8.11,8.26,8.0,8.09,87442.99,10805.0
SMAB11,D1,15/05/2026,8.21,8.21,7.92,8.11,103046.32,12722.0
SMAB11,D1,14/05/2026,8.11,8.36,8.11,8.22,1722.37,210.0
SMAB11,D1,13/05/2026,8.35,8.44,8.1,8.11,33152.87,4002.0
SMAB11,D1,12/05/2026,8.39,8.47,8.29,8.35,4848.33,582.0
SMAB11,D1,11/05/2026,8.5,8.57,8.3,8.39,22548.04,2683.0
SMAB11,D1,08/05/2026,8.72,8.72,8.58,8.58,88861.28,10353.0
SMAB11,D1,07/05/2026,8.78,8.78,8.62,8.63,44693.21,5149.0
SMAB11,D1,06/05/2026,8.74,8.77,8.6,8.69,35473.81,4071.0
SMAB11,D1,05/05/2026,8.57,8.57,8.45,8.52,146403.84,17180.0
SMAB11,D1,04/05/2026,8.58,8.66,8.39,8.4,52931.79,6271.0
SMAB11,D1,30/04/2026,8.38,8.5,8.38,8.46,10166.71,1203.0
SMAB11,D1,29/04/2026,8.44,8.47,8.33,8.33,27726.24,3308.0
SMAB11,D1,28/04/2026,8.63,8.63,8.44,8.49,33330.13,3925.0
SMAB11,D1,27/04/2026,8.69,8.72,8.55,8.57,39237.27,4540.0
SMAB11,D1,24/04/2026,8.73,8.78,8.68,8.72,99830.22,11447.0
SMAB11,D1,23/04/2026,8.9,9.0,8.69,8.77,23275.81,2644.0
SMAB11,D1,22/04/2026,10.0,10.0,8.9,8.92,73562.8,8222.0
SMAB11,D1,20/04/2026,9.21,9.21,9.02,9.06,33005.56,3652.0
SMAB11,D1,17/04/2026,9.1,9.12,9.04,9.04,10339.51,1138.0
SMAB11,D1,16/04/2026,9.11,9.14,8.95,8.96,75262.04,8249.0
SMAB11,D1,15/04/2026,9.19,9.19,9.04,9.11,15170.01,1667.0
SMAB11,D1,14/04/2026,9.06,9.16,9.06,9.15,11695.0,1279.0
SMAB11,D1,13/04/2026,9.18,9.18,9.0,9.08,25321.7,2801.0
SMAB11,D1,10/04/2026,9.14,9.23,9.04,9.08,74121.67,8098.0
SMAB11,D1,09/04/2026,8.96,9.11,8.93,9.09,65216.56,7275.0
SMAB11,D1,08/04/2026,8.99,9.0,8.88,8.89,69624.99,7794.0
SMAB11,D1,07/04/2026,8.65,8.65,8.58,8.64,29896.98,3467.0
SMAB11,D1,06/04/2026,8.78,8.8,8.61,8.7,45066.77,5157.0
SMAB11,D1,02/04/2026,8.68,8.86,8.58,8.74,37575.73,4337.0
SMAB11,D1,01/04/2026,8.9,8.9,8.68,8.8,11126.08,1267.0
SMAB11,D1,31/03/2026,8.42,8.73,8.35,8.73,5761.54,674.0
SMAB11,D1,30/03/2026,8.45,8.49,8.3,8.38,30914.26,3681.0
SMAB11,D1,27/03/2026,8.56,8.56,8.35,8.36,920.07,109.0
SMAB11,D1,26/03/2026,8.69,8.69,8.47,8.5,10088.17,1183.0
SMAB11,D1,25/03/2026,8.59,8.76,8.59,8.66,10182.23,1175.0
SMAB11,D1,24/03/2026,8.64,8.64,8.41,8.5,51991.91,6116.0
SMAB11,D1,23/03/2026,8.2,8.55,8.2,8.55,5369.77,631.0
SMAB11,D1,20/03/2026,8.17,8.23,8.08,8.11,1109.72,136.0
SMAB11,D1,19/03/2026,8.31,8.34,8.11,8.34,4853.05,583.0
SMAB11,D1,18/03/2026,8.51,8.51,8.32,8.32,6771.0,807.0
SMAB11,D1,17/03/2026,8.43,8.57,8.4,8.42,2584.91,304.0
SMAB11,D1,16/03/2026,8.3,8.51,8.3,8.41,5468.48,650.0
SMAB11,D1,13/03/2026,8.43,8.57,8.23,8.3,56444.93,6762.0
SMAB11,D1,12/03/2026,8.79,8.79,8.43,8.43,22156.86,2602.0
SMAB11,D1,11/03/2026,8.88,9.0,8.76,8.76,900.94,102.0
SMAB11,D1,10/03/2026,8.66,8.94,8.65,8.79,2064.31,234.0
SMAB11,D1,09/03/2026,8.67,8.7,8.5,8.66,19156.55,2225.0
SMAB11,D1,06/03/2026,8.72,8.76,8.58,8.65,8583.98,992.0
SMAB11,D1,05/03/2026,8.74,8.96,8.72,8.72,36374.61,4130.0
SMAB11,D1,04/03/2026,8.82,8.99,8.82,8.96,59929.92,6697.0
SMAB11,D1,03/03/2026,9.1,9.1,8.7,8.82,628898.95,71089.0
SMAB11,D1,02/03/2026,9.24,9.24,9.04,9.17,163593.58,17952.0
SMAB11,D1,27/02/2026,9.32,9.35,9.18,9.24,3168.83,341.0
SMAB11,D1,26/02/2026,9.33,9.4,9.31,9.39,13871.29,1479.0
SMAB11,D1,25/02/2026,9.41,9.46,9.33,9.33,23940.76,2554.0
SMAB11,D1,24/02/2026,9.37,9.44,9.34,9.41,160189.71,17026.0
SMAB11,D1,23/02/2026,9.46,9.51,9.24,9.28,20243.93,2183.0
SMAB11,D1,20/02/2026,9.39,9.39,9.17,9.36,52179.08,5624.0
SMAB11,D1,19/02/2026,9.27,9.31,9.19,9.29,70137.94,7579.0
SMAB11,D1,18/02/2026,9.12,9.22,9.08,9.17,6459.61,707.0
SMAB11,D1,13/02/2026,9.06,9.12,8.96,9.12,127816.03,14132.0
SMAB11,D1,12/02/2026,9.29,9.39,9.06,9.13,113628.42,12429.0
SMAB11,D1,11/02/2026,9.09,9.34,9.09,9.28,22731.97,2446.0
SMAB11,D1,10/02/2026,9.2,9.2,9.1,9.16,1931.23,211.0
SMAB11,D1,09/02/2026,9.05,9.16,9.03,9.15,671.7,74.0
SMAB11,D1,06/02/2026,9.01,9.08,8.97,9.05,78083.1,8684.0
SMAB11,D1,05/02/2026,9.09,9.18,9.02,9.02,29026.59,3204.0
SMAB11,D1,04/02/2026,9.25,9.36,8.94,9.0,61025.44,6752.0
SMAB11,D1,03/02/2026,9.4,9.4,9.1,9.25,59777.95,6472.0
SMAB11,D1,02/02/2026,9.11,9.44,9.06,9.15,326617.82,35750.0
SMAB11,D1,30/01/2026,9.1,9.14,8.96,9.08,14203.1,1560.0
SMAB11,D1,29/01/2026,9.28,9.34,9.0,9.12,13977.03,1517.0
SMAB11,D1,28/01/2026,9.34,9.34,9.18,9.28,92289.13,9943.0
SMAB11,D1,27/01/2026,9.25,9.33,8.96,9.18,80469.01,8804.0
SMAB11,D1,26/01/2026,8.92,9.06,8.81,8.96,54437.17,6110.0
SMAB11,D1,23/01/2026,8.73,8.92,8.73,8.92,73975.29,8341.0
SMAB11,D1,22/01/2026,8.7,8.89,8.67,8.77,227226.95,25977.0
SMAB11,D1,21/01/2026,8.34,8.59,8.34,8.59,119849.14,14092.0
SMAB11,D1,20/01/2026,8.36,8.36,8.23,8.32,2231.61,269.0
SMAB11,D1,19/01/2026,8.29,8.32,8.26,8.28,2204.36,266.0
SMAB11,D1,16/01/2026,8.4,8.4,8.25,8.29,4770.3,573.0
SMAB11,D1,15/01/2026,8.43,8.5,8.38,8.38,46239.99,5509.0
SMAB11,D1,14/01/2026,8.29,8.42,8.29,8.42,3685.69,440.0
SMAB11,D1,13/01/2026,8.46,8.46,8.3,8.34,15783.85,1889.0
SMAB11,D1,12/01/2026,8.51,8.51,8.37,8.45,7595.01,901.0
SMAB11,D1,09/01/2026,8.45,8.46,8.42,8.42,3849.89,456.0
SMAB11,D1,08/01/2026,8.38,8.4,8.31,8.38,434281.02,52171.0
SMAB11,D1,07/01/2026,8.37,8.38,8.26,8.32,6498.65,782.0
SMAB11,D1,06/01/2026,8.32,8.43,8.32,8.39,37900.02,4511.0
SMAB11,D1,05/01/2026,8.29,8.3,8.25,8.27,4945.45,597.0
SMAB11,D1,02/01/2026,8.37,8.4,8.2,8.2,14682.96,1780.0
SMAB11,D1,30/12/2025,8.29,8.31,8.27,8.28,1559.55,188.0
SMAB11,D1,29/12/2025,8.3,8.3,8.17,8.21,18603.62,2259.0
SMAB11,D1,26/12/2025,8.28,8.28,8.16,8.24,64084.8,7825.0
SMAB11,D1,23/12/2025,8.09,8.31,8.09,8.2,2711.74,332.0
SMAB11,D1,22/12/2025,8.22,8.27,8.04,8.04,7398.4,910.0
SMAB11,D1,19/12/2025,8.21,8.21,8.13,8.13,112160.57,13775.0
SMAB11,D1,18/12/2025,8.08,8.17,8.08,8.12,910.5,112.0
SMAB11,D1,17/12/2025,8.3,8.3,8.04,8.11,6627.82,818.0
SMAB11,D1,16/12/2025,8.45,8.45,8.22,8.22,11428.52,1380.0
SMAB11,D1,15/12/2025,8.68,8.68,8.45,8.45,3312.59,390.0
SMAB11,D1,12/12/2025,8.42,8.48,8.37,8.41,7946.42,942.0
SMAB11,D1,11/12/2025,8.22,8.43,8.22,8.33,891.9,107.0
SMAB11,D1,10/12/2025,8.31,8.34,8.26,8.3,54496.74,6566.0
SMAB11,D1,09/12/2025,8.29,8.31,8.06,8.26,5556.39,682.0
SMAB11,D1,08/12/2025,8.27,8.4,8.26,8.3,6901.05,825.0
SMAB11,D1,05/12/2025,8.8,9.0,8.27,8.27,339012.55,39585.0
SMAB11,D1,04/12/2025,8.91,8.91,8.78,8.82,100440.76,11330.0
SMAB11,D1,03/12/2025,8.58,8.82,8.58,8.68,110336.4,12731.0
SMAB11,D1,02/12/2025,8.58,8.66,8.58,8.66,18337.5,2120.0
SMAB11,D1,01/12/2025,8.66,8.66,8.47,8.54,284298.05,33295.0
SMAB11,D1,28/11/2025,8.53,8.59,8.48,8.57,161174.9,18864.0
SMAB11,D1,27/11/2025,8.45,8.51,8.4,8.49,4716.59,557.0
SMAB11,D1,26/11/2025,8.29,8.46,8.29,8.45,25127.48,2990.0
SMAB11,D1,25/11/2025,8.32,8.32,8.18,8.29,4640.08,563.0
SMAB11,D1,24/11/2025,8.16,8.26,8.16,8.23,1945.02,237.0
SMAB11,D1,21/11/2025,8.36,8.36,8.1,8.16,30904.07,3773.0
SMAB11,D1,19/11/2025,8.21,8.38,8.2,8.22,1457.83,177.0
SMAB11,D1,18/11/2025,8.28,8.37,8.25,8.29,3689.66,445.0
SMAB11,D1,17/11/2025,8.35,8.5,8.27,8.28,7404.51,888.0
SMAB11,D1,14/11/2025,8.4,8.44,8.25,8.35,2766.83,332.0
SMAB11,D1,13/11/2025,8.34,8.35,8.28,8.31,54144.45,6527.0
SMAB11,D1,12/11/2025,8.37,8.37,8.26,8.36,2318.62,279.0
SMAB11,D1,11/11/2025,8.13,8.39,8.13,8.35,157694.35,18891.0
SMAB11,D1,10/11/2025,8.28,8.28,8.15,8.18,9151.91,1119.0
SMAB11,D1,07/11/2025,8.21,8.21,8.09,8.14,2545.97,314.0
SMAB11,D1,06/11/2025,8.19,8.22,8.1,8.11,1696.14,208.0
SMAB11,D1,05/11/2025,8.09,8.23,8.09,8.22,76941.04,9407.0
SMAB11,D1,04/11/2025,8.1,8.11,8.03,8.09,853.43,106.0
SMAB11,D1,03/11/2025,8.18,8.27,8.06,8.06,15374.52,1901.0
SMAB11,D1,31/10/2025,7.92,8.11,7.92,8.1,2655.17,330.0
SMAB11,D1,30/10/2025,7.88,8.04,7.88,8.04,1519.9,190.0
SMAB11,D1,29/10/2025,8.13,8.13,7.95,7.98,815.89,102.0
SMAB11,D1,28/10/2025,7.97,7.98,7.93,7.95,342.12,43.0
SMAB11,D1,27/10/2025,7.96,8.15,7.94,7.99,4871.61,607.0
SMAB11,D1,24/10/2025,8.0,8.01,7.92,7.94,4331.61,545.0
SMAB11,D1,23/10/2025,7.89,7.9,7.81,7.89,1851.51,236.0
SMAB11,D1,22/10/2025,7.89,7.89,7.78,7.81,2880.33,368.0
SMAB11,D1,21/10/2025,7.95,7.96,7.75,7.81,27372.74,3482.0
SMAB11,D1,20/10/2025,7.81,7.97,7.73,7.81,7863.6,1005.0
SMAB11,D1,17/10/2025,7.67,7.73,7.67,7.73,1754.94,228.0
SMAB11,D1,16/10/2025,7.64,7.78,7.64,7.67,2177.12,282.0
SMAB11,D1,15/10/2025,7.73,7.77,7.58,7.75,14261.04,1861.0
SMAB11,D1,14/10/2025,7.6,7.67,7.58,7.65,7967.31,1043.0
SMAB11,D1,13/10/2025,7.6,7.69,7.6,7.65,13402.34,1750.0
SMAB11,D1,10/10/2025,7.71,7.71,7.55,7.6,14050.36,1845.0
SMAB11,D1,09/10/2025,7.8,7.8,7.66,7.66,3065.72,399.0
SMAB11,D1,08/10/2025,7.8,7.8,7.72,7.74,5390.8,695.0
SMAB11,D1,07/10/2025,7.97,7.97,7.7,7.72,28938.83,3699.0
SMAB11,D1,06/10/2025,7.98,7.98,7.86,7.89,24082.44,3056.0
SMAB11,D1,03/10/2025,7.97,7.97,7.9,7.96,3500.2,442.0
SMAB11,D1,02/10/2025,8.02,8.06,7.94,7.94,15015.58,1889.0
SMAB11,D1,01/10/2025,8.19,8.19,8.03,8.07,3468.94,429.0
SMAB11,D1,30/09/2025,8.16,8.16,8.07,8.08,47573.34,5887.0
SMAB11,D1,29/09/2025,8.32,8.32,8.1,8.13,12849.13,1572.0
SMAB11,D1,26/09/2025,8.05,8.12,8.03,8.1,9784.13,1215.0
SMAB11,D1,25/09/2025,8.17,8.27,8.04,8.04,9675.01,1192.0
SMAB11,D1,24/09/2025,8.05,8.2,8.05,8.17,5253.65,642.0
SMAB11,D1,23/09/2025,8.06,8.32,8.06,8.19,39891.17,4870.0
SMAB11,D1,22/09/2025,8.37,8.37,8.07,8.13,9127.19,1119.0
SMAB11,D1,19/09/2025,8.35,8.38,8.19,8.28,5799.35,699.0
SMAB11,D1,18/09/2025,8.32,8.44,8.29,8.29,3647.61,438.0
SMAB11,D1,17/09/2025,8.21,8.35,8.1,8.3,18604.29,2249.0
SMAB11,D1,16/09/2025,8.35,8.35,8.2,8.21,1039.91,126.0
SMAB11,D1,15/09/2025,8.15,8.2,8.0,8.15,7069.13,867.0
SMAB11,D1,12/09/2025,8.19,8.19,8.08,8.09,2723.32,336.0
SMAB11,D1,11/09/2025,8.12,8.22,8.09,8.12,2163.48,266.0
SMAB11,D1,10/09/2025,8.08,8.08,8.03,8.03,3082.45,382.0
SMAB11,D1,09/09/2025,8.12,8.12,8.0,8.0,2988.88,371.0
SMAB11,D1,08/09/2025,8.12,8.12,8.03,8.04,1610.03,200.0
