symbol,timeframe,date,open,high,low,close,volume,quantity
SMAB,D1,09/06/2026,7.84,7.97,7.84,7.91,0.0,0.0
SMAB,D1,08/06/2026,7.88,7.91,7.82,7.84,0.0,0.0
SMAB,D1,05/06/2026,7.96,7.98,7.87,7.88,0.0,0.0
SMAB,D1,03/06/2026,8.18,8.18,7.89,7.96,0.0,0.0
SMAB,D1,02/06/2026,8.1,8.21,8.09,8.18,0.0,0.0
SMAB,D1,01/06/2026,8.14,8.17,8.03,8.1,0.0,0.0
SMAB,D1,29/05/2026,8.2,8.22,8.06,8.14,0.0,0.0
SMAB,D1,28/05/2026,8.2,8.28,8.13,8.2,0.0,0.0
SMAB,D1,27/05/2026,8.25,8.35,8.17,8.2,0.0,0.0
SMAB,D1,26/05/2026,8.34,8.34,8.19,8.25,0.0,0.0
SMAB,D1,25/05/2026,8.14,8.35,8.14,8.34,0.0,0.0
SMAB,D1,22/05/2026,8.22,8.24,8.09,8.14,0.0,0.0
SMAB,D1,21/05/2026,8.23,8.28,8.08,8.22,0.0,0.0
SMAB,D1,20/05/2026,7.93,8.26,7.93,8.22,0.0,0.0
SMAB,D1,19/05/2026,8.08,8.08,7.91,7.93,0.0,0.0
SMAB,D1,18/05/2026,8.1,8.14,8.03,8.08,0.0,0.0
SMAB,D1,15/05/2026,8.21,8.21,7.99,8.1,0.0,0.0
SMAB,D1,14/05/2026,8.1,8.25,8.1,8.21,0.0,0.0
SMAB,D1,13/05/2026,8.34,8.34,8.06,8.09,0.0,0.0
SMAB,D1,12/05/2026,8.38,8.45,8.29,8.34,0.0,0.0
SMAB,D1,11/05/2026,8.57,8.58,8.35,8.38,0.0,0.0
SMAB,D1,08/05/2026,8.62,8.75,8.56,8.58,0.0,0.0
SMAB,D1,07/05/2026,8.68,8.72,8.58,8.62,0.0,0.0
SMAB,D1,06/05/2026,8.51,8.74,8.51,8.68,0.0,0.0
SMAB,D1,05/05/2026,8.39,8.53,8.39,8.51,0.0,0.0
SMAB,D1,04/05/2026,8.45,8.49,8.35,8.39,0.0,0.0
SMAB,D1,30/04/2026,8.33,8.5,8.33,8.45,0.0,0.0
SMAB,D1,29/04/2026,8.49,8.49,8.31,8.33,0.0,0.0
SMAB,D1,28/04/2026,8.55,8.55,8.4,8.49,0.0,0.0
SMAB,D1,27/04/2026,8.71,8.74,8.55,8.55,0.0,0.0
SMAB,D1,24/04/2026,8.77,8.81,8.68,8.71,0.0,0.0
SMAB,D1,23/04/2026,8.91,8.94,8.73,8.77,0.0,0.0
SMAB,D1,22/04/2026,9.06,9.06,8.9,8.92,0.0,0.0
SMAB,D1,20/04/2026,9.03,9.08,8.99,9.06,0.0,0.0
SMAB,D1,17/04/2026,8.95,9.15,8.95,9.03,0.0,0.0
SMAB,D1,16/04/2026,9.11,9.16,8.94,8.95,0.0,0.0
SMAB,D1,15/04/2026,9.15,9.17,9.03,9.11,0.0,0.0
SMAB,D1,14/04/2026,9.08,9.18,9.08,9.15,0.0,0.0
SMAB,D1,13/04/2026,9.07,9.1,8.98,9.08,0.0,0.0
SMAB,D1,10/04/2026,9.09,9.21,9.04,9.07,0.0,0.0
SMAB,D1,09/04/2026,8.89,9.1,8.89,9.09,0.0,0.0
SMAB,D1,08/04/2026,8.63,9.03,8.63,8.89,0.0,0.0
SMAB,D1,07/04/2026,8.69,8.69,8.55,8.63,0.0,0.0
SMAB,D1,06/04/2026,8.74,8.78,8.67,8.69,0.0,0.0
SMAB,D1,02/04/2026,8.79,8.8,8.56,8.74,0.0,0.0
SMAB,D1,01/04/2026,8.72,8.87,8.72,8.79,0.0,0.0
SMAB,D1,31/03/2026,8.38,8.72,8.38,8.72,0.0,0.0
SMAB,D1,30/03/2026,8.34,8.47,8.34,8.38,0.0,0.0
SMAB,D1,27/03/2026,8.49,8.5,8.33,8.35,0.0,0.0
SMAB,D1,26/03/2026,8.66,8.66,8.46,8.49,0.0,0.0
