symbol,timeframe,date,open,high,low,close,volume,quantity
TAEE11,H1,09/06/2026,39.22,39.24,38.98,39.24,14971802.0,382700.0
TAEE11,H1,09/06/2026,39.23,39.29,39.13,39.22,4502506.0,114900.0
TAEE11,H1,09/06/2026,39.18,39.35,39.18,39.24,3423890.0,87200.0
TAEE11,H1,09/06/2026,39.29,39.47,38.95,39.16,21945856.0,558900.0
TAEE11,H1,09/06/2026,39.27,39.49,39.23,39.26,7877333.0,200200.0
TAEE11,H1,09/06/2026,39.01,39.26,39.01,39.24,5179771.0,132200.0
TAEE11,H1,09/06/2026,38.97,39.23,38.93,39.03,4206611.0,107700.0
TAEE11,H1,08/06/2026,38.83,38.9,38.82,38.85,330441.0,8500.0
TAEE11,H1,08/06/2026,38.66,38.82,38.63,38.82,11440706.0,295400.0
TAEE11,H1,08/06/2026,38.65,38.68,38.53,38.64,7046637.0,182500.0
TAEE11,H1,08/06/2026,38.69,38.72,38.58,38.65,3068405.0,79400.0
TAEE11,H1,08/06/2026,38.84,38.85,38.69,38.71,3039457.0,78400.0
TAEE11,H1,08/06/2026,38.87,38.91,38.8,38.85,3179543.0,81800.0
TAEE11,H1,08/06/2026,38.65,38.9,38.61,38.87,4108655.0,106100.0
TAEE11,H1,08/06/2026,38.48,38.8,38.48,38.66,4020352.0,104000.0
TAEE11,H1,05/06/2026,38.61,38.76,38.61,38.76,65803.0,1700.0
TAEE11,H1,05/06/2026,38.68,38.73,38.6,38.6,12298410.0,318200.0
TAEE11,H1,05/06/2026,38.62,38.75,38.58,38.67,5726615.0,148200.0
TAEE11,H1,05/06/2026,38.61,38.66,38.53,38.61,5517462.0,143000.0
TAEE11,H1,05/06/2026,38.58,38.62,38.48,38.61,6129393.0,159000.0
TAEE11,H1,05/06/2026,38.72,38.81,38.53,38.57,5088315.0,131600.0
TAEE11,H1,05/06/2026,38.87,38.98,38.7,38.72,6132574.0,158000.0
TAEE11,H1,05/06/2026,38.98,39.27,38.57,38.87,5930994.0,153000.0
TAEE11,H1,03/06/2026,38.79,38.99,38.79,38.98,50613.0,1300.0
TAEE11,H1,03/06/2026,38.83,38.95,38.79,38.79,17228182.0,443500.0
TAEE11,H1,03/06/2026,38.82,38.88,38.75,38.82,7113640.0,183300.0
TAEE11,H1,03/06/2026,38.91,38.95,38.78,38.82,7607454.0,195700.0
TAEE11,H1,03/06/2026,39.04,39.06,38.89,38.91,4551021.0,116800.0
TAEE11,H1,03/06/2026,39.05,39.09,38.97,39.05,4916722.0,126000.0
TAEE11,H1,03/06/2026,39.28,39.28,38.96,39.06,5623209.0,144000.0
TAEE11,H1,03/06/2026,39.04,39.31,38.81,39.24,8786579.0,224600.0
TAEE11,H1,02/06/2026,39.25,39.35,39.25,39.28,47132.0,1200.0
TAEE11,H1,02/06/2026,39.26,39.33,39.19,39.25,10881951.0,277200.0
TAEE11,H1,02/06/2026,39.08,39.33,39.08,39.26,3416453.0,87100.0
TAEE11,H1,02/06/2026,39.01,39.09,38.95,39.07,4496997.0,115300.0
TAEE11,H1,02/06/2026,39.14,39.17,38.98,39.0,3502935.0,89700.0
TAEE11,H1,02/06/2026,39.13,39.22,39.06,39.13,6235188.0,159300.0
TAEE11,H1,02/06/2026,39.0,39.32,38.91,39.14,11101277.0,283600.0
TAEE11,H1,02/06/2026,38.94,39.19,38.87,39.04,7255404.0,185700.0
TAEE11,H1,01/06/2026,38.91,39.06,38.86,38.93,163668.0,4200.0
TAEE11,H1,01/06/2026,38.87,38.97,38.82,38.9,12854344.0,330500.0
TAEE11,H1,01/06/2026,38.87,38.9,38.77,38.86,4050956.0,104300.0
TAEE11,H1,01/06/2026,38.98,39.11,38.86,38.87,4260218.0,109400.0
TAEE11,H1,01/06/2026,39.01,39.06,38.77,38.97,7141587.0,183600.0
TAEE11,H1,01/06/2026,39.08,39.29,38.99,39.01,10111471.0,258400.0
TAEE11,H1,01/06/2026,39.07,39.17,38.96,39.07,4374127.0,112000.0
TAEE11,H1,01/06/2026,39.43,39.53,38.96,39.08,5154100.0,131600.0
TAEE11,H1,29/05/2026,39.22,39.46,39.15,39.15,82436.0,2100.0
TAEE11,H1,29/05/2026,39.23,39.35,39.16,39.16,16889037.0,430800.0
TAEE11,H1,29/05/2026,39.11,39.26,39.09,39.25,10009301.0,255600.0
TAEE11,H1,29/05/2026,39.05,39.15,39.03,39.11,13827051.0,353500.0
TAEE11,H1,29/05/2026,39.04,39.1,38.93,39.04,9267769.0,237500.0
TAEE11,H1,29/05/2026,39.08,39.24,39.01,39.03,6320474.0,161600.0
TAEE11,H1,29/05/2026,39.03,39.17,38.86,39.08,10025127.0,257100.0
TAEE11,H1,29/05/2026,39.53,39.53,38.83,39.03,4854383.0,124200.0
TAEE11,H1,28/05/2026,39.21,39.56,39.21,39.36,247623.0,6300.0
TAEE11,H1,28/05/2026,39.44,39.57,39.22,39.22,19789440.0,502900.0
TAEE11,H1,28/05/2026,39.65,39.66,39.41,39.44,8786698.0,222200.0
TAEE11,H1,28/05/2026,39.64,39.67,39.55,39.65,7626114.0,192500.0
TAEE11,H1,28/05/2026,39.57,39.69,39.55,39.64,7358308.0,185700.0
TAEE11,H1,28/05/2026,39.77,39.8,39.55,39.57,7877055.0,198600.0
TAEE11,H1,28/05/2026,39.68,40.01,39.52,39.76,8098615.0,203700.0
TAEE11,H1,28/05/2026,39.54,39.79,39.36,39.68,7241904.0,182800.0
TAEE11,H1,27/05/2026,39.35,39.5,39.34,39.39,165414.0,4200.0
TAEE11,H1,27/05/2026,39.29,39.55,39.15,39.37,62171204.0,1582200.0
TAEE11,H1,27/05/2026,39.09,39.38,39.07,39.28,5423275.0,138400.0
TAEE11,H1,27/05/2026,39.17,39.18,38.99,39.1,3852534.0,98600.0
TAEE11,H1,27/05/2026,39.22,39.3,39.11,39.18,4942593.0,126100.0
TAEE11,H1,27/05/2026,39.25,39.4,39.19,39.22,4160244.0,105900.0
TAEE11,H1,27/05/2026,39.31,39.32,39.06,39.28,5331336.0,136100.0
TAEE11,H1,27/05/2026,39.21,39.56,39.16,39.32,5360346.0,136200.0
TAEE11,H1,26/05/2026,39.07,39.21,38.94,39.21,101714.0,2600.0
TAEE11,H1,26/05/2026,39.06,39.19,39.0,39.0,26044984.0,666800.0
TAEE11,H1,26/05/2026,38.96,39.12,38.85,39.07,11930430.0,306300.0
TAEE11,H1,26/05/2026,38.82,39.01,38.79,38.95,8588069.0,220700.0
TAEE11,H1,26/05/2026,38.94,39.11,38.78,38.82,18507248.0,475400.0
TAEE11,H1,26/05/2026,39.35,39.35,38.93,38.94,5624675.0,143800.0
TAEE11,H1,26/05/2026,39.14,39.39,39.06,39.35,3908950.0,99600.0
TAEE11,H1,26/05/2026,39.75,39.75,39.06,39.15,5716848.0,145400.0
TAEE11,H1,25/05/2026,39.58,39.75,39.58,39.75,63386.0,1600.0
TAEE11,H1,25/05/2026,39.57,39.65,39.51,39.51,13472226.0,340600.0
TAEE11,H1,25/05/2026,39.54,39.65,39.52,39.58,4036553.0,102000.0
TAEE11,H1,25/05/2026,39.48,39.63,39.45,39.53,5961340.0,150800.0
TAEE11,H1,25/05/2026,39.37,39.52,39.3,39.47,5391177.0,136800.0
TAEE11,H1,25/05/2026,39.12,39.47,39.12,39.37,5335984.0,135700.0
TAEE11,H1,25/05/2026,39.21,39.28,39.12,39.14,5905069.0,150700.0
TAEE11,H1,25/05/2026,39.0,39.4,38.91,39.21,5427216.0,138400.0
TAEE11,H1,22/05/2026,38.73,38.95,38.68,38.73,18745971.0,483800.0
TAEE11,H1,22/05/2026,38.71,38.79,38.68,38.74,4753267.0,122700.0
TAEE11,H1,22/05/2026,38.65,38.84,38.61,38.72,4601159.0,118900.0
TAEE11,H1,22/05/2026,38.53,38.68,38.53,38.66,2402520.0,62200.0
TAEE11,H1,22/05/2026,38.23,38.57,38.2,38.53,3804639.0,99000.0
TAEE11,H1,22/05/2026,38.42,38.42,38.2,38.22,3311592.0,86500.0
TAEE11,H1,22/05/2026,38.61,38.61,38.25,38.41,5143405.0,133900.0
TAEE11,H1,21/05/2026,38.63,38.63,38.42,38.51,73163.0,1900.0
TAEE11,H1,21/05/2026,38.45,38.66,38.42,38.42,19629994.0,509900.0
TAEE11,H1,21/05/2026,38.66,38.69,38.4,38.44,6366681.0,165300.0
TAEE11,H1,21/05/2026,38.19,38.88,38.19,38.67,12321959.0,319200.0
TAEE11,H1,21/05/2026,38.4,38.42,38.19,38.2,6902539.0,180200.0
TAEE11,H1,21/05/2026,38.18,38.45,38.14,38.39,10707532.0,279400.0
TAEE11,H1,21/05/2026,38.44,38.46,38.1,38.17,8281660.0,216600.0
TAEE11,H1,21/05/2026,38.55,38.55,38.26,38.43,14474170.0,377300.0
TAEE11,H1,20/05/2026,38.57,38.57,38.55,38.55,19280.0,500.0
TAEE11,H1,20/05/2026,38.77,38.82,38.56,38.56,12673931.0,327700.0
TAEE11,H1,20/05/2026,38.8,38.82,38.75,38.77,4332368.0,111700.0
TAEE11,H1,20/05/2026,38.79,38.88,38.77,38.8,3932463.0,101300.0
TAEE11,H1,20/05/2026,38.64,38.86,38.64,38.79,11974512.0,309000.0
TAEE11,H1,20/05/2026,38.48,38.82,38.48,38.65,7107613.0,183900.0
TAEE11,H1,20/05/2026,38.41,38.66,38.23,38.46,6884719.0,178900.0
TAEE11,H1,20/05/2026,38.2,38.48,38.11,38.42,5353545.0,139600.0
TAEE11,H1,19/05/2026,38.04,38.18,38.0,38.11,129365.0,3400.0
TAEE11,H1,19/05/2026,38.19,38.23,38.05,38.05,17698740.0,464600.0
TAEE11,H1,19/05/2026,38.33,38.33,38.14,38.19,5773041.0,151100.0
TAEE11,H1,19/05/2026,38.38,38.45,38.27,38.33,10620227.0,276900.0
TAEE11,H1,19/05/2026,38.26,38.43,38.16,38.38,9570615.0,250000.0
TAEE11,H1,19/05/2026,38.28,38.38,38.2,38.25,12211588.0,319100.0
TAEE11,H1,19/05/2026,38.36,38.45,38.18,38.27,10600999.0,276800.0
TAEE11,H1,19/05/2026,38.48,38.5,37.95,38.37,8756566.0,229000.0
TAEE11,H1,18/05/2026,38.56,38.8,38.56,38.8,100583.0,2600.0
TAEE11,H1,18/05/2026,38.37,38.76,38.34,38.55,27702409.0,718800.0
TAEE11,H1,18/05/2026,38.38,38.46,38.31,38.36,17372368.0,452500.0
TAEE11,H1,18/05/2026,38.54,38.54,38.37,38.38,7962100.0,207000.0
TAEE11,H1,18/05/2026,38.46,38.58,38.38,38.52,12104326.0,314700.0
TAEE11,H1,18/05/2026,38.18,38.49,38.1,38.46,15770111.0,411300.0
TAEE11,H1,18/05/2026,38.42,38.46,38.1,38.18,8413294.0,219800.0
TAEE11,H1,18/05/2026,38.26,38.58,38.17,38.41,10123443.0,263800.0
TAEE11,H1,15/05/2026,38.34,38.5,38.3,38.3,76835.0,2000.0
TAEE11,H1,15/05/2026,38.38,38.53,38.29,38.29,15022927.0,391500.0
TAEE11,H1,15/05/2026,38.5,38.55,38.26,38.38,8511902.0,221700.0
TAEE11,H1,15/05/2026,38.36,38.56,38.35,38.51,9285357.0,241300.0
TAEE11,H1,15/05/2026,38.32,38.44,38.31,38.37,3707010.0,96600.0
TAEE11,H1,15/05/2026,38.06,38.4,38.03,38.33,14847142.0,388400.0
TAEE11,H1,15/05/2026,38.11,38.45,38.05,38.06,12315661.0,322500.0
TAEE11,H1,15/05/2026,38.4,38.4,37.92,38.11,14754006.0,387400.0
TAEE11,H1,14/05/2026,38.63,38.63,38.61,38.61,19310.0,500.0
TAEE11,H1,14/05/2026,38.57,38.67,38.52,38.61,20085416.0,520300.0
TAEE11,H1,14/05/2026,38.77,38.78,38.51,38.56,8878926.0,229900.0
TAEE11,H1,14/05/2026,38.74,38.91,38.68,38.79,4750472.0,122500.0
TAEE11,H1,14/05/2026,38.77,38.85,38.72,38.74,8012153.0,206500.0
TAEE11,H1,14/05/2026,38.76,38.84,38.66,38.77,5236927.0,135100.0
TAEE11,H1,14/05/2026,38.72,38.96,38.71,38.76,10006666.0,257600.0
TAEE11,H1,14/05/2026,39.05,39.25,38.66,38.71,9407843.0,242000.0
TAEE11,H1,13/05/2026,38.79,38.88,38.72,38.88,178594.0,4600.0
TAEE11,H1,13/05/2026,38.74,38.78,38.55,38.66,27485911.0,711000.0
TAEE11,H1,13/05/2026,39.08,39.14,38.52,38.74,17253416.0,444600.0
TAEE11,H1,13/05/2026,39.45,39.47,39.04,39.09,10051696.0,255500.0
TAEE11,H1,13/05/2026,39.43,39.57,39.43,39.46,6464912.0,163700.0
TAEE11,H1,13/05/2026,39.51,39.55,39.4,39.43,6572550.0,166500.0
TAEE11,H1,13/05/2026,39.65,39.69,39.46,39.52,6049011.0,152900.0
TAEE11,H1,13/05/2026,39.88,39.88,39.38,39.65,10729978.0,270800.0
TAEE11,H1,12/05/2026,39.97,39.97,39.88,39.96,71885.0,1800.0
TAEE11,H1,12/05/2026,39.85,39.97,39.77,39.77,21150107.0,531100.0
TAEE11,H1,12/05/2026,39.87,39.97,39.82,39.86,10789217.0,270500.0
TAEE11,H1,12/05/2026,39.93,39.99,39.82,39.86,8893689.0,223000.0
TAEE11,H1,12/05/2026,39.93,40.04,39.88,39.92,6841343.0,171300.0
TAEE11,H1,12/05/2026,40.0,40.16,39.81,39.93,7913073.0,198200.0
TAEE11,H1,12/05/2026,40.79,40.82,39.94,39.99,15329393.0,381700.0
TAEE11,H1,12/05/2026,40.94,41.28,40.67,40.78,5566503.0,136100.0
TAEE11,H1,11/05/2026,41.4,41.52,41.39,41.47,86984.0,2100.0
TAEE11,H1,11/05/2026,41.23,41.4,41.22,41.4,28556578.0,690700.0
TAEE11,H1,11/05/2026,41.39,41.53,41.19,41.23,16144458.0,390200.0
TAEE11,H1,11/05/2026,41.31,41.43,41.24,41.39,9580024.0,231900.0
TAEE11,H1,11/05/2026,41.25,41.37,41.08,41.31,31719810.0,769400.0
TAEE11,H1,11/05/2026,41.26,41.43,41.1,41.27,15501305.0,375800.0
TAEE11,H1,11/05/2026,41.14,41.32,41.0,41.26,13051086.0,316900.0
TAEE11,H1,11/05/2026,41.24,41.3,40.97,41.16,11884944.0,289200.0
TAEE11,H1,08/05/2026,41.05,41.17,40.92,41.17,159797.0,3900.0
TAEE11,H1,08/05/2026,41.15,41.29,40.96,40.96,32413151.0,787900.0
TAEE11,H1,08/05/2026,41.19,41.37,41.12,41.13,10903702.0,264400.0
