symbol,timeframe,date,open,high,low,close,volume,quantity
VALE3,D1,09/06/2026,78.79,78.79,76.83,78.42,1366340230.0,17523500.0
VALE3,D1,08/06/2026,78.92,79.28,77.32,78.07,1220782951.0,15653700.0
VALE3,D1,05/06/2026,80.79,80.79,78.33,78.7,1814155940.0,22910600.0
VALE3,D1,03/06/2026,83.61,83.79,81.79,81.79,1576101559.0,19158300.0
VALE3,D1,02/06/2026,82.22,85.08,82.04,85.0,1547903068.0,18358400.0
VALE3,D1,01/06/2026,82.13,82.25,80.58,81.7,1348263198.0,16580300.0
VALE3,D1,29/05/2026,84.01,84.28,82.38,82.82,1730150843.0,20834800.0
VALE3,D1,28/05/2026,83.15,84.05,82.24,83.96,1067157745.0,12765800.0
VALE3,D1,27/05/2026,83.68,83.94,82.51,83.45,882893643.0,10604000.0
VALE3,D1,26/05/2026,83.23,84.12,82.3,83.07,861683718.0,10390100.0
VALE3,D1,25/05/2026,82.84,83.59,82.45,83.59,583555688.0,7037700.0
VALE3,D1,22/05/2026,82.33,83.14,81.85,83.1,933105629.0,11286800.0
VALE3,D1,21/05/2026,81.36,82.88,81.22,82.63,1239903896.0,15096100.0
VALE3,D1,20/05/2026,81.45,82.21,80.85,82.0,1279101879.0,15656900.0
VALE3,D1,19/05/2026,80.8,81.28,80.17,81.02,1641048258.0,20323000.0
VALE3,D1,18/05/2026,83.0,83.6,81.06,81.83,1855707600.0,22642800.0
VALE3,D1,15/05/2026,80.65,83.5,80.24,83.5,2963286987.0,36063800.0
VALE3,D1,14/05/2026,85.0,85.41,82.63,82.87,2662575597.0,31901700.0
VALE3,D1,13/05/2026,83.49,85.05,83.01,84.3,2665715192.0,31609600.0
VALE3,D1,12/05/2026,83.15,83.99,81.74,83.25,1367306585.0,16467400.0
VALE3,D1,11/05/2026,81.39,83.93,81.19,83.45,2068219224.0,24844900.0
VALE3,D1,08/05/2026,80.57,81.79,80.36,81.49,1363625747.0,16776300.0
VALE3,D1,07/05/2026,81.29,81.67,79.6,80.07,1513665425.0,18873700.0
VALE3,D1,06/05/2026,80.35,81.64,80.1,81.23,1408322119.0,17355900.0
VALE3,D1,05/05/2026,79.42,79.42,77.97,78.39,1277900650.0,16274200.0
VALE3,D1,04/05/2026,81.18,81.36,78.65,78.66,1463562462.0,18442800.0
VALE3,D1,30/04/2026,81.03,81.7,80.21,81.18,1423465521.0,17556800.0
