symbol,timeframe,date,open,high,low,close,volume,quantity
VALE3,M30,09/06/2026,77.93,78.5,77.82,78.5,361220443.0,4608300.0
VALE3,M30,09/06/2026,78.13,78.2,77.84,77.93,78929103.0,1012000.0
VALE3,M30,09/06/2026,78.09,78.23,78.04,78.13,46376698.0,593600.0
VALE3,M30,09/06/2026,77.88,78.13,77.72,78.09,55199123.0,708900.0
VALE3,M30,09/06/2026,77.62,77.99,77.57,77.9,50699542.0,651400.0
VALE3,M30,09/06/2026,77.2,77.7,77.16,77.63,54220942.0,699900.0
VALE3,M30,09/06/2026,77.37,77.47,76.83,77.16,112874766.0,1464200.0
VALE3,M30,09/06/2026,77.48,77.67,77.14,77.41,93121768.0,1203900.0
VALE3,M30,09/06/2026,77.52,77.74,77.35,77.48,89232210.0,1150700.0
VALE3,M30,09/06/2026,78.05,78.1,77.51,77.52,53817743.0,691300.0
VALE3,M30,09/06/2026,78.37,78.41,77.77,78.04,134962968.0,1730400.0
VALE3,M30,09/06/2026,78.22,78.53,78.17,78.35,42914118.0,547400.0
VALE3,M30,09/06/2026,78.41,78.54,78.0,78.22,98324175.0,1257500.0
VALE3,M30,09/06/2026,78.79,78.79,78.12,78.42,93410822.0,1190800.0
VALE3,M30,08/06/2026,78.07,78.1,78.0,78.1,1389177.0,17800.0
VALE3,M30,08/06/2026,77.98,78.07,77.79,78.07,329617413.0,4225300.0
VALE3,M30,08/06/2026,78.18,78.19,77.86,77.97,59421352.0,761700.0
VALE3,M30,08/06/2026,78.06,78.37,78.06,78.18,71174506.0,910300.0
VALE3,M30,08/06/2026,77.98,78.12,77.9,78.06,86725679.0,1111400.0
VALE3,M30,08/06/2026,77.76,78.04,77.72,77.98,38544095.0,495100.0
VALE3,M30,08/06/2026,77.73,77.81,77.6,77.78,40808818.0,525400.0
VALE3,M30,08/06/2026,77.7,77.8,77.65,77.73,28165903.0,362300.0
VALE3,M30,08/06/2026,77.85,77.87,77.7,77.7,33378263.0,429300.0
VALE3,M30,08/06/2026,77.81,78.03,77.77,77.86,36346597.0,466600.0
VALE3,M30,08/06/2026,77.99,78.08,77.75,77.82,50117786.0,643500.0
VALE3,M30,08/06/2026,77.7,78.15,77.7,77.96,82752238.0,1061500.0
VALE3,M30,08/06/2026,77.68,77.77,77.32,77.71,101504515.0,1309200.0
VALE3,M30,08/06/2026,78.4,78.5,77.67,77.68,153920271.0,1972800.0
VALE3,M30,08/06/2026,78.92,79.28,78.21,78.45,108305515.0,1379300.0
VALE3,M30,05/06/2026,78.72,79.08,78.55,78.99,7724514.0,97900.0
VALE3,M30,05/06/2026,78.66,78.7,78.33,78.7,342144229.0,4352600.0
VALE3,M30,05/06/2026,78.8,78.82,78.44,78.66,190483701.0,2424800.0
VALE3,M30,05/06/2026,78.86,78.96,78.71,78.79,106383486.0,1349600.0
VALE3,M30,05/06/2026,79.12,79.17,78.72,78.87,72037485.0,913300.0
VALE3,M30,05/06/2026,79.16,79.4,78.97,79.1,75498621.0,953800.0
VALE3,M30,05/06/2026,79.13,79.2,78.98,79.16,63503545.0,803200.0
VALE3,M30,05/06/2026,79.15,79.22,78.88,79.13,97629790.0,1235200.0
VALE3,M30,05/06/2026,79.16,79.33,79.06,79.15,64187839.0,810300.0
VALE3,M30,05/06/2026,79.57,79.61,79.1,79.16,96765209.0,1221600.0
VALE3,M30,05/06/2026,79.7,79.74,79.37,79.57,46150719.0,580500.0
VALE3,M30,05/06/2026,79.15,79.81,79.14,79.69,120164750.0,1511100.0
VALE3,M30,05/06/2026,79.61,79.85,79.13,79.15,160074785.0,2014600.0
VALE3,M30,05/06/2026,79.9,80.05,79.41,79.6,234502012.0,2939500.0
VALE3,M30,05/06/2026,80.79,80.79,79.9,79.9,144549879.0,1799500.0
VALE3,M30,03/06/2026,81.8,81.85,81.71,81.84,12306374.0,150500.0
VALE3,M30,03/06/2026,82.11,82.22,81.79,81.79,330016994.0,4028900.0
VALE3,M30,03/06/2026,81.99,82.21,81.92,82.14,89521306.0,1090800.0
VALE3,M30,03/06/2026,81.94,82.06,81.8,81.99,49133249.0,599900.0
VALE3,M30,03/06/2026,81.91,82.12,81.88,81.96,58361994.0,711800.0
VALE3,M30,03/06/2026,82.0,82.14,81.86,81.91,56543042.0,689400.0
VALE3,M30,03/06/2026,82.03,82.19,81.9,82.01,60062553.0,731900.0
VALE3,M30,03/06/2026,81.97,82.06,81.81,82.02,44104384.0,538200.0
VALE3,M30,03/06/2026,82.09,82.09,81.84,81.98,35960576.0,438700.0
VALE3,M30,03/06/2026,82.25,82.3,81.98,82.06,72875642.0,887300.0
VALE3,M30,03/06/2026,82.32,82.36,81.88,82.27,78043955.0,950100.0
VALE3,M30,03/06/2026,82.43,82.69,82.04,82.32,117093386.0,1421900.0
VALE3,M30,03/06/2026,82.04,82.55,82.02,82.43,202223095.0,2457000.0
VALE3,M30,03/06/2026,83.04,83.04,81.93,82.04,252150528.0,3055200.0
VALE3,M30,03/06/2026,83.61,83.79,83.02,83.02,130010855.0,1557200.0
VALE3,M30,02/06/2026,84.99,85.06,84.8,85.06,8411470.0,99000.0
VALE3,M30,02/06/2026,84.91,85.0,84.74,85.0,277061697.0,3262300.0
VALE3,M30,02/06/2026,84.78,85.0,84.76,84.92,87570416.0,1031900.0
VALE3,M30,02/06/2026,84.63,84.81,84.58,84.8,76695774.0,905600.0
VALE3,M30,02/06/2026,84.58,84.78,84.56,84.64,53109155.0,627400.0
VALE3,M30,02/06/2026,84.51,84.78,84.47,84.58,41847764.0,494600.0
VALE3,M30,02/06/2026,84.87,85.08,84.46,84.5,90201850.0,1063800.0
VALE3,M30,02/06/2026,84.48,84.97,84.44,84.88,87269963.0,1028600.0
VALE3,M30,02/06/2026,84.56,84.67,84.44,84.48,44170436.0,522500.0
VALE3,M30,02/06/2026,84.44,84.62,84.4,84.58,52475593.0,621000.0
VALE3,M30,02/06/2026,84.56,84.69,84.11,84.42,110863520.0,1313900.0
VALE3,M30,02/06/2026,83.83,84.75,83.81,84.58,261809652.0,3101400.0
VALE3,M30,02/06/2026,83.22,83.83,83.05,83.8,117969136.0,1415100.0
VALE3,M30,02/06/2026,82.9,83.73,82.62,83.22,170425820.0,2043900.0
VALE3,M30,02/06/2026,82.22,82.98,82.04,82.9,76432292.0,926400.0
VALE3,M30,01/06/2026,81.69,81.79,81.57,81.64,2090498.0,25600.0
VALE3,M30,01/06/2026,81.85,82.08,81.7,81.7,215284518.0,2632400.0
VALE3,M30,01/06/2026,81.77,81.89,81.61,81.86,61405359.0,751200.0
VALE3,M30,01/06/2026,81.83,81.93,81.69,81.78,31879271.0,389700.0
VALE3,M30,01/06/2026,81.77,81.89,81.71,81.84,39173399.0,478900.0
VALE3,M30,01/06/2026,81.48,81.85,81.39,81.8,71176582.0,872200.0
VALE3,M30,01/06/2026,81.31,81.48,81.16,81.47,62504400.0,769000.0
VALE3,M30,01/06/2026,80.82,81.31,80.77,81.29,40974457.0,506000.0
VALE3,M30,01/06/2026,81.01,81.1,80.73,80.82,49550011.0,612600.0
VALE3,M30,01/06/2026,81.0,81.2,80.94,81.01,52361362.0,646200.0
VALE3,M30,01/06/2026,80.64,81.04,80.59,81.03,107029936.0,1325000.0
VALE3,M30,01/06/2026,80.97,81.1,80.58,80.64,101437311.0,1255400.0
VALE3,M30,01/06/2026,81.16,81.42,80.82,80.99,152895554.0,1885800.0
VALE3,M30,01/06/2026,80.77,81.59,80.74,81.13,173605685.0,2137700.0
VALE3,M30,01/06/2026,82.13,82.25,80.71,80.78,188985353.0,2318200.0
VALE3,M30,29/05/2026,82.84,82.85,82.43,82.45,1164307.0,14100.0
VALE3,M30,29/05/2026,82.87,82.89,82.38,82.82,732592956.0,8848500.0
VALE3,M30,29/05/2026,82.56,82.89,82.53,82.87,67251047.0,812300.0
VALE3,M30,29/05/2026,82.75,82.93,82.49,82.56,64098541.0,775100.0
VALE3,M30,29/05/2026,82.8,82.91,82.72,82.76,37418225.0,451800.0
VALE3,M30,29/05/2026,82.65,82.94,82.64,82.8,61891981.0,747400.0
VALE3,M30,29/05/2026,82.79,83.01,82.6,82.64,55551640.0,670800.0
VALE3,M30,29/05/2026,83.13,83.25,82.55,82.76,148053727.0,1786300.0
VALE3,M30,29/05/2026,83.43,83.43,82.95,83.14,68104103.0,819600.0
VALE3,M30,29/05/2026,83.64,83.71,83.36,83.44,65012324.0,778500.0
VALE3,M30,29/05/2026,83.8,83.98,83.61,83.64,78194534.0,933300.0
VALE3,M30,29/05/2026,83.04,83.82,82.99,83.82,71129033.0,853300.0
VALE3,M30,29/05/2026,83.47,83.58,82.89,83.06,73969011.0,889000.0
VALE3,M30,29/05/2026,83.69,84.2,83.38,83.45,155319495.0,1854100.0
VALE3,M30,29/05/2026,84.01,84.28,83.55,83.7,51564226.0,614800.0
VALE3,M30,28/05/2026,83.9,83.99,83.79,83.79,2776061.0,33100.0
VALE3,M30,28/05/2026,83.81,83.96,83.76,83.96,263611692.0,3141800.0
VALE3,M30,28/05/2026,83.86,83.92,83.75,83.8,72232367.0,861700.0
VALE3,M30,28/05/2026,83.94,83.94,83.78,83.85,39283705.0,468400.0
VALE3,M30,28/05/2026,83.97,84.0,83.86,83.95,44464747.0,529700.0
VALE3,M30,28/05/2026,83.75,84.0,83.74,83.97,50269987.0,599200.0
VALE3,M30,28/05/2026,83.92,83.92,83.63,83.75,34341125.0,409900.0
VALE3,M30,28/05/2026,84.0,84.02,83.82,83.93,30304243.0,361000.0
VALE3,M30,28/05/2026,83.93,84.04,83.8,84.0,42002568.0,500400.0
VALE3,M30,28/05/2026,83.85,84.05,83.8,83.95,58684395.0,699300.0
VALE3,M30,28/05/2026,83.54,83.85,83.53,83.85,45020828.0,537800.0
VALE3,M30,28/05/2026,83.73,83.8,83.45,83.51,54877191.0,656200.0
VALE3,M30,28/05/2026,82.8,83.86,82.64,83.73,90549033.0,1085000.0
VALE3,M30,28/05/2026,83.32,83.59,82.24,82.79,198375408.0,2398000.0
VALE3,M30,28/05/2026,83.15,83.79,83.15,83.38,43140456.0,517400.0
VALE3,M30,27/05/2026,83.5,83.5,83.3,83.48,767273.0,9200.0
VALE3,M30,27/05/2026,83.33,83.5,83.29,83.45,229213241.0,2747900.0
VALE3,M30,27/05/2026,83.32,83.36,83.21,83.34,50132554.0,601900.0
VALE3,M30,27/05/2026,83.33,83.39,83.24,83.31,44253247.0,531200.0
VALE3,M30,27/05/2026,83.21,83.4,83.04,83.32,60917225.0,732000.0
VALE3,M30,27/05/2026,83.03,83.28,83.0,83.21,31230805.0,375500.0
VALE3,M30,27/05/2026,83.09,83.18,82.91,83.05,78848823.0,949800.0
VALE3,M30,27/05/2026,83.23,83.28,83.05,83.08,20767399.0,249700.0
VALE3,M30,27/05/2026,83.12,83.28,82.97,83.23,27029451.0,325100.0
VALE3,M30,27/05/2026,83.25,83.32,82.87,83.11,35089878.0,422400.0
VALE3,M30,27/05/2026,83.24,83.44,83.06,83.24,34892621.0,419000.0
VALE3,M30,27/05/2026,82.71,83.32,82.51,83.22,50420328.0,608300.0
VALE3,M30,27/05/2026,83.49,83.52,82.53,82.7,85778529.0,1034000.0
VALE3,M30,27/05/2026,83.19,83.75,83.11,83.5,62421285.0,747700.0
VALE3,M30,27/05/2026,83.68,83.94,83.17,83.24,71898257.0,859500.0
VALE3,M30,26/05/2026,83.1,83.1,82.84,82.85,1566910.0,18900.0
VALE3,M30,26/05/2026,82.65,83.07,82.64,83.07,192945611.0,2325200.0
VALE3,M30,26/05/2026,82.61,82.68,82.49,82.64,44326045.0,536700.0
VALE3,M30,26/05/2026,82.41,82.74,82.4,82.61,60341443.0,730700.0
VALE3,M30,26/05/2026,82.48,82.66,82.4,82.4,36889316.0,446900.0
VALE3,M30,26/05/2026,82.44,82.65,82.41,82.48,32401209.0,392500.0
VALE3,M30,26/05/2026,82.44,82.61,82.3,82.44,43375881.0,526100.0
VALE3,M30,26/05/2026,82.7,82.73,82.44,82.45,31197835.0,377800.0
