time,open,high,low,close,tick_volume,spread,real_volume
2024-07-10 04:00:00,41604.0,41774.0,41539.0,41704.0,10971,5,0
2024-07-10 08:00:00,41703.0,42142.0,41698.0,42094.0,9224,5,0
2024-07-10 12:00:00,42094.0,42256.0,42093.0,42244.0,8725,5,0
2024-07-10 16:00:00,42244.0,42481.0,42196.0,42463.0,7781,5,0
2024-07-10 20:00:00,42463.0,42512.0,42359.0,42486.0,5109,5,0
2024-07-11 00:00:00,42487.0,42517.0,42246.0,42264.0,7264,6,0
2024-07-11 04:00:00,42264.0,42336.0,42138.0,42277.0,12883,6,0
2024-07-11 08:00:00,42277.0,42482.0,42249.0,42275.0,7666,5,0
2024-07-11 12:00:00,42275.0,42409.0,41927.0,41935.0,10382,5,0
2024-07-11 16:00:00,41935.0,42072.0,41531.0,41553.0,29722,6,0
2024-07-11 20:00:00,41554.0,41654.0,41506.0,41646.0,12492,6,0
2024-07-12 00:00:00,41633.0,41828.0,41206.0,41212.0,11969,5,0
2024-07-12 04:00:00,41212.0,41481.0,41206.0,41244.0,14465,5,0
2024-07-12 08:00:00,41244.0,41318.0,41176.0,41312.0,8807,5,0
2024-07-12 12:00:00,41312.0,41337.0,41028.0,41227.0,8663,5,0
2024-07-12 16:00:00,41227.0,41450.0,41048.0,41341.0,18737,5,0
2024-07-12 20:00:00,41342.0,41500.0,41179.0,41212.0,10232,6,0
2024-07-15 00:00:00,41271.0,41404.0,41121.0,41318.0,4208,6,0
2024-07-15 04:00:00,41318.0,41335.0,41221.0,41286.0,6039,6,0
2024-07-15 08:00:00,41286.0,41344.0,41211.0,41314.0,5016,6,0
2024-07-15 12:00:00,41314.0,41424.0,41293.0,41327.0,5489,6,0
2024-07-15 16:00:00,41326.0,41412.0,41126.0,41155.0,14211,6,0
2024-07-15 20:00:00,41155.0,41217.0,41044.0,41194.0,12665,5,0
2024-07-16 00:00:00,41217.0,41544.0,41207.0,41449.0,7710,5,0
2024-07-16 04:00:00,41449.0,41476.0,41263.0,41297.0,11947,6,0
2024-07-16 08:00:00,41296.0,41364.0,41133.0,41233.0,7589,5,0
2024-07-16 12:00:00,41239.0,41406.0,41223.0,41356.0,5652,6,0
2024-07-16 16:00:00,41356.0,41466.0,41312.0,41397.0,16405,6,0
2024-07-16 20:00:00,41396.0,41584.0,41368.0,41546.0,7789,6,0
2024-07-17 00:00:00,41549.0,41624.0,41323.0,41394.0,6658,6,0
2024-07-17 04:00:00,41392.0,41495.0,41074.0,41120.0,14274,5,0
2024-07-17 08:00:00,41121.0,41239.0,40440.0,40471.0,16608,6,0
2024-07-17 12:00:00,40471.0,40589.0,40361.0,40449.0,11779,6,0
2024-07-17 16:00:00,40449.0,40491.0,40231.0,40305.0,18860,5,0
2024-07-17 20:00:00,40304.0,40304.0,40151.0,40274.0,11152,6,0
2024-07-18 00:00:00,40254.0,40356.0,40084.0,40349.0,11096,5,0
2024-07-18 04:00:00,40347.0,40441.0,40197.0,40236.0,17912,6,0
2024-07-18 08:00:00,40236.0,40381.0,40138.0,40366.0,13238,6,0
2024-07-18 12:00:00,40365.0,40369.0,40196.0,40334.0,8084,5,0
2024-07-18 16:00:00,40334.0,40366.0,39886.0,40141.0,24042,5,0
