time,open,high,low,close,tick_volume,spread,real_volume
2026-01-26 12:00:00,153.668,153.885,153.601,153.705,1567,3,0
2026-01-26 12:30:00,153.705,153.806,153.53,153.559,1456,2,0
2026-01-26 13:00:00,153.554,153.809,153.299,153.761,1543,3,0
2026-01-26 13:30:00,153.755,153.825,153.666,153.737,1426,3,0
2026-01-26 14:00:00,153.735,153.975,153.735,153.963,1428,3,0
2026-01-26 14:30:00,153.963,154.185,153.897,154.131,1457,3,0
2026-01-26 15:00:00,154.13,154.337,154.121,154.184,1310,3,0
2026-01-26 15:30:00,154.182,154.257,154.036,154.059,1503,3,0
2026-01-26 16:00:00,154.05,154.134,153.856,153.92,1384,3,0
2026-01-26 16:30:00,153.911,153.918,153.697,153.741,1558,3,0
2026-01-26 17:00:00,153.74,153.882,153.671,153.822,1464,2,0
2026-01-26 17:30:00,153.823,153.882,153.619,153.802,1501,3,0
2026-01-26 18:00:00,153.817,154.029,153.718,154.0,1546,3,0
2026-01-26 18:30:00,154.0,154.015,153.799,153.886,1325,2,0
2026-01-26 19:00:00,153.885,154.045,153.864,154.045,1160,3,0
2026-01-26 19:30:00,154.043,154.112,153.962,153.971,1113,3,0
2026-01-26 20:00:00,153.972,154.028,153.896,154.014,1227,3,0
2026-01-26 20:30:00,154.014,154.193,153.993,154.162,1213,3,0
2026-01-26 21:00:00,154.155,154.273,154.155,154.236,1348,3,0
2026-01-26 21:30:00,154.237,154.257,154.029,154.038,1423,3,0
2026-01-26 22:00:00,154.041,154.146,153.864,154.035,1402,2,0
2026-01-26 22:30:00,154.036,154.114,154.01,154.086,951,3,0
2026-01-26 23:00:00,154.085,154.242,154.062,154.198,711,3,0
2026-01-26 23:30:00,154.199,154.261,154.174,154.197,694,3,0
2026-01-27 00:00:00,154.08,154.247,154.067,154.156,106,22,0
2026-01-27 00:30:00,154.149,154.198,154.091,154.147,134,12,0
2026-01-27 01:00:00,154.116,154.239,154.104,154.177,486,3,0
2026-01-27 01:30:00,154.177,154.426,154.175,154.385,866,3,0
2026-01-27 02:00:00,154.379,154.447,154.121,154.239,1308,3,0
2026-01-27 02:30:00,154.232,154.313,154.13,154.289,1257,3,0
2026-01-27 03:00:00,154.29,154.385,154.242,154.31,1366,3,0
2026-01-27 03:30:00,154.311,154.407,154.262,154.347,1094,3,0
2026-01-27 04:00:00,154.348,154.363,154.2,154.241,1013,3,0
2026-01-27 04:30:00,154.239,154.263,154.086,154.263,1056,3,0
2026-01-27 05:00:00,154.266,154.343,154.239,154.332,838,3,0
2026-01-27 05:30:00,154.332,154.463,154.286,154.414,907,3,0
2026-01-27 06:00:00,154.416,154.555,154.412,154.509,1070,3,0
2026-01-27 06:30:00,154.508,154.623,154.464,154.592,902,3,0
2026-01-27 07:00:00,154.593,154.639,154.519,154.533,962,3,0
2026-01-27 07:30:00,154.534,154.545,154.431,154.499,980,3,0
2026-01-27 08:00:00,154.498,154.595,154.466,154.587,890,3,0
2026-01-27 08:30:00,154.572,154.611,154.371,154.528,978,3,0
2026-01-27 09:00:00,154.528,154.622,154.474,154.585,1083,3,0
2026-01-27 09:30:00,154.583,154.763,154.542,154.73,1310,3,0
2026-01-27 10:00:00,154.717,154.786,154.641,154.75,1316,3,0
2026-01-27 10:30:00,154.751,154.877,154.703,154.708,1174,3,0
2026-01-27 11:00:00,154.702,154.733,154.593,154.603,1070,3,0
2026-01-27 11:30:00,154.599,154.605,153.18,153.742,1636,2,0
2026-01-27 12:00:00,153.747,154.187,153.736,153.962,1852,3,0
2026-01-27 12:30:00,153.953,153.998,153.565,153.742,1445,2,0
2026-01-27 13:00:00,153.731,153.763,153.572,153.605,1326,3,0
2026-01-27 13:30:00,153.588,153.763,153.564,153.728,1207,3,0
2026-01-27 14:00:00,153.728,153.794,153.268,153.443,1596,3,0
2026-01-27 14:30:00,153.448,153.53,153.262,153.306,1603,3,0
2026-01-27 15:00:00,153.287,153.383,153.18,153.339,1600,3,0
2026-01-27 15:30:00,153.322,153.423,152.998,153.245,1803,3,0
2026-01-27 16:00:00,153.246,153.344,153.153,153.153,1462,3,0
2026-01-27 16:30:00,153.143,153.374,152.927,153.188,1916,3,0
2026-01-27 17:00:00,153.186,153.186,152.881,153.0,1788,2,0
2026-01-27 17:30:00,153.002,153.339,153.002,153.242,1692,2,0
2026-01-27 18:00:00,153.251,153.268,152.979,153.057,1426,3,0
2026-01-27 18:30:00,153.055,153.129,152.947,153.04,1178,3,0
2026-01-27 19:00:00,153.037,153.147,153.026,153.079,1232,3,0
2026-01-27 19:30:00,153.08,153.084,152.608,152.766,1283,2,0
2026-01-27 20:00:00,152.764,152.878,152.572,152.764,1286,3,0
2026-01-27 20:30:00,152.76,152.801,152.652,152.764,863,3,0
2026-01-27 21:00:00,152.765,152.833,152.742,152.801,814,3,0
2026-01-27 21:30:00,152.801,152.837,152.706,152.714,887,3,0
2026-01-27 22:00:00,152.718,152.748,152.503,152.531,1061,3,0
2026-01-27 22:30:00,152.533,152.842,152.093,152.381,1776,2,0
2026-01-27 23:00:00,152.368,152.478,152.176,152.262,1268,3,0
2026-01-27 23:30:00,152.267,152.449,152.161,152.161,1022,3,0
2026-01-28 00:00:00,152.164,152.286,152.093,152.229,130,22,0
2026-01-28 00:30:00,152.205,152.394,152.204,152.281,207,9,0
2026-01-28 01:00:00,152.273,152.594,152.236,152.592,868,3,0
2026-01-28 01:30:00,152.592,152.624,152.383,152.494,973,3,0
2026-01-28 02:00:00,152.488,152.713,152.433,152.655,1394,2,0
2026-01-28 02:30:00,152.647,152.681,152.43,152.637,1621,2,0
2026-01-28 03:00:00,152.633,152.905,152.601,152.898,1510,3,0
2026-01-28 03:30:00,152.902,152.993,152.841,152.989,1263,3,0
2026-01-28 04:00:00,152.995,153.066,152.885,152.899,1290,3,0
2026-01-28 04:30:00,152.894,152.935,152.814,152.828,979,2,0
2026-01-28 05:00:00,152.827,152.837,152.649,152.694,874,3,0
2026-01-28 05:30:00,152.693,152.815,152.65,152.719,1070,3,0
