strategy_id,file,compiled,error
p1414_inline_media_f3_s21,p1414_inline_media_f3_s21.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f3_s34,p1414_inline_media_f3_s34.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f3_s55,p1414_inline_media_f3_s55.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f3_s89,p1414_inline_media_f3_s89.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f3_s144,p1414_inline_media_f3_s144.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f5_s21,p1414_inline_media_f5_s21.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f5_s34,p1414_inline_media_f5_s34.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f5_s55,p1414_inline_media_f5_s55.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f5_s89,p1414_inline_media_f5_s89.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f5_s144,p1414_inline_media_f5_s144.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f8_s21,p1414_inline_media_f8_s21.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f8_s34,p1414_inline_media_f8_s34.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f8_s55,p1414_inline_media_f8_s55.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f8_s89,p1414_inline_media_f8_s89.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f8_s144,p1414_inline_media_f8_s144.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f9_s21,p1414_inline_media_f9_s21.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f9_s34,p1414_inline_media_f9_s34.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f9_s55,p1414_inline_media_f9_s55.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f9_s89,p1414_inline_media_f9_s89.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f9_s144,p1414_inline_media_f9_s144.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f13_s21,p1414_inline_media_f13_s21.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f13_s34,p1414_inline_media_f13_s34.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f13_s55,p1414_inline_media_f13_s55.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f13_s89,p1414_inline_media_f13_s89.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f13_s144,p1414_inline_media_f13_s144.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f21_s34,p1414_inline_media_f21_s34.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f21_s55,p1414_inline_media_f21_s55.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f21_s89,p1414_inline_media_f21_s89.nts,false,PENDING_PROFIT_VALIDATION
p1414_inline_media_f21_s144,p1414_inline_media_f21_s144.nts,false,PENDING_PROFIT_VALIDATION
