"symbol","class","timeframe","dataset_file","status","source_required"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURUSD\EURUSD_M5.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURUSD\EURUSD_M15.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURUSD","FOREX","M30","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURUSD\EURUSD_M30.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURUSD","FOREX","H1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURUSD\EURUSD_H1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURUSD","FOREX","H4","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURUSD\EURUSD_H4.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURUSD","FOREX","D1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURUSD\EURUSD_D1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"GBPUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\GBPUSD\GBPUSD_M5.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"GBPUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\GBPUSD\GBPUSD_M15.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"GBPUSD","FOREX","M30","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\GBPUSD\GBPUSD_M30.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"GBPUSD","FOREX","H1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\GBPUSD\GBPUSD_H1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"GBPUSD","FOREX","H4","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\GBPUSD\GBPUSD_H4.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"GBPUSD","FOREX","D1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\GBPUSD\GBPUSD_D1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"USDJPY","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\USDJPY\USDJPY_M5.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"USDJPY","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\USDJPY\USDJPY_M15.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"USDJPY","FOREX","M30","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\USDJPY\USDJPY_M30.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"USDJPY","FOREX","H1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\USDJPY\USDJPY_H1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"USDJPY","FOREX","H4","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\USDJPY\USDJPY_H4.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"USDJPY","FOREX","D1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\USDJPY\USDJPY_D1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"USDCHF","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\USDCHF\USDCHF_M5.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"USDCHF","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\USDCHF\USDCHF_M15.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"USDCHF","FOREX","M30","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\USDCHF\USDCHF_M30.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"USDCHF","FOREX","H1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\USDCHF\USDCHF_H1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"USDCHF","FOREX","H4","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\USDCHF\USDCHF_H4.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"USDCHF","FOREX","D1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\USDCHF\USDCHF_D1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"USDCAD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\USDCAD\USDCAD_M5.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"USDCAD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\USDCAD\USDCAD_M15.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"USDCAD","FOREX","M30","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\USDCAD\USDCAD_M30.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"USDCAD","FOREX","H1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\USDCAD\USDCAD_H1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"USDCAD","FOREX","H4","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\USDCAD\USDCAD_H4.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"USDCAD","FOREX","D1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\USDCAD\USDCAD_D1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"AUDUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\AUDUSD\AUDUSD_M5.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"AUDUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\AUDUSD\AUDUSD_M15.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"AUDUSD","FOREX","M30","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\AUDUSD\AUDUSD_M30.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"AUDUSD","FOREX","H1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\AUDUSD\AUDUSD_H1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"AUDUSD","FOREX","H4","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\AUDUSD\AUDUSD_H4.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"AUDUSD","FOREX","D1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\AUDUSD\AUDUSD_D1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"NZDUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\NZDUSD\NZDUSD_M5.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"NZDUSD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\NZDUSD\NZDUSD_M15.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"NZDUSD","FOREX","M30","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\NZDUSD\NZDUSD_M30.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"NZDUSD","FOREX","H1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\NZDUSD\NZDUSD_H1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"NZDUSD","FOREX","H4","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\NZDUSD\NZDUSD_H4.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"NZDUSD","FOREX","D1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\NZDUSD\NZDUSD_D1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURJPY","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURJPY\EURJPY_M5.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURJPY","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURJPY\EURJPY_M15.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURJPY","FOREX","M30","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURJPY\EURJPY_M30.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURJPY","FOREX","H1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURJPY\EURJPY_H1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURJPY","FOREX","H4","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURJPY\EURJPY_H4.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURJPY","FOREX","D1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURJPY\EURJPY_D1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"GBPJPY","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\GBPJPY\GBPJPY_M5.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"GBPJPY","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\GBPJPY\GBPJPY_M15.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"GBPJPY","FOREX","M30","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\GBPJPY\GBPJPY_M30.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"GBPJPY","FOREX","H1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\GBPJPY\GBPJPY_H1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"GBPJPY","FOREX","H4","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\GBPJPY\GBPJPY_H4.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"GBPJPY","FOREX","D1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\GBPJPY\GBPJPY_D1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURGBP","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURGBP\EURGBP_M5.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURGBP","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURGBP\EURGBP_M15.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURGBP","FOREX","M30","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURGBP\EURGBP_M30.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURGBP","FOREX","H1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURGBP\EURGBP_H1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURGBP","FOREX","H4","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURGBP\EURGBP_H4.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURGBP","FOREX","D1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURGBP\EURGBP_D1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURAUD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURAUD\EURAUD_M5.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURAUD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURAUD\EURAUD_M15.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURAUD","FOREX","M30","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURAUD\EURAUD_M30.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURAUD","FOREX","H1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURAUD\EURAUD_H1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURAUD","FOREX","H4","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURAUD\EURAUD_H4.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURAUD","FOREX","D1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURAUD\EURAUD_D1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURCAD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURCAD\EURCAD_M5.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURCAD","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURCAD\EURCAD_M15.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURCAD","FOREX","M30","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURCAD\EURCAD_M30.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURCAD","FOREX","H1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURCAD\EURCAD_H1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURCAD","FOREX","H4","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURCAD\EURCAD_H4.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"EURCAD","FOREX","D1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\EURCAD\EURCAD_D1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"AUDJPY","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\AUDJPY\AUDJPY_M5.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"AUDJPY","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\AUDJPY\AUDJPY_M15.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"AUDJPY","FOREX","M30","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\AUDJPY\AUDJPY_M30.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"AUDJPY","FOREX","H1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\AUDJPY\AUDJPY_H1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"AUDJPY","FOREX","H4","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\AUDJPY\AUDJPY_H4.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"AUDJPY","FOREX","D1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\AUDJPY\AUDJPY_D1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"CADJPY","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\CADJPY\CADJPY_M5.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"CADJPY","FOREX","M15","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\CADJPY\CADJPY_M15.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"CADJPY","FOREX","M30","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\CADJPY\CADJPY_M30.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"CADJPY","FOREX","H1","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\CADJPY\CADJPY_H1.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
"CADJPY","FOREX","H4","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2262_DATASET_EXPANSION_20260618_150037\datasets\FOREX\CADJPY\CADJPY_H4.csv","PENDING_MARKET_DATA_IMPORT","MT5_EXPORT_OR_DATA_PROVIDER"
