"strategy","params","family"
"SMA_CROSS","fast=5;slow=21","TREND"
"EMA_CROSS","fast=5;slow=21","TREND"
"SMA_CROSS","fast=5;slow=34","TREND"
"EMA_CROSS","fast=5;slow=34","TREND"
"SMA_CROSS","fast=5;slow=55","TREND"
"EMA_CROSS","fast=5;slow=55","TREND"
"SMA_CROSS","fast=5;slow=89","TREND"
"EMA_CROSS","fast=5;slow=89","TREND"
"SMA_CROSS","fast=5;slow=144","TREND"
"EMA_CROSS","fast=5;slow=144","TREND"
"SMA_CROSS","fast=8;slow=21","TREND"
"EMA_CROSS","fast=8;slow=21","TREND"
"SMA_CROSS","fast=8;slow=34","TREND"
"EMA_CROSS","fast=8;slow=34","TREND"
"SMA_CROSS","fast=8;slow=55","TREND"
"EMA_CROSS","fast=8;slow=55","TREND"
"SMA_CROSS","fast=8;slow=89","TREND"
"EMA_CROSS","fast=8;slow=89","TREND"
"SMA_CROSS","fast=8;slow=144","TREND"
"EMA_CROSS","fast=8;slow=144","TREND"
"SMA_CROSS","fast=9;slow=21","TREND"
"EMA_CROSS","fast=9;slow=21","TREND"
"SMA_CROSS","fast=9;slow=34","TREND"
"EMA_CROSS","fast=9;slow=34","TREND"
"SMA_CROSS","fast=9;slow=55","TREND"
"EMA_CROSS","fast=9;slow=55","TREND"
"SMA_CROSS","fast=9;slow=89","TREND"
"EMA_CROSS","fast=9;slow=89","TREND"
"SMA_CROSS","fast=9;slow=144","TREND"
"EMA_CROSS","fast=9;slow=144","TREND"
"SMA_CROSS","fast=13;slow=21","TREND"
"EMA_CROSS","fast=13;slow=21","TREND"
"SMA_CROSS","fast=13;slow=34","TREND"
"EMA_CROSS","fast=13;slow=34","TREND"
"SMA_CROSS","fast=13;slow=55","TREND"
"EMA_CROSS","fast=13;slow=55","TREND"
"SMA_CROSS","fast=13;slow=89","TREND"
"EMA_CROSS","fast=13;slow=89","TREND"
"SMA_CROSS","fast=13;slow=144","TREND"
"EMA_CROSS","fast=13;slow=144","TREND"
"SMA_CROSS","fast=21;slow=34","TREND"
"EMA_CROSS","fast=21;slow=34","TREND"
"SMA_CROSS","fast=21;slow=55","TREND"
"EMA_CROSS","fast=21;slow=55","TREND"
"SMA_CROSS","fast=21;slow=89","TREND"
"EMA_CROSS","fast=21;slow=89","TREND"
"SMA_CROSS","fast=21;slow=144","TREND"
"EMA_CROSS","fast=21;slow=144","TREND"
"RSI_MEAN_REVERSION","period=7;low=20;high=65","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=7;low=20;high=70","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=7;low=20;high=75","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=7;low=20;high=80","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=7;low=25;high=65","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=7;low=25;high=70","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=7;low=25;high=75","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=7;low=25;high=80","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=7;low=30;high=65","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=7;low=30;high=70","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=7;low=30;high=75","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=7;low=30;high=80","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=7;low=35;high=65","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=7;low=35;high=70","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=7;low=35;high=75","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=7;low=35;high=80","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=9;low=20;high=65","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=9;low=20;high=70","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=9;low=20;high=75","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=9;low=20;high=80","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=9;low=25;high=65","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=9;low=25;high=70","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=9;low=25;high=75","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=9;low=25;high=80","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=9;low=30;high=65","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=9;low=30;high=70","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=9;low=30;high=75","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=9;low=30;high=80","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=9;low=35;high=65","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=9;low=35;high=70","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=9;low=35;high=75","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=9;low=35;high=80","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=14;low=20;high=65","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=14;low=20;high=70","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=14;low=20;high=75","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=14;low=20;high=80","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=14;low=25;high=65","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=14;low=25;high=70","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=14;low=25;high=75","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=14;low=25;high=80","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=14;low=30;high=65","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=14;low=30;high=70","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=14;low=30;high=75","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=14;low=30;high=80","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=14;low=35;high=65","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=14;low=35;high=70","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=14;low=35;high=75","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=14;low=35;high=80","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=21;low=20;high=65","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=21;low=20;high=70","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=21;low=20;high=75","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=21;low=20;high=80","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=21;low=25;high=65","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=21;low=25;high=70","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=21;low=25;high=75","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=21;low=25;high=80","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=21;low=30;high=65","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=21;low=30;high=70","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=21;low=30;high=75","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=21;low=30;high=80","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=21;low=35;high=65","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=21;low=35;high=70","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=21;low=35;high=75","MEAN_REVERSION"
"RSI_MEAN_REVERSION","period=21;low=35;high=80","MEAN_REVERSION"
"ADX_TREND","period=14;threshold=18","TREND_FILTER"
"ADX_TREND","period=14;threshold=20","TREND_FILTER"
"ADX_TREND","period=14;threshold=22","TREND_FILTER"
"ADX_TREND","period=14;threshold=25","TREND_FILTER"
"ADX_TREND","period=14;threshold=30","TREND_FILTER"
"ADX_TREND","period=21;threshold=18","TREND_FILTER"
"ADX_TREND","period=21;threshold=20","TREND_FILTER"
"ADX_TREND","period=21;threshold=22","TREND_FILTER"
"ADX_TREND","period=21;threshold=25","TREND_FILTER"
"ADX_TREND","period=21;threshold=30","TREND_FILTER"
"ADX_TREND","period=28;threshold=18","TREND_FILTER"
"ADX_TREND","period=28;threshold=20","TREND_FILTER"
"ADX_TREND","period=28;threshold=22","TREND_FILTER"
"ADX_TREND","period=28;threshold=25","TREND_FILTER"
"ADX_TREND","period=28;threshold=30","TREND_FILTER"
"ATR_BREAKOUT","period=7;multiplier=1.5","BREAKOUT"
"ATR_BREAKOUT","period=7;multiplier=2","BREAKOUT"
"ATR_BREAKOUT","period=7;multiplier=2.5","BREAKOUT"
"ATR_BREAKOUT","period=7;multiplier=3","BREAKOUT"
"ATR_BREAKOUT","period=14;multiplier=1.5","BREAKOUT"
"ATR_BREAKOUT","period=14;multiplier=2","BREAKOUT"
"ATR_BREAKOUT","period=14;multiplier=2.5","BREAKOUT"
"ATR_BREAKOUT","period=14;multiplier=3","BREAKOUT"
"ATR_BREAKOUT","period=21;multiplier=1.5","BREAKOUT"
"ATR_BREAKOUT","period=21;multiplier=2","BREAKOUT"
"ATR_BREAKOUT","period=21;multiplier=2.5","BREAKOUT"
"ATR_BREAKOUT","period=21;multiplier=3","BREAKOUT"
"DONCHIAN_BREAKOUT","period=10","BREAKOUT"
"DONCHIAN_BREAKOUT","period=20","BREAKOUT"
"DONCHIAN_BREAKOUT","period=30","BREAKOUT"
"DONCHIAN_BREAKOUT","period=55","BREAKOUT"
