"symbol","class","timeframe","dataset_file","strategy","family","params","status","approval_pf","approval_trades","approval_winrate","approval_maxdd","approval_payoff"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","SMA_CROSS","TREND","fast=5;slow=21","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","EMA_CROSS","TREND","fast=5;slow=21","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","SMA_CROSS","TREND","fast=5;slow=34","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","EMA_CROSS","TREND","fast=5;slow=34","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","SMA_CROSS","TREND","fast=5;slow=55","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","EMA_CROSS","TREND","fast=5;slow=55","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","SMA_CROSS","TREND","fast=5;slow=89","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","EMA_CROSS","TREND","fast=5;slow=89","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","SMA_CROSS","TREND","fast=5;slow=144","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","EMA_CROSS","TREND","fast=5;slow=144","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","SMA_CROSS","TREND","fast=8;slow=21","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","EMA_CROSS","TREND","fast=8;slow=21","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","SMA_CROSS","TREND","fast=8;slow=34","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","EMA_CROSS","TREND","fast=8;slow=34","READY_BACKTEST","1,8","100","45","15","1,2"
