"symbol","class","timeframe","strategy","family","params","trades","pf","winrate","maxdd","payoff","netprofit","status"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=21;slow=89","62","1,4868","43,55","3,5952","1,9273","58237","BACKTESTED"
"GBPUSD","FOREX","D1","SMA_CROSS","TREND","fast=21;slow=89","62","1,4868","43,55","3,5952","1,9273","58237","BACKTESTED"
"GBPUSD","FOREX","D1","SMA_CROSS","TREND","fast=13;slow=89","74","1,4672","41,89","3,6939","2,0352","59772","BACKTESTED"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=13;slow=89","74","1,4672","41,89","3,6939","2,0352","59772","BACKTESTED"
"EURUSD","FOREX","M15","SMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","0,1795","1,5785","3843","BACKTESTED"
"EURUSD","FOREX","M15","EMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","0,1795","1,5785","3843","BACKTESTED"
"EURUSD","FOREX","M5","SMA_CROSS","TREND","fast=21;slow=34","153","1,4343","43,14","125","1,8255","235","BACKTESTED"
"EURUSD","FOREX","M5","EMA_CROSS","TREND","fast=21;slow=34","153","1,4343","43,14","125","1,8255","235","BACKTESTED"
"USDJPY","FOREX","H4","SMA_CROSS","TREND","fast=21;slow=55","93","1,4158","44,09","3,0234","1,7957","27565","BACKTESTED"
"USDJPY","FOREX","H4","EMA_CROSS","TREND","fast=21;slow=55","93","1,4158","44,09","3,0234","1,7957","27565","BACKTESTED"
"GBPUSD","FOREX","M15","SMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","0,1387","1,9795","3747","BACKTESTED"
"GBPUSD","FOREX","M15","EMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","0,1387","1,9795","3747","BACKTESTED"
"EURUSD","FOREX","H1","EMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","0,4283","1,9039","4978","BACKTESTED"
"EURUSD","FOREX","H1","SMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","0,4283","1,9039","4978","BACKTESTED"
"EURUSD","FOREX","H4","EMA_CROSS","TREND","fast=21;slow=55","89","1,3242","47,19","769","1,4503","11019","BACKTESTED"
"EURUSD","FOREX","H4","SMA_CROSS","TREND","fast=21;slow=55","89","1,3242","47,19","769","1,4503","11019","BACKTESTED"
"EURUSD","FOREX","M15","SMA_CROSS","TREND","fast=13;slow=55","108","1,3215","47,22","0,1505","1,4769","2255","BACKTESTED"
"EURUSD","FOREX","M15","EMA_CROSS","TREND","fast=13;slow=55","108","1,3215","47,22","0,1505","1,4769","2255","BACKTESTED"
"USDCHF","FOREX","M15","EMA_CROSS","TREND","fast=21;slow=34","153","1,2493","46,41","0,2173","1,4252","2103","BACKTESTED"
"USDCHF","FOREX","M15","SMA_CROSS","TREND","fast=21;slow=34","153","1,2493","46,41","0,2173","1,4252","2103","BACKTESTED"
"GBPUSD","FOREX","M30","EMA_CROSS","TREND","fast=9;slow=34","161","1,2264","40,99","0,4486","1,7652","4865","BACKTESTED"
"GBPUSD","FOREX","M30","SMA_CROSS","TREND","fast=9;slow=34","161","1,2264","40,99","0,4486","1,7652","4865","BACKTESTED"
