"symbol","class","timeframe","strategy","family","params","trades","pf","winrate","maxdd","payoff","netprofit","status"
"USDCHF","FOREX","M5","SMA_CROSS","TREND","fast=5;slow=89","145","8","24,83","0,2037","2,3778","-114","BACKTESTED"
"USDCHF","FOREX","M5","EMA_CROSS","TREND","fast=5;slow=89","145","8","24,83","0,2037","2,3778","-114","BACKTESTED"
"GBPUSD","FOREX","D1","SMA_CROSS","TREND","fast=9;slow=144","54","2,0712","37,04","0,2158","0,3521","84517","BACKTESTED"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=9;slow=144","54","2,0712","37,04","0,2158","0,3521","84517","BACKTESTED"
"EURUSD","FOREX","H4","SMA_CROSS","TREND","fast=21;slow=144","40","1,8199","4,25","0,4888","2,4622","14794","BACKTESTED"
"EURUSD","FOREX","H4","EMA_CROSS","TREND","fast=21;slow=144","40","1,8199","4,25","0,4888","2,4622","14794","BACKTESTED"
"GBPUSD","FOREX","D1","SMA_CROSS","TREND","fast=13;slow=144","44","1,8034","38,64","0,2602","2,8642","68694","BACKTESTED"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=13;slow=144","44","1,8034","38,64","0,2602","2,8642","68694","BACKTESTED"
"USDJPY","FOREX","D1","SMA_CROSS","TREND","fast=13;slow=89","82","1,7386","3,78","2,0107","2,8602","66006","BACKTESTED"
"USDJPY","FOREX","D1","EMA_CROSS","TREND","fast=13;slow=89","82","1,7386","3,78","2,0107","2,8602","66006","BACKTESTED"
"EURUSD","FOREX","H1","EMA_CROSS","TREND","fast=8;slow=144","66","1,7147","39,39","0,2377","0,2638","6288","BACKTESTED"
"EURUSD","FOREX","H1","SMA_CROSS","TREND","fast=8;slow=144","66","1,7147","39,39","0,2377","0,2638","6288","BACKTESTED"
"USDCHF","FOREX","M15","SMA_CROSS","TREND","fast=13;slow=55","106","1,6374","4,34","909","2,1358","3523","BACKTESTED"
"USDCHF","FOREX","M15","EMA_CROSS","TREND","fast=13;slow=55","106","1,6374","4,34","909","2,1358","3523","BACKTESTED"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=8;slow=144","62","1,6017","30,65","2,3492","3,6249","61057","BACKTESTED"
"GBPUSD","FOREX","D1","SMA_CROSS","TREND","fast=8;slow=144","62","1,6017","30,65","2,3492","3,6249","61057","BACKTESTED"
"USDJPY","FOREX","H1","EMA_CROSS","TREND","fast=9;slow=34","158","1,5934","39,24","0,4899","2,4672","19911","BACKTESTED"
"USDJPY","FOREX","H1","SMA_CROSS","TREND","fast=9;slow=34","158","1,5934","39,24","0,4899","2,4672","19911","BACKTESTED"
"EURUSD","FOREX","H1","EMA_CROSS","TREND","fast=9;slow=144","60","1,5825","36,67","0,3223","2,7335","5438","BACKTESTED"
"EURUSD","FOREX","H1","SMA_CROSS","TREND","fast=9;slow=144","60","1,5825","36,67","0,3223","2,7335","5438","BACKTESTED"
"USDJPY","FOREX","H1","SMA_CROSS","TREND","fast=8;slow=34","160","1,5466","36,88","0,4863","2,6476","1886","BACKTESTED"
"USDJPY","FOREX","H1","EMA_CROSS","TREND","fast=8;slow=34","160","1,5466","36,88","0,4863","2,6476","1886","BACKTESTED"
"EURUSD","FOREX","D1","SMA_CROSS","TREND","fast=21;slow=144","46","1,5208","32,61","1,9045","0,3143","39033","BACKTESTED"
"EURUSD","FOREX","D1","EMA_CROSS","TREND","fast=21;slow=144","46","1,5208","32,61","1,9045","0,3143","39033","BACKTESTED"
"USDJPY","FOREX","D1","EMA_CROSS","TREND","fast=21;slow=89","64","1,4966","35,94","2,2001","2,6678","49096","BACKTESTED"
"USDJPY","FOREX","D1","SMA_CROSS","TREND","fast=21;slow=89","64","1,4966","35,94","2,2001","2,6678","49096","BACKTESTED"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=9;slow=55","128","1,4868","36,72","4,6567","2,5623","75419","BACKTESTED"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=21;slow=89","62","1,4868","43,55","3,5952","1,9273","58237","BACKTESTED"
"GBPUSD","FOREX","D1","SMA_CROSS","TREND","fast=21;slow=89","62","1,4868","43,55","3,5952","1,9273","58237","BACKTESTED"
"GBPUSD","FOREX","D1","SMA_CROSS","TREND","fast=9;slow=55","128","1,4868","36,72","4,6567","2,5623","75419","BACKTESTED"
"GBPUSD","FOREX","H4","SMA_CROSS","TREND","fast=21;slow=144","40","1,4813","5,25","0,7943","1,3402","9453","BACKTESTED"
"GBPUSD","FOREX","H4","EMA_CROSS","TREND","fast=21;slow=144","40","1,4813","5,25","0,7943","1,3402","9453","BACKTESTED"
"USDJPY","FOREX","H1","SMA_CROSS","TREND","fast=13;slow=21","274","1,4783","4,27","303","1,9838","21201","BACKTESTED"
"USDJPY","FOREX","H1","EMA_CROSS","TREND","fast=13;slow=21","274","1,4783","4,27","303","1,9838","21201","BACKTESTED"
"USDJPY","FOREX","H1","SMA_CROSS","TREND","fast=13;slow=34","132","1,4759","43,18","1,0598","0,1942","15752","BACKTESTED"
"USDJPY","FOREX","H1","EMA_CROSS","TREND","fast=13;slow=34","132","1,4759","43,18","1,0598","0,1942","15752","BACKTESTED"
"GBPUSD","FOREX","D1","SMA_CROSS","TREND","fast=9;slow=89","92","1,4738","35,87","3,4698","0,2635","63679","BACKTESTED"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=9;slow=89","92","1,4738","35,87","3,4698","0,2635","63679","BACKTESTED"
"GBPUSD","FOREX","D1","SMA_CROSS","TREND","fast=13;slow=89","74","1,4672","41,89","3,6939","2,0352","59772","BACKTESTED"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=13;slow=89","74","1,4672","41,89","3,6939","2,0352","59772","BACKTESTED"
"USDJPY","FOREX","D1","EMA_CROSS","TREND","fast=21;slow=55","91","1,4625","39,56","2,2388","2,2344","53737","BACKTESTED"
"USDJPY","FOREX","D1","SMA_CROSS","TREND","fast=21;slow=55","91","1,4625","39,56","2,2388","2,2344","53737","BACKTESTED"
"EURUSD","FOREX","M15","SMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","0,1795","1,5785","3843","BACKTESTED"
"EURUSD","FOREX","M15","EMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","0,1795","1,5785","3843","BACKTESTED"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=5;slow=144","72","1,4529","30,56","2,4755","0,3302","50441","BACKTESTED"
"GBPUSD","FOREX","D1","SMA_CROSS","TREND","fast=5;slow=144","72","1,4529","30,56","2,4755","0,3302","50441","BACKTESTED"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=8;slow=89","94","1,4524","32,98","3,6388","2,9517","63245","BACKTESTED"
"GBPUSD","FOREX","D1","SMA_CROSS","TREND","fast=8;slow=89","94","1,4524","32,98","3,6388","2,9517","63245","BACKTESTED"
"USDCHF","FOREX","H4","SMA_CROSS","TREND","fast=8;slow=144","70","1,4438","24,29","0,6614","4,5012","1032","BACKTESTED"
"USDCHF","FOREX","H4","EMA_CROSS","TREND","fast=8;slow=144","70","1,4438","24,29","0,6614","4,5012","1032","BACKTESTED"
"GBPUSD","FOREX","D1","SMA_CROSS","TREND","fast=21;slow=144","42","1,4348","3,81","2,4701","2,3315","41068","BACKTESTED"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=21;slow=144","42","1,4348","3,81","2,4701","2,3315","41068","BACKTESTED"
"EURUSD","FOREX","M5","SMA_CROSS","TREND","fast=21;slow=34","153","1,4343","43,14","125","1,8255","235","BACKTESTED"
"EURUSD","FOREX","M5","EMA_CROSS","TREND","fast=21;slow=34","153","1,4343","43,14","125","1,8255","235","BACKTESTED"
"USDCHF","FOREX","H4","EMA_CROSS","TREND","fast=9;slow=144","66","1,4253","25,76","0,8107","4,1082","10058","BACKTESTED"
"USDCHF","FOREX","H4","SMA_CROSS","TREND","fast=9;slow=144","66","1,4253","25,76","0,8107","4,1082","10058","BACKTESTED"
"USDJPY","FOREX","D1","SMA_CROSS","TREND","fast=9;slow=55","129","1,4247","33,33","2,2743","2,8494","59169","BACKTESTED"
"USDJPY","FOREX","D1","EMA_CROSS","TREND","fast=9;slow=55","129","1,4247","33,33","2,2743","2,8494","59169","BACKTESTED"
"EURUSD","FOREX","D1","EMA_CROSS","TREND","fast=5;slow=144","82","1,4216","26,83","1,9577","0,3877","42072","BACKTESTED"
"EURUSD","FOREX","D1","SMA_CROSS","TREND","fast=5;slow=144","82","1,4216","26,83","1,9577","0,3877","42072","BACKTESTED"
"USDJPY","FOREX","H1","SMA_CROSS","TREND","fast=5;slow=34","192","1,4193","3,49","0,6549","2,6479","15941","BACKTESTED"
"USDJPY","FOREX","H1","EMA_CROSS","TREND","fast=5;slow=34","192","1,4193","3,49","0,6549","2,6479","15941","BACKTESTED"
"USDJPY","FOREX","H4","SMA_CROSS","TREND","fast=21;slow=55","93","1,4158","44,09","3,0234","1,7957","27565","BACKTESTED"
"USDJPY","FOREX","H4","EMA_CROSS","TREND","fast=21;slow=55","93","1,4158","44,09","3,0234","1,7957","27565","BACKTESTED"
"GBPUSD","FOREX","M15","EMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","0,1387","1,9795","3747","BACKTESTED"
"GBPUSD","FOREX","M15","SMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","0,1387","1,9795","3747","BACKTESTED"
"EURUSD","FOREX","H4","EMA_CROSS","TREND","fast=13;slow=144","50","1,4107","40","0,8279","0,2116","10357","BACKTESTED"
"EURUSD","FOREX","H4","SMA_CROSS","TREND","fast=13;slow=144","50","1,4107","40","0,8279","0,2116","10357","BACKTESTED"
"USDCHF","FOREX","H1","SMA_CROSS","TREND","fast=13;slow=144","53","1,4017","37,74","0,4603","2,3128","345","BACKTESTED"
