"symbol","class","timeframe","strategy","family","params","base_trades","base_pf","base_winrate","base_payoff","base_netprofit","filter","filter_params","status"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=21;slow=89","62","1,4868","43,55","1,9273","58237","ADX_FILTER","adx=14;min=18","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=21;slow=89","62","1,4868","43,55","1,9273","58237","ADX_FILTER","adx=14;min=22","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=21;slow=89","62","1,4868","43,55","1,9273","58237","ADX_FILTER","adx=21;min=20","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=21;slow=89","62","1,4868","43,55","1,9273","58237","ATR_FILTER","atr=14;min_mult=1.0","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=21;slow=89","62","1,4868","43,55","1,9273","58237","ATR_FILTER","atr=14;min_mult=1.5","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=21;slow=89","62","1,4868","43,55","1,9273","58237","SESSION_FILTER","session=LONDON","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=21;slow=89","62","1,4868","43,55","1,9273","58237","SESSION_FILTER","session=NY","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=21;slow=89","62","1,4868","43,55","1,9273","58237","SESSION_FILTER","session=LONDON_NY","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=21;slow=89","62","1,4868","43,55","1,9273","58237","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=21;slow=89","62","1,4868","43,55","1,9273","58237","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","D1","SMA_CROSS","TREND","fast=21;slow=89","62","1,4868","43,55","1,9273","58237","ADX_FILTER","adx=14;min=18","PENDING_FILTER_BACKTEST"
