"symbol","timeframe","strategy","params","filter","filter_params","trades","pf","winrate","payoff","maxdd","netprofit","approved"
"USDJPY","H4","SMA_CROSS","fast=21;slow=55","SESSION_FILTER","session=LONDON","18","8,5493","83,33","1,7099","3,36","48,889","False"
"USDJPY","H4","EMA_CROSS","fast=21;slow=55","SESSION_FILTER","session=LONDON","18","8,5493","83,33","1,7099","3,36","48,889","False"
"USDJPY","H4","SMA_CROSS","fast=21;slow=55","SESSION_FILTER","session=LONDON_NY","46","3,5532","65,22","1,8951","7,216","59,799","False"
"USDJPY","H4","SMA_CROSS","fast=21;slow=55","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","46","3,5532","65,22","1,8951","7,216","59,799","False"
"USDJPY","H4","EMA_CROSS","fast=21;slow=55","SESSION_FILTER","session=LONDON_NY","46","3,5532","65,22","1,8951","7,216","59,799","False"
"USDJPY","H4","EMA_CROSS","fast=21;slow=55","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","46","3,5532","65,22","1,8951","7,216","59,799","False"
"EURUSD","M15","SMA_CROSS","fast=21;slow=34","SESSION_FILTER","session=NY","21","3,0725","52,38","2,7932","0,00898","0,02744","False"
"EURUSD","M15","EMA_CROSS","fast=21;slow=34","SESSION_FILTER","session=NY","21","3,0725","52,38","2,7932","0,00898","0,02744","False"
"EURUSD","M15","SMA_CROSS","fast=13;slow=55","SESSION_FILTER","session=NY","11","3,0603","54,55","2,5503","0,00682","0,02493","False"
"EURUSD","M15","EMA_CROSS","fast=13;slow=55","SESSION_FILTER","session=NY","11","3,0603","54,55","2,5503","0,00682","0,02493","False"
"EURUSD","H4","SMA_CROSS","fast=21;slow=55","SESSION_FILTER","session=LONDON","18","2,8912","66,67","1,4456","0,03144","0,17151","False"
"EURUSD","H4","EMA_CROSS","fast=21;slow=55","SESSION_FILTER","session=LONDON","18","2,8912","66,67","1,4456","0,03144","0,17151","False"
"EURUSD","M5","EMA_CROSS","fast=21;slow=34","SESSION_FILTER","session=LONDON","23","2,7952","47,83","2,7952","0,00977","0,02262","False"
"EURUSD","M5","SMA_CROSS","fast=21;slow=34","SESSION_FILTER","session=LONDON","23","2,7952","47,83","2,7952","0,00977","0,02262","False"
"GBPUSD","M30","EMA_CROSS","fast=9;slow=34","SESSION_FILTER","session=LONDON","29","2,667","55,17","2,0003","0,01792","0,07395","False"
"GBPUSD","M30","SMA_CROSS","fast=9;slow=34","SESSION_FILTER","session=LONDON","29","2,667","55,17","2,0003","0,01792","0,07395","False"
"GBPUSD","M30","EMA_CROSS","fast=9;slow=34","SESSION_FILTER","session=LONDON_NY","86","2,1792","47,67","2,3918","0,02224","0,10922","False"
"GBPUSD","M30","EMA_CROSS","fast=9;slow=34","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","86","2,1792","47,67","2,3918","0,02224","0,10922","False"
"GBPUSD","M30","SMA_CROSS","fast=9;slow=34","SESSION_FILTER","session=LONDON_NY","86","2,1792","47,67","2,3918","0,02224","0,10922","False"
"GBPUSD","M30","SMA_CROSS","fast=9;slow=34","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","86","2,1792","47,67","2,3918","0,02224","0,10922","False"
