"symbol","timeframe","strategy","params","filter","filter_params","trades","pf","winrate","payoff","maxdd","netprofit"
"EURUSD","M15","EMA_CROSS","fast=21;slow=34","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","150","14571","48","15785","1795","3843"
"EURUSD","M15","EMA_CROSS","fast=21;slow=34","ATR_FILTER","atr=14;min_mult=1.0","150","14571","48","15785","1795","3843"
"EURUSD","M15","EMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=21;min=20","150","14571","48","15785","1795","3843"
"EURUSD","M15","SMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=14;min=18","150","14571","48","15785","1795","3843"
"EURUSD","M15","SMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=21;min=20","150","14571","48","15785","1795","3843"
"EURUSD","M15","SMA_CROSS","fast=21;slow=34","ATR_FILTER","atr=14;min_mult=1.0","150","14571","48","15785","1795","3843"
"EURUSD","M15","SMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=14;min=22","150","14571","48","15785","1795","3843"
"EURUSD","M15","EMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=14;min=18","150","14571","48","15785","1795","3843"
"EURUSD","M15","EMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=14;min=22","150","14571","48","15785","1795","3843"
"EURUSD","M15","SMA_CROSS","fast=21;slow=34","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","150","14571","48","15785","1795","3843"
"EURUSD","M15","EMA_CROSS","fast=21;slow=34","ATR_FILTER","atr=14;min_mult=1.5","150","14571","48","15785","1795","3843"
"EURUSD","M15","SMA_CROSS","fast=21;slow=34","ATR_FILTER","atr=14;min_mult=1.5","150","14571","48","15785","1795","3843"
"EURUSD","M5","SMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=21;min=20","153","14343","4314","18255","125","235"
"EURUSD","M5","EMA_CROSS","fast=21;slow=34","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","153","14343","4314","18255","125","235"
