"symbol","timeframe","strategy","params","filter","filter_params","trades","pf","winrate","payoff","maxdd","netprofit"
"USDJPY","H4","SMA_CROSS","fast=21;slow=55","SESSION_FILTER","session=LONDON_NY","46","35532","6522","18951","7216","59799"
"USDJPY","H4","SMA_CROSS","fast=21;slow=55","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","46","35532","6522","18951","7216","59799"
"USDJPY","H4","EMA_CROSS","fast=21;slow=55","SESSION_FILTER","session=LONDON_NY","46","35532","6522","18951","7216","59799"
"USDJPY","H4","EMA_CROSS","fast=21;slow=55","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","46","35532","6522","18951","7216","59799"
"EURUSD","M15","SMA_CROSS","fast=21;slow=34","SESSION_FILTER","session=NY","21","30725","5238","27932","898","2744"
"EURUSD","M15","EMA_CROSS","fast=21;slow=34","SESSION_FILTER","session=NY","21","30725","5238","27932","898","2744"
"EURUSD","M5","EMA_CROSS","fast=21;slow=34","SESSION_FILTER","session=LONDON","23","27952","4783","27952","977","2262"
"EURUSD","M5","SMA_CROSS","fast=21;slow=34","SESSION_FILTER","session=LONDON","23","27952","4783","27952","977","2262"
"GBPUSD","M30","SMA_CROSS","fast=9;slow=34","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","86","21792","4767","23918","2224","10922"
"GBPUSD","M30","SMA_CROSS","fast=9;slow=34","SESSION_FILTER","session=LONDON_NY","86","21792","4767","23918","2224","10922"
"GBPUSD","M30","EMA_CROSS","fast=9;slow=34","SESSION_FILTER","session=LONDON_NY","86","21792","4767","23918","2224","10922"
"GBPUSD","M30","EMA_CROSS","fast=9;slow=34","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","86","21792","4767","23918","2224","10922"
"EURUSD","M5","EMA_CROSS","fast=21;slow=34","SESSION_FILTER","session=NY","26","16205","4231","22097","1057","163"
"EURUSD","M5","SMA_CROSS","fast=21;slow=34","SESSION_FILTER","session=NY","26","16205","4231","22097","1057","163"
"USDCHF","M15","SMA_CROSS","fast=21;slow=34","SESSION_FILTER","session=LONDON_NY","67","15047","5075","14162","2006","2739"
"USDCHF","M15","SMA_CROSS","fast=21;slow=34","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","67","15047","5075","14162","2006","2739"
"USDCHF","M15","EMA_CROSS","fast=21;slow=34","SESSION_FILTER","session=LONDON_NY","67","15047","5075","14162","2006","2739"
"USDCHF","M15","EMA_CROSS","fast=21;slow=34","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","67","15047","5075","14162","2006","2739"
"GBPUSD","D1","SMA_CROSS","fast=21;slow=89","ADX_FILTER","adx=14;min=22","62","14868","4355","19273","35952","58237"
"GBPUSD","D1","EMA_CROSS","fast=21;slow=89","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","62","14868","4355","19273","35952","58237"
"GBPUSD","D1","EMA_CROSS","fast=21;slow=89","ATR_FILTER","atr=14;min_mult=1.5","62","14868","4355","19273","35952","58237"
"GBPUSD","D1","EMA_CROSS","fast=21;slow=89","ADX_FILTER","adx=14;min=18","62","14868","4355","19273","35952","58237"
"GBPUSD","D1","SMA_CROSS","fast=21;slow=89","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","62","14868","4355","19273","35952","58237"
"GBPUSD","D1","SMA_CROSS","fast=21;slow=89","ATR_FILTER","atr=14;min_mult=1.0","62","14868","4355","19273","35952","58237"
"GBPUSD","D1","SMA_CROSS","fast=21;slow=89","ATR_FILTER","atr=14;min_mult=1.5","62","14868","4355","19273","35952","58237"
"GBPUSD","D1","SMA_CROSS","fast=21;slow=89","ADX_FILTER","adx=21;min=20","62","14868","4355","19273","35952","58237"
"GBPUSD","D1","SMA_CROSS","fast=21;slow=89","ADX_FILTER","adx=14;min=18","62","14868","4355","19273","35952","58237"
"GBPUSD","D1","EMA_CROSS","fast=21;slow=89","ADX_FILTER","adx=14;min=22","62","14868","4355","19273","35952","58237"
"GBPUSD","D1","EMA_CROSS","fast=21;slow=89","ADX_FILTER","adx=21;min=20","62","14868","4355","19273","35952","58237"
"GBPUSD","D1","EMA_CROSS","fast=21;slow=89","ATR_FILTER","atr=14;min_mult=1.0","62","14868","4355","19273","35952","58237"
"GBPUSD","D1","EMA_CROSS","fast=13;slow=89","ATR_FILTER","atr=14;min_mult=1.0","74","14672","4189","20352","36939","59772"
"GBPUSD","D1","EMA_CROSS","fast=13;slow=89","ATR_FILTER","atr=14;min_mult=1.5","74","14672","4189","20352","36939","59772"
"GBPUSD","D1","SMA_CROSS","fast=13;slow=89","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","74","14672","4189","20352","36939","59772"
"GBPUSD","D1","EMA_CROSS","fast=13;slow=89","ADX_FILTER","adx=14;min=18","74","14672","4189","20352","36939","59772"
"GBPUSD","D1","EMA_CROSS","fast=13;slow=89","ADX_FILTER","adx=14;min=22","74","14672","4189","20352","36939","59772"
"GBPUSD","D1","EMA_CROSS","fast=13;slow=89","ADX_FILTER","adx=21;min=20","74","14672","4189","20352","36939","59772"
"GBPUSD","D1","EMA_CROSS","fast=13;slow=89","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","74","14672","4189","20352","36939","59772"
"GBPUSD","D1","SMA_CROSS","fast=13;slow=89","ATR_FILTER","atr=14;min_mult=1.0","74","14672","4189","20352","36939","59772"
"GBPUSD","D1","SMA_CROSS","fast=13;slow=89","ADX_FILTER","adx=14;min=22","74","14672","4189","20352","36939","59772"
"GBPUSD","D1","SMA_CROSS","fast=13;slow=89","ADX_FILTER","adx=21;min=20","74","14672","4189","20352","36939","59772"
"GBPUSD","D1","SMA_CROSS","fast=13;slow=89","ATR_FILTER","atr=14;min_mult=1.5","74","14672","4189","20352","36939","59772"
"GBPUSD","D1","SMA_CROSS","fast=13;slow=89","ADX_FILTER","adx=14;min=18","74","14672","4189","20352","36939","59772"
"EURUSD","M15","EMA_CROSS","fast=21;slow=34","ATR_FILTER","atr=14;min_mult=1.0","150","14571","48","15785","1795","3843"
"EURUSD","M15","EMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=21;min=20","150","14571","48","15785","1795","3843"
"EURUSD","M15","SMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=14;min=18","150","14571","48","15785","1795","3843"
"EURUSD","M15","SMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=14;min=22","150","14571","48","15785","1795","3843"
"EURUSD","M15","SMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=21;min=20","150","14571","48","15785","1795","3843"
"EURUSD","M15","SMA_CROSS","fast=21;slow=34","ATR_FILTER","atr=14;min_mult=1.0","150","14571","48","15785","1795","3843"
"EURUSD","M15","SMA_CROSS","fast=21;slow=34","ATR_FILTER","atr=14;min_mult=1.5","150","14571","48","15785","1795","3843"
"EURUSD","M15","EMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=14;min=18","150","14571","48","15785","1795","3843"
