"file","keyword"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P2230_MIND_FTMO_PROP_DESK_PIPELINE_CLOSEOUT.ps1","signal"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P2230_MIND_FTMO_PROP_DESK_PIPELINE_CLOSEOUT.ps1","ftmo"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P2230_MIND_FTMO_PROP_DESK_PIPELINE_CLOSEOUT.ps1","mt5"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P2230_MIND_FTMO_PROP_DESK_PIPELINE_CLOSEOUT.ps1","order"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P56G11_QUARANTINE_EDGE_TO_WEAK_BUSHWACKER.json","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P56G9_RESIDUAL_WEAK_PARENT_EDGE_QUARANTINE.json","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\aiosignal\__init__.py","signal"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\aiosignal-1.4.0.dist-info\METADATA","signal"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\aiosignal-1.4.0.dist-info\METADATA","approved"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\aiosignal-1.4.0.dist-info\RECORD","signal"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\aiosignal-1.4.0.dist-info\top_level.txt","signal"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\anyio\_core\_signals.py","signal"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openpyxl\styles\borders.py","order"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\pandas\tests\frame\methods\test_reorder_levels.py","order"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\pandas\tests\reshape\merge\test_merge_ordered.py","order"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\pygments\lexers\_openedge_builtins.py","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\pygments\lexers\_openedge_builtins.py","dataset"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\pygments\lexers\_openedge_builtins.py","order"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\pypdf\papersizes.py","paper"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\redis\asyncio\observability\recorder.py","order"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\redis\observability\recorder.py","order"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\twilio\rest\assistants\v1\assistant\assistants_knowledge.py","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\twilio\rest\assistants\v1\knowledge\__init__.py","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\twilio\rest\assistants\v1\knowledge\__init__.py","ledger"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\twilio\rest\assistants\v1\knowledge\chunk.py","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\twilio\rest\assistants\v1\knowledge\knowledge_status.py","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\twilio\rest\knowledge\__init__.py","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\twilio\rest\knowledge\KnowledgeBase.py","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\twilio\rest\knowledge\v1\__init__.py","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\twilio\rest\knowledge\v1\knowledge\__init__.py","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\twilio\rest\knowledge\v1\knowledge\__init__.py","ledger"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\twilio\rest\knowledge\v1\knowledge\chunk.py","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\twilio\rest\knowledge\v1\knowledge\knowledge_status.py","edge"
