symbol,timeframe,strategy,params,trades,pf,winrate,payoff,maxdd,netprofit,tier,status,mode,real_orders,dataset
USDCAD,H1,EMA_CROSS,"21,55",60,2.7773,40.0,4.166,0.02347,0.15109,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_H1_raw.csv
XAUUSD,M30,SMA_CROSS,"20,50",104,2.0439,41.35,2.8994,589.24,2202.23,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_M30_raw.csv
XAUUSD,H4,SMA_CROSS,"9,34",95,2.0094,43.16,2.6465,218.82,2061.86,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_H4_raw.csv
EURUSD,D1,EMA_CROSS,"9,34",43,1.8499,44.19,2.3367,0.05401,0.22587,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_D1_raw.csv
USDCHF,M15,SMA_CROSS,"13,55",111,1.7388,43.24,2.2822,0.00909,0.04169,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCHF_M15_raw.csv
NZDUSD,M15,SMA_CROSS,"13,55",96,1.6936,42.71,2.2306,0.00976,0.03982,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_NZDUSD_M15_raw.csv
USDJPY,D1,EMA_CROSS,"9,34",45,1.6332,40.0,2.4498,9.788,30.831,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDJPY_D1_raw.csv
GER40,H4,SMA_CROSS,"13,55",70,1.6001,40.0,2.4001,2778.1,5795.1,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GER40_H4_raw.csv
XAUUSD,H1,SMA_CROSS,"9,34",177,1.5648,40.68,2.2821,1137.39,2191.73,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_H1_raw.csv
USDCAD,H4,SMA_CROSS,"9,34",92,1.5405,46.74,1.7554,0.08592,0.14134,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_H4_raw.csv
