symbol,timeframe,strategy,params,trades,pf,winrate,payoff,maxdd,netprofit,tier,status,mode,real_orders,dataset
XAUUSD,D1,EMA_CROSS,"9,34",42,2.7497,33.33,5.4993,312.52,2224.73,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_D1_raw.csv
USDCAD,H1,EMA_CROSS,"13,55",84,2.3429,30.95,5.2264,0.01873,0.13904,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_H1_raw.csv
XAUUSD,D1,SMA_CROSS,"20,50",30,2.2877,36.67,3.9515,501.71,1593.91,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_D1_raw.csv
GBPUSD,D1,SMA_CROSS,"13,55",33,2.2553,42.42,3.0607,0.08968,0.30664,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GBPUSD_D1_raw.csv
JP225,M15,SMA_CROSS,"50,200",30,2.0243,40.0,3.0364,3453.0,10716.0,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_M15_raw.csv
NZDUSD,M15,EMA_CROSS,"21,55",75,1.7949,37.33,3.0128,0.0087,0.0365,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_NZDUSD_M15_raw.csv
UK100,M15,SMA_CROSS,"20,50",123,1.793,36.59,3.1078,627.5,2433.1,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_UK100_M15_raw.csv
US100,D1,SMA_CROSS,"9,34",30,1.7428,30.0,4.0665,3347.7,8552.22,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US100_D1_raw.csv
US100,D1,EMA_CROSS,"9,34",32,1.7092,28.12,4.368,3557.2,7961.52,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US100_D1_raw.csv
XAUUSD,H4,EMA_CROSS,"9,34",81,1.7077,35.8,3.0621,639.14,1486.86,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_H4_raw.csv
USDCAD,H1,EMA_CROSS,"9,34",151,1.6815,30.46,3.8382,0.03238,0.11202,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_H1_raw.csv
JP225,D1,EMA_CROSS,"9,34",49,1.6783,20.41,6.5452,17116.0,21153.0,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_D1_raw.csv
EURUSD,D1,SMA_CROSS,"13,55",33,1.6584,33.33,3.3168,0.09623,0.18331,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_D1_raw.csv
USDCAD,H4,EMA_CROSS,"13,55",56,1.6571,33.93,3.227,0.06462,0.12276,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_H4_raw.csv
NZDUSD,M15,EMA_CROSS,"13,55",95,1.6567,33.68,3.2616,0.00709,0.03546,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_NZDUSD_M15_raw.csv
USDCAD,H1,SMA_CROSS,"13,55",104,1.6232,35.58,2.9392,0.01969,0.09275,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_H1_raw.csv
XAUUSD,M30,EMA_CROSS,"21,55",76,1.6217,35.53,2.9431,970.6,1288.32,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_M30_raw.csv
EURUSD,D1,SMA_CROSS,"20,50",33,1.6101,39.39,2.4771,0.09409,0.15683,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_D1_raw.csv
XAUUSD,M30,SMA_CROSS,"13,55",116,1.5977,38.79,2.5208,695.9,1583.34,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_M30_raw.csv
USDCHF,D1,SMA_CROSS,"20,50",33,1.5973,42.42,2.1678,0.07842,0.11569,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCHF_D1_raw.csv
USDCAD,M30,EMA_CROSS,"21,55",76,1.5955,34.21,3.0682,0.03186,0.0538,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_M30_raw.csv
XAUUSD,M30,SMA_CROSS,"9,34",164,1.5802,34.76,2.9663,436.94,1957.44,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_M30_raw.csv
XAUUSD,H1,EMA_CROSS,"21,55",87,1.579,29.89,3.7047,704.19,1437.97,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_H1_raw.csv
USDJPY,H1,SMA_CROSS,"9,34",162,1.5527,38.27,2.5043,4.681,19.148,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDJPY_H1_raw.csv
XAUUSD,H1,SMA_CROSS,"13,55",105,1.508,39.05,2.354,742.48,1420.05,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_H1_raw.csv
US100,M15,EMA_CROSS,"21,55",84,1.4916,30.95,3.3274,1527.7,3227.9,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US100_M15_raw.csv
GBPUSD,D1,EMA_CROSS,"9,34",41,1.4695,36.59,2.5472,0.11865,0.15006,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GBPUSD_D1_raw.csv
US500,D1,EMA_CROSS,"9,34",46,1.4692,36.96,2.5064,848.1,1648.7,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US500_D1_raw.csv
USDCAD,H4,EMA_CROSS,"9,34",80,1.4662,37.5,2.4436,0.1126,0.12535,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_H4_raw.csv
GBPUSD,M15,EMA_CROSS,"21,55",83,1.4442,34.94,2.6893,0.01819,0.03466,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GBPUSD_M15_raw.csv
