"mission","name","goal","mode","real_orders","status"
"P2279G","OPERATION_EXPLAINABILITY_REPORT","Trade-by-trade: entrada, saída, alvo, stop, payoff, loss, lição aprendida","PAPER_ONLY","FORBIDDEN","OPEN"
"P2285","DAYTRADING_SCALPING_DISCOVERY","Adicionar M2/M5, day trade e scalping","PAPER_ONLY","FORBIDDEN","OPEN"
"P2286","TARGET_STOP_REASON_ENGINE","Explicar cálculo de alvo, stop e RR","PAPER_ONLY","FORBIDDEN","OPEN"
"P2287","CONFIDENCE_SCORE_ENGINE","Score institucional antes do sinal","PAPER_ONLY","FORBIDDEN","OPEN"
"P2288","MARKET_REGIME_ENGINE","Trend, range, expansão, compressão","PAPER_ONLY","FORBIDDEN","OPEN"
"P2289","MULTI_TIMEFRAME_BIAS","D1/H4/H1/M15/M5/M2 alinhamento","PAPER_ONLY","FORBIDDEN","OPEN"
"P2290","SMART_TARGET_ENGINE","Alvos por liquidez, ATR, estrutura, VWAP, resistência","PAPER_ONLY","FORBIDDEN","OPEN"
"P2291","STOP_PLACEMENT_ENGINE","Stop por swing, ATR, liquidez e spread","PAPER_ONLY","FORBIDDEN","OPEN"
"P2292","TRADE_QUALITY_SCORE","Nota final por trade","PAPER_ONLY","FORBIDDEN","OPEN"
"P2293","FTMO_RISK_AI","Risco dinâmico PAPER_ONLY","PAPER_ONLY","FORBIDDEN","OPEN"
"P2294","LOSS_FORENSICS","Causa raiz de cada loss","PAPER_ONLY","FORBIDDEN","OPEN"
"P2295","EDGE_EVOLUTION","Criar hipóteses a partir dos losses","PAPER_ONLY","FORBIDDEN","OPEN"
"P2296","FTMO_DIGITAL_TWIN","Conta FTMO virtual com regras","PAPER_ONLY","FORBIDDEN","OPEN"
"P2297","DECISION_TREE_AUDIT","Caminho lógico de cada decisão","PAPER_ONLY","FORBIDDEN","OPEN"
"P2298","EXPLAINABLE_TRADER","Relatório completo da decisão","PAPER_ONLY","FORBIDDEN","OPEN"
"P2299","AUTONOMOUS_RESEARCH_LAB","Pesquisa contínua","PAPER_ONLY","FORBIDDEN","OPEN"
"P2300-P2304","INSTITUTIONAL_ROBUSTNESS_LAB","Monte Carlo, Stress, Decay, Correlação, Portfolio","PAPER_ONLY","FORBIDDEN","OPEN"
"P2305-P2310","REGIME_SESSION_DNA","Regime, sessão, notícia, health monitor","PAPER_ONLY","FORBIDDEN","OPEN"
"P2400-P2499","FTMO_SIMULATOR_OPERATION","Pré-teste operacional diário","PAPER_ONLY","FORBIDDEN","OPEN"
"P2500-P2599","PAPER_PERFORMANCE_GOVERNANCE","Relatórios, drawdown, métricas","PAPER_ONLY","FORBIDDEN","OPEN"
"P2600-P2699","LIVE_DEMO_CONTROL_CENTER","Painel e auditoria em demo","PAPER_ONLY","FORBIDDEN","OPEN"
"P2700-P2799","LONG_RUN_VALIDATION","Validação multi-semana","PAPER_ONLY","FORBIDDEN","OPEN"
"P2800-P2899","FINAL_CAPABILITY_HARDENING","Falhas, recuperação, antifragilidade","PAPER_ONLY","FORBIDDEN","OPEN"
"P2900-P2999","FTMO_READINESS_LOCK","Fechamento técnico final PAPER/DEMO","PAPER_ONLY","FORBIDDEN","OPEN"
