"trade_id","edge_id","symbol","timeframe","strategy","params","entry_time","entry_action","entry_price","entry_reason","stop_reference","stop_reason","target_atr","target_rr","target_reason","exit_time","exit_price","exit_reason","pnl","result","payoff_context","mode","real_orders"
"GER40_H4_SMA_CROSS_13,55_1446_1632","GER40_H4_SMA_CROSS_13,55","GER40","H4","SMA_CROSS","13,55","2025-04-15 12:00:00","BUY","21268.7","SMA_CROSS 13,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte","20101.7","stop técnico baseado em swing low anterior + volatilidade ATR14=266.935714","21802.571429","23602.7","target calculado por confluência: 2x ATR (21802.571429) + RR 2:1 baseado no swing/stop (23602.7)","2025-06-02 12:00:00","23912.8","saída por sinal oposto: novo cruzamento SELL em 2025-06-02 08:00:00","2644.1","WIN","trade positivo contribui para payoff","PAPER_ONLY","FORBIDDEN"
"GER40_H4_SMA_CROSS_13,55_1350_1446","GER40_H4_SMA_CROSS_13,55","GER40","H4","SMA_CROSS","13,55","2025-03-24 12:00:00","SELL","22921.9","SMA_CROSS 13,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte","23429.9","stop técnico baseado em swing high anterior + volatilidade ATR14=149.121429","22623.657143","21905.9","target calculado por confluência: 2x ATR (22623.657143) + RR 2:1 baseado no swing/stop (21905.9)","2025-04-15 12:00:00","21268.7","saída por sinal oposto: novo cruzamento BUY em 2025-04-15 08:00:00","1653.2","WIN","trade positivo contribui para payoff","PAPER_ONLY","FORBIDDEN"
"GER40_H4_SMA_CROSS_13,55_1025_1147","GER40_H4_SMA_CROSS_13,55","GER40","H4","SMA_CROSS","13,55","2025-01-07 08:00:00","BUY","20128.0","SMA_CROSS 13,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte","19803.8","stop técnico baseado em swing low anterior + volatilidade ATR14=31.007143","20190.014286","20776.4","target calculado por confluência: 2x ATR (20190.014286) + RR 2:1 baseado no swing/stop (20776.4)","2025-02-04 16:00:00","21466.1","saída por sinal oposto: novo cruzamento SELL em 2025-02-04 12:00:00","1338.1","WIN","trade positivo contribui para payoff","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_1287_1434","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","9,34","2025-08-25 00:00:00","BUY","3368.71","EMA_CROSS 9,34 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte","3268.17","stop técnico baseado em swing low anterior + volatilidade ATR14=35.883571","3440.477143","3569.79","target calculado por confluência: 2x ATR (3440.477143) + RR 2:1 baseado no swing/stop (3569.79)","2026-03-20 00:00:00","4654.32","saída por sinal oposto: novo cruzamento SELL em 2026-03-19 00:00:00","1285.61","WIN","trade positivo contribui para payoff","PAPER_ONLY","FORBIDDEN"
"GER40_H4_SMA_CROSS_13,55_2671_2761","GER40_H4_SMA_CROSS_13,55","GER40","H4","SMA_CROSS","13,55","2026-04-01 08:00:00","BUY","23069.0","SMA_CROSS 13,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte","21926.5","stop técnico baseado em swing low anterior + volatilidade ATR14=246.471429","23561.942857","25354.0","target calculado por confluência: 2x ATR (23561.942857) + RR 2:1 baseado no swing/stop (25354.0)","2026-04-24 08:00:00","24125.5","saída por sinal oposto: novo cruzamento SELL em 2026-04-24 04:00:00","1056.5","WIN","trade positivo contribui para payoff","PAPER_ONLY","FORBIDDEN"
"GER40_H4_SMA_CROSS_13,55_874_972","GER40_H4_SMA_CROSS_13,55","GER40","H4","SMA_CROSS","13,55","2024-11-25 04:00:00","BUY","19448.8","SMA_CROSS 13,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte","19032.4","stop técnico baseado em swing low anterior + volatilidade ATR14=38.157143","19525.114286","20281.6","target calculado por confluência: 2x ATR (19525.114286) + RR 2:1 baseado no swing/stop (20281.6)","2024-12-18 12:00:00","20301.7","saída por sinal oposto: novo cruzamento SELL em 2024-12-18 00:00:00","852.9","WIN","trade positivo contribui para payoff","PAPER_ONLY","FORBIDDEN"
"GER40_H4_SMA_CROSS_13,55_2542_2611","GER40_H4_SMA_CROSS_13,55","GER40","H4","SMA_CROSS","13,55","2026-03-02 20:00:00","SELL","24719.8","SMA_CROSS 13,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte","25406.6","stop técnico baseado em swing high anterior + volatilidade ATR14=161.242857","24397.314286","23346.2","target calculado por confluência: 2x ATR (24397.314286) + RR 2:1 baseado no swing/stop (23346.2)","2026-03-18 08:00:00","23885.6","saída por sinal oposto: novo cruzamento BUY em 2026-03-18 04:00:00","834.2","WIN","trade positivo contribui para payoff","PAPER_ONLY","FORBIDDEN"
"GER40_H4_SMA_CROSS_13,55_435_534","GER40_H4_SMA_CROSS_13,55","GER40","H4","SMA_CROSS","13,55","2024-08-13 12:00:00","BUY","17761.6","SMA_CROSS 13,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte","17267.9","stop técnico baseado em swing low anterior + volatilidade ATR14=84.764286","17931.128571","18749.0","target calculado por confluência: 2x ATR (17931.128571) + RR 2:1 baseado no swing/stop (18749.0)","2024-09-05 00:00:00","18574.6","saída por sinal oposto: novo cruzamento SELL em 2024-09-04 20:00:00","813.0","WIN","trade positivo contribui para payoff","PAPER_ONLY","FORBIDDEN"
"GER40_H4_SMA_CROSS_13,55_1905_1976","GER40_H4_SMA_CROSS_13,55","GER40","H4","SMA_CROSS","13,55","2025-09-26 12:00:00","BUY","23596.8","SMA_CROSS 13,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte","23372.7","stop técnico baseado em swing low anterior + volatilidade ATR14=104.692857","23806.185714","24045.0","target calculado por confluência: 2x ATR (23806.185714) + RR 2:1 baseado no swing/stop (24045.0)","2025-10-14 08:00:00","24316.3","saída por sinal oposto: novo cruzamento SELL em 2025-10-14 04:00:00","719.5","WIN","trade positivo contribui para payoff","PAPER_ONLY","FORBIDDEN"
"GER40_H4_SMA_CROSS_13,55_1156_1225","GER40_H4_SMA_CROSS_13,55","GER40","H4","SMA_CROSS","13,55","2025-02-06 04:00:00","BUY","21650.1","SMA_CROSS 13,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte","21098.6","stop técnico baseado em swing low anterior + volatilidade ATR14=98.264286","21846.628571","22753.1","target calculado por confluência: 2x ATR (21846.628571) + RR 2:1 baseado no swing/stop (22753.1)","2025-02-21 16:00:00","22350.4","saída por sinal oposto: novo cruzamento SELL em 2025-02-21 12:00:00","700.3","WIN","trade positivo contribui para payoff","PAPER_ONLY","FORBIDDEN"
"GER40_H4_SMA_CROSS_13,55_2270_2361","GER40_H4_SMA_CROSS_13,55","GER40","H4","SMA_CROSS","13,55","2025-12-22 08:00:00","BUY","24267.0","SMA_CROSS 13,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte","23851.5","stop técnico baseado em swing low anterior + volatilidade ATR14=91.178571","24449.357143","25098.0","target calculado por confluência: 2x ATR (24449.357143) + RR 2:1 baseado no swing/stop (25098.0)","2026-01-19 12:00:00","24953.9","saída por sinal oposto: novo cruzamento SELL em 2026-01-19 08:00:00","686.9","WIN","trade positivo contribui para payoff","PAPER_ONLY","FORBIDDEN"
"GER40_H4_SMA_CROSS_13,55_2863_2925","GER40_H4_SMA_CROSS_13,55","GER40","H4","SMA_CROSS","13,55","2026-05-20 08:00:00","BUY","24239.3","SMA_CROSS 13,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte","23635.4","stop técnico baseado em swing low anterior + volatilidade ATR14=231.7","24702.7","25447.1","target calculado por confluência: 2x ATR (24702.7) + RR 2:1 baseado no swing/stop (25447.1)","2026-06-03 16:00:00","24896.8","saída por sinal oposto: novo cruzamento SELL em 2026-06-03 12:00:00","657.5","WIN","trade positivo contribui para payoff","PAPER_ONLY","FORBIDDEN"
