"trade_id","edge_id","symbol","timeframe","strategy","result","pnl","regime","quality","mode","real_orders"
"USDCAD_H1_EMA_CROSS_21,55_163_180","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00345","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_180_236","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","WIN","1e-05","NORMAL_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_236_339","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","WIN","0.00399","NORMAL_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_339_528","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","WIN","0.012","NORMAL_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_528_548","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00089","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_548_642","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","WIN","0.00155","NORMAL_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_642_654","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00149","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_654_659","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00073","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_659_664","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00074","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_664_665","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00071","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_665_669","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00089","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
