"trade_id","symbol","entry_action","timeframe","d1_bias","h4_bias","h1_bias","m30_bias","m15_bias","alignment_score","result","pnl","mode","real_orders"
"USDCAD_H1_EMA_CROSS_21,55_163_180","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-0.00345","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_180_236","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","WIN","1e-05","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_236_339","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","WIN","0.00399","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_339_528","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","WIN","0.012","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_528_548","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-0.00089","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_548_642","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","WIN","0.00155","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_642_654","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-0.00149","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_654_659","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","LOSS","-0.00073","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_659_664","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-0.00074","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_664_665","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","LOSS","-0.00071","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_665_669","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-0.00089","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_669_682","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","LOSS","-0.0009","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_682_685","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-0.00106","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_685_694","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","LOSS","-0.00142","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_694_707","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-0.00568","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_707_855","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","WIN","0.00159","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_855_887","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-0.00329","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_887_902","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","LOSS","-0.00336","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_902_966","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-0.00077","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_966_977","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","LOSS","-0.0033","PAPER_ONLY","FORBIDDEN"
