"trade_id","symbol","timeframe","action","result","pnl","mtf_alignment","target_model","recommended_rr","target_reason","decision","mode","real_orders"
"USDCAD_H1_EMA_CROSS_21,55_163_180","USDCAD","H1","SELL","LOSS","-0.00345","33,33","NO_TRADE_RECOMMENDED","0","bloquear trade: conflito MTF alto; alvo estatístico não confiável","BLOCK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_180_236","USDCAD","H1","BUY","WIN","1e-05","66,67","REDUCED_TARGET","1,2","alvo reduzido por alinhamento parcial; realizar parcial rápida e evitar RR alto","CAUTION","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_236_339","USDCAD","H1","SELL","WIN","0.00399","33,33","NO_TRADE_RECOMMENDED","0","bloquear trade: conflito MTF alto; alvo estatístico não confiável","BLOCK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_339_528","USDCAD","H1","BUY","WIN","0.012","66,67","REDUCED_TARGET","1,2","alvo reduzido por alinhamento parcial; realizar parcial rápida e evitar RR alto","CAUTION","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_528_548","USDCAD","H1","SELL","LOSS","-0.00089","33,33","NO_TRADE_RECOMMENDED","0","bloquear trade: conflito MTF alto; alvo estatístico não confiável","BLOCK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_548_642","USDCAD","H1","BUY","WIN","0.00155","66,67","REDUCED_TARGET","1,2","alvo reduzido por alinhamento parcial; realizar parcial rápida e evitar RR alto","CAUTION","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_642_654","USDCAD","H1","SELL","LOSS","-0.00149","33,33","NO_TRADE_RECOMMENDED","0","bloquear trade: conflito MTF alto; alvo estatístico não confiável","BLOCK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_654_659","USDCAD","H1","BUY","LOSS","-0.00073","66,67","REDUCED_TARGET","1,2","alvo reduzido por alinhamento parcial; realizar parcial rápida e evitar RR alto","CAUTION","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_659_664","USDCAD","H1","SELL","LOSS","-0.00074","33,33","NO_TRADE_RECOMMENDED","0","bloquear trade: conflito MTF alto; alvo estatístico não confiável","BLOCK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_664_665","USDCAD","H1","BUY","LOSS","-0.00071","100","TREND_EXTENSION_TARGET","2","alvo permitido por alinhamento MTF >=70; usar extensão de tendência, swing e ATR","ALLOW","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_665_669","USDCAD","H1","SELL","LOSS","-0.00089","33,33","NO_TRADE_RECOMMENDED","0","bloquear trade: conflito MTF alto; alvo estatístico não confiável","BLOCK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_669_682","USDCAD","H1","BUY","LOSS","-0.0009","66,67","REDUCED_TARGET","1,2","alvo reduzido por alinhamento parcial; realizar parcial rápida e evitar RR alto","CAUTION","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_682_685","USDCAD","H1","SELL","LOSS","-0.00106","0","NO_TRADE_RECOMMENDED","0","bloquear trade: conflito MTF alto; alvo estatístico não confiável","BLOCK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_685_694","USDCAD","H1","BUY","LOSS","-0.00142","100","TREND_EXTENSION_TARGET","2","alvo permitido por alinhamento MTF >=70; usar extensão de tendência, swing e ATR","ALLOW","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_694_707","USDCAD","H1","SELL","LOSS","-0.00568","33,33","NO_TRADE_RECOMMENDED","0","bloquear trade: conflito MTF alto; alvo estatístico não confiável","BLOCK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_707_855","USDCAD","H1","BUY","WIN","0.00159","100","TREND_EXTENSION_TARGET","2","alvo permitido por alinhamento MTF >=70; usar extensão de tendência, swing e ATR","ALLOW","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_855_887","USDCAD","H1","SELL","LOSS","-0.00329","33,33","NO_TRADE_RECOMMENDED","0","bloquear trade: conflito MTF alto; alvo estatístico não confiável","BLOCK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_887_902","USDCAD","H1","BUY","LOSS","-0.00336","100","TREND_EXTENSION_TARGET","2","alvo permitido por alinhamento MTF >=70; usar extensão de tendência, swing e ATR","ALLOW","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_902_966","USDCAD","H1","SELL","LOSS","-0.00077","0","NO_TRADE_RECOMMENDED","0","bloquear trade: conflito MTF alto; alvo estatístico não confiável","BLOCK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_966_977","USDCAD","H1","BUY","LOSS","-0.0033","66,67","REDUCED_TARGET","1,2","alvo reduzido por alinhamento parcial; realizar parcial rápida e evitar RR alto","CAUTION","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_977_1064","USDCAD","H1","SELL","LOSS","-0.00072","33,33","NO_TRADE_RECOMMENDED","0","bloquear trade: conflito MTF alto; alvo estatístico não confiável","BLOCK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_1064_1210","USDCAD","H1","BUY","WIN","0.00788","66,67","REDUCED_TARGET","1,2","alvo reduzido por alinhamento parcial; realizar parcial rápida e evitar RR alto","CAUTION","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_1210_1312","USDCAD","H1","SELL","WIN","0.00473","33,33","NO_TRADE_RECOMMENDED","0","bloquear trade: conflito MTF alto; alvo estatístico não confiável","BLOCK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_1312_1378","USDCAD","H1","BUY","LOSS","-0.00319","66,67","REDUCED_TARGET","1,2","alvo reduzido por alinhamento parcial; realizar parcial rápida e evitar RR alto","CAUTION","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_1378_1404","USDCAD","H1","SELL","LOSS","-0.00523","66,67","REDUCED_TARGET","1,2","alvo reduzido por alinhamento parcial; realizar parcial rápida e evitar RR alto","CAUTION","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_1404_1509","USDCAD","H1","BUY","WIN","0.00221","66,67","REDUCED_TARGET","1,2","alvo reduzido por alinhamento parcial; realizar parcial rápida e evitar RR alto","CAUTION","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_1509_1876","USDCAD","H1","SELL","WIN","0.02891","33,33","NO_TRADE_RECOMMENDED","0","bloquear trade: conflito MTF alto; alvo estatístico não confiável","BLOCK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_1876_1950","USDCAD","H1","BUY","LOSS","-0.00148","33,33","NO_TRADE_RECOMMENDED","0","bloquear trade: conflito MTF alto; alvo estatístico não confiável","BLOCK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_1950_2055","USDCAD","H1","SELL","WIN","0.00806","100","TREND_EXTENSION_TARGET","2","alvo permitido por alinhamento MTF >=70; usar extensão de tendência, swing e ATR","ALLOW","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_2055_2382","USDCAD","H1","BUY","WIN","0.01995","33,33","NO_TRADE_RECOMMENDED","0","bloquear trade: conflito MTF alto; alvo estatístico não confiável","BLOCK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_2382_2607","USDCAD","H1","SELL","WIN","0.02891","66,67","REDUCED_TARGET","1,2","alvo reduzido por alinhamento parcial; realizar parcial rápida e evitar RR alto","CAUTION","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_2607_2722","USDCAD","H1","BUY","WIN","0.00491","50","REDUCED_TARGET","1,2","alvo reduzido por alinhamento parcial; realizar parcial rápida e evitar RR alto","CAUTION","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_2722_2808","USDCAD","H1","SELL","WIN","0.00567","75","TREND_EXTENSION_TARGET","2","alvo permitido por alinhamento MTF >=70; usar extensão de tendência, swing e ATR","ALLOW","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_2808_2813","USDCAD","H1","BUY","LOSS","-0.00328","50","REDUCED_TARGET","1,2","alvo reduzido por alinhamento parcial; realizar parcial rápida e evitar RR alto","CAUTION","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_2813_2816","USDCAD","H1","SELL","LOSS","-0.00266","50","REDUCED_TARGET","1,2","alvo reduzido por alinhamento parcial; realizar parcial rápida e evitar RR alto","CAUTION","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_2816_2970","USDCAD","H1","BUY","WIN","0.00727","25","NO_TRADE_RECOMMENDED","0","bloquear trade: conflito MTF alto; alvo estatístico não confiável","BLOCK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_2970_2987","USDCAD","H1","SELL","LOSS","-0.00334","75","TREND_EXTENSION_TARGET","2","alvo permitido por alinhamento MTF >=70; usar extensão de tendência, swing e ATR","ALLOW","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_2987_3034","USDCAD","H1","BUY","LOSS","-0.00042","50","REDUCED_TARGET","1,2","alvo reduzido por alinhamento parcial; realizar parcial rápida e evitar RR alto","CAUTION","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3034_3101","USDCAD","H1","SELL","LOSS","-0.00215","75","TREND_EXTENSION_TARGET","2","alvo permitido por alinhamento MTF >=70; usar extensão de tendência, swing e ATR","ALLOW","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3101_3146","USDCAD","H1","BUY","LOSS","-0.00358","50","REDUCED_TARGET","1,2","alvo reduzido por alinhamento parcial; realizar parcial rápida e evitar RR alto","CAUTION","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3146_3177","USDCAD","H1","SELL","WIN","0.0002","75","TREND_EXTENSION_TARGET","2","alvo permitido por alinhamento MTF >=70; usar extensão de tendência, swing e ATR","ALLOW","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3177_3184","USDCAD","H1","BUY","LOSS","-0.00118","25","NO_TRADE_RECOMMENDED","0","bloquear trade: conflito MTF alto; alvo estatístico não confiável","BLOCK","PAPER_ONLY","FORBIDDEN"
