time,edge_id,symbol,timeframe,action,status,reason,signal_id
2026-06-21T11:52:06.078885,"USDCAD_H1_EMA_CROSS_21,55",USDCAD,H1,,BLOCKED,PENDING_ORDER_FILE,
2026-06-21T11:52:06.079866,"XAUUSD_D1_EMA_CROSS_9,34",XAUUSD,D1,,BLOCKED,PENDING_ORDER_FILE,
2026-06-21T11:52:06.079866,"USDCAD_H1_EMA_CROSS_13,55",USDCAD,H1,,BLOCKED,PENDING_ORDER_FILE,
2026-06-21T11:52:06.080879,"XAUUSD_M30_SMA_CROSS_20,50",XAUUSD,M30,,BLOCKED,PENDING_ORDER_FILE,
2026-06-21T11:52:06.080879,"EURUSD_D1_EMA_CROSS_9,34",EURUSD,D1,,BLOCKED,PENDING_ORDER_FILE,
2026-06-21T11:52:06.081863,"NZDUSD_M15_EMA_CROSS_21,55",NZDUSD,M15,,BLOCKED,PENDING_ORDER_FILE,
2026-06-21T11:52:06.081863,"USDCHF_M15_SMA_CROSS_13,55",USDCHF,M15,,BLOCKED,PENDING_ORDER_FILE,
2026-06-21T11:52:06.082865,"NZDUSD_M15_SMA_CROSS_13,55",NZDUSD,M15,,BLOCKED,PENDING_ORDER_FILE,
2026-06-21T11:52:06.082865,"USDJPY_D1_EMA_CROSS_9,34",USDJPY,D1,,BLOCKED,PENDING_ORDER_FILE,
2026-06-21T11:52:06.083864,"GER40_H4_SMA_CROSS_13,55",GER40,H4,,BLOCKED,PENDING_ORDER_FILE,
2026-06-21T11:52:06.083864,"USDJPY_H1_SMA_CROSS_9,34",USDJPY,H1,,BLOCKED,PENDING_ORDER_FILE,
