symbol,timeframe,strategy,params,trades,pf,winrate,payoff,netprofit,tier,dataset,mode,real_orders
UK100,M5,SMA_SCALP,"13,34",312,1.32,38.78,2.0836,1069.3,C,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_UK100_M5_raw.csv,PAPER_ONLY,FORBIDDEN
JP225,M2,EMA_SCALP,"13,34",286,1.3027,29.37,3.1327,7421.0,C,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_M2_raw.csv,PAPER_ONLY,FORBIDDEN
JP225,M2,EMA_SCALP,"8,21",466,1.2355,29.4,2.9669,7364.0,C,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_M2_raw.csv,PAPER_ONLY,FORBIDDEN
UK100,M5,EMA_SCALP,"13,34",273,1.2317,28.21,3.1354,682.1,C,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_UK100_M5_raw.csv,PAPER_ONLY,FORBIDDEN
GER40,M2,EMA_SCALP,"9,21",436,1.2304,33.49,2.4271,1381.7,C,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GER40_M2_raw.csv,PAPER_ONLY,FORBIDDEN
JP225,M2,EMA_SCALP,"9,21",450,1.2251,28.89,3.0063,6944.0,C,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_M2_raw.csv,PAPER_ONLY,FORBIDDEN
GER40,M2,SMA_SCALP,"13,34",324,1.219,44.75,1.488,1168.8,C,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GER40_M2_raw.csv,PAPER_ONLY,FORBIDDEN
US100,M5,SMA_SCALP,"13,34",325,1.1953,38.77,1.8878,2174.6,C,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US100_M5_raw.csv,PAPER_ONLY,FORBIDDEN
JP225,M5,EMA_SCALP,"5,13",762,1.1856,28.08,3.0082,9886.0,C,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_M5_raw.csv,PAPER_ONLY,FORBIDDEN
US500,M2,EMA_SCALP,"9,21",429,1.1742,29.14,2.8463,262.0,C,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US500_M2_raw.csv,PAPER_ONLY,FORBIDDEN
EURUSD,M2,EMA_SCALP,"9,21",461,1.1741,27.55,3.0416,0.0153,C,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
GER40,M2,EMA_SCALP,"8,21",472,1.1718,31.99,2.4523,1111.7,C,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GER40_M2_raw.csv,PAPER_ONLY,FORBIDDEN
UK100,M5,EMA_SCALP,"9,21",423,1.1702,31.21,2.5797,665.3,C,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_UK100_M5_raw.csv,PAPER_ONLY,FORBIDDEN
JP225,M2,EMA_SCALP,"5,13",744,1.1659,30.38,2.6517,6479.0,C,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_M2_raw.csv,PAPER_ONLY,FORBIDDEN
US500,M2,EMA_SCALP,"8,21",449,1.1654,29.84,2.7308,256.2,C,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US500_M2_raw.csv,PAPER_ONLY,FORBIDDEN
USDJPY,M2,SMA_SCALP,"13,34",343,1.1619,34.4,2.1269,1.04,C,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDJPY_M2_raw.csv,PAPER_ONLY,FORBIDDEN
JP225,M2,SMA_SCALP,"5,13",841,1.161,36.62,1.9903,6910.0,C,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_M2_raw.csv,PAPER_ONLY,FORBIDDEN
GER40,M2,SMA_SCALP,"8,21",530,1.1568,37.36,1.9164,1091.0,C,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GER40_M2_raw.csv,PAPER_ONLY,FORBIDDEN
USDJPY,M2,SMA_SCALP,"9,21",553,1.1463,37.25,1.8753,1.267,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDJPY_M2_raw.csv,PAPER_ONLY,FORBIDDEN
GBPUSD,M2,EMA_SCALP,"9,21",441,1.1401,28.57,2.8412,0.0165,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GBPUSD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
GER40,M2,EMA_SCALP,"13,34",266,1.1394,31.95,2.3995,700.7,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GER40_M2_raw.csv,PAPER_ONLY,FORBIDDEN
GER40,M2,SMA_SCALP,"9,21",524,1.1342,37.79,1.8503,949.1,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GER40_M2_raw.csv,PAPER_ONLY,FORBIDDEN
EURUSD,M2,EMA_SCALP,"8,21",499,1.1292,27.05,3.0278,0.0119,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
USDCHF,M2,EMA_SCALP,"9,21",432,1.1268,32.87,2.2933,0.01003,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCHF_M2_raw.csv,PAPER_ONLY,FORBIDDEN
UK100,M5,EMA_SCALP,"8,21",447,1.1258,31.1,2.4947,513.1,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_UK100_M5_raw.csv,PAPER_ONLY,FORBIDDEN
JP225,M2,SMA_SCALP,"9,21",520,1.1192,37.88,1.8237,4253.0,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_M2_raw.csv,PAPER_ONLY,FORBIDDEN
US500,M2,SMA_SCALP,"13,34",315,1.1187,39.05,1.7099,165.3,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US500_M2_raw.csv,PAPER_ONLY,FORBIDDEN
JP225,M5,EMA_SCALP,"13,34",292,1.1181,30.14,2.592,4374.0,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_M5_raw.csv,PAPER_ONLY,FORBIDDEN
UK100,M2,EMA_SCALP,"13,34",300,1.1091,26.67,3.0361,196.0,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_UK100_M2_raw.csv,PAPER_ONLY,FORBIDDEN
