edge_id,symbol,timeframe,strategy,params,trades,base_pf,mc_pf_mean,mc_dd_p95,risk_of_ruin,stress_pf_spread2,stress_pf_spread3,recent_pf,institutional_status,mode,real_orders
"USDCAD_H1_EMA_CROSS_21,55",USDCAD,H1,EMA_CROSS,"21,55",59,2.5329,2.6451,0.03942,0.009,2.5329,2.5329,3.1588,APPROVED,PAPER_ONLY,FORBIDDEN
"XAUUSD_D1_EMA_CROSS_9,34",XAUUSD,D1,EMA_CROSS,"9,34",41,2.355,2.5123,953.02,0.121,2.355,2.355,2.9894,APPROVED,PAPER_ONLY,FORBIDDEN
"USDCAD_H1_EMA_CROSS_13,55",USDCAD,H1,EMA_CROSS,"13,55",83,2.1422,2.2145,0.04052,0.014,2.1422,2.1422,2.5694,APPROVED,PAPER_ONLY,FORBIDDEN
"EURUSD_D1_EMA_CROSS_9,34",EURUSD,D1,EMA_CROSS,"9,34",42,1.7778,1.9097,0.17792,0.092,1.7778,1.7778,2.4914,APPROVED,PAPER_ONLY,FORBIDDEN
"NZDUSD_M15_EMA_CROSS_21,55",NZDUSD,M15,EMA_CROSS,"21,55",74,1.6799,1.7502,0.02044,0.05,1.6799,1.6799,1.6486,APPROVED,PAPER_ONLY,FORBIDDEN
"USDCHF_M15_SMA_CROSS_13,55",USDCHF,M15,SMA_CROSS,"13,55",110,1.7521,1.7695,0.02047,0.018,1.7521,1.7521,1.6135,APPROVED,PAPER_ONLY,FORBIDDEN
"NZDUSD_M15_SMA_CROSS_13,55",NZDUSD,M15,SMA_CROSS,"13,55",95,1.701,1.7506,0.02285,0.042,1.701,1.701,1.642,APPROVED,PAPER_ONLY,FORBIDDEN
"USDJPY_D1_EMA_CROSS_9,34",USDJPY,D1,EMA_CROSS,"9,34",44,1.585,1.7311,30.881,0.135,1.585,1.585,1.589,APPROVED,PAPER_ONLY,FORBIDDEN
"GER40_H4_SMA_CROSS_13,55",GER40,H4,SMA_CROSS,"13,55",69,1.5903,1.6466,5033.6,0.115,1.5903,1.5903,2.2902,APPROVED,PAPER_ONLY,FORBIDDEN
"USDJPY_H1_SMA_CROSS_9,34",USDJPY,H1,SMA_CROSS,"9,34",161,1.5331,1.5661,11.558,0.04,1.5331,1.5331,1.1466,APPROVED,PAPER_ONLY,FORBIDDEN
